Sentence	entity_1	json	split
The secondary antibody used for both BrdU and nucleoli staining was a rhodamine ( tetra - methyl) - conjugated goat anti - mouse antibody ( T - 2762) from Molecular Probe ( Eugene, OR).	nucleoli,46,54,Anatomy	"[{""token"": ""nucleoli"", ""start_span"": 46, ""end_span"": 54, ""type"": ""Anatomy""}]"	train
The cells were examined in a Zeiss LSM 510 laser scanning microscope equipped with a Plan - Apochromate 63x / 1. 4 oil immersion objective.	cells,4,9,Anatomy	"[{""token"": ""cells"", ""start_span"": 4, ""end_span"": 9, ""type"": ""Anatomy""}]"	train
Certainly, the general population should not be exposed to chemotherapeutic agents that benefit cancer patients.	cancer,96,102,Anatomy	"[{""token"": ""cancer"", ""start_span"": 96, ""end_span"": 102, ""type"": ""Anatomy""}]"	train
"In the 1950s doctors prescribed DES to pregnant women to prevent miscarriage and premature births and to produce "" bigger and stronger babies "" even though DES had been shown to cause damage to reproductive tissues in animals ( Dinusson et al. 1948; Dunn and Green 1963; Takasugi and Bern 1964)."	tissues,207,214,Anatomy	"[{""token"": ""tissues"", ""start_span"": 207, ""end_span"": 214, ""type"": ""Anatomy""}]"	train
Inflammation - modulating effect of antithrombin on the endothelium.	endothelium,56,67,Anatomy	"[{""token"": ""endothelium"", ""start_span"": 56, ""end_span"": 67, ""type"": ""Anatomy""}]"	train
Changes include reduced release of inflammatory and procoagulatory mediators ( e. g. interleukin [ IL] - 1, IL - 6, tumour necrosis factor - alpha [ TNF]), tissue factor ( TF), adenosine diphosphate ( ADP) and cellular adhesion molecules ( not shown), as well as increased release of anticoagulatory prostacyclin ( prostaglandin [ PG] I) or CD39 / ATPDase.	cellular,210,218,Anatomy	"[{""token"": ""cellular"", ""start_span"": 210, ""end_span"": 218, ""type"": ""Anatomy""}]"	train
In neuronal tissue, protective mechanisms may by mediated via the release of calcitonin gene - related peptide and nitric oxide with the potential to affect prostacyclin release [ 55].	neuronal tissue,3,18,Anatomy	"[{""token"": ""neuronal tissue"", ""start_span"": 3, ""end_span"": 18, ""type"": ""Anatomy""}]"	train
Sometimes they are perceived like the tinnitus in patient ' s own head.	head,66,70,Anatomy	"[{""token"": ""head"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Anatomy""}]"	train
The patient is an 80 year old male with diabetes mellitus and hypertension, who at age 74 ( March 2001) had received a living non - related donor kidney transplant.	kidney,146,152,Anatomy	"[{""token"": ""kidney"", ""start_span"": 146, ""end_span"": 152, ""type"": ""Anatomy""}]"	train
He received 19 administrations of vincristine ( 1 mg) and bleomycin ( 15 mg) weekly that resulted in flattening and fading of the lesions.	lesions,130,137,Anatomy	"[{""token"": ""lesions"", ""start_span"": 130, ""end_span"": 137, ""type"": ""Anatomy""}]"	train
In May 2003 KS progression was observed and received radiotherapy with no benefit Figure 1.	KS,12,14,Anatomy	"[{""token"": ""KS"", ""start_span"": 12, ""end_span"": 14, ""type"": ""Anatomy""}]"	train
In August 2003 he started oral etoposide at 50 mg QD for two weeks followed by two weeks off until May 2004 achieving a very slow 50% response.	oral,26,30,Anatomy	"[{""token"": ""oral"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Anatomy""}]"	train
Tolerance was good and serum creatinine remain stable at around 1, 4 mg / dl.	serum,23,28,Anatomy	"[{""token"": ""serum"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Anatomy""}]"	train
