Sentence	entity_1	entity_2	json	split
The nucleoli were detected with an anti - nucleolin antibody ( clone 3G4B2; Upstate biotechnology, Lake Placid, NY) on cells fixed in 2% formalin for 10 min followed by permeabilization with ice - cold methanol for 30 min.	nucleoli,4,12,Anatomy	cells,119,124,Anatomy	"[{""token"": ""nucleoli"", ""start_span"": 4, ""end_span"": 12, ""type"": ""Anatomy""}, {""token"": ""cells"", ""start_span"": 119, ""end_span"": 124, ""type"": ""Anatomy""}]"	train
The images were from 1 mum thick slices of the cells.	slices,33,39,Anatomy	cells,47,52,Anatomy	"[{""token"": ""slices"", ""start_span"": 33, ""end_span"": 39, ""type"": ""Anatomy""}, {""token"": ""cells"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Anatomy""}]"	train
Transcripts Upregulated in ST - HSC Compared to LT - HSC	ST - HSC,27,35,Anatomy	LT - HSC,48,56,Anatomy	"[{""token"": ""ST - HSC"", ""start_span"": 27, ""end_span"": 35, ""type"": ""Anatomy""}, {""token"": ""LT - HSC"", ""start_span"": 48, ""end_span"": 56, ""type"": ""Anatomy""}]"	train
Correlation between sperm morphology and seminal plasma NO ( a) and TBARS ( b) levels in both groups.	sperm,20,25,Anatomy	seminal plasma,41,55,Anatomy	"[{""token"": ""sperm"", ""start_span"": 20, ""end_span"": 25, ""type"": ""Anatomy""}, {""token"": ""seminal plasma"", ""start_span"": 41, ""end_span"": 55, ""type"": ""Anatomy""}]"	train
Patient developed anasarca with rapid progression of Kaposi ' s Sarcoma after four weeks of taking Imatinib ( June 2004).	anasarca,18,26,Anatomy	Kaposi ' s Sarcoma,53,71,Anatomy	"[{""token"": ""anasarca"", ""start_span"": 18, ""end_span"": 26, ""type"": ""Anatomy""}, {""token"": ""Kaposi ' s Sarcoma"", ""start_span"": 53, ""end_span"": 71, ""type"": ""Anatomy""}]"	train
Sustained and significant KS regression was evident after 16 weeks, but he developed a basal cell carcinoma and pneumonia that required hospital admission; Sirolimus dose was lowered to 2 mg a day.	KS,26,28,Anatomy	basal cell carcinoma,87,107,Anatomy	"[{""token"": ""KS"", ""start_span"": 26, ""end_span"": 28, ""type"": ""Anatomy""}, {""token"": ""basal cell carcinoma"", ""start_span"": 87, ""end_span"": 107, ""type"": ""Anatomy""}]"	train
Anorectal malformations ( ARM) represent a spectrum of abnormalities ranging from mild anal anomalies to complex cloacal malformations.	Anorectal,0,9,Anatomy	anal,87,91,Anatomy	"[{""token"": ""Anorectal"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Anatomy""}, {""token"": ""anal"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Anatomy""}]"	train
In addition, it has been found that there is not only an increased incidence of ARM in patient with trisomy 21 ( Down ' s syndrome), but that 95% of patients with trisomy 21 and ARM have imperforate anus without fistula, compared with only 5% of all patients with ARM.	anus,199,203,Anatomy	fistula,212,219,Anatomy	"[{""token"": ""anus"", ""start_span"": 199, ""end_span"": 203, ""type"": ""Anatomy""}, {""token"": ""fistula"", ""start_span"": 212, ""end_span"": 219, ""type"": ""Anatomy""}]"	train
For semithin sections, embryoid bodies were washed twice in PBS, fixed in 4% paraformaldehyde at 4degreesC overnight, and after dehydration in ethanol were embedded in JB - 4 resin ( Polysciences, Inc.).	sections,13,21,Anatomy	embryoid bodies,23,38,Anatomy	"[{""token"": ""sections"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Anatomy""}, {""token"": ""embryoid bodies"", ""start_span"": 23, ""end_span"": 38, ""type"": ""Anatomy""}]"	train
Stimulation / Inhibition of iDC Functions by Activated NK Cells.	iDC,28,31,Anatomy	NK Cells,55,63,Anatomy	"[{""token"": ""iDC"", ""start_span"": 28, ""end_span"": 31, ""type"": ""Anatomy""}, {""token"": ""NK Cells"", ""start_span"": 55, ""end_span"": 63, ""type"": ""Anatomy""}]"	train
However, in our long - term cultures ( 24 - 48 h) the NK cells stimulated the iDCs rather than lysing them.	NK cells,54,62,Anatomy	iDCs,78,82,Anatomy	"[{""token"": ""NK cells"", ""start_span"": 54, ""end_span"": 62, ""type"": ""Anatomy""}, {""token"": ""iDCs"", ""start_span"": 78, ""end_span"": 82, ""type"": ""Anatomy""}]"	train
Based on these conflicting results, we examined in more detail the apparent stimulation of iDCs after contact with NK cells.	iDCs,91,95,Anatomy	NK cells,115,123,Anatomy	"[{""token"": ""iDCs"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Anatomy""}, {""token"": ""NK cells"", ""start_span"": 115, ""end_span"": 123, ""type"": ""Anatomy""}]"	train
The DC maturation induced by resting NK cells we observed was dependent on endogenous TNF - alpha production.	DC,4,6,Anatomy	NK cells,37,45,Anatomy	"[{""token"": ""DC"", ""start_span"": 4, ""end_span"": 6, ""type"": ""Anatomy""}, {""token"": ""NK cells"", ""start_span"": 37, ""end_span"": 45, ""type"": ""Anatomy""}]"	train
Activated / cultured NK cell - mediated amplification / inhibition of DC cytokine production.	NK cell,21,28,Anatomy	DC,70,72,Anatomy	"[{""token"": ""NK cell"", ""start_span"": 21, ""end_span"": 28, ""type"": ""Anatomy""}, {""token"": ""DC"", ""start_span"": 70, ""end_span"": 72, ""type"": ""Anatomy""}]"	train
Cultured iDCs were incubated alone or with cultured / purified NK cells for 24 h ( A and B) or 48 h ( C - E) in the presence or absence of the indicated concentrations of LPS.	iDCs,9,13,Anatomy	NK cells,63,71,Anatomy	"[{""token"": ""iDCs"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Anatomy""}, {""token"": ""NK cells"", ""start_span"": 63, ""end_span"": 71, ""type"": ""Anatomy""}]"	train
Blocking reagents for CD80, CD86, CD154, CD95, CD11a, CD50, or IL - 12, had no effect on the NK cell - induced TNF - alpha or IL - 12 p40 production, whereas a neutralizing antibody for IFN - gamma while not affecting TNF - alpha production partially blocked ( < 20%) IL - 12 p40 production induced by the NK cells ( Fig. 2 E).	NK cell,93,100,Anatomy	NK cells,306,314,Anatomy	"[{""token"": ""NK cell"", ""start_span"": 93, ""end_span"": 100, ""type"": ""Anatomy""}, {""token"": ""NK cells"", ""start_span"": 306, ""end_span"": 314, ""type"": ""Anatomy""}]"	train
This partial inhibition is consistent with numerous previous reports demonstrating a central role for an IL - 12 / IFN - gamma positive feedback loop active between NK cells and IL - 12 - producing cells ( 15 - 17).	NK cells,165,173,Anatomy	IL - 12 - producing cells,178,203,Anatomy	"[{""token"": ""NK cells"", ""start_span"": 165, ""end_span"": 173, ""type"": ""Anatomy""}, {""token"": ""IL - 12 - producing cells"", ""start_span"": 178, ""end_span"": 203, ""type"": ""Anatomy""}]"	train
Clearly, however, this well - described cytokine cross - talk mechanism is secondary to the contact - dependent activation of DCs by NK cells described here.	DCs,126,129,Anatomy	NK cells,133,141,Anatomy	"[{""token"": ""DCs"", ""start_span"": 126, ""end_span"": 129, ""type"": ""Anatomy""}, {""token"": ""NK cells"", ""start_span"": 133, ""end_span"": 141, ""type"": ""Anatomy""}]"	train
After 24 h, however, the presence of NK cells led to completely divergent effects on the DCs.	NK cells,37,45,Anatomy	DCs,89,92,Anatomy	"[{""token"": ""NK cells"", ""start_span"": 37, ""end_span"": 45, ""type"": ""Anatomy""}, {""token"": ""DCs"", ""start_span"": 89, ""end_span"": 92, ""type"": ""Anatomy""}]"	train
The equal ratio of NK / DC ( 1: 1) fell between these two extremes.	NK,19,21,Anatomy	DC,24,26,Anatomy	"[{""token"": ""NK"", ""start_span"": 19, ""end_span"": 21, ""type"": ""Anatomy""}, {""token"": ""DC"", ""start_span"": 24, ""end_span"": 26, ""type"": ""Anatomy""}]"	train
The NK cell - mediated lysis of the K562 targets increased at all ratios tested after the 24 - h incubation.	NK cell,4,11,Anatomy	K562,36,40,Anatomy	"[{""token"": ""NK cell"", ""start_span"": 4, ""end_span"": 11, ""type"": ""Anatomy""}, {""token"": ""K562"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Anatomy""}]"	train
Resting NK cells also readily formed conjugates with autologous iDCs ( data not shown).	NK cells,8,16,Anatomy	iDCs,64,68,Anatomy	"[{""token"": ""NK cells"", ""start_span"": 8, ""end_span"": 16, ""type"": ""Anatomy""}, {""token"": ""iDCs"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Anatomy""}]"	train
Therefore, we tested what effects activated NK cells mediated on DC maturation ( Fig. 4).	NK cells,44,52,Anatomy	DC,65,67,Anatomy	"[{""token"": ""NK cells"", ""start_span"": 44, ""end_span"": 52, ""type"": ""Anatomy""}, {""token"": ""DC"", ""start_span"": 65, ""end_span"": 67, ""type"": ""Anatomy""}]"	train
Activated / cultured NK cell - mediated maturation / death of DCs.	NK cell,21,28,Anatomy	DCs,62,65,Anatomy	"[{""token"": ""NK cell"", ""start_span"": 21, ""end_span"": 28, ""type"": ""Anatomy""}, {""token"": ""DCs"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Anatomy""}]"	train
A set of 40 clinical samples that were classified as EBV seropositive ( n = 16), seronegative ( n = 16) or potentially cross - reactive sera ( n = 8) were assessed for reactivity with Eb1 - 4 and H1 peptides individually.	samples,21,28,Anatomy	sera,136,140,Anatomy	"[{""token"": ""samples"", ""start_span"": 21, ""end_span"": 28, ""type"": ""Anatomy""}, {""token"": ""sera"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Anatomy""}]"	train
GATA - 3, a transcription factor specifically expressed in T helper 2 ( Th2) cells, plays a critical role in the differentiation of Th2 cells from uncommitted CD4 + lymphocytes.	Th2 cells,132,141,Anatomy	CD4 + lymphocytes,159,176,Anatomy	"[{""token"": ""Th2 cells"", ""start_span"": 132, ""end_span"": 141, ""type"": ""Anatomy""}, {""token"": ""CD4 + lymphocytes"", ""start_span"": 159, ""end_span"": 176, ""type"": ""Anatomy""}]"	train
Chicken CCN3 expression in embryonic and extraembryonic tissues	embryonic,27,36,Anatomy	extraembryonic tissues,41,63,Anatomy	"[{""token"": ""embryonic"", ""start_span"": 27, ""end_span"": 36, ""type"": ""Anatomy""}, {""token"": ""extraembryonic tissues"", ""start_span"": 41, ""end_span"": 63, ""type"": ""Anatomy""}]"	train
Expression of CCN3 mRNA in blood islands of chicken extraembryonic tissue ( HH stage 10) ( e).	blood islands,27,40,Anatomy	extraembryonic tissue,52,73,Anatomy	"[{""token"": ""blood islands"", ""start_span"": 27, ""end_span"": 40, ""type"": ""Anatomy""}, {""token"": ""extraembryonic tissue"", ""start_span"": 52, ""end_span"": 73, ""type"": ""Anatomy""}]"	train
