Sentence	entity_1	entity_2	entity_3	json	split
Ligation of heparan sulfate proteoglycans ( HSPGs) of endothelium with antithrombin ( AT) induces cellular signalling events that alter the cell ' s biochemical and functional responses to inflammatory stimuli ( e. g. bacterial lipopolysaccharide [ LPS]).	endothelium,54,65,Anatomy	cellular,98,106,Anatomy	cell,140,144,Anatomy	"[{""token"": ""endothelium"", ""start_span"": 54, ""end_span"": 65, ""type"": ""Anatomy""}, {""token"": ""cellular"", ""start_span"": 98, ""end_span"": 106, ""type"": ""Anatomy""}, {""token"": ""cell"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Anatomy""}]"	train
This study concluded that even though the accessibility of Western medicine for simple and complicated diseases is available, many people in the studied parts of Kancheepuram district is still continue to depend on medicinal plants, at least for the treatment of some simple diseases such as, cold, cough, fever, headache, poison bites, skin diseases and tooth infections.	poison,323,329,Anatomy	skin,337,341,Anatomy	tooth,355,360,Anatomy	"[{""token"": ""poison"", ""start_span"": 323, ""end_span"": 329, ""type"": ""Anatomy""}, {""token"": ""skin"", ""start_span"": 337, ""end_span"": 341, ""type"": ""Anatomy""}, {""token"": ""tooth"", ""start_span"": 355, ""end_span"": 360, ""type"": ""Anatomy""}]"	train
Treatment was discontinued for two months, and KS recurred, with pain and edema in both legs.	KS,47,49,Anatomy	edema,74,79,Anatomy	legs,88,92,Anatomy	"[{""token"": ""KS"", ""start_span"": 47, ""end_span"": 49, ""type"": ""Anatomy""}, {""token"": ""edema"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Anatomy""}, {""token"": ""legs"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Anatomy""}]"	train
On July 2002, with an almost 100% involvement of his lower limbs skin with KS but no visceral involvement he received 50 mg of liposomal - adriamycin.	lower limbs skin,53,69,Anatomy	KS,75,77,Anatomy	visceral,85,93,Anatomy	"[{""token"": ""lower limbs skin"", ""start_span"": 53, ""end_span"": 69, ""type"": ""Anatomy""}, {""token"": ""KS"", ""start_span"": 75, ""end_span"": 77, ""type"": ""Anatomy""}, {""token"": ""visceral"", ""start_span"": 85, ""end_span"": 93, ""type"": ""Anatomy""}]"	train
Kaposi ' s sarcoma progressions after chemotherapy withdrawal, both lower limbs were completely covered with Kaposi ' s Sarcoma ( June 2003).	Kaposi ' s sarcoma,0,18,Anatomy	lower limbs,68,79,Anatomy	Kaposi ' s Sarcoma,109,127,Anatomy	"[{""token"": ""Kaposi ' s sarcoma"", ""start_span"": 0, ""end_span"": 18, ""type"": ""Anatomy""}, {""token"": ""lower limbs"", ""start_span"": 68, ""end_span"": 79, ""type"": ""Anatomy""}, {""token"": ""Kaposi ' s Sarcoma"", ""start_span"": 109, ""end_span"": 127, ""type"": ""Anatomy""}]"	train
After four weeks of Imatinib, his health deteriorated rapidly, he developed anasarca, worsening of KS, his serum creatinine increased from 1. 4 mg / dl to 2. 3 mg / dl and he developed grade 4 granulocytopenia ( Figure 2).	anasarca,76,84,Anatomy	KS,99,101,Anatomy	serum,107,112,Anatomy	"[{""token"": ""anasarca"", ""start_span"": 76, ""end_span"": 84, ""type"": ""Anatomy""}, {""token"": ""KS"", ""start_span"": 99, ""end_span"": 101, ""type"": ""Anatomy""}, {""token"": ""serum"", ""start_span"": 107, ""end_span"": 112, ""type"": ""Anatomy""}]"	train
Extensive regression of Kaposi Sarcoma after immune - suppression was changed to Sirolimus, ( 14 months later), he only has hyperpigmented areas at knee levels, skin looks thin and delicate and easily bruised ( July 2006).	Kaposi Sarcoma,24,38,Anatomy	knee,148,152,Anatomy	skin,161,165,Anatomy	"[{""token"": ""Kaposi Sarcoma"", ""start_span"": 24, ""end_span"": 38, ""type"": ""Anatomy""}, {""token"": ""knee"", ""start_span"": 148, ""end_span"": 152, ""type"": ""Anatomy""}, {""token"": ""skin"", ""start_span"": 161, ""end_span"": 165, ""type"": ""Anatomy""}]"	train
In addition, the punctate staining of AP - 3 by immunofluorescence microscopy, its redistribution to the cytosol by BFA, and the reversibility of the BFA effect ( Dell ' Angelica et al., 1997a; Simpson et al., 1997) also indicate that AP - 3 can cycle between the cytosol and membranes.	cytosol,105,112,Anatomy	cytosol,264,271,Anatomy	membranes,276,285,Anatomy	"[{""token"": ""cytosol"", ""start_span"": 105, ""end_span"": 112, ""type"": ""Anatomy""}, {""token"": ""cytosol"", ""start_span"": 264, ""end_span"": 271, ""type"": ""Anatomy""}, {""token"": ""membranes"", ""start_span"": 276, ""end_span"": 285, ""type"": ""Anatomy""}]"	train
The sensitivity of AP - 3 to BFA in cells suggests that its membrane association may be regulated by ARF1, since BFA inhibits ARF1 guanine nucleotide exchange, and has been shown to prevent ARF1 membrane binding in vitro ( Donaldson et al., 1992; Helms and Rothman, 1992; Randazzo et al., 1993).	cells,36,41,Anatomy	membrane,60,68,Anatomy	membrane,195,203,Anatomy	"[{""token"": ""cells"", ""start_span"": 36, ""end_span"": 41, ""type"": ""Anatomy""}, {""token"": ""membrane"", ""start_span"": 60, ""end_span"": 68, ""type"": ""Anatomy""}, {""token"": ""membrane"", ""start_span"": 195, ""end_span"": 203, ""type"": ""Anatomy""}]"	train
In cell mixing experiments, the embryoid bodies were prefixed and stained for beta - galactosidase and the sections were counterstained with neutral red.	cell,3,7,Anatomy	embryoid bodies,32,47,Anatomy	sections,107,115,Anatomy	"[{""token"": ""cell"", ""start_span"": 3, ""end_span"": 7, ""type"": ""Anatomy""}, {""token"": ""embryoid bodies"", ""start_span"": 32, ""end_span"": 47, ""type"": ""Anatomy""}, {""token"": ""sections"", ""start_span"": 107, ""end_span"": 115, ""type"": ""Anatomy""}]"	train
