Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	json	split
Similar to our previous results with activated NK cells ( Figs. 2 and 3), addition of NK cells to the culture leads to opposing effects on the iDC population depending on the NK / DC ratio.	NK cells,47,55,Anatomy	NK cells,86,94,Anatomy	culture,102,109,Anatomy	iDC,143,146,Anatomy	NK,175,177,Anatomy	DC,180,182,Anatomy	"[{""token"": ""NK cells"", ""start_span"": 47, ""end_span"": 55, ""type"": ""Anatomy""}, {""token"": ""NK cells"", ""start_span"": 86, ""end_span"": 94, ""type"": ""Anatomy""}, {""token"": ""culture"", ""start_span"": 102, ""end_span"": 109, ""type"": ""Anatomy""}, {""token"": ""iDC"", ""start_span"": 143, ""end_span"": 146, ""type"": ""Anatomy""}, {""token"": ""NK"", ""start_span"": 175, ""end_span"": 177, ""type"": ""Anatomy""}, {""token"": ""DC"", ""start_span"": 180, ""end_span"": 182, ""type"": ""Anatomy""}]"	train
The atypia of the lining cells extended beyond the tumor front, showing a sharp demarcation with normal type I pneumocytes ( Figure 2 ( a)), a feature characteristic to nonmucinous adenocarcinoma in situ with lepidic growth pattern ( former bronchioloalveolar carcinoma, BAC) [ 3].	lining cells,18,30,Anatomy	tumor front,51,62,Anatomy	type I pneumocytes,104,122,Anatomy	nonmucinous adenocarcinoma in situ,169,203,Anatomy	bronchioloalveolar carcinoma,241,269,Anatomy	BAC,271,274,Anatomy	"[{""token"": ""lining cells"", ""start_span"": 18, ""end_span"": 30, ""type"": ""Anatomy""}, {""token"": ""tumor front"", ""start_span"": 51, ""end_span"": 62, ""type"": ""Anatomy""}, {""token"": ""type I pneumocytes"", ""start_span"": 104, ""end_span"": 122, ""type"": ""Anatomy""}, {""token"": ""nonmucinous adenocarcinoma in situ"", ""start_span"": 169, ""end_span"": 203, ""type"": ""Anatomy""}, {""token"": ""bronchioloalveolar carcinoma"", ""start_span"": 241, ""end_span"": 269, ""type"": ""Anatomy""}, {""token"": ""BAC"", ""start_span"": 271, ""end_span"": 274, ""type"": ""Anatomy""}]"	train
There were significant differences in s - VEGF between the RCC patients and the controls ( 207. 3 + / - 32. 9 vs. 71. 5 + / - 9. 1 pg / ml, mean + / - SE) ( P less than 0. 005), between the tumor - bearing renal veins and the contralateral ones ( P less than 0. 01), between the pre - and post - nephrectomy situations ( P less than 0. 01) and among the various parameters of tumor status such as tumor extent ( P less than 0. 001) and existence of metastasis ( P less than 0. 001).	RCC,59,62,Anatomy	tumor,190,195,Anatomy	renal veins,206,217,Anatomy	tumor,376,381,Anatomy	tumor,397,402,Anatomy	metastasis,449,459,Anatomy	"[{""token"": ""RCC"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Anatomy""}, {""token"": ""tumor"", ""start_span"": 190, ""end_span"": 195, ""type"": ""Anatomy""}, {""token"": ""renal veins"", ""start_span"": 206, ""end_span"": 217, ""type"": ""Anatomy""}, {""token"": ""tumor"", ""start_span"": 376, ""end_span"": 381, ""type"": ""Anatomy""}, {""token"": ""tumor"", ""start_span"": 397, ""end_span"": 402, ""type"": ""Anatomy""}, {""token"": ""metastasis"", ""start_span"": 449, ""end_span"": 459, ""type"": ""Anatomy""}]"	train
To this end, two candidate anti - angiogenic RNA - damaging agents, onconase and ( - 4) rhEDN, were screened for their effects on endothelial cell proliferation using three distinct types of endothelial cells in culture: HPV - 16 E6 / E7 - immortalized human umbilical vein endothelial cells ( HUVECs), a Kras - transformed HPV - 16 E6 / E7 HUVEC ( Rhim et al., Carcinogenesis 4, 673 - 681, 1998), and primary HUVECs.	endothelial cell,130,146,Anatomy	endothelial cells,191,208,Anatomy	human umbilical vein endothelial cells,253,291,Anatomy	HUVECs,294,300,Anatomy	HUVEC,341,346,Anatomy	HUVECs,410,416,Anatomy	"[{""token"": ""endothelial cell"", ""start_span"": 130, ""end_span"": 146, ""type"": ""Anatomy""}, {""token"": ""endothelial cells"", ""start_span"": 191, ""end_span"": 208, ""type"": ""Anatomy""}, {""token"": ""human umbilical vein endothelial cells"", ""start_span"": 253, ""end_span"": 291, ""type"": ""Anatomy""}, {""token"": ""HUVECs"", ""start_span"": 294, ""end_span"": 300, ""type"": ""Anatomy""}, {""token"": ""HUVEC"", ""start_span"": 341, ""end_span"": 346, ""type"": ""Anatomy""}, {""token"": ""HUVECs"", ""start_span"": 410, ""end_span"": 416, ""type"": ""Anatomy""}]"	train
Twenty - one patients underwent resection of the remnant stomach for RSC and were divided into two groups: the RSCB group consisted of 11 patients who underwent distal gastrectomy for benign disease and the RSCM group consisted of 10 patients who underwent gastrectomy for primary gastric cancer.	remnant stomach,49,64,Anatomy	RSC,69,72,Anatomy	RSCB,111,115,Anatomy	benign disease,184,198,Anatomy	RSCM,207,211,Anatomy	primary gastric cancer,273,295,Anatomy	"[{""token"": ""remnant stomach"", ""start_span"": 49, ""end_span"": 64, ""type"": ""Anatomy""}, {""token"": ""RSC"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Anatomy""}, {""token"": ""RSCB"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Anatomy""}, {""token"": ""benign disease"", ""start_span"": 184, ""end_span"": 198, ""type"": ""Anatomy""}, {""token"": ""RSCM"", ""start_span"": 207, ""end_span"": 211, ""type"": ""Anatomy""}, {""token"": ""primary gastric cancer"", ""start_span"": 273, ""end_span"": 295, ""type"": ""Anatomy""}]"	train
We describe a patient with mediastinal lymphomatous infiltration resulting in tracheal obstruction, esophageal obstruction, and tracheoesophageal fistula that were successfully palliated with combined airway and esophageal stent placement.	mediastinal lymphomatous,27,51,Anatomy	tracheal,78,86,Anatomy	esophageal,100,110,Anatomy	tracheoesophageal fistula,128,153,Anatomy	airway,201,207,Anatomy	esophageal,212,222,Anatomy	"[{""token"": ""mediastinal lymphomatous"", ""start_span"": 27, ""end_span"": 51, ""type"": ""Anatomy""}, {""token"": ""tracheal"", ""start_span"": 78, ""end_span"": 86, ""type"": ""Anatomy""}, {""token"": ""esophageal"", ""start_span"": 100, ""end_span"": 110, ""type"": ""Anatomy""}, {""token"": ""tracheoesophageal fistula"", ""start_span"": 128, ""end_span"": 153, ""type"": ""Anatomy""}, {""token"": ""airway"", ""start_span"": 201, ""end_span"": 207, ""type"": ""Anatomy""}, {""token"": ""esophageal"", ""start_span"": 212, ""end_span"": 222, ""type"": ""Anatomy""}]"	train
It involves endothelial cell activation, basal membrane degradation, leukocyte invasion, proliferation of vascular cells, neointima formation ( in most species studied), and changes of the extracellular matrix.	endothelial cell,12,28,Anatomy	basal membrane,41,55,Anatomy	leukocyte,69,78,Anatomy	vascular cells,106,120,Anatomy	neointima,122,131,Anatomy	extracellular matrix,189,209,Anatomy	"[{""token"": ""endothelial cell"", ""start_span"": 12, ""end_span"": 28, ""type"": ""Anatomy""}, {""token"": ""basal membrane"", ""start_span"": 41, ""end_span"": 55, ""type"": ""Anatomy""}, {""token"": ""leukocyte"", ""start_span"": 69, ""end_span"": 78, ""type"": ""Anatomy""}, {""token"": ""vascular cells"", ""start_span"": 106, ""end_span"": 120, ""type"": ""Anatomy""}, {""token"": ""neointima"", ""start_span"": 122, ""end_span"": 131, ""type"": ""Anatomy""}, {""token"": ""extracellular matrix"", ""start_span"": 189, ""end_span"": 209, ""type"": ""Anatomy""}]"	train
Bone destruction is primarily mediated by osteoclastic bone resorption, and cancer cells stimulate the formation and activation of osteoclasts next to metastatic foci.	Bone,0,4,Anatomy	osteoclastic,42,54,Anatomy	bone,55,59,Anatomy	cancer cells,76,88,Anatomy	osteoclasts,131,142,Anatomy	metastatic foci,151,166,Anatomy	"[{""token"": ""Bone"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Anatomy""}, {""token"": ""osteoclastic"", ""start_span"": 42, ""end_span"": 54, ""type"": ""Anatomy""}, {""token"": ""bone"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Anatomy""}, {""token"": ""cancer cells"", ""start_span"": 76, ""end_span"": 88, ""type"": ""Anatomy""}, {""token"": ""osteoclasts"", ""start_span"": 131, ""end_span"": 142, ""type"": ""Anatomy""}, {""token"": ""metastatic foci"", ""start_span"": 151, ""end_span"": 166, ""type"": ""Anatomy""}]"	train
This chapter focuses on the morphology of blood vessel formation in and around the early central nervous system ( CNS, i. e., brain and spinal cord) of avian embryos.	blood vessel,42,54,Anatomy	central nervous system,89,111,Anatomy	CNS,114,117,Anatomy	brain,126,131,Anatomy	spinal cord,136,147,Anatomy	embryos,158,165,Anatomy	"[{""token"": ""blood vessel"", ""start_span"": 42, ""end_span"": 54, ""type"": ""Anatomy""}, {""token"": ""central nervous system"", ""start_span"": 89, ""end_span"": 111, ""type"": ""Anatomy""}, {""token"": ""CNS"", ""start_span"": 114, ""end_span"": 117, ""type"": ""Anatomy""}, {""token"": ""brain"", ""start_span"": 126, ""end_span"": 131, ""type"": ""Anatomy""}, {""token"": ""spinal cord"", ""start_span"": 136, ""end_span"": 147, ""type"": ""Anatomy""}, {""token"": ""embryos"", ""start_span"": 158, ""end_span"": 165, ""type"": ""Anatomy""}]"	train
RESULTS: Because of typical signs of IOS ( iris neovascularization, mid - peripheral dot and blot hemorrhages in both eyes, narrowed arterioles in right eye, following examinations were performed: Doppler ultrasonography of carotid arteries, digital subtractional angiography of the carotid vessels and magnetic resonance angiography.	iris,43,47,Anatomy	eyes,118,122,Anatomy	arterioles,133,143,Anatomy	right eye,147,156,Anatomy	carotid arteries,224,240,Anatomy	carotid vessels,283,298,Anatomy	"[{""token"": ""iris"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Anatomy""}, {""token"": ""eyes"", ""start_span"": 118, ""end_span"": 122, ""type"": ""Anatomy""}, {""token"": ""arterioles"", ""start_span"": 133, ""end_span"": 143, ""type"": ""Anatomy""}, {""token"": ""right eye"", ""start_span"": 147, ""end_span"": 156, ""type"": ""Anatomy""}, {""token"": ""carotid arteries"", ""start_span"": 224, ""end_span"": 240, ""type"": ""Anatomy""}, {""token"": ""carotid vessels"", ""start_span"": 283, ""end_span"": 298, ""type"": ""Anatomy""}]"	train
