Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
( B) Contact - dependent stimulation of iDC TNF - alpha production by NK cells was tested under the following conditions: DCs alone ( gray bars); NK + DC ( 1: 5) ( black bars); NK / DC ( 1: 5) trans - wells ( striped bars).	iDC,40,43,Anatomy	NK cells,70,78,Anatomy	DCs,122,125,Anatomy	NK,146,148,Anatomy	DC,151,153,Anatomy	NK,177,179,Anatomy	DC,182,184,Anatomy	"[{""token"": ""iDC"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Anatomy""}, {""token"": ""NK cells"", ""start_span"": 70, ""end_span"": 78, ""type"": ""Anatomy""}, {""token"": ""DCs"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Anatomy""}, {""token"": ""NK"", ""start_span"": 146, ""end_span"": 148, ""type"": ""Anatomy""}, {""token"": ""DC"", ""start_span"": 151, ""end_span"": 153, ""type"": ""Anatomy""}, {""token"": ""NK"", ""start_span"": 177, ""end_span"": 179, ""type"": ""Anatomy""}, {""token"": ""DC"", ""start_span"": 182, ""end_span"": 184, ""type"": ""Anatomy""}]"	train
At the 5: 1 ( NK / DC) ratio, NK cell - mediated destruction of the iDCs was the dominant feature, whereas at the low ratio ( 1: 5) the same NK cells promoted iDCs survival compared with iDCs alone over the same period ( Fig. 3 A).	NK,14,16,Anatomy	DC,19,21,Anatomy	NK cell,30,37,Anatomy	iDCs,68,72,Anatomy	NK cells,141,149,Anatomy	iDCs,159,163,Anatomy	iDCs,187,191,Anatomy	"[{""token"": ""NK"", ""start_span"": 14, ""end_span"": 16, ""type"": ""Anatomy""}, {""token"": ""DC"", ""start_span"": 19, ""end_span"": 21, ""type"": ""Anatomy""}, {""token"": ""NK cell"", ""start_span"": 30, ""end_span"": 37, ""type"": ""Anatomy""}, {""token"": ""iDCs"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Anatomy""}, {""token"": ""NK cells"", ""start_span"": 141, ""end_span"": 149, ""type"": ""Anatomy""}, {""token"": ""iDCs"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Anatomy""}, {""token"": ""iDCs"", ""start_span"": 187, ""end_span"": 191, ""type"": ""Anatomy""}]"	train
There was local ulceration of the pleura, while, beyond this ulcer, the tumor formed a thick cake of discohesive tumor cells lining the pleural membrane ( Figure 2 ( c)), with only focal, microscopic invasion into the fatty tissue of the parietal pleura.	pleura,34,40,Anatomy	ulcer,61,66,Anatomy	tumor,72,77,Anatomy	discohesive tumor cells,101,124,Anatomy	pleural membrane,136,152,Anatomy	fatty tissue,218,230,Anatomy	parietal pleura,238,253,Anatomy	"[{""token"": ""pleura"", ""start_span"": 34, ""end_span"": 40, ""type"": ""Anatomy""}, {""token"": ""ulcer"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Anatomy""}, {""token"": ""tumor"", ""start_span"": 72, ""end_span"": 77, ""type"": ""Anatomy""}, {""token"": ""discohesive tumor cells"", ""start_span"": 101, ""end_span"": 124, ""type"": ""Anatomy""}, {""token"": ""pleural membrane"", ""start_span"": 136, ""end_span"": 152, ""type"": ""Anatomy""}, {""token"": ""fatty tissue"", ""start_span"": 218, ""end_span"": 230, ""type"": ""Anatomy""}, {""token"": ""parietal pleura"", ""start_span"": 238, ""end_span"": 253, ""type"": ""Anatomy""}]"	train
However, generalized and distinctive dietary patterns do exist, including olive oil as the main source of visible fat, employed both in cooking and as a dressing, moderate fish and poultry but low red meat consumption, high intake of vegetables, fruits, legumes, nuts, and whole - grain cereals [ 4, 14 - 16].	olive oil,74,83,Anatomy	fat,114,117,Anatomy	red meat,197,205,Anatomy	vegetables,234,244,Anatomy	fruits,246,252,Anatomy	legumes,254,261,Anatomy	nuts,263,267,Anatomy	"[{""token"": ""olive oil"", ""start_span"": 74, ""end_span"": 83, ""type"": ""Anatomy""}, {""token"": ""fat"", ""start_span"": 114, ""end_span"": 117, ""type"": ""Anatomy""}, {""token"": ""red meat"", ""start_span"": 197, ""end_span"": 205, ""type"": ""Anatomy""}, {""token"": ""vegetables"", ""start_span"": 234, ""end_span"": 244, ""type"": ""Anatomy""}, {""token"": ""fruits"", ""start_span"": 246, ""end_span"": 252, ""type"": ""Anatomy""}, {""token"": ""legumes"", ""start_span"": 254, ""end_span"": 261, ""type"": ""Anatomy""}, {""token"": ""nuts"", ""start_span"": 263, ""end_span"": 267, ""type"": ""Anatomy""}]"	train
F - 2 cells cultured on Matrigel showed evident tube formation, and coculture of F - 2 cells with A431 cells led to the formation of A431 cell nests constantly surrounded by tube - like networks consisting of F - 2 cells.	F - 2 cells,0,11,Anatomy	tube,48,52,Anatomy	F - 2 cells,81,92,Anatomy	A431 cells,98,108,Anatomy	A431 cell,133,142,Anatomy	tube - like networks,174,194,Anatomy	F - 2 cells,209,220,Anatomy	"[{""token"": ""F - 2 cells"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Anatomy""}, {""token"": ""tube"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Anatomy""}, {""token"": ""F - 2 cells"", ""start_span"": 81, ""end_span"": 92, ""type"": ""Anatomy""}, {""token"": ""A431 cells"", ""start_span"": 98, ""end_span"": 108, ""type"": ""Anatomy""}, {""token"": ""A431 cell"", ""start_span"": 133, ""end_span"": 142, ""type"": ""Anatomy""}, {""token"": ""tube - like networks"", ""start_span"": 174, ""end_span"": 194, ""type"": ""Anatomy""}, {""token"": ""F - 2 cells"", ""start_span"": 209, ""end_span"": 220, ""type"": ""Anatomy""}]"	train
The tumors of A431 supplemented with F - 2 cells were profoundly vascularized throughout by the tubular structures formed by F - 2 cells, the lumen of which contained the host rat blood cells.	tumors,4,10,Anatomy	A431,14,18,Anatomy	F - 2 cells,37,48,Anatomy	tubular structures,96,114,Anatomy	F - 2 cells,125,136,Anatomy	lumen,142,147,Anatomy	blood cells,180,191,Anatomy	"[{""token"": ""tumors"", ""start_span"": 4, ""end_span"": 10, ""type"": ""Anatomy""}, {""token"": ""A431"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Anatomy""}, {""token"": ""F - 2 cells"", ""start_span"": 37, ""end_span"": 48, ""type"": ""Anatomy""}, {""token"": ""tubular structures"", ""start_span"": 96, ""end_span"": 114, ""type"": ""Anatomy""}, {""token"": ""F - 2 cells"", ""start_span"": 125, ""end_span"": 136, ""type"": ""Anatomy""}, {""token"": ""lumen"", ""start_span"": 142, ""end_span"": 147, ""type"": ""Anatomy""}, {""token"": ""blood cells"", ""start_span"": 180, ""end_span"": 191, ""type"": ""Anatomy""}]"	train
These results indicate that the interaction of tumor cells and endothelial cells in orderly tumor angiomorphogenesis is highly dependent on the action of cell adhesion molecules mediating the adhesion of cancer cells to endothelial cells, inhibition of which remarkably retards tumor growth and angiogenesis.	tumor cells,47,58,Anatomy	endothelial cells,63,80,Anatomy	tumor,92,97,Anatomy	cell,154,158,Anatomy	cancer cells,204,216,Anatomy	endothelial cells,220,237,Anatomy	tumor,278,283,Anatomy	"[{""token"": ""tumor cells"", ""start_span"": 47, ""end_span"": 58, ""type"": ""Anatomy""}, {""token"": ""endothelial cells"", ""start_span"": 63, ""end_span"": 80, ""type"": ""Anatomy""}, {""token"": ""tumor"", ""start_span"": 92, ""end_span"": 97, ""type"": ""Anatomy""}, {""token"": ""cell"", ""start_span"": 154, ""end_span"": 158, ""type"": ""Anatomy""}, {""token"": ""cancer cells"", ""start_span"": 204, ""end_span"": 216, ""type"": ""Anatomy""}, {""token"": ""endothelial cells"", ""start_span"": 220, ""end_span"": 237, ""type"": ""Anatomy""}, {""token"": ""tumor"", ""start_span"": 278, ""end_span"": 283, ""type"": ""Anatomy""}]"	train
Leukocyte - vessel wall interactions were studied both within and outside small tumors growing in the ear, and in ear microvessels of mice with a large tumor growing on their flank.	Leukocyte,0,9,Anatomy	vessel wall,12,23,Anatomy	tumors,80,86,Anatomy	ear,102,105,Anatomy	ear microvessels,114,130,Anatomy	tumor,152,157,Anatomy	flank,175,180,Anatomy	"[{""token"": ""Leukocyte"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Anatomy""}, {""token"": ""vessel wall"", ""start_span"": 12, ""end_span"": 23, ""type"": ""Anatomy""}, {""token"": ""tumors"", ""start_span"": 80, ""end_span"": 86, ""type"": ""Anatomy""}, {""token"": ""ear"", ""start_span"": 102, ""end_span"": 105, ""type"": ""Anatomy""}, {""token"": ""ear microvessels"", ""start_span"": 114, ""end_span"": 130, ""type"": ""Anatomy""}, {""token"": ""tumor"", ""start_span"": 152, ""end_span"": 157, ""type"": ""Anatomy""}, {""token"": ""flank"", ""start_span"": 175, ""end_span"": 180, ""type"": ""Anatomy""}]"	train
METHODS: Expression of MMP - 9 was studied in human NPC cell lines cultured in vitro: CNE1 ( well differentiated cell line of NPC) and CNE1 - GL ( CNE1 cell line transfected with an eukaryotic LMP1 - expression plasmid) by SP immunohistochemistry and Western blot analysis.	NPC cell lines,52,66,Anatomy	CNE1,86,90,Anatomy	cell line,113,122,Anatomy	NPC,126,129,Anatomy	CNE1 - GL,135,144,Anatomy	CNE1 cell line,147,161,Anatomy	plasmid,211,218,Anatomy	"[{""token"": ""NPC cell lines"", ""start_span"": 52, ""end_span"": 66, ""type"": ""Anatomy""}, {""token"": ""CNE1"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Anatomy""}, {""token"": ""cell line"", ""start_span"": 113, ""end_span"": 122, ""type"": ""Anatomy""}, {""token"": ""NPC"", ""start_span"": 126, ""end_span"": 129, ""type"": ""Anatomy""}, {""token"": ""CNE1 - GL"", ""start_span"": 135, ""end_span"": 144, ""type"": ""Anatomy""}, {""token"": ""CNE1 cell line"", ""start_span"": 147, ""end_span"": 161, ""type"": ""Anatomy""}, {""token"": ""plasmid"", ""start_span"": 211, ""end_span"": 218, ""type"": ""Anatomy""}]"	train
In order to elucidate a mechanism for cancer - induced osteoclastogenesis, cells from a human breast cancer line, MDA - MB - 231, were directly co - cultured with ST2, MC3T3 - E1, or with primary mouse calvarial cells.	cancer,38,44,Anatomy	cells,75,80,Anatomy	breast cancer line,94,112,Anatomy	MDA - MB - 231,114,128,Anatomy	ST2,163,166,Anatomy	MC3T3 - E1,168,178,Anatomy	calvarial cells,202,217,Anatomy	"[{""token"": ""cancer"", ""start_span"": 38, ""end_span"": 44, ""type"": ""Anatomy""}, {""token"": ""cells"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Anatomy""}, {""token"": ""breast cancer line"", ""start_span"": 94, ""end_span"": 112, ""type"": ""Anatomy""}, {""token"": ""MDA - MB - 231"", ""start_span"": 114, ""end_span"": 128, ""type"": ""Anatomy""}, {""token"": ""ST2"", ""start_span"": 163, ""end_span"": 166, ""type"": ""Anatomy""}, {""token"": ""MC3T3 - E1"", ""start_span"": 168, ""end_span"": 178, ""type"": ""Anatomy""}, {""token"": ""calvarial cells"", ""start_span"": 202, ""end_span"": 217, ""type"": ""Anatomy""}]"	train
