Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	json	split
The motivational neural reward anticipation signal presumably activates the reward network including the amygdala, orbitofrontal cortex, the more ventral and dorsal striatum ( nucleus accumbens, putamen, and caudate), leading to an release of caudate / SNr inhibition on the executive oculomotor structure superior colliculus.	neural,17,23,Anatomy	amygdala,105,113,Anatomy	orbitofrontal cortex,115,135,Anatomy	ventral,146,153,Anatomy	dorsal striatum,158,173,Anatomy	nucleus accumbens,176,193,Anatomy	putamen,195,202,Anatomy	caudate,208,215,Anatomy	oculomotor structure superior colliculus,285,325,Anatomy	"[{""token"": ""neural"", ""start_span"": 17, ""end_span"": 23, ""type"": ""Anatomy""}, {""token"": ""amygdala"", ""start_span"": 105, ""end_span"": 113, ""type"": ""Anatomy""}, {""token"": ""orbitofrontal cortex"", ""start_span"": 115, ""end_span"": 135, ""type"": ""Anatomy""}, {""token"": ""ventral"", ""start_span"": 146, ""end_span"": 153, ""type"": ""Anatomy""}, {""token"": ""dorsal striatum"", ""start_span"": 158, ""end_span"": 173, ""type"": ""Anatomy""}, {""token"": ""nucleus accumbens"", ""start_span"": 176, ""end_span"": 193, ""type"": ""Anatomy""}, {""token"": ""putamen"", ""start_span"": 195, ""end_span"": 202, ""type"": ""Anatomy""}, {""token"": ""caudate"", ""start_span"": 208, ""end_span"": 215, ""type"": ""Anatomy""}, {""token"": ""oculomotor structure superior colliculus"", ""start_span"": 285, ""end_span"": 325, ""type"": ""Anatomy""}]"	train
AIF is required for oxidative phosphorylation and for the assembly and / or stabilization of respiratory complex I. 41 Upon induction of apoptosis, AIF is cleaved and released into the cytosol, where it translocates to the nucleus and mediates chromatin condensation and large - scale DNA fragmentation. 41 However, this well - known pro - apoptotic action of AIF is in conflict with the observation that AIF is essential for the maintenance of normal heart function and its inactivation results in dilated C. 42 Moreover, cardiac myocytes isolated from a mouse model with 80% reduction in AIF levels manifested increased cell death induced by oxidative stress, and the hearts of these mice displayed enhanced ischemic damage after in vivo I / R. 43 Although it has been described that AIF is released from cardiac myocyte mitochondria during I / R, its contribution to I / R - induced apoptosis was discounted. 38 However, AIF has been implicated in cardiac myocyte death induced by oxidative stress and HF. 44	cytosol,185,192,Anatomy	nucleus,223,230,Anatomy	chromatin,244,253,Anatomy	heart,452,457,Anatomy	cardiac myocytes,523,539,Anatomy	cell,622,626,Anatomy	hearts,670,676,Anatomy	cardiac myocyte mitochondria,807,835,Anatomy	cardiac myocyte,951,966,Anatomy	"[{""token"": ""cytosol"", ""start_span"": 185, ""end_span"": 192, ""type"": ""Anatomy""}, {""token"": ""nucleus"", ""start_span"": 223, ""end_span"": 230, ""type"": ""Anatomy""}, {""token"": ""chromatin"", ""start_span"": 244, ""end_span"": 253, ""type"": ""Anatomy""}, {""token"": ""heart"", ""start_span"": 452, ""end_span"": 457, ""type"": ""Anatomy""}, {""token"": ""cardiac myocytes"", ""start_span"": 523, ""end_span"": 539, ""type"": ""Anatomy""}, {""token"": ""cell"", ""start_span"": 622, ""end_span"": 626, ""type"": ""Anatomy""}, {""token"": ""hearts"", ""start_span"": 670, ""end_span"": 676, ""type"": ""Anatomy""}, {""token"": ""cardiac myocyte mitochondria"", ""start_span"": 807, ""end_span"": 835, ""type"": ""Anatomy""}, {""token"": ""cardiac myocyte"", ""start_span"": 951, ""end_span"": 966, ""type"": ""Anatomy""}]"	train
The tree / fruit can be divided into several anatomical compartments: ( 1) seed, ( 2) juice, ( 3) peel, ( 4) leaf, ( 5) flower, ( 6) bark, and ( 7) roots, each of which has interesting pharmacologic activity.	fruit,11,16,Anatomy	compartments,56,68,Anatomy	seed,75,79,Anatomy	juice,86,91,Anatomy	peel,98,102,Anatomy	leaf,109,113,Anatomy	flower,120,126,Anatomy	bark,133,137,Anatomy	roots,148,153,Anatomy	"[{""token"": ""fruit"", ""start_span"": 11, ""end_span"": 16, ""type"": ""Anatomy""}, {""token"": ""compartments"", ""start_span"": 56, ""end_span"": 68, ""type"": ""Anatomy""}, {""token"": ""seed"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Anatomy""}, {""token"": ""juice"", ""start_span"": 86, ""end_span"": 91, ""type"": ""Anatomy""}, {""token"": ""peel"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Anatomy""}, {""token"": ""leaf"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Anatomy""}, {""token"": ""flower"", ""start_span"": 120, ""end_span"": 126, ""type"": ""Anatomy""}, {""token"": ""bark"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Anatomy""}, {""token"": ""roots"", ""start_span"": 148, ""end_span"": 153, ""type"": ""Anatomy""}]"	train
In only 3 out of 13 cases, representing patients with adenocarcinomas of the stomach receiving chemotherapy, was ras p21 detected at elevated levels, whereas in patients with the following types of cancer no substantial change in serum ras p21 was observed; nine with breast, 5 colon, 5 lung, 5 ovarian and 5 hepatocellular carcinomas.	adenocarcinomas,54,69,Anatomy	stomach,77,84,Anatomy	cancer,198,204,Anatomy	serum,230,235,Anatomy	breast,268,274,Anatomy	colon,278,283,Anatomy	lung,287,291,Anatomy	ovarian,295,302,Anatomy	hepatocellular carcinomas,309,334,Anatomy	"[{""token"": ""adenocarcinomas"", ""start_span"": 54, ""end_span"": 69, ""type"": ""Anatomy""}, {""token"": ""stomach"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Anatomy""}, {""token"": ""cancer"", ""start_span"": 198, ""end_span"": 204, ""type"": ""Anatomy""}, {""token"": ""serum"", ""start_span"": 230, ""end_span"": 235, ""type"": ""Anatomy""}, {""token"": ""breast"", ""start_span"": 268, ""end_span"": 274, ""type"": ""Anatomy""}, {""token"": ""colon"", ""start_span"": 278, ""end_span"": 283, ""type"": ""Anatomy""}, {""token"": ""lung"", ""start_span"": 287, ""end_span"": 291, ""type"": ""Anatomy""}, {""token"": ""ovarian"", ""start_span"": 295, ""end_span"": 302, ""type"": ""Anatomy""}, {""token"": ""hepatocellular carcinomas"", ""start_span"": 309, ""end_span"": 334, ""type"": ""Anatomy""}]"	train
CSC - high cultures and tumors expressed increased levels of the proangiogenic factors vascular endothelial growth factor and stromal - derived factor 1, and when signaling by either factor was blocked, all aspects of angiogenesis observed in CSC - high cultures and tumors, including microvessel density, perfusion, EPC mobilization / recruitment, and stimulation of endothelial cell activity, were reduced to levels comparable with those observed in CSC - low cultures / tumors.	CSC - high cultures,0,19,Anatomy	tumors,24,30,Anatomy	CSC - high cultures,243,262,Anatomy	tumors,267,273,Anatomy	microvessel,285,296,Anatomy	EPC,317,320,Anatomy	endothelial cell,368,384,Anatomy	CSC - low cultures,452,470,Anatomy	tumors,473,479,Anatomy	"[{""token"": ""CSC - high cultures"", ""start_span"": 0, ""end_span"": 19, ""type"": ""Anatomy""}, {""token"": ""tumors"", ""start_span"": 24, ""end_span"": 30, ""type"": ""Anatomy""}, {""token"": ""CSC - high cultures"", ""start_span"": 243, ""end_span"": 262, ""type"": ""Anatomy""}, {""token"": ""tumors"", ""start_span"": 267, ""end_span"": 273, ""type"": ""Anatomy""}, {""token"": ""microvessel"", ""start_span"": 285, ""end_span"": 296, ""type"": ""Anatomy""}, {""token"": ""EPC"", ""start_span"": 317, ""end_span"": 320, ""type"": ""Anatomy""}, {""token"": ""endothelial cell"", ""start_span"": 368, ""end_span"": 384, ""type"": ""Anatomy""}, {""token"": ""CSC - low cultures"", ""start_span"": 452, ""end_span"": 470, ""type"": ""Anatomy""}, {""token"": ""tumors"", ""start_span"": 473, ""end_span"": 479, ""type"": ""Anatomy""}]"	valid
METHODS: The expression of five facilitative glucose transporters, Glut - 1 ( erythrocyte type), Glut - 2 ( liver type), Glut - 3 ( brain type), Glut - 4 ( muscle / fat type), and Glut - 5 ( small intestine type), was studied by immunohistochemistry of paraffin sections from 12 primary human breast cancers and 8 lymph node metastases from 2 patients.	erythrocyte,78,89,Anatomy	liver,108,113,Anatomy	brain,132,137,Anatomy	muscle,156,162,Anatomy	fat,165,168,Anatomy	small intestine,191,206,Anatomy	paraffin sections,253,270,Anatomy	primary human breast cancers,279,307,Anatomy	lymph node metastases,314,335,Anatomy	"[{""token"": ""erythrocyte"", ""start_span"": 78, ""end_span"": 89, ""type"": ""Anatomy""}, {""token"": ""liver"", ""start_span"": 108, ""end_span"": 113, ""type"": ""Anatomy""}, {""token"": ""brain"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Anatomy""}, {""token"": ""muscle"", ""start_span"": 156, ""end_span"": 162, ""type"": ""Anatomy""}, {""token"": ""fat"", ""start_span"": 165, ""end_span"": 168, ""type"": ""Anatomy""}, {""token"": ""small intestine"", ""start_span"": 191, ""end_span"": 206, ""type"": ""Anatomy""}, {""token"": ""paraffin sections"", ""start_span"": 253, ""end_span"": 270, ""type"": ""Anatomy""}, {""token"": ""primary human breast cancers"", ""start_span"": 279, ""end_span"": 307, ""type"": ""Anatomy""}, {""token"": ""lymph node metastases"", ""start_span"": 314, ""end_span"": 335, ""type"": ""Anatomy""}]"	valid
By comparing the signs of inflammation and the degree of hyperplasia of the enterochromaffin cells ( EC) in duodenal biopsies obtained from patients with presumed post - infectious functional dyspepsia ( PI - FD) and unspecified - onset functional dyspepsia ( U - FD), they showed that PI - FD is associated with persistence of focal T - cell aggregates, decrease in CD4 + cells and increased macrophage counts surrounding the crypts, without any significant differences in the numbers of EC or chromogranin A ( CA) - positive cells ( mast cells).	enterochromaffin cells,76,98,Anatomy	EC,101,103,Anatomy	duodenal biopsies,108,125,Anatomy	T - cell,334,342,Anatomy	CD4 + cells,367,378,Anatomy	macrophage,393,403,Anatomy	crypts,427,433,Anatomy	EC,489,491,Anatomy	mast cells,535,545,Anatomy	"[{""token"": ""enterochromaffin cells"", ""start_span"": 76, ""end_span"": 98, ""type"": ""Anatomy""}, {""token"": ""EC"", ""start_span"": 101, ""end_span"": 103, ""type"": ""Anatomy""}, {""token"": ""duodenal biopsies"", ""start_span"": 108, ""end_span"": 125, ""type"": ""Anatomy""}, {""token"": ""T - cell"", ""start_span"": 334, ""end_span"": 342, ""type"": ""Anatomy""}, {""token"": ""CD4 + cells"", ""start_span"": 367, ""end_span"": 378, ""type"": ""Anatomy""}, {""token"": ""macrophage"", ""start_span"": 393, ""end_span"": 403, ""type"": ""Anatomy""}, {""token"": ""crypts"", ""start_span"": 427, ""end_span"": 433, ""type"": ""Anatomy""}, {""token"": ""EC"", ""start_span"": 489, ""end_span"": 491, ""type"": ""Anatomy""}, {""token"": ""mast cells"", ""start_span"": 535, ""end_span"": 545, ""type"": ""Anatomy""}]"	test
Here, we discuss the possibility for MMPs to contribute to pericyte recruitment at six levels: ( 1) direct promotion of pericyte invasion by extracellular matrix degradation; ( 2) stimulation of pericyte proliferation and protection against apoptosis by modification of the ECM; ( 3) activation of pericytes through the release of growth factor bound to the ECM; ( 4) transactivation of angiogenic cell surface receptor; ( 5) propagation of angiogenic signalling as cofactor; and ( 6) recruitment of bone marrow - derived stem cells.	pericyte,59,67,Anatomy	pericyte,120,128,Anatomy	extracellular matrix,141,161,Anatomy	pericyte,195,203,Anatomy	ECM,274,277,Anatomy	pericytes,298,307,Anatomy	ECM,358,361,Anatomy	cell surface,398,410,Anatomy	bone marrow - derived stem cells,500,532,Anatomy	"[{""token"": ""pericyte"", ""start_span"": 59, ""end_span"": 67, ""type"": ""Anatomy""}, {""token"": ""pericyte"", ""start_span"": 120, ""end_span"": 128, ""type"": ""Anatomy""}, {""token"": ""extracellular matrix"", ""start_span"": 141, ""end_span"": 161, ""type"": ""Anatomy""}, {""token"": ""pericyte"", ""start_span"": 195, ""end_span"": 203, ""type"": ""Anatomy""}, {""token"": ""ECM"", ""start_span"": 274, ""end_span"": 277, ""type"": ""Anatomy""}, {""token"": ""pericytes"", ""start_span"": 298, ""end_span"": 307, ""type"": ""Anatomy""}, {""token"": ""ECM"", ""start_span"": 358, ""end_span"": 361, ""type"": ""Anatomy""}, {""token"": ""cell surface"", ""start_span"": 398, ""end_span"": 410, ""type"": ""Anatomy""}, {""token"": ""bone marrow - derived stem cells"", ""start_span"": 500, ""end_span"": 532, ""type"": ""Anatomy""}]"	test
Using CDTI, mean peak velocities of atrial contraction were measured from annular, mid and superior segments of lateral and septal walls of the left atrium and right atrium in the apical four - chamber view.	atrial,36,42,Anatomy	annular,74,81,Anatomy	mid,83,86,Anatomy	superior segments,91,108,Anatomy	lateral,112,119,Anatomy	septal walls,124,136,Anatomy	left atrium,144,155,Anatomy	right atrium,160,172,Anatomy	chamber,194,201,Anatomy	"[{""token"": ""atrial"", ""start_span"": 36, ""end_span"": 42, ""type"": ""Anatomy""}, {""token"": ""annular"", ""start_span"": 74, ""end_span"": 81, ""type"": ""Anatomy""}, {""token"": ""mid"", ""start_span"": 83, ""end_span"": 86, ""type"": ""Anatomy""}, {""token"": ""superior segments"", ""start_span"": 91, ""end_span"": 108, ""type"": ""Anatomy""}, {""token"": ""lateral"", ""start_span"": 112, ""end_span"": 119, ""type"": ""Anatomy""}, {""token"": ""septal walls"", ""start_span"": 124, ""end_span"": 136, ""type"": ""Anatomy""}, {""token"": ""left atrium"", ""start_span"": 144, ""end_span"": 155, ""type"": ""Anatomy""}, {""token"": ""right atrium"", ""start_span"": 160, ""end_span"": 172, ""type"": ""Anatomy""}, {""token"": ""chamber"", ""start_span"": 194, ""end_span"": 201, ""type"": ""Anatomy""}]"	test
Rather, it has been hypothesized that, at low concentrations, MBDs produce more subtle effects on microtubule dynamics, block critical cell signaling pathways, and prevent the microtubules from properly interacting with transient subcellular assemblies ( focal adhesions and adherens junctions) whose subsequent stabilization and / or maturation are required for cell motility and cell - cell interactions.	microtubule,98,109,Anatomy	cell,135,139,Anatomy	microtubules,176,188,Anatomy	subcellular assemblies,230,252,Anatomy	focal adhesions,255,270,Anatomy	adherens junctions,275,293,Anatomy	cell,363,367,Anatomy	cell,381,385,Anatomy	cell,388,392,Anatomy	"[{""token"": ""microtubule"", ""start_span"": 98, ""end_span"": 109, ""type"": ""Anatomy""}, {""token"": ""cell"", ""start_span"": 135, ""end_span"": 139, ""type"": ""Anatomy""}, {""token"": ""microtubules"", ""start_span"": 176, ""end_span"": 188, ""type"": ""Anatomy""}, {""token"": ""subcellular assemblies"", ""start_span"": 230, ""end_span"": 252, ""type"": ""Anatomy""}, {""token"": ""focal adhesions"", ""start_span"": 255, ""end_span"": 270, ""type"": ""Anatomy""}, {""token"": ""adherens junctions"", ""start_span"": 275, ""end_span"": 293, ""type"": ""Anatomy""}, {""token"": ""cell"", ""start_span"": 363, ""end_span"": 367, ""type"": ""Anatomy""}, {""token"": ""cell"", ""start_span"": 381, ""end_span"": 385, ""type"": ""Anatomy""}, {""token"": ""cell"", ""start_span"": 388, ""end_span"": 392, ""type"": ""Anatomy""}]"	test
