The secondary antibody used for both BrdU and nucleoli staining was a rhodamine ( tetra - methyl) - conjugated goat anti - mouse antibody ( T - 2762) from Molecular Probe ( Eugene, OR).	"nucleoli	46	54	Anatomy"	"[{""token"": ""nucleoli"", ""start_span"": 46, ""end_span"": 54, ""type"": ""Anatomy""}]"
The cells were examined in a Zeiss LSM 510 laser scanning microscope equipped with a Plan - Apochromate 63x / 1. 4 oil immersion objective.	"cells	4	9	Anatomy"	"[{""token"": ""cells"", ""start_span"": 4, ""end_span"": 9, ""type"": ""Anatomy""}]"
Certainly, the general population should not be exposed to chemotherapeutic agents that benefit cancer patients.	"cancer	96	102	Anatomy"	"[{""token"": ""cancer"", ""start_span"": 96, ""end_span"": 102, ""type"": ""Anatomy""}]"
"In the 1950s doctors prescribed DES to pregnant women to prevent miscarriage and premature births and to produce "" bigger and stronger babies "" even though DES had been shown to cause damage to reproductive tissues in animals ( Dinusson et al. 1948; Dunn and Green 1963; Takasugi and Bern 1964)."	"tissues	207	214	Anatomy"	"[{""token"": ""tissues"", ""start_span"": 207, ""end_span"": 214, ""type"": ""Anatomy""}]"
Inflammation - modulating effect of antithrombin on the endothelium.	"endothelium	56	67	Anatomy"	"[{""token"": ""endothelium"", ""start_span"": 56, ""end_span"": 67, ""type"": ""Anatomy""}]"
Changes include reduced release of inflammatory and procoagulatory mediators ( e. g. interleukin [ IL] - 1, IL - 6, tumour necrosis factor - alpha [ TNF]), tissue factor ( TF), adenosine diphosphate ( ADP) and cellular adhesion molecules ( not shown), as well as increased release of anticoagulatory prostacyclin ( prostaglandin [ PG] I) or CD39 / ATPDase.	"cellular	210	218	Anatomy"	"[{""token"": ""cellular"", ""start_span"": 210, ""end_span"": 218, ""type"": ""Anatomy""}]"
In neuronal tissue, protective mechanisms may by mediated via the release of calcitonin gene - related peptide and nitric oxide with the potential to affect prostacyclin release [ 55].	"neuronal tissue	3	18	Anatomy"	"[{""token"": ""neuronal tissue"", ""start_span"": 3, ""end_span"": 18, ""type"": ""Anatomy""}]"
Sometimes they are perceived like the tinnitus in patient ' s own head.	"head	66	70	Anatomy"	"[{""token"": ""head"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Anatomy""}]"
The patient is an 80 year old male with diabetes mellitus and hypertension, who at age 74 ( March 2001) had received a living non - related donor kidney transplant.	"kidney	146	152	Anatomy"	"[{""token"": ""kidney"", ""start_span"": 146, ""end_span"": 152, ""type"": ""Anatomy""}]"
He received 19 administrations of vincristine ( 1 mg) and bleomycin ( 15 mg) weekly that resulted in flattening and fading of the lesions.	"lesions	130	137	Anatomy"	"[{""token"": ""lesions"", ""start_span"": 130, ""end_span"": 137, ""type"": ""Anatomy""}]"
In May 2003 KS progression was observed and received radiotherapy with no benefit Figure 1.	"KS	12	14	Anatomy"	"[{""token"": ""KS"", ""start_span"": 12, ""end_span"": 14, ""type"": ""Anatomy""}]"
In August 2003 he started oral etoposide at 50 mg QD for two weeks followed by two weeks off until May 2004 achieving a very slow 50% response.	"oral	26	30	Anatomy"	"[{""token"": ""oral"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Anatomy""}]"
Tolerance was good and serum creatinine remain stable at around 1, 4 mg / dl.	"serum	23	28	Anatomy"	"[{""token"": ""serum"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Anatomy""}]"
The patient was hospitalized with fever and was started on IV antibiotics and daily G - CSF for four days after which his WBC count normalized.	"WBC	122	125	Anatomy"	"[{""token"": ""WBC"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Anatomy""}]"
After three courses with no clinical benefit he developed a skin rash that prompted discontinuation.	"skin	60	64	Anatomy"	"[{""token"": ""skin"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Anatomy""}]"
Thereafter his clinical course has been satisfactory with continuous and progressive regression of KS lesions ( Figure 3).	"KS lesions	99	109	Anatomy"	"[{""token"": ""KS lesions"", ""start_span"": 99, ""end_span"": 109, ""type"": ""Anatomy""}]"
His serum creatinine has remained under 1. 6 mg / dl and he has not developed new infectious episodes.	"serum	4	9	Anatomy"	"[{""token"": ""serum"", ""start_span"": 4, ""end_span"": 9, ""type"": ""Anatomy""}]"
C2C12 cells grown in 8 - chamber slides ( Nunc) were fixed in 4% PFA / PBS for 10 min and permeabilized in 0. 1% Triton X - 100 for 20 min.	"C2C12 cells	0	11	Anatomy"	"[{""token"": ""C2C12 cells"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Anatomy""}]"
The fixed and permeabilized cells were blocked in PBS containing 3% BSA ( Jackson ImmunoResearch Laboratories) and incubated overnight at 4degreesC with primary antibodies in blocking solution.	"cells	28	33	Anatomy"	"[{""token"": ""cells"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Anatomy""}]"
1 - 4 - mum sections were cut with a glass knife.	"sections	12	20	Anatomy"	"[{""token"": ""sections"", ""start_span"": 12, ""end_span"": 20, ""type"": ""Anatomy""}]"
For cytology, the sections were stained with toluidine blue.	"sections	18	26	Anatomy"	"[{""token"": ""sections"", ""start_span"": 18, ""end_span"": 26, ""type"": ""Anatomy""}]"
Teratocarcinomas were fixed in Bouin fixative, embedded in Paraplast, and the sections were stained with hematoxylin and eosin.	"sections	78	86	Anatomy"	"[{""token"": ""sections"", ""start_span"": 78, ""end_span"": 86, ""type"": ""Anatomy""}]"
Therefore, we used TNF - alpha production as a readout for DC stimulation in our culture system.	"DC	59	61	Anatomy"	"[{""token"": ""DC"", ""start_span"": 59, ""end_span"": 61, ""type"": ""Anatomy""}]"
After culture the supernatants were removed and analyzed by ELISA for TNF - alpha or IL - 12 p40.	"supernatants	18	30	Anatomy"	"[{""token"": ""supernatants"", ""start_span"": 18, ""end_span"": 30, ""type"": ""Anatomy""}]"
LPS concentrations used were: 0, 10, and 1, 000 ng / ml ( DCs alone only).	"DCs	58	61	Anatomy"	"[{""token"": ""DCs"", ""start_span"": 58, ""end_span"": 61, ""type"": ""Anatomy""}]"
LPS concentrations used were: 0 ng / ml ( *); 20 ng / ml ( *); 50 ng / ml ( ^); and 1, 000 ng / ml - LPS ( *) ( DCs alone only).	"DCs	112	115	Anatomy"	"[{""token"": ""DCs"", ""start_span"": 112, ""end_span"": 115, ""type"": ""Anatomy""}]"
The results are representative of four experiments performed with activated NK cells.	"NK cells	76	84	Anatomy"	"[{""token"": ""NK cells"", ""start_span"": 76, ""end_span"": 84, ""type"": ""Anatomy""}]"
Moreover, addition of blocking reagents for CD80, CD86, CD154, CD95, CD11a, CD50, IL - 12, IFN - gamma, IFN - alpha, or IFN - beta had no effect on the NK - induced maturation ( data not shown).	"NK	152	154	Anatomy"	"[{""token"": ""NK"", ""start_span"": 152, ""end_span"": 154, ""type"": ""Anatomy""}]"
1 and the histograms are shown for DCs cultured in the presence ( C, F, I, and L) or absence ( B, E, H, and K) of 1 ng / ml of LPS.	"DCs	35	38	Anatomy"	"[{""token"": ""DCs"", ""start_span"": 35, ""end_span"": 38, ""type"": ""Anatomy""}]"
CD86 staining of the DC subset was performed as in Figs.	"DC	21	23	Anatomy"	"[{""token"": ""DC"", ""start_span"": 21, ""end_span"": 23, ""type"": ""Anatomy""}]"
Most interestingly, transgenic RB plants did not show total immunity to late blight, but instead showed a marked delay in both onset of symptoms and development of lesions.	"lesions	164	171	Anatomy"	"[{""token"": ""lesions"", ""start_span"": 164, ""end_span"": 171, ""type"": ""Anatomy""}]"
Based on the uterine weight, we determined seven unsuccessful OVXs.	"uterine	13	20	Anatomy"	"[{""token"": ""uterine"", ""start_span"": 13, ""end_span"": 20, ""type"": ""Anatomy""}]"
The OVX group without treatment showed large changes in structural parameters, indicating the development of OVX - induced bone loss ( Figs. 1 and 2).	"bone	123	127	Anatomy"	"[{""token"": ""bone"", ""start_span"": 123, ""end_span"": 127, ""type"": ""Anatomy""}]"
