Synaptic potentials were evoked by electric shocks ( intracortical or thalamocortical connections) or by means of sensory ( visual or whisker) stimulation.	"Synaptic	0	8	Anatomy"	"intracortical	53	66	Anatomy"	"thalamocortical	70	85	Anatomy"	"whisker	134	141	Anatomy"	"[{""token"": ""Synaptic"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Anatomy""}, {""token"": ""intracortical"", ""start_span"": 53, ""end_span"": 66, ""type"": ""Anatomy""}, {""token"": ""thalamocortical"", ""start_span"": 70, ""end_span"": 85, ""type"": ""Anatomy""}, {""token"": ""whisker"", ""start_span"": 134, ""end_span"": 141, ""type"": ""Anatomy""}]"
Vitamin A, also known as retinol, participates in physiological activities related to the immune system, maintenance of epithelial and mucosa tissues, growth, reproduction, and bone development.	"immune system	90	103	Anatomy"	"epithelial	120	130	Anatomy"	"mucosa tissues	135	149	Anatomy"	"bone	177	181	Anatomy"	"[{""token"": ""immune system"", ""start_span"": 90, ""end_span"": 103, ""type"": ""Anatomy""}, {""token"": ""epithelial"", ""start_span"": 120, ""end_span"": 130, ""type"": ""Anatomy""}, {""token"": ""mucosa tissues"", ""start_span"": 135, ""end_span"": 149, ""type"": ""Anatomy""}, {""token"": ""bone"", ""start_span"": 177, ""end_span"": 181, ""type"": ""Anatomy""}]"
This seems logical: a flat PCL can be recruited more easily whereas knees with a steep PCL might already be tensioned at 100 N so that a further increase in PCL elevation angle would be hard to achieve.	"PCL	27	30	Anatomy"	"knees	68	73	Anatomy"	"PCL	87	90	Anatomy"	"PCL	157	160	Anatomy"	"[{""token"": ""PCL"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Anatomy""}, {""token"": ""knees"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Anatomy""}, {""token"": ""PCL"", ""start_span"": 87, ""end_span"": 90, ""type"": ""Anatomy""}, {""token"": ""PCL"", ""start_span"": 157, ""end_span"": 160, ""type"": ""Anatomy""}]"
( b) Optical coherence tomography ( OCT) shows retinal detachment involving the fovea and cystic change of inner retina.	"retinal	47	54	Anatomy"	"fovea	80	85	Anatomy"	"cystic	90	96	Anatomy"	"inner retina	107	119	Anatomy"	"[{""token"": ""retinal"", ""start_span"": 47, ""end_span"": 54, ""type"": ""Anatomy""}, {""token"": ""fovea"", ""start_span"": 80, ""end_span"": 85, ""type"": ""Anatomy""}, {""token"": ""cystic"", ""start_span"": 90, ""end_span"": 96, ""type"": ""Anatomy""}, {""token"": ""inner retina"", ""start_span"": 107, ""end_span"": 119, ""type"": ""Anatomy""}]"
Addition of human recombinant interleukin 6 ( IL - 6) to culture medium ( supplemented MEM without or with 10% fetal calf serum ( FCS)) of human skin fibroblasts exerted a stimulating effect in a dose - dependent manner on glycosaminoglycan ( GAG) synthesis, including hyaluronic acid ( hyaluronan) synthesis, of young ( phase - II) skin fibroblasts in concentrations of 1 ng / ml and 10 ng / ml.	"fetal calf serum	111	127	Anatomy"	"FCS	130	133	Anatomy"	"skin fibroblasts	145	161	Anatomy"	"skin fibroblasts	333	349	Anatomy"	"[{""token"": ""fetal calf serum"", ""start_span"": 111, ""end_span"": 127, ""type"": ""Anatomy""}, {""token"": ""FCS"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Anatomy""}, {""token"": ""skin fibroblasts"", ""start_span"": 145, ""end_span"": 161, ""type"": ""Anatomy""}, {""token"": ""skin fibroblasts"", ""start_span"": 333, ""end_span"": 349, ""type"": ""Anatomy""}]"
Extracellular superoxide dismutase ( EC - SOD), which scavenges extracellular superoxide ( O.), is highly regulated in the developing lung.	"Extracellular	0	13	Anatomy"	"EC	37	39	Anatomy"	"extracellular	64	77	Anatomy"	"lung	134	138	Anatomy"	"[{""token"": ""Extracellular"", ""start_span"": 0, ""end_span"": 13, ""type"": ""Anatomy""}, {""token"": ""EC"", ""start_span"": 37, ""end_span"": 39, ""type"": ""Anatomy""}, {""token"": ""extracellular"", ""start_span"": 64, ""end_span"": 77, ""type"": ""Anatomy""}, {""token"": ""lung"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Anatomy""}]"
PURPOSE: To evaluate alterations in the retinal vasculature overlying pigment epithelial detachments ( PED) in exudative age - related macular degeneration ( ARMD) using indocyanine green and fluorescein angiography.	"retinal vasculature	40	59	Anatomy"	"pigment epithelial detachments	70	100	Anatomy"	"PED	103	106	Anatomy"	"macular	135	142	Anatomy"	"[{""token"": ""retinal vasculature"", ""start_span"": 40, ""end_span"": 59, ""type"": ""Anatomy""}, {""token"": ""pigment epithelial detachments"", ""start_span"": 70, ""end_span"": 100, ""type"": ""Anatomy""}, {""token"": ""PED"", ""start_span"": 103, ""end_span"": 106, ""type"": ""Anatomy""}, {""token"": ""macular"", ""start_span"": 135, ""end_span"": 142, ""type"": ""Anatomy""}]"
Control RM - 9 cells and RM - 9 cells stably transfected with IL - 12 gene ( RM - 9 - IL12) were inoculated subcutaneously in 4 - to 6 - week - old male C57BL / J6 mice.	"RM - 9 cells	8	20	Anatomy"	"RM - 9 cells	25	37	Anatomy"	"RM - 9 - IL12	77	90	Anatomy"	"subcutaneously	108	122	Anatomy"	"[{""token"": ""RM - 9 cells"", ""start_span"": 8, ""end_span"": 20, ""type"": ""Anatomy""}, {""token"": ""RM - 9 cells"", ""start_span"": 25, ""end_span"": 37, ""type"": ""Anatomy""}, {""token"": ""RM - 9 - IL12"", ""start_span"": 77, ""end_span"": 90, ""type"": ""Anatomy""}, {""token"": ""subcutaneously"", ""start_span"": 108, ""end_span"": 122, ""type"": ""Anatomy""}]"
We investigated the mechanism by which ephrin - B1 promotes membrane ruffling in human aortic endothelial cells, because membrane ruffling heralds cell body migration.	"membrane	60	68	Anatomy"	"aortic endothelial cells	87	111	Anatomy"	"membrane	121	129	Anatomy"	"cell body	147	156	Anatomy"	"[{""token"": ""membrane"", ""start_span"": 60, ""end_span"": 68, ""type"": ""Anatomy""}, {""token"": ""aortic endothelial cells"", ""start_span"": 87, ""end_span"": 111, ""type"": ""Anatomy""}, {""token"": ""membrane"", ""start_span"": 121, ""end_span"": 129, ""type"": ""Anatomy""}, {""token"": ""cell body"", ""start_span"": 147, ""end_span"": 156, ""type"": ""Anatomy""}]"
Serum deprivation - induced apoptosis of BHK ( + TF) cells was characterized by apoptotic blebs, nuclei with chromatin - condensed bodies, DNA degradation, and activation of caspase 3.	"Serum	0	5	Anatomy"	"blebs	90	95	Anatomy"	"nuclei	97	103	Anatomy"	"chromatin	109	118	Anatomy"	"[{""token"": ""Serum"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Anatomy""}, {""token"": ""blebs"", ""start_span"": 90, ""end_span"": 95, ""type"": ""Anatomy""}, {""token"": ""nuclei"", ""start_span"": 97, ""end_span"": 103, ""type"": ""Anatomy""}, {""token"": ""chromatin"", ""start_span"": 109, ""end_span"": 118, ""type"": ""Anatomy""}]"
