Twenty - nine neurons recorded from ferret cortical slices are included in this study ( 22 regular spiking ( RS); 5 chattering ( CH) and 2 intrinsic bursting ( IB)), 27 neurons from cat visual cortex in vivo ( 14 RS; 5 CH; 2 IB; 3 fast spiking ( FS); plus 3 non classified) and 14 neurons from rat barrel cortex in vivo ( 12 RS; 1 CH; 1 IB).	"neurons	14	21	Anatomy"	"cortical slices	43	58	Anatomy"	"neurons	169	176	Anatomy"	"visual cortex	186	199	Anatomy"	"neurons	281	288	Anatomy"	"barrel cortex	298	311	Anatomy"	"[{""token"": ""neurons"", ""start_span"": 14, ""end_span"": 21, ""type"": ""Anatomy""}, {""token"": ""cortical slices"", ""start_span"": 43, ""end_span"": 58, ""type"": ""Anatomy""}, {""token"": ""neurons"", ""start_span"": 169, ""end_span"": 176, ""type"": ""Anatomy""}, {""token"": ""visual cortex"", ""start_span"": 186, ""end_span"": 199, ""type"": ""Anatomy""}, {""token"": ""neurons"", ""start_span"": 281, ""end_span"": 288, ""type"": ""Anatomy""}, {""token"": ""barrel cortex"", ""start_span"": 298, ""end_span"": 311, ""type"": ""Anatomy""}]"
It comes from animal sources, such as eggs, meat, milk, cheese, cream, liver, kidney, cod and halibut fish oil.	"eggs	38	42	Anatomy"	"meat	44	48	Anatomy"	"milk	50	54	Anatomy"	"liver	71	76	Anatomy"	"kidney	78	84	Anatomy"	"oil	107	110	Anatomy"	"[{""token"": ""eggs"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Anatomy""}, {""token"": ""meat"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Anatomy""}, {""token"": ""milk"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Anatomy""}, {""token"": ""liver"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Anatomy""}, {""token"": ""kidney"", ""start_span"": 78, ""end_span"": 84, ""type"": ""Anatomy""}, {""token"": ""oil"", ""start_span"": 107, ""end_span"": 110, ""type"": ""Anatomy""}]"
This result was to be expected; when the gap between the tibia and femur was increased, the increase in PCL tension resulted in the tibia pivoting around the femoral insertion of the PCL.	"tibia	57	62	Anatomy"	"femur	67	72	Anatomy"	"PCL	104	107	Anatomy"	"tibia	132	137	Anatomy"	"femoral	158	165	Anatomy"	"PCL	183	186	Anatomy"	"[{""token"": ""tibia"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Anatomy""}, {""token"": ""femur"", ""start_span"": 67, ""end_span"": 72, ""type"": ""Anatomy""}, {""token"": ""PCL"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Anatomy""}, {""token"": ""tibia"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Anatomy""}, {""token"": ""femoral"", ""start_span"": 158, ""end_span"": 165, ""type"": ""Anatomy""}, {""token"": ""PCL"", ""start_span"": 183, ""end_span"": 186, ""type"": ""Anatomy""}]"
This restriction enzyme site polymorphism along with the sequence variations were also observed in 50 biopsy tissues as well as in the throat washings of 6 out of 20 healthy individuals that we examined, indicating that the EBV strain predominantly existing in these biopsy tissues was different from strains of B95 - 8, Jijoye or nude mouse passaged cells ( C15) with an African origin, but closely resembled other nude mouse passaged CAO cells which were originally derived from China.	"biopsy tissues	102	116	Anatomy"	"throat	135	141	Anatomy"	"biopsy tissues	267	281	Anatomy"	"cells	351	356	Anatomy"	"C15	359	362	Anatomy"	"CAO cells	436	445	Anatomy"	"[{""token"": ""biopsy tissues"", ""start_span"": 102, ""end_span"": 116, ""type"": ""Anatomy""}, {""token"": ""throat"", ""start_span"": 135, ""end_span"": 141, ""type"": ""Anatomy""}, {""token"": ""biopsy tissues"", ""start_span"": 267, ""end_span"": 281, ""type"": ""Anatomy""}, {""token"": ""cells"", ""start_span"": 351, ""end_span"": 356, ""type"": ""Anatomy""}, {""token"": ""C15"", ""start_span"": 359, ""end_span"": 362, ""type"": ""Anatomy""}, {""token"": ""CAO cells"", ""start_span"": 436, ""end_span"": 445, ""type"": ""Anatomy""}]"
CONCLUSION: Not only tumor cells but also TAMs secrete the VEGF - C in OSCC, and TAMs may play a major role in peritumoral lymphatic neoangiogenesis and lymphatic metastasis.	"tumor cells	21	32	Anatomy"	"TAMs	42	46	Anatomy"	"OSCC	71	75	Anatomy"	"TAMs	81	85	Anatomy"	"peritumoral lymphatic	111	132	Anatomy"	"lymphatic	153	162	Anatomy"	"[{""token"": ""tumor cells"", ""start_span"": 21, ""end_span"": 32, ""type"": ""Anatomy""}, {""token"": ""TAMs"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Anatomy""}, {""token"": ""OSCC"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Anatomy""}, {""token"": ""TAMs"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Anatomy""}, {""token"": ""peritumoral lymphatic"", ""start_span"": 111, ""end_span"": 132, ""type"": ""Anatomy""}, {""token"": ""lymphatic"", ""start_span"": 153, ""end_span"": 162, ""type"": ""Anatomy""}]"
Before treatment, the median level of WBC was 4. 3 x 10 ( 9) / L and the detection rate of abnormal promyelocyte on blood film was 85. 8%; with immunophenotypic detection, the expression levels of CD117, CD34, HLA - DR, CD7, CD14 and CD19 in APL were found to be lower and the expression levels of CD2, CD33 and MPO higher than those in other subtypes of acute myelocytic leukemia ( AML) ( both P < 0. 01).	"WBC	38	41	Anatomy"	"promyelocyte	100	112	Anatomy"	"blood	116	121	Anatomy"	"APL	242	245	Anatomy"	"acute myelocytic leukemia	355	380	Anatomy"	"AML	383	386	Anatomy"	"[{""token"": ""WBC"", ""start_span"": 38, ""end_span"": 41, ""type"": ""Anatomy""}, {""token"": ""promyelocyte"", ""start_span"": 100, ""end_span"": 112, ""type"": ""Anatomy""}, {""token"": ""blood"", ""start_span"": 116, ""end_span"": 121, ""type"": ""Anatomy""}, {""token"": ""APL"", ""start_span"": 242, ""end_span"": 245, ""type"": ""Anatomy""}, {""token"": ""acute myelocytic leukemia"", ""start_span"": 355, ""end_span"": 380, ""type"": ""Anatomy""}, {""token"": ""AML"", ""start_span"": 383, ""end_span"": 386, ""type"": ""Anatomy""}]"
Surgical specimens from 20 cases of OSCC with lymph node metastasis, 20 cases of OSCC without lymph node metastasis, and 10 cases of normal mucosa were examined by immunohistochemistry.	"Surgical specimens	0	18	Anatomy"	"OSCC	36	40	Anatomy"	"lymph node	46	56	Anatomy"	"OSCC	81	85	Anatomy"	"lymph node	94	104	Anatomy"	"mucosa	140	146	Anatomy"	"[{""token"": ""Surgical specimens"", ""start_span"": 0, ""end_span"": 18, ""type"": ""Anatomy""}, {""token"": ""OSCC"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Anatomy""}, {""token"": ""lymph node"", ""start_span"": 46, ""end_span"": 56, ""type"": ""Anatomy""}, {""token"": ""OSCC"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Anatomy""}, {""token"": ""lymph node"", ""start_span"": 94, ""end_span"": 104, ""type"": ""Anatomy""}, {""token"": ""mucosa"", ""start_span"": 140, ""end_span"": 146, ""type"": ""Anatomy""}]"
The enkephalin - ir cells and fibers in entorhinal / perirhinal cortex, which innervate rat hippocampus and dentate gyrus, do not contain dynorphin - ir.	"enkephalin - ir cells	4	25	Anatomy"	"fibers	30	36	Anatomy"	"entorhinal	40	50	Anatomy"	"perirhinal cortex	53	70	Anatomy"	"hippocampus	92	103	Anatomy"	"dentate gyrus	108	121	Anatomy"	"[{""token"": ""enkephalin - ir cells"", ""start_span"": 4, ""end_span"": 25, ""type"": ""Anatomy""}, {""token"": ""fibers"", ""start_span"": 30, ""end_span"": 36, ""type"": ""Anatomy""}, {""token"": ""entorhinal"", ""start_span"": 40, ""end_span"": 50, ""type"": ""Anatomy""}, {""token"": ""perirhinal cortex"", ""start_span"": 53, ""end_span"": 70, ""type"": ""Anatomy""}, {""token"": ""hippocampus"", ""start_span"": 92, ""end_span"": 103, ""type"": ""Anatomy""}, {""token"": ""dentate gyrus"", ""start_span"": 108, ""end_span"": 121, ""type"": ""Anatomy""}]"
Each consists of repetitive cycles of interaction with adjacent extracellular matrix components by mediating cellular adhesion, matrix dissolution, and cellular motility to achieve metastasis of cancer cells or neovascularization of tumors.	"extracellular matrix components	64	95	Anatomy"	"cellular	109	117	Anatomy"	"matrix	128	134	Anatomy"	"cellular	152	160	Anatomy"	"cancer cells	195	207	Anatomy"	"tumors	233	239	Anatomy"	"[{""token"": ""extracellular matrix components"", ""start_span"": 64, ""end_span"": 95, ""type"": ""Anatomy""}, {""token"": ""cellular"", ""start_span"": 109, ""end_span"": 117, ""type"": ""Anatomy""}, {""token"": ""matrix"", ""start_span"": 128, ""end_span"": 134, ""type"": ""Anatomy""}, {""token"": ""cellular"", ""start_span"": 152, ""end_span"": 160, ""type"": ""Anatomy""}, {""token"": ""cancer cells"", ""start_span"": 195, ""end_span"": 207, ""type"": ""Anatomy""}, {""token"": ""tumors"", ""start_span"": 233, ""end_span"": 239, ""type"": ""Anatomy""}]"
This transporter was expressed on the cell membrane and in the cytoplasm of the tumor cells, but exhibited marked intratumoral and intertumoral variability in the proportions of positive cells and the intensity of staining.	"cell membrane	38	51	Anatomy"	"cytoplasm	63	72	Anatomy"	"tumor cells	80	91	Anatomy"	"intratumoral	114	126	Anatomy"	"intertumoral	131	143	Anatomy"	"cells	187	192	Anatomy"	"[{""token"": ""cell membrane"", ""start_span"": 38, ""end_span"": 51, ""type"": ""Anatomy""}, {""token"": ""cytoplasm"", ""start_span"": 63, ""end_span"": 72, ""type"": ""Anatomy""}, {""token"": ""tumor cells"", ""start_span"": 80, ""end_span"": 91, ""type"": ""Anatomy""}, {""token"": ""intratumoral"", ""start_span"": 114, ""end_span"": 126, ""type"": ""Anatomy""}, {""token"": ""intertumoral"", ""start_span"": 131, ""end_span"": 143, ""type"": ""Anatomy""}, {""token"": ""cells"", ""start_span"": 187, ""end_span"": 192, ""type"": ""Anatomy""}]"
