Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	json	split
We couldn ' t detect any effect of n - 3 FA supplementation on total cholesterol, HDL cholesterol, LDL cholesterol, apo A1, Lp ( a), HbA1C, glucose, fibrinogen, factor VIII, antithrombin III, plasminogen activator inhibitor, tissue plasminogen activator and von Willebrand factor concentration, on bleeding time or on systolic or diastolic blood pressure.	HDL cholesterol,82,97,Gene/Protein	LDL cholesterol,99,114,Gene/Protein	apo A1,116,122,Gene/Protein	HbA1C,133,138,Gene/Protein	fibrinogen,149,159,Gene/Protein	factor VIII,161,172,Gene/Protein	antithrombin III,174,190,Gene/Protein	plasminogen activator inhibitor,192,223,Gene/Protein	tissue plasminogen activator,225,253,Gene/Protein	von Willebrand factor,258,279,Gene/Protein	"[{""token"": ""HDL cholesterol"", ""start_span"": 82, ""end_span"": 97, ""type"": ""Gene/Protein""}, {""token"": ""LDL cholesterol"", ""start_span"": 99, ""end_span"": 114, ""type"": ""Gene/Protein""}, {""token"": ""apo A1"", ""start_span"": 116, ""end_span"": 122, ""type"": ""Gene/Protein""}, {""token"": ""HbA1C"", ""start_span"": 133, ""end_span"": 138, ""type"": ""Gene/Protein""}, {""token"": ""fibrinogen"", ""start_span"": 149, ""end_span"": 159, ""type"": ""Gene/Protein""}, {""token"": ""factor VIII"", ""start_span"": 161, ""end_span"": 172, ""type"": ""Gene/Protein""}, {""token"": ""antithrombin III"", ""start_span"": 174, ""end_span"": 190, ""type"": ""Gene/Protein""}, {""token"": ""plasminogen activator inhibitor"", ""start_span"": 192, ""end_span"": 223, ""type"": ""Gene/Protein""}, {""token"": ""tissue plasminogen activator"", ""start_span"": 225, ""end_span"": 253, ""type"": ""Gene/Protein""}, {""token"": ""von Willebrand factor"", ""start_span"": 258, ""end_span"": 279, ""type"": ""Gene/Protein""}]"	train
Gene constructs consisting of human growth hormone ( hGH) gene driven by promoter / regulatory sequence of mouse metallothionein ( mMT), viral thymidine kinase ( vTK), rat cholecystokinin ( rCCK), or chicken beta - actin ( cBA) gene were injected into the cytoplasm of fertilized medaka eggs via the micropyle.	human growth hormone,30,50,Gene/Protein	hGH,53,56,Gene/Protein	mouse metallothionein,107,128,Gene/Protein	mMT,131,134,Gene/Protein	viral thymidine kinase,137,159,Gene/Protein	vTK,162,165,Gene/Protein	rat cholecystokinin,168,187,Gene/Protein	rCCK,190,194,Gene/Protein	chicken beta - actin,200,220,Gene/Protein	cBA,223,226,Gene/Protein	"[{""token"": ""human growth hormone"", ""start_span"": 30, ""end_span"": 50, ""type"": ""Gene/Protein""}, {""token"": ""hGH"", ""start_span"": 53, ""end_span"": 56, ""type"": ""Gene/Protein""}, {""token"": ""mouse metallothionein"", ""start_span"": 107, ""end_span"": 128, ""type"": ""Gene/Protein""}, {""token"": ""mMT"", ""start_span"": 131, ""end_span"": 134, ""type"": ""Gene/Protein""}, {""token"": ""viral thymidine kinase"", ""start_span"": 137, ""end_span"": 159, ""type"": ""Gene/Protein""}, {""token"": ""vTK"", ""start_span"": 162, ""end_span"": 165, ""type"": ""Gene/Protein""}, {""token"": ""rat cholecystokinin"", ""start_span"": 168, ""end_span"": 187, ""type"": ""Gene/Protein""}, {""token"": ""rCCK"", ""start_span"": 190, ""end_span"": 194, ""type"": ""Gene/Protein""}, {""token"": ""chicken beta - actin"", ""start_span"": 200, ""end_span"": 220, ""type"": ""Gene/Protein""}, {""token"": ""cBA"", ""start_span"": 223, ""end_span"": 226, ""type"": ""Gene/Protein""}]"	train
However, while IL - 1beta and TNF - alpha both induced nuclear binding of the Rel proteins p50 and p65 to an NF - kappaB consensus oligonucleotide in gel shift assays and caused transient degradation of inhibitor of NF - kappaB - alpha ( IkappaB - alpha) in the cytoplasm of myofibroblasts, only IL - 1beta upregulated PDGF - Ralpha.	IL - 1beta,15,25,Gene/Protein	TNF - alpha,30,41,Gene/Protein	Rel proteins,78,90,Gene/Protein	p50,91,94,Gene/Protein	p65,99,102,Gene/Protein	NF - kappaB consensus oligonucleotide,109,146,Gene/Protein	inhibitor of NF - kappaB - alpha,203,235,Gene/Protein	IkappaB - alpha,238,253,Gene/Protein	IL - 1beta,296,306,Gene/Protein	PDGF - Ralpha,319,332,Gene/Protein	"[{""token"": ""IL - 1beta"", ""start_span"": 15, ""end_span"": 25, ""type"": ""Gene/Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 30, ""end_span"": 41, ""type"": ""Gene/Protein""}, {""token"": ""Rel proteins"", ""start_span"": 78, ""end_span"": 90, ""type"": ""Gene/Protein""}, {""token"": ""p50"", ""start_span"": 91, ""end_span"": 94, ""type"": ""Gene/Protein""}, {""token"": ""p65"", ""start_span"": 99, ""end_span"": 102, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappaB consensus oligonucleotide"", ""start_span"": 109, ""end_span"": 146, ""type"": ""Gene/Protein""}, {""token"": ""inhibitor of NF - kappaB - alpha"", ""start_span"": 203, ""end_span"": 235, ""type"": ""Gene/Protein""}, {""token"": ""IkappaB - alpha"", ""start_span"": 238, ""end_span"": 253, ""type"": ""Gene/Protein""}, {""token"": ""IL - 1beta"", ""start_span"": 296, ""end_span"": 306, ""type"": ""Gene/Protein""}, {""token"": ""PDGF - Ralpha"", ""start_span"": 319, ""end_span"": 332, ""type"": ""Gene/Protein""}]"	train
Thus, these studies on rat Std promoter function indicate that ( i) HNF1 and C / EBP are responsible for liver specificity of the rat Std gene; ( ii) androgenic repression of the gene requires the presence of all of the OCT - 1 and C / EBP elements between positions - 231 and - 292; and ( iii) AR may exert its negative regulatory effect indirectly through transcriptional interference of OCT - 1 and C / EBP rather than through a direct DNA - AR interaction.	rat Std promoter,23,39,Gene/Protein	HNF1,68,72,Gene/Protein	C / EBP,77,84,Gene/Protein	rat Std gene,130,142,Gene/Protein	OCT - 1,220,227,Gene/Protein	C / EBP elements,232,248,Gene/Protein	AR,295,297,Gene/Protein	OCT - 1,390,397,Gene/Protein	C / EBP,402,409,Gene/Protein	DNA - AR,439,447,Gene/Protein	"[{""token"": ""rat Std promoter"", ""start_span"": 23, ""end_span"": 39, ""type"": ""Gene/Protein""}, {""token"": ""HNF1"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Gene/Protein""}, {""token"": ""C / EBP"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Gene/Protein""}, {""token"": ""rat Std gene"", ""start_span"": 130, ""end_span"": 142, ""type"": ""Gene/Protein""}, {""token"": ""OCT - 1"", ""start_span"": 220, ""end_span"": 227, ""type"": ""Gene/Protein""}, {""token"": ""C / EBP elements"", ""start_span"": 232, ""end_span"": 248, ""type"": ""Gene/Protein""}, {""token"": ""AR"", ""start_span"": 295, ""end_span"": 297, ""type"": ""Gene/Protein""}, {""token"": ""OCT - 1"", ""start_span"": 390, ""end_span"": 397, ""type"": ""Gene/Protein""}, {""token"": ""C / EBP"", ""start_span"": 402, ""end_span"": 409, ""type"": ""Gene/Protein""}, {""token"": ""DNA - AR"", ""start_span"": 439, ""end_span"": 447, ""type"": ""Gene/Protein""}]"	train
TPO by itself did not activate ERK1, ERK2 and protein kinase C ( PKC), whereas TPO directly enhanced the PKC - dependent activation of ERKs induced by other agonists including thrombin and phorbol esters, without affecting the PKC activation by those agonists.	TPO,0,3,Gene/Protein	ERK1,31,35,Gene/Protein	ERK2,37,41,Gene/Protein	protein kinase C,46,62,Gene/Protein	PKC,65,68,Gene/Protein	TPO,79,82,Gene/Protein	PKC,105,108,Gene/Protein	ERKs,135,139,Gene/Protein	thrombin,176,184,Gene/Protein	PKC,227,230,Gene/Protein	"[{""token"": ""TPO"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene/Protein""}, {""token"": ""ERK1"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Gene/Protein""}, {""token"": ""ERK2"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Gene/Protein""}, {""token"": ""protein kinase C"", ""start_span"": 46, ""end_span"": 62, ""type"": ""Gene/Protein""}, {""token"": ""PKC"", ""start_span"": 65, ""end_span"": 68, ""type"": ""Gene/Protein""}, {""token"": ""TPO"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Gene/Protein""}, {""token"": ""PKC"", ""start_span"": 105, ""end_span"": 108, ""type"": ""Gene/Protein""}, {""token"": ""ERKs"", ""start_span"": 135, ""end_span"": 139, ""type"": ""Gene/Protein""}, {""token"": ""thrombin"", ""start_span"": 176, ""end_span"": 184, ""type"": ""Gene/Protein""}, {""token"": ""PKC"", ""start_span"": 227, ""end_span"": 230, ""type"": ""Gene/Protein""}]"	train
Here we demonstrate that the protein product of the ref - 1 gene stimulates the DNA binding activity of Fos - Jun heterodimers, Jun - Jun homodimers and Hela cell AP - 1 proteins as well as that of several other transcription factors including NF - kappa B, Myb and members of the ATF / CREB family.	ref - 1 gene,52,64,Gene/Protein	Fos,104,107,Gene/Protein	Jun,110,113,Gene/Protein	Jun,128,131,Gene/Protein	Jun,134,137,Gene/Protein	AP - 1 proteins,163,178,Gene/Protein	NF - kappa B,244,256,Gene/Protein	Myb,258,261,Gene/Protein	ATF,281,284,Gene/Protein	CREB,287,291,Gene/Protein	"[{""token"": ""ref - 1 gene"", ""start_span"": 52, ""end_span"": 64, ""type"": ""Gene/Protein""}, {""token"": ""Fos"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Gene/Protein""}, {""token"": ""Jun"", ""start_span"": 110, ""end_span"": 113, ""type"": ""Gene/Protein""}, {""token"": ""Jun"", ""start_span"": 128, ""end_span"": 131, ""type"": ""Gene/Protein""}, {""token"": ""Jun"", ""start_span"": 134, ""end_span"": 137, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1 proteins"", ""start_span"": 163, ""end_span"": 178, ""type"": ""Gene/Protein""}, {""token"": ""NF - kappa B"", ""start_span"": 244, ""end_span"": 256, ""type"": ""Gene/Protein""}, {""token"": ""Myb"", ""start_span"": 258, ""end_span"": 261, ""type"": ""Gene/Protein""}, {""token"": ""ATF"", ""start_span"": 281, ""end_span"": 284, ""type"": ""Gene/Protein""}, {""token"": ""CREB"", ""start_span"": 287, ""end_span"": 291, ""type"": ""Gene/Protein""}]"	train
Ligand binding to the receptor complex leads to tyrosine phosphorylation and activation of Janus kinases ( Jak), phosphorylation of the signal transducing subunit gp130, followed by recruitment and phosphorylation of the signal transducer and activator of transcription factors STAT3 and STAT1 and the src homology domain ( SH2) - containing protein tyrosine phosphatase ( SHP2).	Janus kinases,91,104,Gene/Protein	Jak,107,110,Gene/Protein	signal transducing subunit gp130,136,168,Gene/Protein	signal transducer and activator of transcription factors,221,277,Gene/Protein	STAT3,278,283,Gene/Protein	STAT1,288,293,Gene/Protein	src homology domain,302,321,Gene/Protein	SH2,324,327,Gene/Protein	protein tyrosine phosphatase,342,370,Gene/Protein	SHP2,373,377,Gene/Protein	"[{""token"": ""Janus kinases"", ""start_span"": 91, ""end_span"": 104, ""type"": ""Gene/Protein""}, {""token"": ""Jak"", ""start_span"": 107, ""end_span"": 110, ""type"": ""Gene/Protein""}, {""token"": ""signal transducing subunit gp130"", ""start_span"": 136, ""end_span"": 168, ""type"": ""Gene/Protein""}, {""token"": ""signal transducer and activator of transcription factors"", ""start_span"": 221, ""end_span"": 277, ""type"": ""Gene/Protein""}, {""token"": ""STAT3"", ""start_span"": 278, ""end_span"": 283, ""type"": ""Gene/Protein""}, {""token"": ""STAT1"", ""start_span"": 288, ""end_span"": 293, ""type"": ""Gene/Protein""}, {""token"": ""src homology domain"", ""start_span"": 302, ""end_span"": 321, ""type"": ""Gene/Protein""}, {""token"": ""SH2"", ""start_span"": 324, ""end_span"": 327, ""type"": ""Gene/Protein""}, {""token"": ""protein tyrosine phosphatase"", ""start_span"": 342, ""end_span"": 370, ""type"": ""Gene/Protein""}, {""token"": ""SHP2"", ""start_span"": 373, ""end_span"": 377, ""type"": ""Gene/Protein""}]"	train
Interestingly, unlike PAK65, HPK1 does not contain the small GTPase Rac1 / Cdc42 - binding domain and does not bind to either Rac1 or Cdc42, suggesting that HPK1. activation is Rac1 / Cdc42 - independent.	PAK65,22,27,Gene/Protein	HPK1,29,33,Gene/Protein	small GTPase,55,67,Gene/Protein	Rac1,68,72,Gene/Protein	Cdc42,75,80,Gene/Protein	Rac1,126,130,Gene/Protein	Cdc42,134,139,Gene/Protein	HPK1,157,161,Gene/Protein	Rac1,177,181,Gene/Protein	Cdc42,184,189,Gene/Protein	"[{""token"": ""PAK65"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Gene/Protein""}, {""token"": ""HPK1"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Gene/Protein""}, {""token"": ""small GTPase"", ""start_span"": 55, ""end_span"": 67, ""type"": ""Gene/Protein""}, {""token"": ""Rac1"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Gene/Protein""}, {""token"": ""Cdc42"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Gene/Protein""}, {""token"": ""Rac1"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Gene/Protein""}, {""token"": ""Cdc42"", ""start_span"": 134, ""end_span"": 139, ""type"": ""Gene/Protein""}, {""token"": ""HPK1"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Gene/Protein""}, {""token"": ""Rac1"", ""start_span"": 177, ""end_span"": 181, ""type"": ""Gene/Protein""}, {""token"": ""Cdc42"", ""start_span"": 184, ""end_span"": 189, ""type"": ""Gene/Protein""}]"	test
DESIGN: Activating protein - 1 ( AP - 1) and Tat - induced transcription were assessed using Jun and hybrid Tat / Jun - expression plasmids and reporter gene constructs which contained AP - 1 binding sites upstream of the rat prolactin TATAA element or an HIV - 1 LTR construct in which AP - 1 binding sites replaced the TAR element.	Activating protein - 1,8,30,Gene/Protein	AP - 1,33,39,Gene/Protein	Tat,45,48,Gene/Protein	Jun,93,96,Gene/Protein	Tat,108,111,Gene/Protein	Jun,114,117,Gene/Protein	AP - 1 binding sites,185,205,Gene/Protein	rat prolactin TATAA element,222,249,Gene/Protein	HIV - 1 LTR construct,256,277,Gene/Protein	AP - 1 binding sites,287,307,Gene/Protein	"[{""token"": ""Activating protein - 1"", ""start_span"": 8, ""end_span"": 30, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1"", ""start_span"": 33, ""end_span"": 39, ""type"": ""Gene/Protein""}, {""token"": ""Tat"", ""start_span"": 45, ""end_span"": 48, ""type"": ""Gene/Protein""}, {""token"": ""Jun"", ""start_span"": 93, ""end_span"": 96, ""type"": ""Gene/Protein""}, {""token"": ""Tat"", ""start_span"": 108, ""end_span"": 111, ""type"": ""Gene/Protein""}, {""token"": ""Jun"", ""start_span"": 114, ""end_span"": 117, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1 binding sites"", ""start_span"": 185, ""end_span"": 205, ""type"": ""Gene/Protein""}, {""token"": ""rat prolactin TATAA element"", ""start_span"": 222, ""end_span"": 249, ""type"": ""Gene/Protein""}, {""token"": ""HIV - 1 LTR construct"", ""start_span"": 256, ""end_span"": 277, ""type"": ""Gene/Protein""}, {""token"": ""AP - 1 binding sites"", ""start_span"": 287, ""end_span"": 307, ""type"": ""Gene/Protein""}]"	test
We have analyzed herein the roles that four different PIAS proteins ( ARIP3 / PIASx alpha, Miz1 / PIASx beta, GBP / PIAS1, and PIAS3) play in the regulation of steroid receptor - or STAT - mediated transcriptional activation.	PIAS proteins,54,67,Gene/Protein	ARIP3,70,75,Gene/Protein	PIASx alpha,78,89,Gene/Protein	Miz1,91,95,Gene/Protein	PIASx beta,98,108,Gene/Protein	GBP,110,113,Gene/Protein	PIAS1,116,121,Gene/Protein	PIAS3,127,132,Gene/Protein	steroid receptor,160,176,Gene/Protein	STAT,182,186,Gene/Protein	"[{""token"": ""PIAS proteins"", ""start_span"": 54, ""end_span"": 67, ""type"": ""Gene/Protein""}, {""token"": ""ARIP3"", ""start_span"": 70, ""end_span"": 75, ""type"": ""Gene/Protein""}, {""token"": ""PIASx alpha"", ""start_span"": 78, ""end_span"": 89, ""type"": ""Gene/Protein""}, {""token"": ""Miz1"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Gene/Protein""}, {""token"": ""PIASx beta"", ""start_span"": 98, ""end_span"": 108, ""type"": ""Gene/Protein""}, {""token"": ""GBP"", ""start_span"": 110, ""end_span"": 113, ""type"": ""Gene/Protein""}, {""token"": ""PIAS1"", ""start_span"": 116, ""end_span"": 121, ""type"": ""Gene/Protein""}, {""token"": ""PIAS3"", ""start_span"": 127, ""end_span"": 132, ""type"": ""Gene/Protein""}, {""token"": ""steroid receptor"", ""start_span"": 160, ""end_span"": 176, ""type"": ""Gene/Protein""}, {""token"": ""STAT"", ""start_span"": 182, ""end_span"": 186, ""type"": ""Gene/Protein""}]"	test
