Sentence	entity_1	entity_2	entity_3	json	split
Immunohistochemical staining was positive for S - 100 in all 9 cases stained, positive for HMB - 45 in 9 ( 90%) of 10, and negative for cytokeratin in all 9 cases in which myxoid melanoma remained in the block after previous sections.	S - 100,46,53,Gene/Protein	HMB - 45,91,99,Gene/Protein	cytokeratin,136,147,Gene/Protein	"[{""token"": ""S - 100"", ""start_span"": 46, ""end_span"": 53, ""type"": ""Gene/Protein""}, {""token"": ""HMB - 45"", ""start_span"": 91, ""end_span"": 99, ""type"": ""Gene/Protein""}, {""token"": ""cytokeratin"", ""start_span"": 136, ""end_span"": 147, ""type"": ""Gene/Protein""}]"	train
Cloning and sequencing of the upstream region of pepX revealed the presence of two ORFs of 360 and 1, 338 bp that were shown to be able to encode proteins with high homology to GlnR and GlnA proteins, respectively.	pepX,49,53,Gene/Protein	GlnR,177,181,Gene/Protein	GlnA proteins,186,199,Gene/Protein	"[{""token"": ""pepX"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Gene/Protein""}, {""token"": ""GlnR"", ""start_span"": 177, ""end_span"": 181, ""type"": ""Gene/Protein""}, {""token"": ""GlnA proteins"", ""start_span"": 186, ""end_span"": 199, ""type"": ""Gene/Protein""}]"	train
PKA phosphorylated WT1 at Ser - 365 and Ser - 393 in vitro, as well as at additional sites, and this phosphorylation abolished the DNA - binding activity of WT1 in vitro.	PKA,0,3,Gene/Protein	WT1,19,22,Gene/Protein	WT1,157,160,Gene/Protein	"[{""token"": ""PKA"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene/Protein""}, {""token"": ""WT1"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Gene/Protein""}, {""token"": ""WT1"", ""start_span"": 157, ""end_span"": 160, ""type"": ""Gene/Protein""}]"	train
The UAS of the AAC2 gene contains at least two distinct motifs for DNA - binding transcriptional activators, including one which is identical with the core HAP2 / 3 / 4 binding motif, and a second one with the ABF1 consensus binding sequence.	AAC2 gene,15,24,Gene/Protein	HAP2 / 3 / 4 binding motif,156,182,Gene/Protein	ABF1 consensus binding sequence,210,241,Gene/Protein	"[{""token"": ""AAC2 gene"", ""start_span"": 15, ""end_span"": 24, ""type"": ""Gene/Protein""}, {""token"": ""HAP2 / 3 / 4 binding motif"", ""start_span"": 156, ""end_span"": 182, ""type"": ""Gene/Protein""}, {""token"": ""ABF1 consensus binding sequence"", ""start_span"": 210, ""end_span"": 241, ""type"": ""Gene/Protein""}]"	train
OBJECTIVES: To measure coagulation factor VIII: coagulant ( F. VIII: C) and C1 - esterase inhibitor ( C1 - INH), hemostasis - associated acute - phase reactant proteins and coagulation factors VII ( F. VII), IX ( F. IX), and X ( F. X), hemostasis proteins not associated with an acute - phase response, in a select population of horses with colic and hemostasis abnormalities, and presumed to have acute - phase changes.	C1 - esterase inhibitor,76,99,Gene/Protein	C1 - INH,102,110,Gene/Protein	coagulation factors VII,173,196,Gene/Protein	"[{""token"": ""C1 - esterase inhibitor"", ""start_span"": 76, ""end_span"": 99, ""type"": ""Gene/Protein""}, {""token"": ""C1 - INH"", ""start_span"": 102, ""end_span"": 110, ""type"": ""Gene/Protein""}, {""token"": ""coagulation factors VII"", ""start_span"": 173, ""end_span"": 196, ""type"": ""Gene/Protein""}]"	train
Alanine substitution mutations in the Zta activation domain which eliminate the ability of Zta to stimulate the D - A complex were examined.	Zta activation domain,38,59,Gene/Protein	Zta,91,94,Gene/Protein	D - A complex,112,125,Gene/Protein	"[{""token"": ""Zta activation domain"", ""start_span"": 38, ""end_span"": 59, ""type"": ""Gene/Protein""}, {""token"": ""Zta"", ""start_span"": 91, ""end_span"": 94, ""type"": ""Gene/Protein""}, {""token"": ""D - A complex"", ""start_span"": 112, ""end_span"": 125, ""type"": ""Gene/Protein""}]"	train
Paradoxically, coexpression of the transcriptionally inactive, amino - terminally deleted IDX - 1 mutant proteins, either with the wild - type IDX - 1 or with themselves, results in a marked enhancement of transactivation of the transcriptional TAAT - 1 element reporter.	IDX - 1 mutant proteins,90,113,Gene/Protein	wild - type IDX - 1,131,150,Gene/Protein	TAAT - 1 element reporter,245,270,Gene/Protein	"[{""token"": ""IDX - 1 mutant proteins"", ""start_span"": 90, ""end_span"": 113, ""type"": ""Gene/Protein""}, {""token"": ""wild - type IDX - 1"", ""start_span"": 131, ""end_span"": 150, ""type"": ""Gene/Protein""}, {""token"": ""TAAT - 1 element reporter"", ""start_span"": 245, ""end_span"": 270, ""type"": ""Gene/Protein""}]"	train
Src homology ( SH) domain dependent protein - protein interactions are important to tyrosine kinase receptor signal transduction.	Src homology,0,12,Gene/Protein	SH,15,17,Gene/Protein	tyrosine kinase receptor,84,108,Gene/Protein	"[{""token"": ""Src homology"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Gene/Protein""}, {""token"": ""SH"", ""start_span"": 15, ""end_span"": 17, ""type"": ""Gene/Protein""}, {""token"": ""tyrosine kinase receptor"", ""start_span"": 84, ""end_span"": 108, ""type"": ""Gene/Protein""}]"	train
CRS function in a 5 ' LTR - linked gene expression assay correlates with the ability of both p60CRS and p40CRS to interact with 5 ' LTR RNA in vitro.	CRS,0,3,Gene/Protein	p60CRS,93,99,Gene/Protein	p40CRS,104,110,Gene/Protein	"[{""token"": ""CRS"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene/Protein""}, {""token"": ""p60CRS"", ""start_span"": 93, ""end_span"": 99, ""type"": ""Gene/Protein""}, {""token"": ""p40CRS"", ""start_span"": 104, ""end_span"": 110, ""type"": ""Gene/Protein""}]"	train
In vivo, MyoD requires this tryptophan motif to evoke chromatin remodeling in the Myogenin promoter and to activate Myogenin transcription.	MyoD,9,13,Gene/Protein	Myogenin promoter,82,99,Gene/Protein	Myogenin,116,124,Gene/Protein	"[{""token"": ""MyoD"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Gene/Protein""}, {""token"": ""Myogenin promoter"", ""start_span"": 82, ""end_span"": 99, ""type"": ""Gene/Protein""}, {""token"": ""Myogenin"", ""start_span"": 116, ""end_span"": 124, ""type"": ""Gene/Protein""}]"	train
