Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
Chloramphenicol acetyltransferase assays examining the ability of IE86 to repress activity from the HCMV major IE promoter or activate the HCMV early promoter for the 2. 2 - kb class of RNAs demonstrated the functional integrity of the IE86 protein.	Chloramphenicol acetyltransferase,0,33,Gene/Protein	IE86,66,70,Gene/Protein	IE promoter,111,122,Gene/Protein	HCMV early promoter,139,158,Gene/Protein	IE86 protein,236,248,Gene/Protein	"[{""token"": ""Chloramphenicol acetyltransferase"", ""start_span"": 0, ""end_span"": 33, ""type"": ""Gene/Protein""}, {""token"": ""IE86"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Gene/Protein""}, {""token"": ""IE promoter"", ""start_span"": 111, ""end_span"": 122, ""type"": ""Gene/Protein""}, {""token"": ""HCMV early promoter"", ""start_span"": 139, ""end_span"": 158, ""type"": ""Gene/Protein""}, {""token"": ""IE86 protein"", ""start_span"": 236, ""end_span"": 248, ""type"": ""Gene/Protein""}]"	train
ROCK - I, Kinectin, and mDia2 can bind the wild type forms of both RhoA and Cdc42 in a GTP - dependent manner in vitro.	ROCK - I,0,8,Gene/Protein	Kinectin,10,18,Gene/Protein	mDia2,24,29,Gene/Protein	RhoA,67,71,Gene/Protein	Cdc42,76,81,Gene/Protein	"[{""token"": ""ROCK - I"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene/Protein""}, {""token"": ""Kinectin"", ""start_span"": 10, ""end_span"": 18, ""type"": ""Gene/Protein""}, {""token"": ""mDia2"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Gene/Protein""}, {""token"": ""RhoA"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Gene/Protein""}, {""token"": ""Cdc42"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Gene/Protein""}]"	train
Ten out - patients with pustulosis palmaris et plantaris were examined with direct immunofluorescence ( IF) technique for deposition of fibrinogen, fibrin or its degradation products ( FR - antigen) in affected and unaffected skin, together with heparin - precipitable fraction ( HPF), cryoglobulin and total plasma fibrinogen in the blood.	fibrinogen,136,146,Gene/Protein	fibrin,148,154,Gene/Protein	FR - antigen,185,197,Gene/Protein	cryoglobulin,286,298,Gene/Protein	fibrinogen,316,326,Gene/Protein	"[{""token"": ""fibrinogen"", ""start_span"": 136, ""end_span"": 146, ""type"": ""Gene/Protein""}, {""token"": ""fibrin"", ""start_span"": 148, ""end_span"": 154, ""type"": ""Gene/Protein""}, {""token"": ""FR - antigen"", ""start_span"": 185, ""end_span"": 197, ""type"": ""Gene/Protein""}, {""token"": ""cryoglobulin"", ""start_span"": 286, ""end_span"": 298, ""type"": ""Gene/Protein""}, {""token"": ""fibrinogen"", ""start_span"": 316, ""end_span"": 326, ""type"": ""Gene/Protein""}]"	train
Protein phosphorylation appears to play a critical role in uPA gene expression in these cells; protein kinase C - activating phorbol esters cooperate with pp60v - src to synergistically increase uPA mRNA, whereas cyclic AMP ( cAMP) - dependent protein kinase - activating agents ( e. g., 8 - bromo cAMP) repress uPA mRNA levels.	uPA gene,59,67,Gene/Protein	protein kinase C,95,111,Gene/Protein	pp60v - src,155,166,Gene/Protein	uPA mRNA,195,203,Gene/Protein	uPA mRNA,312,320,Gene/Protein	"[{""token"": ""uPA gene"", ""start_span"": 59, ""end_span"": 67, ""type"": ""Gene/Protein""}, {""token"": ""protein kinase C"", ""start_span"": 95, ""end_span"": 111, ""type"": ""Gene/Protein""}, {""token"": ""pp60v - src"", ""start_span"": 155, ""end_span"": 166, ""type"": ""Gene/Protein""}, {""token"": ""uPA mRNA"", ""start_span"": 195, ""end_span"": 203, ""type"": ""Gene/Protein""}, {""token"": ""uPA mRNA"", ""start_span"": 312, ""end_span"": 320, ""type"": ""Gene/Protein""}]"	train
Obstruction of the ERF repressor function by the transactivating members of the ets family of genes ( i. e. gag - myb - ets) may be essential for the control of genes involved in cell proliferation and may also underlie their tumorigenic effects.	ERF repressor,19,32,Gene/Protein	ets family,80,90,Gene/Protein	gag,108,111,Gene/Protein	myb,114,117,Gene/Protein	ets,120,123,Gene/Protein	"[{""token"": ""ERF repressor"", ""start_span"": 19, ""end_span"": 32, ""type"": ""Gene/Protein""}, {""token"": ""ets family"", ""start_span"": 80, ""end_span"": 90, ""type"": ""Gene/Protein""}, {""token"": ""gag"", ""start_span"": 108, ""end_span"": 111, ""type"": ""Gene/Protein""}, {""token"": ""myb"", ""start_span"": 114, ""end_span"": 117, ""type"": ""Gene/Protein""}, {""token"": ""ets"", ""start_span"": 120, ""end_span"": 123, ""type"": ""Gene/Protein""}]"	train
Neither Ha - Ras ( G12V, T35S) ( Ha - RasV12S35), which activates the Rafl signaling pathway, nor Ha - Ras ( G12V, E37G) ( Ha - RasV12G37), which stimulates the RalGDS pathway, did not have significant effects on factor - withdrawal apoptosis of myeloid cells.	Ha - Ras,8,16,Gene/Protein	Ha - RasV12S35,33,47,Gene/Protein	Rafl,70,74,Gene/Protein	Ha - RasV12G37,123,137,Gene/Protein	RalGDS,161,167,Gene/Protein	"[{""token"": ""Ha - Ras"", ""start_span"": 8, ""end_span"": 16, ""type"": ""Gene/Protein""}, {""token"": ""Ha - RasV12S35"", ""start_span"": 33, ""end_span"": 47, ""type"": ""Gene/Protein""}, {""token"": ""Rafl"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Gene/Protein""}, {""token"": ""Ha - RasV12G37"", ""start_span"": 123, ""end_span"": 137, ""type"": ""Gene/Protein""}, {""token"": ""RalGDS"", ""start_span"": 161, ""end_span"": 167, ""type"": ""Gene/Protein""}]"	train
It has been demonstrated previously that Pax - 6, a paired domain ( PD) / homeodomain ( HD) transcription factor critical for eye development, contributes to the activation of the alphaB -, alphaA -, delta1 -, and zeta - crystallin genes in the lens.	Pax - 6,41,48,Gene/Protein	paired domain,52,65,Gene/Protein	PD,68,70,Gene/Protein	homeodomain,74,85,Gene/Protein	HD,88,90,Gene/Protein	"[{""token"": ""Pax - 6"", ""start_span"": 41, ""end_span"": 48, ""type"": ""Gene/Protein""}, {""token"": ""paired domain"", ""start_span"": 52, ""end_span"": 65, ""type"": ""Gene/Protein""}, {""token"": ""PD"", ""start_span"": 68, ""end_span"": 70, ""type"": ""Gene/Protein""}, {""token"": ""homeodomain"", ""start_span"": 74, ""end_span"": 85, ""type"": ""Gene/Protein""}, {""token"": ""HD"", ""start_span"": 88, ""end_span"": 90, ""type"": ""Gene/Protein""}]"	train
The ADP - ribosylation factor ( ARF) family is one of four subfamilies of the RAS superfamily of low molecular weight GTP - binding proteins ( G proteins).	ADP - ribosylation factor,4,29,Gene/Protein	ARF,32,35,Gene/Protein	RAS superfamily,78,93,Gene/Protein	low molecular weight GTP - binding proteins,97,140,Gene/Protein	G proteins,143,153,Gene/Protein	"[{""token"": ""ADP - ribosylation factor"", ""start_span"": 4, ""end_span"": 29, ""type"": ""Gene/Protein""}, {""token"": ""ARF"", ""start_span"": 32, ""end_span"": 35, ""type"": ""Gene/Protein""}, {""token"": ""RAS superfamily"", ""start_span"": 78, ""end_span"": 93, ""type"": ""Gene/Protein""}, {""token"": ""low molecular weight GTP - binding proteins"", ""start_span"": 97, ""end_span"": 140, ""type"": ""Gene/Protein""}, {""token"": ""G proteins"", ""start_span"": 143, ""end_span"": 153, ""type"": ""Gene/Protein""}]"	train
Regulation of the human p21 / WAF1 / Cip1 promoter in hepatic cells by functional interactions between Sp1 and Smad family members.	p21,24,27,Gene/Protein	WAF1,30,34,Gene/Protein	Cip1,37,41,Gene/Protein	Sp1,103,106,Gene/Protein	Smad family members,111,130,Gene/Protein	"[{""token"": ""p21"", ""start_span"": 24, ""end_span"": 27, ""type"": ""Gene/Protein""}, {""token"": ""WAF1"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Gene/Protein""}, {""token"": ""Cip1"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Gene/Protein""}, {""token"": ""Sp1"", ""start_span"": 103, ""end_span"": 106, ""type"": ""Gene/Protein""}, {""token"": ""Smad family members"", ""start_span"": 111, ""end_span"": 130, ""type"": ""Gene/Protein""}]"	train
Yeast Gal11 protein mediates the transcriptional activation signal of two different transacting factors, Gal4 and general regulatory factor I / repressor / activator site binding protein 1 / translation upstream factor.	Yeast Gal11 protein,0,19,Gene/Protein	Gal4,105,109,Gene/Protein	general regulatory factor I,114,141,Gene/Protein	repressor / activator site binding protein 1,144,188,Gene/Protein	translation upstream factor,191,218,Gene/Protein	"[{""token"": ""Yeast Gal11 protein"", ""start_span"": 0, ""end_span"": 19, ""type"": ""Gene/Protein""}, {""token"": ""Gal4"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Gene/Protein""}, {""token"": ""general regulatory factor I"", ""start_span"": 114, ""end_span"": 141, ""type"": ""Gene/Protein""}, {""token"": ""repressor / activator site binding protein 1"", ""start_span"": 144, ""end_span"": 188, ""type"": ""Gene/Protein""}, {""token"": ""translation upstream factor"", ""start_span"": 191, ""end_span"": 218, ""type"": ""Gene/Protein""}]"	train
