All other normal and transformed lymphoid and nonlymphoid cell lines and normal tissues were negative for PANG expression except for the brain, wherein unique 4. 0 - and 6. 1 - kb transcripts were detected.	"PANG	106	110	Gene/Protein"	"[{""token"": ""PANG"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Gene/Protein""}]"
The antigen - specific IgG4 antibody seems to be an index in evaluating immunotherapy objectively.	"antigen - specific IgG4 antibody	4	36	Gene/Protein"	"[{""token"": ""antigen - specific IgG4 antibody"", ""start_span"": 4, ""end_span"": 36, ""type"": ""Gene/Protein""}]"
In the same period we pointed out an increase of hematocrit ( from 29% to 35%) and of the Hb ( from 9. 3 to 11. 2 g / dl).	"Hb	90	92	Gene/Protein"	"[{""token"": ""Hb"", ""start_span"": 90, ""end_span"": 92, ""type"": ""Gene/Protein""}]"
Thus, an increase in plasma TBG and a shift from adrenal androgen and mineralocorticoid steroid secretion towards cortisol secretion may be endocrine markers for progression of the disease in patients with HIV - infection.	"plasma TBG	21	31	Gene/Protein"	"[{""token"": ""plasma TBG"", ""start_span"": 21, ""end_span"": 31, ""type"": ""Gene/Protein""}]"
While all deletions within the sequence coding for the mature tRNA led to inactivity of the mutated genes, substitution of the central portion by concatenated Hind III linkers produced gene units active in transcription.	"concatenated Hind III linkers	146	175	Gene/Protein"	"[{""token"": ""concatenated Hind III linkers"", ""start_span"": 146, ""end_span"": 175, ""type"": ""Gene/Protein""}]"
Immunohistochemically, anticytokeratin 19 antibody revealed strong staining in both epithelial and sarcomatous MPM tissues.	"anticytokeratin 19 antibody	23	50	Gene/Protein"	"[{""token"": ""anticytokeratin 19 antibody"", ""start_span"": 23, ""end_span"": 50, ""type"": ""Gene/Protein""}]"
The structure of these genes suggests a common ancestor for all viperid PLA2 genes.	"viperid PLA2 genes	64	82	Gene/Protein"	"[{""token"": ""viperid PLA2 genes"", ""start_span"": 64, ""end_span"": 82, ""type"": ""Gene/Protein""}]"
Quantitative analysis of plasmid loss rates in cdc28 - 1N strains carrying plasmids with multiple replication origins suggests that a defect in initiating DNA replication probably causes this plasmid loss phenotype.	"cdc28 - 1N	47	57	Gene/Protein"	"[{""token"": ""cdc28 - 1N"", ""start_span"": 47, ""end_span"": 57, ""type"": ""Gene/Protein""}]"
Neither ethanol nor estrogen has been shown to cause UROD - deficiency in animals.	"UROD	53	57	Gene/Protein"	"[{""token"": ""UROD"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Gene/Protein""}]"
CONCLUSION: Treatment of sepsis with the platelet - activating factor antagonist BB - 882 offers no advantage over placebo on survival, hemodynamic status, respiratory function, or organ failure scores.	"platelet - activating factor	41	69	Gene/Protein"	"[{""token"": ""platelet - activating factor"", ""start_span"": 41, ""end_span"": 69, ""type"": ""Gene/Protein""}]"
