This strategy was used to place both the Tn903 neo gene and the Rhodosporidium toruloides phenylalanine ammonia lyase ( PAL) - encoding gene under the transcriptional control of pPGK:: REP2.	"Tn903 neo gene	41	55	Gene/Protein"	"Rhodosporidium toruloides phenylalanine ammonia lyase	64	117	Gene/Protein"	"PAL	120	123	Gene/Protein"	"pPGK	178	182	Gene/Protein"	"REP2	185	189	Gene/Protein"	"[{""token"": ""Tn903 neo gene"", ""start_span"": 41, ""end_span"": 55, ""type"": ""Gene/Protein""}, {""token"": ""Rhodosporidium toruloides phenylalanine ammonia lyase"", ""start_span"": 64, ""end_span"": 117, ""type"": ""Gene/Protein""}, {""token"": ""PAL"", ""start_span"": 120, ""end_span"": 123, ""type"": ""Gene/Protein""}, {""token"": ""pPGK"", ""start_span"": 178, ""end_span"": 182, ""type"": ""Gene/Protein""}, {""token"": ""REP2"", ""start_span"": 185, ""end_span"": 189, ""type"": ""Gene/Protein""}]"
Weak promoter activity was observed for the promoter of the C1 and C2 ORFs ( C1 - C2 gene) and for the promoter of the V1 ORF.	"C1	60	62	Gene/Protein"	"C2	67	69	Gene/Protein"	"C1	77	79	Gene/Protein"	"C2	82	84	Gene/Protein"	"V1 ORF	119	125	Gene/Protein"	"[{""token"": ""C1"", ""start_span"": 60, ""end_span"": 62, ""type"": ""Gene/Protein""}, {""token"": ""C2"", ""start_span"": 67, ""end_span"": 69, ""type"": ""Gene/Protein""}, {""token"": ""C1"", ""start_span"": 77, ""end_span"": 79, ""type"": ""Gene/Protein""}, {""token"": ""C2"", ""start_span"": 82, ""end_span"": 84, ""type"": ""Gene/Protein""}, {""token"": ""V1 ORF"", ""start_span"": 119, ""end_span"": 125, ""type"": ""Gene/Protein""}]"
The galactose transporter shows both sequence and structural homology with a superfamily of sugar transporters which includes the human HepG2 - erythrocyte and fetal muscle glucose transporters, the rat brain and liver glucose transporters, the Escherichia coli xylose and arabinose permeases, and the S. cerevisiae glucose, maltose, and galactose transporters.	"galactose transporter	4	25	Gene/Protein"	"sugar transporters	92	110	Gene/Protein"	"human HepG2 - erythrocyte and fetal muscle glucose transporters	130	193	Gene/Protein"	"rat brain and liver glucose transporters	199	239	Gene/Protein"	"Escherichia coli xylose and arabinose permeases	245	292	Gene/Protein"	"[{""token"": ""galactose transporter"", ""start_span"": 4, ""end_span"": 25, ""type"": ""Gene/Protein""}, {""token"": ""sugar transporters"", ""start_span"": 92, ""end_span"": 110, ""type"": ""Gene/Protein""}, {""token"": ""human HepG2 - erythrocyte and fetal muscle glucose transporters"", ""start_span"": 130, ""end_span"": 193, ""type"": ""Gene/Protein""}, {""token"": ""rat brain and liver glucose transporters"", ""start_span"": 199, ""end_span"": 239, ""type"": ""Gene/Protein""}, {""token"": ""Escherichia coli xylose and arabinose permeases"", ""start_span"": 245, ""end_span"": 292, ""type"": ""Gene/Protein""}]"
Expression of constitutively active MEK1, the kinase that activates ERKs, or overexpression of ERK2, but not JNK1, inhibited Stat3 activation.	"MEK1	36	40	Gene/Protein"	"ERKs	68	72	Gene/Protein"	"ERK2	95	99	Gene/Protein"	"JNK1	109	113	Gene/Protein"	"Stat3	125	130	Gene/Protein"	"[{""token"": ""MEK1"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Gene/Protein""}, {""token"": ""ERKs"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Gene/Protein""}, {""token"": ""ERK2"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Gene/Protein""}, {""token"": ""JNK1"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Gene/Protein""}, {""token"": ""Stat3"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Gene/Protein""}]"
Collectively, the results suggest that ARF binding to Mdm2 induces a conformational change that facilitates nucleolar import of the ARF - Mdm2 complex and p53 - dependent cell cycle arrest.	"ARF	39	42	Gene/Protein"	"Mdm2	54	58	Gene/Protein"	"ARF	132	135	Gene/Protein"	"Mdm2	138	142	Gene/Protein"	"p53	155	158	Gene/Protein"	"[{""token"": ""ARF"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Gene/Protein""}, {""token"": ""Mdm2"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Gene/Protein""}, {""token"": ""ARF"", ""start_span"": 132, ""end_span"": 135, ""type"": ""Gene/Protein""}, {""token"": ""Mdm2"", ""start_span"": 138, ""end_span"": 142, ""type"": ""Gene/Protein""}, {""token"": ""p53"", ""start_span"": 155, ""end_span"": 158, ""type"": ""Gene/Protein""}]"
Pokeweed antiviral protein ( PAP) from Phytolacca americana is a highly specific N - glycosidase removing adenine residues ( A4324 in 28S rRNA and A2660 in 23S rRNA) from intact ribosomes of both eukaryotes and prokaryotes.	"Pokeweed antiviral protein	0	26	Gene/Protein"	"PAP	29	32	Gene/Protein"	"N - glycosidase	81	96	Gene/Protein"	"28S rRNA	134	142	Gene/Protein"	"23S rRNA	156	164	Gene/Protein"	"[{""token"": ""Pokeweed antiviral protein"", ""start_span"": 0, ""end_span"": 26, ""type"": ""Gene/Protein""}, {""token"": ""PAP"", ""start_span"": 29, ""end_span"": 32, ""type"": ""Gene/Protein""}, {""token"": ""N - glycosidase"", ""start_span"": 81, ""end_span"": 96, ""type"": ""Gene/Protein""}, {""token"": ""28S rRNA"", ""start_span"": 134, ""end_span"": 142, ""type"": ""Gene/Protein""}, {""token"": ""23S rRNA"", ""start_span"": 156, ""end_span"": 164, ""type"": ""Gene/Protein""}]"
Members of the Ras subfamily of small GTP - binding proteins have been shown to be promiscuous towards a variety of putative effector molecules such as the protein kinase c - Raf and the Ral - specific guanine nucleotide exchange factor ( Ral - GEF).	"Ras subfamily	15	28	Gene/Protein"	"small GTP - binding proteins	32	60	Gene/Protein"	"protein kinase c - Raf	156	178	Gene/Protein"	"Ral - specific guanine nucleotide exchange factor	187	236	Gene/Protein"	"Ral - GEF	239	248	Gene/Protein"	"[{""token"": ""Ras subfamily"", ""start_span"": 15, ""end_span"": 28, ""type"": ""Gene/Protein""}, {""token"": ""small GTP - binding proteins"", ""start_span"": 32, ""end_span"": 60, ""type"": ""Gene/Protein""}, {""token"": ""protein kinase c - Raf"", ""start_span"": 156, ""end_span"": 178, ""type"": ""Gene/Protein""}, {""token"": ""Ral - specific guanine nucleotide exchange factor"", ""start_span"": 187, ""end_span"": 236, ""type"": ""Gene/Protein""}, {""token"": ""Ral - GEF"", ""start_span"": 239, ""end_span"": 248, ""type"": ""Gene/Protein""}]"
In the absence of E1A243, YY1 represses CRE - dependent transcription of c - fos by physically interacting with ATF / CREB proteins bound to the - 67 CRE.	"E1A243	18	24	Gene/Protein"	"YY1	26	29	Gene/Protein"	"c - fos	73	80	Gene/Protein"	"ATF	112	115	Gene/Protein"	"CREB	118	122	Gene/Protein"	"[{""token"": ""E1A243"", ""start_span"": 18, ""end_span"": 24, ""type"": ""Gene/Protein""}, {""token"": ""YY1"", ""start_span"": 26, ""end_span"": 29, ""type"": ""Gene/Protein""}, {""token"": ""c - fos"", ""start_span"": 73, ""end_span"": 80, ""type"": ""Gene/Protein""}, {""token"": ""ATF"", ""start_span"": 112, ""end_span"": 115, ""type"": ""Gene/Protein""}, {""token"": ""CREB"", ""start_span"": 118, ""end_span"": 122, ""type"": ""Gene/Protein""}]"
A comparison of the promoters for muMIP - 1 beta and muMIP - 1 alpha reveals a conserved CK - 1 element, but transient expression studies in RAW 264. 7 macrophages with proximal fragments of either the muMIP - 1 beta or the muMIP - 1 alpha 5 ' promoter fused to a human growth hormone reporter gene link LPS - inducibility in both to promoter segments near to, but not identical with, the consensus CK - 1 sequence.	"muMIP - 1 beta	34	48	Gene/Protein"	"muMIP - 1 alpha	53	68	Gene/Protein"	"muMIP - 1 beta	202	216	Gene/Protein"	"muMIP - 1 alpha 5 ' promoter	224	252	Gene/Protein"	"human growth hormone reporter gene	264	298	Gene/Protein"	"[{""token"": ""muMIP - 1 beta"", ""start_span"": 34, ""end_span"": 48, ""type"": ""Gene/Protein""}, {""token"": ""muMIP - 1 alpha"", ""start_span"": 53, ""end_span"": 68, ""type"": ""Gene/Protein""}, {""token"": ""muMIP - 1 beta"", ""start_span"": 202, ""end_span"": 216, ""type"": ""Gene/Protein""}, {""token"": ""muMIP - 1 alpha 5 ' promoter"", ""start_span"": 224, ""end_span"": 252, ""type"": ""Gene/Protein""}, {""token"": ""human growth hormone reporter gene"", ""start_span"": 264, ""end_span"": 298, ""type"": ""Gene/Protein""}]"
Molecular cloning and sequencing of a cDNA encoding SR beta revealed that SR beta is a transmembrane protein and, like SR alpha and SRP54, is a member of the GTPase superfamily.	"SR beta	52	59	Gene/Protein"	"SR beta	74	81	Gene/Protein"	"SR alpha	119	127	Gene/Protein"	"SRP54	132	137	Gene/Protein"	"GTPase superfamily	158	176	Gene/Protein"	"[{""token"": ""SR beta"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Gene/Protein""}, {""token"": ""SR beta"", ""start_span"": 74, ""end_span"": 81, ""type"": ""Gene/Protein""}, {""token"": ""SR alpha"", ""start_span"": 119, ""end_span"": 127, ""type"": ""Gene/Protein""}, {""token"": ""SRP54"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Gene/Protein""}, {""token"": ""GTPase superfamily"", ""start_span"": 158, ""end_span"": 176, ""type"": ""Gene/Protein""}]"
