Cotransfection of Ets - 2 and p44 mitogen - activated protein ( MAP) kinase expression vectors strongly potentiated HB - EGF promoter activation in response to deltaRaf - 1: ER.	"Ets - 2	18	25	Gene/Protein"	"p44	30	33	Gene/Protein"	"HB	116	118	Gene/Protein"	"EGF	121	124	Gene/Protein"	"deltaRaf - 1	160	172	Gene/Protein"	"ER	174	176	Gene/Protein"	"[{""token"": ""Ets - 2"", ""start_span"": 18, ""end_span"": 25, ""type"": ""Gene/Protein""}, {""token"": ""p44"", ""start_span"": 30, ""end_span"": 33, ""type"": ""Gene/Protein""}, {""token"": ""HB"", ""start_span"": 116, ""end_span"": 118, ""type"": ""Gene/Protein""}, {""token"": ""EGF"", ""start_span"": 121, ""end_span"": 124, ""type"": ""Gene/Protein""}, {""token"": ""deltaRaf - 1"", ""start_span"": 160, ""end_span"": 172, ""type"": ""Gene/Protein""}, {""token"": ""ER"", ""start_span"": 174, ""end_span"": 176, ""type"": ""Gene/Protein""}]"
To determine the signal recognition particle ( SRP) - SRP receptor ( Srb) system in Bacillus subtilis ( Bs), we cloned the Bs srb gene, which encodes a homologue of the mammalian SRP receptor alpha - subunit [ Oguro et al., DNA Res.	"signal recognition particle	17	44	Gene/Protein"	"SRP	47	50	Gene/Protein"	"SRP receptor	54	66	Gene/Protein"	"Srb	69	72	Gene/Protein"	"Bs srb gene	123	134	Gene/Protein"	"mammalian SRP receptor alpha - subunit	169	207	Gene/Protein"	"[{""token"": ""signal recognition particle"", ""start_span"": 17, ""end_span"": 44, ""type"": ""Gene/Protein""}, {""token"": ""SRP"", ""start_span"": 47, ""end_span"": 50, ""type"": ""Gene/Protein""}, {""token"": ""SRP receptor"", ""start_span"": 54, ""end_span"": 66, ""type"": ""Gene/Protein""}, {""token"": ""Srb"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Gene/Protein""}, {""token"": ""Bs srb gene"", ""start_span"": 123, ""end_span"": 134, ""type"": ""Gene/Protein""}, {""token"": ""mammalian SRP receptor alpha - subunit"", ""start_span"": 169, ""end_span"": 207, ""type"": ""Gene/Protein""}]"
Cytokine - induced NF - kappa B DNA binding activity, RelA nuclear translocation, I kappa B alpha degradation, I kappa B serine 32 phosphorylation, and I kappa B kinase ( IKK) activity were blocked by curcumin treatment.	"NF - kappa B	19	31	Gene/Protein"	"RelA	54	58	Gene/Protein"	"I kappa B alpha	82	97	Gene/Protein"	"I kappa B	111	120	Gene/Protein"	"I kappa B kinase	152	168	Gene/Protein"	"IKK	171	174	Gene/Protein"	"[{""token"": ""NF - kappa B"", ""start_span"": 19, ""end_span"": 31, ""type"": ""Gene/Protein""}, {""token"": ""RelA"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Gene/Protein""}, {""token"": ""I kappa B alpha"", ""start_span"": 82, ""end_span"": 97, ""type"": ""Gene/Protein""}, {""token"": ""I kappa B"", ""start_span"": 111, ""end_span"": 120, ""type"": ""Gene/Protein""}, {""token"": ""I kappa B kinase"", ""start_span"": 152, ""end_span"": 168, ""type"": ""Gene/Protein""}, {""token"": ""IKK"", ""start_span"": 171, ""end_span"": 174, ""type"": ""Gene/Protein""}]"
The RAS - cyclic AMP - dependent protein kinase cAPK pathway prevents the UAS activity of IREu in the presence of glucose as the sole carbon source, while the transcriptional activators Msn2p and Msn4p promote the UAS activity of this repeat in the presence of acetate.	"RAS	4	7	Gene/Protein"	"cyclic AMP - dependent protein kinase	10	47	Gene/Protein"	"cAPK	48	52	Gene/Protein"	"IREu	90	94	Gene/Protein"	"Msn2p	186	191	Gene/Protein"	"Msn4p	196	201	Gene/Protein"	"[{""token"": ""RAS"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Gene/Protein""}, {""token"": ""cyclic AMP - dependent protein kinase"", ""start_span"": 10, ""end_span"": 47, ""type"": ""Gene/Protein""}, {""token"": ""cAPK"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Gene/Protein""}, {""token"": ""IREu"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Gene/Protein""}, {""token"": ""Msn2p"", ""start_span"": 186, ""end_span"": 191, ""type"": ""Gene/Protein""}, {""token"": ""Msn4p"", ""start_span"": 196, ""end_span"": 201, ""type"": ""Gene/Protein""}]"
The role of HIV tat, which is the main enhancing factor for viral LTR, in the regulation of IL - 2 gene transcription has been studied following transient expression of the tat gene in phorbol ester and calcium ionophore - activated Jurkat cells transfected with IL - 2 promoter - chloramphenicol acetyltransferase reporter constructs.	"HIV tat	12	19	Gene/Protein"	"viral LTR	60	69	Gene/Protein"	"IL - 2 gene	92	103	Gene/Protein"	"tat gene	173	181	Gene/Protein"	"IL - 2	263	269	Gene/Protein"	"chloramphenicol acetyltransferase	281	314	Gene/Protein"	"[{""token"": ""HIV tat"", ""start_span"": 12, ""end_span"": 19, ""type"": ""Gene/Protein""}, {""token"": ""viral LTR"", ""start_span"": 60, ""end_span"": 69, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2 gene"", ""start_span"": 92, ""end_span"": 103, ""type"": ""Gene/Protein""}, {""token"": ""tat gene"", ""start_span"": 173, ""end_span"": 181, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2"", ""start_span"": 263, ""end_span"": 269, ""type"": ""Gene/Protein""}, {""token"": ""chloramphenicol acetyltransferase"", ""start_span"": 281, ""end_span"": 314, ""type"": ""Gene/Protein""}]"
Null alleles of SAS4 and SAS5 bypassed the role of the Abf1p binding site of the HMR - E silencer but not the role of the ACS or Rap1p binding site.	"SAS4	16	20	Gene/Protein"	"SAS5	25	29	Gene/Protein"	"Abf1p binding site	55	73	Gene/Protein"	"HMR - E silencer	81	97	Gene/Protein"	"ACS	122	125	Gene/Protein"	"Rap1p binding site	129	147	Gene/Protein"	"[{""token"": ""SAS4"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Gene/Protein""}, {""token"": ""SAS5"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Gene/Protein""}, {""token"": ""Abf1p binding site"", ""start_span"": 55, ""end_span"": 73, ""type"": ""Gene/Protein""}, {""token"": ""HMR - E silencer"", ""start_span"": 81, ""end_span"": 97, ""type"": ""Gene/Protein""}, {""token"": ""ACS"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Gene/Protein""}, {""token"": ""Rap1p binding site"", ""start_span"": 129, ""end_span"": 147, ""type"": ""Gene/Protein""}]"
Comparison with the bHLH / PAS family genes revealed that the intron / exon splice pattern of mBMAL1 most closely matches that of the mAhr, which suggests that BMAL1 and Ahr belong to the same subclass and may be derived from a common primordial gene.	"bHLH	20	24	Gene/Protein"	"PAS	27	30	Gene/Protein"	"mBMAL1	94	100	Gene/Protein"	"mAhr	134	138	Gene/Protein"	"BMAL1	160	165	Gene/Protein"	"Ahr	170	173	Gene/Protein"	"[{""token"": ""bHLH"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Gene/Protein""}, {""token"": ""PAS"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Gene/Protein""}, {""token"": ""mBMAL1"", ""start_span"": 94, ""end_span"": 100, ""type"": ""Gene/Protein""}, {""token"": ""mAhr"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Gene/Protein""}, {""token"": ""BMAL1"", ""start_span"": 160, ""end_span"": 165, ""type"": ""Gene/Protein""}, {""token"": ""Ahr"", ""start_span"": 170, ""end_span"": 173, ""type"": ""Gene/Protein""}]"
Combined expression of c - Jun and p65 induced vigorous transcription of IL - 2 promoter - and CD28RE - driven reporter constructs in both LFA - 3 - and B7 - 1 - costimulated Jurkat cells.	"c - Jun	23	30	Gene/Protein"	"p65	35	38	Gene/Protein"	"IL - 2	73	79	Gene/Protein"	"CD28RE - driven reporter constructs	95	130	Gene/Protein"	"LFA - 3	139	146	Gene/Protein"	"B7 - 1	153	159	Gene/Protein"	"[{""token"": ""c - Jun"", ""start_span"": 23, ""end_span"": 30, ""type"": ""Gene/Protein""}, {""token"": ""p65"", ""start_span"": 35, ""end_span"": 38, ""type"": ""Gene/Protein""}, {""token"": ""IL - 2"", ""start_span"": 73, ""end_span"": 79, ""type"": ""Gene/Protein""}, {""token"": ""CD28RE - driven reporter constructs"", ""start_span"": 95, ""end_span"": 130, ""type"": ""Gene/Protein""}, {""token"": ""LFA - 3"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Gene/Protein""}, {""token"": ""B7 - 1"", ""start_span"": 153, ""end_span"": 159, ""type"": ""Gene/Protein""}]"
Among these 360 ZFPs, a novel ZFP cDNA named HFHZ ( human fetal heart ZFP) with sequence homology to a Kruppel - associated box ( KRAB) was identified.	"ZFPs	16	20	Gene/Protein"	"ZFP cDNA	30	38	Gene/Protein"	"HFHZ	45	49	Gene/Protein"	"human fetal heart ZFP	52	73	Gene/Protein"	"Kruppel - associated box	103	127	Gene/Protein"	"KRAB	130	134	Gene/Protein"	"[{""token"": ""ZFPs"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Gene/Protein""}, {""token"": ""ZFP cDNA"", ""start_span"": 30, ""end_span"": 38, ""type"": ""Gene/Protein""}, {""token"": ""HFHZ"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Gene/Protein""}, {""token"": ""human fetal heart ZFP"", ""start_span"": 52, ""end_span"": 73, ""type"": ""Gene/Protein""}, {""token"": ""Kruppel - associated box"", ""start_span"": 103, ""end_span"": 127, ""type"": ""Gene/Protein""}, {""token"": ""KRAB"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Gene/Protein""}]"
Therefore, PC - PLC is a component of a signal transduction pathway leading to transcription of c - fos and junB that collaborates with c - myc and is independent of PKC - delta and Ras activation.	"PC - PLC	11	19	Gene/Protein"	"c - fos	96	103	Gene/Protein"	"junB	108	112	Gene/Protein"	"c - myc	136	143	Gene/Protein"	"PKC - delta	166	177	Gene/Protein"	"Ras	182	185	Gene/Protein"	"[{""token"": ""PC - PLC"", ""start_span"": 11, ""end_span"": 19, ""type"": ""Gene/Protein""}, {""token"": ""c - fos"", ""start_span"": 96, ""end_span"": 103, ""type"": ""Gene/Protein""}, {""token"": ""junB"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Gene/Protein""}, {""token"": ""c - myc"", ""start_span"": 136, ""end_span"": 143, ""type"": ""Gene/Protein""}, {""token"": ""PKC - delta"", ""start_span"": 166, ""end_span"": 177, ""type"": ""Gene/Protein""}, {""token"": ""Ras"", ""start_span"": 182, ""end_span"": 185, ""type"": ""Gene/Protein""}]"
