Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	entity_12	entity_13	entity_14	json	split
This study evaluates the main essential trace ( Co, Cr, Cu, Fe, I, Mn, Mo, Ni, Se and Zn) and toxic ( As, Cd, Hg and Pb) element concentrations in milk from organic and conventional farms in NW Spain ( n = 50).	Co,48,50,Chemical/Drug	Cr,52,54,Chemical/Drug	Cu,56,58,Chemical/Drug	Fe,60,62,Chemical/Drug	I,64,65,Chemical/Drug	Mn,67,69,Chemical/Drug	Mo,71,73,Chemical/Drug	Ni,75,77,Chemical/Drug	Se,79,81,Chemical/Drug	Zn,86,88,Chemical/Drug	As,102,104,Chemical/Drug	Cd,106,108,Chemical/Drug	Hg,110,112,Chemical/Drug	Pb,117,119,Chemical/Drug	"[{""token"": ""Co"", ""start_span"": 48, ""end_span"": 50, ""type"": ""Chemical/Drug""}, {""token"": ""Cr"", ""start_span"": 52, ""end_span"": 54, ""type"": ""Chemical/Drug""}, {""token"": ""Cu"", ""start_span"": 56, ""end_span"": 58, ""type"": ""Chemical/Drug""}, {""token"": ""Fe"", ""start_span"": 60, ""end_span"": 62, ""type"": ""Chemical/Drug""}, {""token"": ""I"", ""start_span"": 64, ""end_span"": 65, ""type"": ""Chemical/Drug""}, {""token"": ""Mn"", ""start_span"": 67, ""end_span"": 69, ""type"": ""Chemical/Drug""}, {""token"": ""Mo"", ""start_span"": 71, ""end_span"": 73, ""type"": ""Chemical/Drug""}, {""token"": ""Ni"", ""start_span"": 75, ""end_span"": 77, ""type"": ""Chemical/Drug""}, {""token"": ""Se"", ""start_span"": 79, ""end_span"": 81, ""type"": ""Chemical/Drug""}, {""token"": ""Zn"", ""start_span"": 86, ""end_span"": 88, ""type"": ""Chemical/Drug""}, {""token"": ""As"", ""start_span"": 102, ""end_span"": 104, ""type"": ""Chemical/Drug""}, {""token"": ""Cd"", ""start_span"": 106, ""end_span"": 108, ""type"": ""Chemical/Drug""}, {""token"": ""Hg"", ""start_span"": 110, ""end_span"": 112, ""type"": ""Chemical/Drug""}, {""token"": ""Pb"", ""start_span"": 117, ""end_span"": 119, ""type"": ""Chemical/Drug""}]"	train
We also found that Gln79, Ile82, Asp86, Trp88, His99, Ile102, Tyr103, Glu170, Pro174, Ala175, Asp185, Arg273, His277, and Tyr281 are crucial, and mutational studies on these residues could be helpful.	Gln79,19,24,Chemical/Drug	Ile82,26,31,Chemical/Drug	Asp86,33,38,Chemical/Drug	Trp88,40,45,Chemical/Drug	His99,47,52,Chemical/Drug	Ile102,54,60,Chemical/Drug	Tyr103,62,68,Chemical/Drug	Glu170,70,76,Chemical/Drug	Pro174,78,84,Chemical/Drug	Ala175,86,92,Chemical/Drug	Asp185,94,100,Chemical/Drug	Arg273,102,108,Chemical/Drug	His277,110,116,Chemical/Drug	Tyr281,122,128,Chemical/Drug	"[{""token"": ""Gln79"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Chemical/Drug""}, {""token"": ""Ile82"", ""start_span"": 26, ""end_span"": 31, ""type"": ""Chemical/Drug""}, {""token"": ""Asp86"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Chemical/Drug""}, {""token"": ""Trp88"", ""start_span"": 40, ""end_span"": 45, ""type"": ""Chemical/Drug""}, {""token"": ""His99"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Chemical/Drug""}, {""token"": ""Ile102"", ""start_span"": 54, ""end_span"": 60, ""type"": ""Chemical/Drug""}, {""token"": ""Tyr103"", ""start_span"": 62, ""end_span"": 68, ""type"": ""Chemical/Drug""}, {""token"": ""Glu170"", ""start_span"": 70, ""end_span"": 76, ""type"": ""Chemical/Drug""}, {""token"": ""Pro174"", ""start_span"": 78, ""end_span"": 84, ""type"": ""Chemical/Drug""}, {""token"": ""Ala175"", ""start_span"": 86, ""end_span"": 92, ""type"": ""Chemical/Drug""}, {""token"": ""Asp185"", ""start_span"": 94, ""end_span"": 100, ""type"": ""Chemical/Drug""}, {""token"": ""Arg273"", ""start_span"": 102, ""end_span"": 108, ""type"": ""Chemical/Drug""}, {""token"": ""His277"", ""start_span"": 110, ""end_span"": 116, ""type"": ""Chemical/Drug""}, {""token"": ""Tyr281"", ""start_span"": 122, ""end_span"": 128, ""type"": ""Chemical/Drug""}]"	train
The main components in the oil were beta - caryophyllene ( 56. 87%), alpha - cadinol ( 12. 52%), 8S, 13 - cedran - diol ( 5. 41%), alpha - terpineol ( 3. 99%), beta - eudesmol ( 2. 54%), caryophyllene oxide ( 2. 51%) and ethyl iso - allocholate ( 2. 03%) along with beta - cubebene, gamma - cadinene, cubenol, 1, 8 - cineol, o - cymene, curcumenol, spathulenol, friedeline and beta - sitosterol as minor constituents.	beta - caryophyllene,36,56,Chemical/Drug	alpha - cadinol,69,84,Chemical/Drug	alpha - terpineol,131,148,Chemical/Drug	beta - eudesmol,160,175,Chemical/Drug	caryophyllene oxide,187,206,Chemical/Drug	ethyl iso - allocholate,221,244,Chemical/Drug	beta - cubebene,266,281,Chemical/Drug	gamma - cadinene,283,299,Chemical/Drug	cubenol,301,308,Chemical/Drug	o - cymene,325,335,Chemical/Drug	curcumenol,337,347,Chemical/Drug	spathulenol,349,360,Chemical/Drug	friedeline,362,372,Chemical/Drug	beta - sitosterol,377,394,Chemical/Drug	"[{""token"": ""beta - caryophyllene"", ""start_span"": 36, ""end_span"": 56, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - cadinol"", ""start_span"": 69, ""end_span"": 84, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - terpineol"", ""start_span"": 131, ""end_span"": 148, ""type"": ""Chemical/Drug""}, {""token"": ""beta - eudesmol"", ""start_span"": 160, ""end_span"": 175, ""type"": ""Chemical/Drug""}, {""token"": ""caryophyllene oxide"", ""start_span"": 187, ""end_span"": 206, ""type"": ""Chemical/Drug""}, {""token"": ""ethyl iso - allocholate"", ""start_span"": 221, ""end_span"": 244, ""type"": ""Chemical/Drug""}, {""token"": ""beta - cubebene"", ""start_span"": 266, ""end_span"": 281, ""type"": ""Chemical/Drug""}, {""token"": ""gamma - cadinene"", ""start_span"": 283, ""end_span"": 299, ""type"": ""Chemical/Drug""}, {""token"": ""cubenol"", ""start_span"": 301, ""end_span"": 308, ""type"": ""Chemical/Drug""}, {""token"": ""o - cymene"", ""start_span"": 325, ""end_span"": 335, ""type"": ""Chemical/Drug""}, {""token"": ""curcumenol"", ""start_span"": 337, ""end_span"": 347, ""type"": ""Chemical/Drug""}, {""token"": ""spathulenol"", ""start_span"": 349, ""end_span"": 360, ""type"": ""Chemical/Drug""}, {""token"": ""friedeline"", ""start_span"": 362, ""end_span"": 372, ""type"": ""Chemical/Drug""}, {""token"": ""beta - sitosterol"", ""start_span"": 377, ""end_span"": 394, ""type"": ""Chemical/Drug""}]"	valid
The known compounds were identified as 3 beta - hydroxytaraxer - 14 - en - 28 - oic acid or aleuritolic acid ( 5) ( McPhail, A. T., McPhail, D. R., Wani, M. C., Wall, M. E. & A. W., Nicholas, A. W. ( 1989). Identity of maprounic acid with aleuritolic acid. Revision of the structure of maprounic acid: X - ray crystal structure of p - bromobenzyl acetylmaprounate. Journal Natural Products, 52, 212), 3 alpha - hydroxytaraxer - 14 - en - 28 - oic acid or isoaleuritolic acid ( 6), 3 alpha - acetyltaraxer - 14 - en - 28 - oic acid acetate or aleuritolic acid acetate ( 7) ( Chaudhuri, S. K., Fullas, F., Brown, D. M., Wani, M. C., Wall, M. E., Cai, L.,... Kinghorn, A. D. ( 1995). Isolation and structural elucidation of pentacyclic triterpenoids from Maprounea africana. Journal of Natural Products, 58, 1 - 9), 3 - oxo - taraxer - 14 - ene or taraxerone ( 8) beta - sitosterol ( 9) and stigmasterol ( 10) ( Kamboj & Saluja, 2011), together with fatty acids.	3 beta - hydroxytaraxer - 14 - en - 28 - oic acid,39,88,Chemical/Drug	aleuritolic acid,92,108,Chemical/Drug	maprounic acid,219,233,Chemical/Drug	aleuritolic acid,239,255,Chemical/Drug	maprounic acid,286,300,Chemical/Drug	p - bromobenzyl acetylmaprounate,331,363,Chemical/Drug	3 alpha - hydroxytaraxer - 14 - en - 28 - oic acid,401,451,Chemical/Drug	isoaleuritolic acid,455,474,Chemical/Drug	3 alpha - acetyltaraxer - 14 - en - 28 - oic acid acetate,481,538,Chemical/Drug	aleuritolic acid acetate,542,566,Chemical/Drug	3 - oxo - taraxer - 14 - ene,813,841,Chemical/Drug	taraxerone,845,855,Chemical/Drug	beta - sitosterol,861,878,Chemical/Drug	stigmasterol,888,900,Chemical/Drug	"[{""token"": ""3 beta - hydroxytaraxer - 14 - en - 28 - oic acid"", ""start_span"": 39, ""end_span"": 88, ""type"": ""Chemical/Drug""}, {""token"": ""aleuritolic acid"", ""start_span"": 92, ""end_span"": 108, ""type"": ""Chemical/Drug""}, {""token"": ""maprounic acid"", ""start_span"": 219, ""end_span"": 233, ""type"": ""Chemical/Drug""}, {""token"": ""aleuritolic acid"", ""start_span"": 239, ""end_span"": 255, ""type"": ""Chemical/Drug""}, {""token"": ""maprounic acid"", ""start_span"": 286, ""end_span"": 300, ""type"": ""Chemical/Drug""}, {""token"": ""p - bromobenzyl acetylmaprounate"", ""start_span"": 331, ""end_span"": 363, ""type"": ""Chemical/Drug""}, {""token"": ""3 alpha - hydroxytaraxer - 14 - en - 28 - oic acid"", ""start_span"": 401, ""end_span"": 451, ""type"": ""Chemical/Drug""}, {""token"": ""isoaleuritolic acid"", ""start_span"": 455, ""end_span"": 474, ""type"": ""Chemical/Drug""}, {""token"": ""3 alpha - acetyltaraxer - 14 - en - 28 - oic acid acetate"", ""start_span"": 481, ""end_span"": 538, ""type"": ""Chemical/Drug""}, {""token"": ""aleuritolic acid acetate"", ""start_span"": 542, ""end_span"": 566, ""type"": ""Chemical/Drug""}, {""token"": ""3 - oxo - taraxer - 14 - ene"", ""start_span"": 813, ""end_span"": 841, ""type"": ""Chemical/Drug""}, {""token"": ""taraxerone"", ""start_span"": 845, ""end_span"": 855, ""type"": ""Chemical/Drug""}, {""token"": ""beta - sitosterol"", ""start_span"": 861, ""end_span"": 878, ""type"": ""Chemical/Drug""}, {""token"": ""stigmasterol"", ""start_span"": 888, ""end_span"": 900, ""type"": ""Chemical/Drug""}]"	valid
Herein, we report the antioxidant properties of some selected substituted 2 - indolyl carbohydrazides ( JL34, JL40, JL71, JL87, JL317, JL432, JL436), the substituted 3 - indolyl carbohydrazide JL344, 3 - ( 3 - hydrazinylpropyl) - 1H - indole ( JL72) and 3 - ( 1H - indol - 3 - yl) propanehydrazide ( JL418), throughout the assessment of their antioxidative potential using different antioxidant assays such as DPPH, lipid peroxidation in the APPH, or the DMSO method.	2 - indolyl carbohydrazides,74,101,Chemical/Drug	JL34,104,108,Chemical/Drug	JL40,110,114,Chemical/Drug	JL71,116,120,Chemical/Drug	JL87,122,126,Chemical/Drug	JL317,128,133,Chemical/Drug	JL432,135,140,Chemical/Drug	JL436,142,147,Chemical/Drug	3 - indolyl carbohydrazide,166,192,Chemical/Drug	JL344,193,198,Chemical/Drug	JL72,244,248,Chemical/Drug	JL418,300,305,Chemical/Drug	DPPH,410,414,Chemical/Drug	DMSO,455,459,Chemical/Drug	"[{""token"": ""2 - indolyl carbohydrazides"", ""start_span"": 74, ""end_span"": 101, ""type"": ""Chemical/Drug""}, {""token"": ""JL34"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Chemical/Drug""}, {""token"": ""JL40"", ""start_span"": 110, ""end_span"": 114, ""type"": ""Chemical/Drug""}, {""token"": ""JL71"", ""start_span"": 116, ""end_span"": 120, ""type"": ""Chemical/Drug""}, {""token"": ""JL87"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Chemical/Drug""}, {""token"": ""JL317"", ""start_span"": 128, ""end_span"": 133, ""type"": ""Chemical/Drug""}, {""token"": ""JL432"", ""start_span"": 135, ""end_span"": 140, ""type"": ""Chemical/Drug""}, {""token"": ""JL436"", ""start_span"": 142, ""end_span"": 147, ""type"": ""Chemical/Drug""}, {""token"": ""3 - indolyl carbohydrazide"", ""start_span"": 166, ""end_span"": 192, ""type"": ""Chemical/Drug""}, {""token"": ""JL344"", ""start_span"": 193, ""end_span"": 198, ""type"": ""Chemical/Drug""}, {""token"": ""JL72"", ""start_span"": 244, ""end_span"": 248, ""type"": ""Chemical/Drug""}, {""token"": ""JL418"", ""start_span"": 300, ""end_span"": 305, ""type"": ""Chemical/Drug""}, {""token"": ""DPPH"", ""start_span"": 410, ""end_span"": 414, ""type"": ""Chemical/Drug""}, {""token"": ""DMSO"", ""start_span"": 455, ""end_span"": 459, ""type"": ""Chemical/Drug""}]"	valid
Moreover, exposure to the OP pesticides resulted in increased 7 - methylguanine, ribothymidine, cholic acid, 4 - pyridoxic acid, kynurenine and indoxyl sulfate levels, as well as decreased hippuric acid, creatinine, uric acid, gentisic acid, C18 - dihydrosphingosine, phytosphingosine, suberic acid and citric acid.	7 - methylguanine,62,79,Chemical/Drug	ribothymidine,81,94,Chemical/Drug	cholic acid,96,107,Chemical/Drug	4 - pyridoxic acid,109,127,Chemical/Drug	kynurenine,129,139,Chemical/Drug	indoxyl sulfate,144,159,Chemical/Drug	hippuric acid,189,202,Chemical/Drug	creatinine,204,214,Chemical/Drug	uric acid,216,225,Chemical/Drug	gentisic acid,227,240,Chemical/Drug	C18 - dihydrosphingosine,242,266,Chemical/Drug	phytosphingosine,268,284,Chemical/Drug	suberic acid,286,298,Chemical/Drug	citric acid,303,314,Chemical/Drug	"[{""token"": ""7 - methylguanine"", ""start_span"": 62, ""end_span"": 79, ""type"": ""Chemical/Drug""}, {""token"": ""ribothymidine"", ""start_span"": 81, ""end_span"": 94, ""type"": ""Chemical/Drug""}, {""token"": ""cholic acid"", ""start_span"": 96, ""end_span"": 107, ""type"": ""Chemical/Drug""}, {""token"": ""4 - pyridoxic acid"", ""start_span"": 109, ""end_span"": 127, ""type"": ""Chemical/Drug""}, {""token"": ""kynurenine"", ""start_span"": 129, ""end_span"": 139, ""type"": ""Chemical/Drug""}, {""token"": ""indoxyl sulfate"", ""start_span"": 144, ""end_span"": 159, ""type"": ""Chemical/Drug""}, {""token"": ""hippuric acid"", ""start_span"": 189, ""end_span"": 202, ""type"": ""Chemical/Drug""}, {""token"": ""creatinine"", ""start_span"": 204, ""end_span"": 214, ""type"": ""Chemical/Drug""}, {""token"": ""uric acid"", ""start_span"": 216, ""end_span"": 225, ""type"": ""Chemical/Drug""}, {""token"": ""gentisic acid"", ""start_span"": 227, ""end_span"": 240, ""type"": ""Chemical/Drug""}, {""token"": ""C18 - dihydrosphingosine"", ""start_span"": 242, ""end_span"": 266, ""type"": ""Chemical/Drug""}, {""token"": ""phytosphingosine"", ""start_span"": 268, ""end_span"": 284, ""type"": ""Chemical/Drug""}, {""token"": ""suberic acid"", ""start_span"": 286, ""end_span"": 298, ""type"": ""Chemical/Drug""}, {""token"": ""citric acid"", ""start_span"": 303, ""end_span"": 314, ""type"": ""Chemical/Drug""}]"	valid
OCPs ( hexachlorocyclohexan ( HCH), aldrin, dieldrin, endosulfan, pp ' - dichlorodiphenyldich ( pp ' - DDE), op ' - DDE, pp ' - dichlorodiphenyltric ( pp ' - DDT), op ' - DDT, pp ' - dichlorodiphenyldich ( pp ' - DDD) and op ' - DDD) were extracted from blood and quantitatively estimated using gas chromatography.	hexachlorocyclohexan,7,27,Chemical/Drug	HCH,30,33,Chemical/Drug	aldrin,36,42,Chemical/Drug	dieldrin,44,52,Chemical/Drug	endosulfan,54,64,Chemical/Drug	pp ' - dichlorodiphenyldich,66,93,Chemical/Drug	pp ' - DDE,96,106,Chemical/Drug	op ' - DDE,109,119,Chemical/Drug	pp ' - dichlorodiphenyltric,121,148,Chemical/Drug	pp ' - DDT,151,161,Chemical/Drug	op ' - DDT,164,174,Chemical/Drug	pp ' - dichlorodiphenyldich,176,203,Chemical/Drug	pp ' - DDD,206,216,Chemical/Drug	op ' - DDD,222,232,Chemical/Drug	"[{""token"": ""hexachlorocyclohexan"", ""start_span"": 7, ""end_span"": 27, ""type"": ""Chemical/Drug""}, {""token"": ""HCH"", ""start_span"": 30, ""end_span"": 33, ""type"": ""Chemical/Drug""}, {""token"": ""aldrin"", ""start_span"": 36, ""end_span"": 42, ""type"": ""Chemical/Drug""}, {""token"": ""dieldrin"", ""start_span"": 44, ""end_span"": 52, ""type"": ""Chemical/Drug""}, {""token"": ""endosulfan"", ""start_span"": 54, ""end_span"": 64, ""type"": ""Chemical/Drug""}, {""token"": ""pp ' - dichlorodiphenyldich"", ""start_span"": 66, ""end_span"": 93, ""type"": ""Chemical/Drug""}, {""token"": ""pp ' - DDE"", ""start_span"": 96, ""end_span"": 106, ""type"": ""Chemical/Drug""}, {""token"": ""op ' - DDE"", ""start_span"": 109, ""end_span"": 119, ""type"": ""Chemical/Drug""}, {""token"": ""pp ' - dichlorodiphenyltric"", ""start_span"": 121, ""end_span"": 148, ""type"": ""Chemical/Drug""}, {""token"": ""pp ' - DDT"", ""start_span"": 151, ""end_span"": 161, ""type"": ""Chemical/Drug""}, {""token"": ""op ' - DDT"", ""start_span"": 164, ""end_span"": 174, ""type"": ""Chemical/Drug""}, {""token"": ""pp ' - dichlorodiphenyldich"", ""start_span"": 176, ""end_span"": 203, ""type"": ""Chemical/Drug""}, {""token"": ""pp ' - DDD"", ""start_span"": 206, ""end_span"": 216, ""type"": ""Chemical/Drug""}, {""token"": ""op ' - DDD"", ""start_span"": 222, ""end_span"": 232, ""type"": ""Chemical/Drug""}]"	test
Eight hydrolysable tannins ( gallic acid, gallic acid methyl ester, corilagin, chebulagic acid, 1, 2, 3, 6 - tetra - O - galloyl - beta - D - glucose, ellagic acid, chebulinic acid, and 1, 2, 3, 4, 6 - penta - O - galloyl - beta - D - glucose) and six triterpene saponins ( arjunglucoside - I, arjunglucoside - III, chebuloside II, bellericoside, arjunetin, and arjunglucoside - II) could be separated within 20 minutes.	tannins,19,26,Chemical/Drug	gallic acid,29,40,Chemical/Drug	gallic acid methyl ester,42,66,Chemical/Drug	corilagin,68,77,Chemical/Drug	chebulagic acid,79,94,Chemical/Drug	ellagic acid,151,163,Chemical/Drug	chebulinic acid,165,180,Chemical/Drug	triterpene saponins,252,271,Chemical/Drug	arjunglucoside - I,274,292,Chemical/Drug	arjunglucoside - III,294,314,Chemical/Drug	chebuloside II,316,330,Chemical/Drug	bellericoside,332,345,Chemical/Drug	arjunetin,347,356,Chemical/Drug	arjunglucoside - II,362,381,Chemical/Drug	"[{""token"": ""tannins"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Chemical/Drug""}, {""token"": ""gallic acid"", ""start_span"": 29, ""end_span"": 40, ""type"": ""Chemical/Drug""}, {""token"": ""gallic acid methyl ester"", ""start_span"": 42, ""end_span"": 66, ""type"": ""Chemical/Drug""}, {""token"": ""corilagin"", ""start_span"": 68, ""end_span"": 77, ""type"": ""Chemical/Drug""}, {""token"": ""chebulagic acid"", ""start_span"": 79, ""end_span"": 94, ""type"": ""Chemical/Drug""}, {""token"": ""ellagic acid"", ""start_span"": 151, ""end_span"": 163, ""type"": ""Chemical/Drug""}, {""token"": ""chebulinic acid"", ""start_span"": 165, ""end_span"": 180, ""type"": ""Chemical/Drug""}, {""token"": ""triterpene saponins"", ""start_span"": 252, ""end_span"": 271, ""type"": ""Chemical/Drug""}, {""token"": ""arjunglucoside - I"", ""start_span"": 274, ""end_span"": 292, ""type"": ""Chemical/Drug""}, {""token"": ""arjunglucoside - III"", ""start_span"": 294, ""end_span"": 314, ""type"": ""Chemical/Drug""}, {""token"": ""chebuloside II"", ""start_span"": 316, ""end_span"": 330, ""type"": ""Chemical/Drug""}, {""token"": ""bellericoside"", ""start_span"": 332, ""end_span"": 345, ""type"": ""Chemical/Drug""}, {""token"": ""arjunetin"", ""start_span"": 347, ""end_span"": 356, ""type"": ""Chemical/Drug""}, {""token"": ""arjunglucoside - II"", ""start_span"": 362, ""end_span"": 381, ""type"": ""Chemical/Drug""}]"	test
Glutathione ( GSH), oxidized glutathione ( GSSG) and total thiol ( total - SH) content, GSH reductase ( GR) and GSH peroxidase ( GSH - Px) activities, malondialdehyde ( MDA) level, as well as 4 - hydroxynonenal ( 4 - HNE) and MDA modified proteins in homogenates of cerebral cortex were measured.	Glutathione,0,11,Chemical/Drug	GSH,14,17,Chemical/Drug	oxidized glutathione,20,40,Chemical/Drug	GSSG,43,47,Chemical/Drug	thiol,59,64,Chemical/Drug	SH,75,77,Chemical/Drug	GSH,88,91,Chemical/Drug	GSH,112,115,Chemical/Drug	GSH,129,132,Chemical/Drug	malondialdehyde,151,166,Chemical/Drug	MDA,169,172,Chemical/Drug	4 - hydroxynonenal,192,210,Chemical/Drug	4 - HNE,213,220,Chemical/Drug	MDA,226,229,Chemical/Drug	"[{""token"": ""Glutathione"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Chemical/Drug""}, {""token"": ""GSH"", ""start_span"": 14, ""end_span"": 17, ""type"": ""Chemical/Drug""}, {""token"": ""oxidized glutathione"", ""start_span"": 20, ""end_span"": 40, ""type"": ""Chemical/Drug""}, {""token"": ""GSSG"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Chemical/Drug""}, {""token"": ""thiol"", ""start_span"": 59, ""end_span"": 64, ""type"": ""Chemical/Drug""}, {""token"": ""SH"", ""start_span"": 75, ""end_span"": 77, ""type"": ""Chemical/Drug""}, {""token"": ""GSH"", ""start_span"": 88, ""end_span"": 91, ""type"": ""Chemical/Drug""}, {""token"": ""GSH"", ""start_span"": 112, ""end_span"": 115, ""type"": ""Chemical/Drug""}, {""token"": ""GSH"", ""start_span"": 129, ""end_span"": 132, ""type"": ""Chemical/Drug""}, {""token"": ""malondialdehyde"", ""start_span"": 151, ""end_span"": 166, ""type"": ""Chemical/Drug""}, {""token"": ""MDA"", ""start_span"": 169, ""end_span"": 172, ""type"": ""Chemical/Drug""}, {""token"": ""4 - hydroxynonenal"", ""start_span"": 192, ""end_span"": 210, ""type"": ""Chemical/Drug""}, {""token"": ""4 - HNE"", ""start_span"": 213, ""end_span"": 220, ""type"": ""Chemical/Drug""}, {""token"": ""MDA"", ""start_span"": 226, ""end_span"": 229, ""type"": ""Chemical/Drug""}]"	test
This study evaluates the main essential trace ( Co, Cr, Cu, Fe, I, Mn, Mo, Ni, Se and Zn) and toxic ( As, Cd, Hg and Pb) element concentrations in milk from organic and conventional farms in NW Spain ( n = 50).	Co,48,50,Chemical/Drug	Cr,52,54,Chemical/Drug	Cu,56,58,Chemical/Drug	Fe,60,62,Chemical/Drug	I,64,65,Chemical/Drug	Mn,67,69,Chemical/Drug	Mo,71,73,Chemical/Drug	Ni,75,77,Chemical/Drug	Se,79,81,Chemical/Drug	Zn,86,88,Chemical/Drug	As,102,104,Chemical/Drug	Cd,106,108,Chemical/Drug	Hg,110,112,Chemical/Drug	Pb,117,119,Chemical/Drug	"[{""token"": ""Co"", ""start_span"": 48, ""end_span"": 50, ""type"": ""Chemical/Drug""}, {""token"": ""Cr"", ""start_span"": 52, ""end_span"": 54, ""type"": ""Chemical/Drug""}, {""token"": ""Cu"", ""start_span"": 56, ""end_span"": 58, ""type"": ""Chemical/Drug""}, {""token"": ""Fe"", ""start_span"": 60, ""end_span"": 62, ""type"": ""Chemical/Drug""}, {""token"": ""I"", ""start_span"": 64, ""end_span"": 65, ""type"": ""Chemical/Drug""}, {""token"": ""Mn"", ""start_span"": 67, ""end_span"": 69, ""type"": ""Chemical/Drug""}, {""token"": ""Mo"", ""start_span"": 71, ""end_span"": 73, ""type"": ""Chemical/Drug""}, {""token"": ""Ni"", ""start_span"": 75, ""end_span"": 77, ""type"": ""Chemical/Drug""}, {""token"": ""Se"", ""start_span"": 79, ""end_span"": 81, ""type"": ""Chemical/Drug""}, {""token"": ""Zn"", ""start_span"": 86, ""end_span"": 88, ""type"": ""Chemical/Drug""}, {""token"": ""As"", ""start_span"": 102, ""end_span"": 104, ""type"": ""Chemical/Drug""}, {""token"": ""Cd"", ""start_span"": 106, ""end_span"": 108, ""type"": ""Chemical/Drug""}, {""token"": ""Hg"", ""start_span"": 110, ""end_span"": 112, ""type"": ""Chemical/Drug""}, {""token"": ""Pb"", ""start_span"": 117, ""end_span"": 119, ""type"": ""Chemical/Drug""}]"	train
