Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
We have observed a disturbance in the level of antioxidants in erythrocyte lysate manifested by an increase in metallothionein and glutathione concentrations as well as superoxide dismutase and glutathione peroxidase activities and the decrease in glutathione S - transferase activity.	glutathione,131,142,Chemical/Drug	superoxide,169,179,Chemical/Drug	glutathione,194,205,Chemical/Drug	glutathione,248,259,Chemical/Drug	S,260,261,Chemical/Drug	"[{""token"": ""glutathione"", ""start_span"": 131, ""end_span"": 142, ""type"": ""Chemical/Drug""}, {""token"": ""superoxide"", ""start_span"": 169, ""end_span"": 179, ""type"": ""Chemical/Drug""}, {""token"": ""glutathione"", ""start_span"": 194, ""end_span"": 205, ""type"": ""Chemical/Drug""}, {""token"": ""glutathione"", ""start_span"": 248, ""end_span"": 259, ""type"": ""Chemical/Drug""}, {""token"": ""S"", ""start_span"": 260, ""end_span"": 261, ""type"": ""Chemical/Drug""}]"	train
The main constituents that resulted were pulegone ( 78%), menthone ( 0. 5%), isomenthone ( 18%), isopulegone ( 1. 3%) and limonene ( 1. 76%).	pulegone,41,49,Chemical/Drug	menthone,58,66,Chemical/Drug	isomenthone,77,88,Chemical/Drug	isopulegone,97,108,Chemical/Drug	limonene,122,130,Chemical/Drug	"[{""token"": ""pulegone"", ""start_span"": 41, ""end_span"": 49, ""type"": ""Chemical/Drug""}, {""token"": ""menthone"", ""start_span"": 58, ""end_span"": 66, ""type"": ""Chemical/Drug""}, {""token"": ""isomenthone"", ""start_span"": 77, ""end_span"": 88, ""type"": ""Chemical/Drug""}, {""token"": ""isopulegone"", ""start_span"": 97, ""end_span"": 108, ""type"": ""Chemical/Drug""}, {""token"": ""limonene"", ""start_span"": 122, ""end_span"": 130, ""type"": ""Chemical/Drug""}]"	train
The solvents evaluated were N - methyl - 2 - pyrrolidone ( NMP), 2 - pyrrolidone ( 2P), triacetine ( TA) and benzyl benzoate ( BB).	N - methyl - 2 - pyrrolidone,28,56,Chemical/Drug	NMP,59,62,Chemical/Drug	2 - pyrrolidone,65,80,Chemical/Drug	triacetine,88,98,Chemical/Drug	benzyl benzoate,109,124,Chemical/Drug	"[{""token"": ""N - methyl - 2 - pyrrolidone"", ""start_span"": 28, ""end_span"": 56, ""type"": ""Chemical/Drug""}, {""token"": ""NMP"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Chemical/Drug""}, {""token"": ""2 - pyrrolidone"", ""start_span"": 65, ""end_span"": 80, ""type"": ""Chemical/Drug""}, {""token"": ""triacetine"", ""start_span"": 88, ""end_span"": 98, ""type"": ""Chemical/Drug""}, {""token"": ""benzyl benzoate"", ""start_span"": 109, ""end_span"": 124, ""type"": ""Chemical/Drug""}]"	train
hyberna. resulted in the isolation and identification of four triterpenoids ( 3 beta - O - octadecanoyllupeol ( 1), glut - 5 - en - 3 beta - ol ( 2), 24 - methylenecicloartan - 3 beta - ol ( 3) and cicloart - 23 - ene - 3 beta, 25 - diol ( 6)) along with the phenolic compounds ellagic acid ( 4) and 3, 3 ' - di - O - methylellagic acid ( 7).	triterpenoids,62,75,Chemical/Drug	3 beta - O - octadecanoyllupeol,78,109,Chemical/Drug	glut - 5 - en - 3 beta - ol,116,143,Chemical/Drug	24 - methylenecicloartan - 3 beta - ol,150,188,Chemical/Drug	ellagic acid,278,290,Chemical/Drug	"[{""token"": ""triterpenoids"", ""start_span"": 62, ""end_span"": 75, ""type"": ""Chemical/Drug""}, {""token"": ""3 beta - O - octadecanoyllupeol"", ""start_span"": 78, ""end_span"": 109, ""type"": ""Chemical/Drug""}, {""token"": ""glut - 5 - en - 3 beta - ol"", ""start_span"": 116, ""end_span"": 143, ""type"": ""Chemical/Drug""}, {""token"": ""24 - methylenecicloartan - 3 beta - ol"", ""start_span"": 150, ""end_span"": 188, ""type"": ""Chemical/Drug""}, {""token"": ""ellagic acid"", ""start_span"": 278, ""end_span"": 290, ""type"": ""Chemical/Drug""}]"	train
The GC - MS analysis of chloroform extracts has shown the presence of compounds like eicosane, oleic acid, stigmasterol and vitamin E.	chloroform,24,34,Chemical/Drug	eicosane,85,93,Chemical/Drug	oleic acid,95,105,Chemical/Drug	stigmasterol,107,119,Chemical/Drug	vitamin E,124,133,Chemical/Drug	"[{""token"": ""chloroform"", ""start_span"": 24, ""end_span"": 34, ""type"": ""Chemical/Drug""}, {""token"": ""eicosane"", ""start_span"": 85, ""end_span"": 93, ""type"": ""Chemical/Drug""}, {""token"": ""oleic acid"", ""start_span"": 95, ""end_span"": 105, ""type"": ""Chemical/Drug""}, {""token"": ""stigmasterol"", ""start_span"": 107, ""end_span"": 119, ""type"": ""Chemical/Drug""}, {""token"": ""vitamin E"", ""start_span"": 124, ""end_span"": 133, ""type"": ""Chemical/Drug""}]"	train
In this study, indomethacin ( a poorly water - soluble drug) was chosen as a model compound and aimed to evaluate the physicochemical and biopharmaceutical properties of an analog of indomethacin ( IMC), fluoro - indomethacin ( F - IMC).	indomethacin,15,27,Chemical/Drug	indomethacin,183,195,Chemical/Drug	IMC,198,201,Chemical/Drug	fluoro - indomethacin,204,225,Chemical/Drug	F - IMC,228,235,Chemical/Drug	"[{""token"": ""indomethacin"", ""start_span"": 15, ""end_span"": 27, ""type"": ""Chemical/Drug""}, {""token"": ""indomethacin"", ""start_span"": 183, ""end_span"": 195, ""type"": ""Chemical/Drug""}, {""token"": ""IMC"", ""start_span"": 198, ""end_span"": 201, ""type"": ""Chemical/Drug""}, {""token"": ""fluoro - indomethacin"", ""start_span"": 204, ""end_span"": 225, ""type"": ""Chemical/Drug""}, {""token"": ""F - IMC"", ""start_span"": 228, ""end_span"": 235, ""type"": ""Chemical/Drug""}]"	train
The increase in GluA1 phosphorylation produced by DHPG is also prevented by blockade of adenosine A2A receptors ( A2ARs), which are known to promote cAMP signaling specifically in striatopallidal MSNs, as well as by enzymatic degradation of endogenous adenosine, achieved with adenosine deaminase.	DHPG,50,54,Chemical/Drug	adenosine,88,97,Chemical/Drug	cAMP,149,153,Chemical/Drug	adenosine,252,261,Chemical/Drug	adenosine,277,286,Chemical/Drug	"[{""token"": ""DHPG"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Chemical/Drug""}, {""token"": ""adenosine"", ""start_span"": 88, ""end_span"": 97, ""type"": ""Chemical/Drug""}, {""token"": ""cAMP"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Chemical/Drug""}, {""token"": ""adenosine"", ""start_span"": 252, ""end_span"": 261, ""type"": ""Chemical/Drug""}, {""token"": ""adenosine"", ""start_span"": 277, ""end_span"": 286, ""type"": ""Chemical/Drug""}]"	train
However, following prolonged pretreatment with haloperidol ( three doses evenly spaced over 18 - 20 h) or reserpine ( 18 - 20 h), DCPG robustly reverses haloperidol - induced catalepsy and reserpine - induced akinesia.	haloperidol,47,58,Chemical/Drug	reserpine,106,115,Chemical/Drug	DCPG,130,134,Chemical/Drug	haloperidol,153,164,Chemical/Drug	reserpine,189,198,Chemical/Drug	"[{""token"": ""haloperidol"", ""start_span"": 47, ""end_span"": 58, ""type"": ""Chemical/Drug""}, {""token"": ""reserpine"", ""start_span"": 106, ""end_span"": 115, ""type"": ""Chemical/Drug""}, {""token"": ""DCPG"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Chemical/Drug""}, {""token"": ""haloperidol"", ""start_span"": 153, ""end_span"": 164, ""type"": ""Chemical/Drug""}, {""token"": ""reserpine"", ""start_span"": 189, ""end_span"": 198, ""type"": ""Chemical/Drug""}]"	train
In aortic rings, relaxation to acetylcholine and vasoreactivity to noradrenaline were impaired, whereas aortic iNOS expression and plasma tumor necrosis factor - alpha ( TNF - alpha) and interleukin - 6 ( IL - 6), total nitrite - nitrate, and malondialdehite levels were increased in diabetic rats compared with controls.	acetylcholine,31,44,Chemical/Drug	noradrenaline,67,80,Chemical/Drug	nitrite,220,227,Chemical/Drug	nitrate,230,237,Chemical/Drug	malondialdehite,243,258,Chemical/Drug	"[{""token"": ""acetylcholine"", ""start_span"": 31, ""end_span"": 44, ""type"": ""Chemical/Drug""}, {""token"": ""noradrenaline"", ""start_span"": 67, ""end_span"": 80, ""type"": ""Chemical/Drug""}, {""token"": ""nitrite"", ""start_span"": 220, ""end_span"": 227, ""type"": ""Chemical/Drug""}, {""token"": ""nitrate"", ""start_span"": 230, ""end_span"": 237, ""type"": ""Chemical/Drug""}, {""token"": ""malondialdehite"", ""start_span"": 243, ""end_span"": 258, ""type"": ""Chemical/Drug""}]"	train
Cytotoxicity of semisynthetic acetal triterpenes from one - pot vicinal diol cleavage following by lactolization: Reaction promoted by NaIO4 / SiO2 gel in THF.	acetal triterpenes,30,48,Chemical/Drug	vicinal diol,64,76,Chemical/Drug	NaIO4,135,140,Chemical/Drug	SiO2,143,147,Chemical/Drug	THF,155,158,Chemical/Drug	"[{""token"": ""acetal triterpenes"", ""start_span"": 30, ""end_span"": 48, ""type"": ""Chemical/Drug""}, {""token"": ""vicinal diol"", ""start_span"": 64, ""end_span"": 76, ""type"": ""Chemical/Drug""}, {""token"": ""NaIO4"", ""start_span"": 135, ""end_span"": 140, ""type"": ""Chemical/Drug""}, {""token"": ""SiO2"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Chemical/Drug""}, {""token"": ""THF"", ""start_span"": 155, ""end_span"": 158, ""type"": ""Chemical/Drug""}]"	train
Magnolia bark contains several compounds such as magnolol, honokiol, 4 - O - methylhonokiol, obovatol, and other neolignan compounds.	magnolol,49,57,Chemical/Drug	honokiol,59,67,Chemical/Drug	4 - O - methylhonokiol,69,91,Chemical/Drug	obovatol,93,101,Chemical/Drug	neolignan,113,122,Chemical/Drug	"[{""token"": ""magnolol"", ""start_span"": 49, ""end_span"": 57, ""type"": ""Chemical/Drug""}, {""token"": ""honokiol"", ""start_span"": 59, ""end_span"": 67, ""type"": ""Chemical/Drug""}, {""token"": ""4 - O - methylhonokiol"", ""start_span"": 69, ""end_span"": 91, ""type"": ""Chemical/Drug""}, {""token"": ""obovatol"", ""start_span"": 93, ""end_span"": 101, ""type"": ""Chemical/Drug""}, {""token"": ""neolignan"", ""start_span"": 113, ""end_span"": 122, ""type"": ""Chemical/Drug""}]"	train
Phytochemical investigations resulted in the isolation of ursolic acid, oleanolic acid, apigenin, luteolin and ixoroside.	ursolic acid,58,70,Chemical/Drug	oleanolic acid,72,86,Chemical/Drug	apigenin,88,96,Chemical/Drug	luteolin,98,106,Chemical/Drug	ixoroside,111,120,Chemical/Drug	"[{""token"": ""ursolic acid"", ""start_span"": 58, ""end_span"": 70, ""type"": ""Chemical/Drug""}, {""token"": ""oleanolic acid"", ""start_span"": 72, ""end_span"": 86, ""type"": ""Chemical/Drug""}, {""token"": ""apigenin"", ""start_span"": 88, ""end_span"": 96, ""type"": ""Chemical/Drug""}, {""token"": ""luteolin"", ""start_span"": 98, ""end_span"": 106, ""type"": ""Chemical/Drug""}, {""token"": ""ixoroside"", ""start_span"": 111, ""end_span"": 120, ""type"": ""Chemical/Drug""}]"	train
The determination of reactivation rate constants with bispyridinium oximes having different linkers, bearing oxime group ( s) at different positions and having in part additional substituents revealed that ( a) the reactivating potency was dependent on the position of the oxime groups and of additional substituents, ( b) small modifications of the oxime structure had an in part marked effect on the kinetic properties and ( c) no single oxime had an adequate reactivating potency with AChE inhibited by structurally different OP.	bispyridinium oximes,54,74,Chemical/Drug	oxime,109,114,Chemical/Drug	oxime,273,278,Chemical/Drug	oxime,350,355,Chemical/Drug	oxime,440,445,Chemical/Drug	"[{""token"": ""bispyridinium oximes"", ""start_span"": 54, ""end_span"": 74, ""type"": ""Chemical/Drug""}, {""token"": ""oxime"", ""start_span"": 109, ""end_span"": 114, ""type"": ""Chemical/Drug""}, {""token"": ""oxime"", ""start_span"": 273, ""end_span"": 278, ""type"": ""Chemical/Drug""}, {""token"": ""oxime"", ""start_span"": 350, ""end_span"": 355, ""type"": ""Chemical/Drug""}, {""token"": ""oxime"", ""start_span"": 440, ""end_span"": 445, ""type"": ""Chemical/Drug""}]"	train
Omega - ( n) - 3 polyunsaturated fatty acids ( PUFAs), including docosahexaenoic acid ( DHA) and eicosapentaenoic acid ( EPA) are major components of neuronal membranes and have a wide range of functions, from modulating synaptic plasticity and neurochemistry, to neuroimmune - modulation and neuroprotection.	PUFAs,47,52,Chemical/Drug	docosahexaenoic acid,65,85,Chemical/Drug	DHA,88,91,Chemical/Drug	eicosapentaenoic acid,97,118,Chemical/Drug	EPA,121,124,Chemical/Drug	"[{""token"": ""PUFAs"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Chemical/Drug""}, {""token"": ""docosahexaenoic acid"", ""start_span"": 65, ""end_span"": 85, ""type"": ""Chemical/Drug""}, {""token"": ""DHA"", ""start_span"": 88, ""end_span"": 91, ""type"": ""Chemical/Drug""}, {""token"": ""eicosapentaenoic acid"", ""start_span"": 97, ""end_span"": 118, ""type"": ""Chemical/Drug""}, {""token"": ""EPA"", ""start_span"": 121, ""end_span"": 124, ""type"": ""Chemical/Drug""}]"	train
Aldo - keto reductases ( AKRs) metabolize a wide range of substrates, including polycyclic aromatic hydrocarbons ( PAHs), generating metabolites ( o - quinones) and reactive oxygen species ( ROS), which are capable of initiating and promoting carcinogenesis.	Aldo - keto,0,11,Chemical/Drug	polycyclic aromatic hydrocarbons,80,112,Chemical/Drug	PAHs,115,119,Chemical/Drug	o - quinones,147,159,Chemical/Drug	oxygen,174,180,Chemical/Drug	"[{""token"": ""Aldo - keto"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Chemical/Drug""}, {""token"": ""polycyclic aromatic hydrocarbons"", ""start_span"": 80, ""end_span"": 112, ""type"": ""Chemical/Drug""}, {""token"": ""PAHs"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Chemical/Drug""}, {""token"": ""o - quinones"", ""start_span"": 147, ""end_span"": 159, ""type"": ""Chemical/Drug""}, {""token"": ""oxygen"", ""start_span"": 174, ""end_span"": 180, ""type"": ""Chemical/Drug""}]"	train
HEDS is rapidly detoxified in normal glucose but triggered a p53 - independent metabolic stress in glucose depleted state that caused loss of NADPH, protein and non - protein thiol homeostasis and Ku function, and enhanced sensitivity of both p53 wild type and mutant cells to radiation induced oxidative stress.	HEDS,0,4,Chemical/Drug	glucose,37,44,Chemical/Drug	glucose,99,106,Chemical/Drug	NADPH,142,147,Chemical/Drug	thiol,175,180,Chemical/Drug	"[{""token"": ""HEDS"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical/Drug""}, {""token"": ""glucose"", ""start_span"": 37, ""end_span"": 44, ""type"": ""Chemical/Drug""}, {""token"": ""glucose"", ""start_span"": 99, ""end_span"": 106, ""type"": ""Chemical/Drug""}, {""token"": ""NADPH"", ""start_span"": 142, ""end_span"": 147, ""type"": ""Chemical/Drug""}, {""token"": ""thiol"", ""start_span"": 175, ""end_span"": 180, ""type"": ""Chemical/Drug""}]"	train
The aim of this study was to investigate the impact of nano - WC on tetrodotoxin ( TTX) - sensitive voltage - activated sodium current ( I ( Na)) of hippocampal CA1 pyramidal neurons.	WC,62,64,Chemical/Drug	tetrodotoxin,68,80,Chemical/Drug	TTX,83,86,Chemical/Drug	sodium,120,126,Chemical/Drug	Na,141,143,Chemical/Drug	"[{""token"": ""WC"", ""start_span"": 62, ""end_span"": 64, ""type"": ""Chemical/Drug""}, {""token"": ""tetrodotoxin"", ""start_span"": 68, ""end_span"": 80, ""type"": ""Chemical/Drug""}, {""token"": ""TTX"", ""start_span"": 83, ""end_span"": 86, ""type"": ""Chemical/Drug""}, {""token"": ""sodium"", ""start_span"": 120, ""end_span"": 126, ""type"": ""Chemical/Drug""}, {""token"": ""Na"", ""start_span"": 141, ""end_span"": 143, ""type"": ""Chemical/Drug""}]"	train
A library of more than 200 novel uncharged oxime reactivators was used to select and refine lead reactivators of human acetylcholinesterase ( hAChE) covalently conjugated with sarin, cyclosarin, VX, paraoxon and tabun.	oxime,43,48,Chemical/Drug	sarin,176,181,Chemical/Drug	cyclosarin,183,193,Chemical/Drug	paraoxon,199,207,Chemical/Drug	tabun,212,217,Chemical/Drug	"[{""token"": ""oxime"", ""start_span"": 43, ""end_span"": 48, ""type"": ""Chemical/Drug""}, {""token"": ""sarin"", ""start_span"": 176, ""end_span"": 181, ""type"": ""Chemical/Drug""}, {""token"": ""cyclosarin"", ""start_span"": 183, ""end_span"": 193, ""type"": ""Chemical/Drug""}, {""token"": ""paraoxon"", ""start_span"": 199, ""end_span"": 207, ""type"": ""Chemical/Drug""}, {""token"": ""tabun"", ""start_span"": 212, ""end_span"": 217, ""type"": ""Chemical/Drug""}]"	train
We used sugar alcohols ( glycerol, xylitol with 3 and 5 hydroxyl groups) and polysaccharide maltodextrin to exfoliate the MMT.	sugar alcohols,8,22,Chemical/Drug	glycerol,25,33,Chemical/Drug	xylitol,35,42,Chemical/Drug	hydroxyl,56,64,Chemical/Drug	MMT,122,125,Chemical/Drug	"[{""token"": ""sugar alcohols"", ""start_span"": 8, ""end_span"": 22, ""type"": ""Chemical/Drug""}, {""token"": ""glycerol"", ""start_span"": 25, ""end_span"": 33, ""type"": ""Chemical/Drug""}, {""token"": ""xylitol"", ""start_span"": 35, ""end_span"": 42, ""type"": ""Chemical/Drug""}, {""token"": ""hydroxyl"", ""start_span"": 56, ""end_span"": 64, ""type"": ""Chemical/Drug""}, {""token"": ""MMT"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Chemical/Drug""}]"	train
Comparison of emetic potencies of the 8 - ketotrichothecenes deoxynivalenol, 15 - acetyldeoxynivalenol, 3 - acetyldeoxynivalenol, fusarenon X, and nivalenol.	8 - ketotrichothecenes deoxynivalenol,38,75,Chemical/Drug	15 - acetyldeoxynivalenol,77,102,Chemical/Drug	3 - acetyldeoxynivalenol,104,128,Chemical/Drug	fusarenon X,130,141,Chemical/Drug	nivalenol,147,156,Chemical/Drug	"[{""token"": ""8 - ketotrichothecenes deoxynivalenol"", ""start_span"": 38, ""end_span"": 75, ""type"": ""Chemical/Drug""}, {""token"": ""15 - acetyldeoxynivalenol"", ""start_span"": 77, ""end_span"": 102, ""type"": ""Chemical/Drug""}, {""token"": ""3 - acetyldeoxynivalenol"", ""start_span"": 104, ""end_span"": 128, ""type"": ""Chemical/Drug""}, {""token"": ""fusarenon X"", ""start_span"": 130, ""end_span"": 141, ""type"": ""Chemical/Drug""}, {""token"": ""nivalenol"", ""start_span"": 147, ""end_span"": 156, ""type"": ""Chemical/Drug""}]"	train
Although the acute toxic effects of trichothecene mycotoxin deoxynivalenol ( DON or vomitoxin), a known cause of human food poisoning, have been well characterized in several animal species, much less is known about closely related 8 - ketotrichothecenes that similarly occur in cereal grains colonized by toxigenic fusaria.	trichothecene,36,49,Chemical/Drug	deoxynivalenol,60,74,Chemical/Drug	DON,77,80,Chemical/Drug	vomitoxin,84,93,Chemical/Drug	8 - ketotrichothecenes,232,254,Chemical/Drug	"[{""token"": ""trichothecene"", ""start_span"": 36, ""end_span"": 49, ""type"": ""Chemical/Drug""}, {""token"": ""deoxynivalenol"", ""start_span"": 60, ""end_span"": 74, ""type"": ""Chemical/Drug""}, {""token"": ""DON"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Chemical/Drug""}, {""token"": ""vomitoxin"", ""start_span"": 84, ""end_span"": 93, ""type"": ""Chemical/Drug""}, {""token"": ""8 - ketotrichothecenes"", ""start_span"": 232, ""end_span"": 254, ""type"": ""Chemical/Drug""}]"	train
Cytotoxic effects of rutin, quercetin and its metabolites were measured by MTT tetrazolium reduction test and the trypan blue exclusion assay on HL - 60 leukemic cells.	rutin,21,26,Chemical/Drug	quercetin,28,37,Chemical/Drug	MTT,75,78,Chemical/Drug	tetrazolium,79,90,Chemical/Drug	trypan blue,114,125,Chemical/Drug	"[{""token"": ""rutin"", ""start_span"": 21, ""end_span"": 26, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin"", ""start_span"": 28, ""end_span"": 37, ""type"": ""Chemical/Drug""}, {""token"": ""MTT"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Chemical/Drug""}, {""token"": ""tetrazolium"", ""start_span"": 79, ""end_span"": 90, ""type"": ""Chemical/Drug""}, {""token"": ""trypan blue"", ""start_span"": 114, ""end_span"": 125, ""type"": ""Chemical/Drug""}]"	train
Moreover, the rats of PTU + L - T4 + Vit E group spent less time to find the platform on days 4 and 5 than the PTU + L - T4 group.	PTU,22,25,Chemical/Drug	L - T4,28,34,Chemical/Drug	Vit E,37,42,Chemical/Drug	PTU,111,114,Chemical/Drug	L - T4,117,123,Chemical/Drug	"[{""token"": ""PTU"", ""start_span"": 22, ""end_span"": 25, ""type"": ""Chemical/Drug""}, {""token"": ""L - T4"", ""start_span"": 28, ""end_span"": 34, ""type"": ""Chemical/Drug""}, {""token"": ""Vit E"", ""start_span"": 37, ""end_span"": 42, ""type"": ""Chemical/Drug""}, {""token"": ""PTU"", ""start_span"": 111, ""end_span"": 114, ""type"": ""Chemical/Drug""}, {""token"": ""L - T4"", ""start_span"": 117, ""end_span"": 123, ""type"": ""Chemical/Drug""}]"	train
A method based on ultrasonic extraction and purification by solid phase extraction followed by LC - MS / MS and GC - MS analysis was developed for the determination of genistein, genistin, iprodione, vinclozolin and procymidone in infant powdered formulas.	genistein,168,177,Chemical/Drug	genistin,179,187,Chemical/Drug	iprodione,189,198,Chemical/Drug	vinclozolin,200,211,Chemical/Drug	procymidone,216,227,Chemical/Drug	"[{""token"": ""genistein"", ""start_span"": 168, ""end_span"": 177, ""type"": ""Chemical/Drug""}, {""token"": ""genistin"", ""start_span"": 179, ""end_span"": 187, ""type"": ""Chemical/Drug""}, {""token"": ""iprodione"", ""start_span"": 189, ""end_span"": 198, ""type"": ""Chemical/Drug""}, {""token"": ""vinclozolin"", ""start_span"": 200, ""end_span"": 211, ""type"": ""Chemical/Drug""}, {""token"": ""procymidone"", ""start_span"": 216, ""end_span"": 227, ""type"": ""Chemical/Drug""}]"	train
