Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	json	split
Digestive glands from the bivalve species and liver from Atlantic cod were analysed for biomarkers of oxidative stress ( catalase [ CAT], glutathione peroxidase [ GPX], glutathione - S - transferase activities [ GST], lipid peroxidation as thiobarbituric reactive substances [ TBARS] and total oxyradical scavenging capacity [ TOSC]), biotransformation ( ethoxyresorufine - O - deethylase activity [ EROD]) and general stress ( lysosomal membrane stability [ LMS]).	glutathione,138,149,Chemical/Drug	glutathione,169,180,Chemical/Drug	S,183,184,Chemical/Drug	thiobarbituric,240,254,Chemical/Drug	ethoxyresorufine,355,371,Chemical/Drug	O,374,375,Chemical/Drug	"[{""token"": ""glutathione"", ""start_span"": 138, ""end_span"": 149, ""type"": ""Chemical/Drug""}, {""token"": ""glutathione"", ""start_span"": 169, ""end_span"": 180, ""type"": ""Chemical/Drug""}, {""token"": ""S"", ""start_span"": 183, ""end_span"": 184, ""type"": ""Chemical/Drug""}, {""token"": ""thiobarbituric"", ""start_span"": 240, ""end_span"": 254, ""type"": ""Chemical/Drug""}, {""token"": ""ethoxyresorufine"", ""start_span"": 355, ""end_span"": 371, ""type"": ""Chemical/Drug""}, {""token"": ""O"", ""start_span"": 374, ""end_span"": 375, ""type"": ""Chemical/Drug""}]"	train
The phytochemical investigation of the ethylacetate - soluble fraction of Caryopteris odorata ( Ham. ex Roxb.) led to the isolation of four new iridoid glucosides ( 1 - 4): 8 - O - trans - cinnamoyl caryoptoside ( 1), 8 - O - trans - cinnamoyl shanzhiside methylester ( 2), 8 - O - trans - cinnamoyl mussaenoside ( 3) and 8 - O - cafeoyl massenoside ( 4).	ethylacetate,39,51,Chemical/Drug	iridoid glucosides,144,162,Chemical/Drug	8 - O - trans - cinnamoyl caryoptoside,173,211,Chemical/Drug	8 - O - trans - cinnamoyl shanzhiside methylester,218,267,Chemical/Drug	8 - O - trans - cinnamoyl mussaenoside,274,312,Chemical/Drug	8 - O - cafeoyl massenoside,322,349,Chemical/Drug	"[{""token"": ""ethylacetate"", ""start_span"": 39, ""end_span"": 51, ""type"": ""Chemical/Drug""}, {""token"": ""iridoid glucosides"", ""start_span"": 144, ""end_span"": 162, ""type"": ""Chemical/Drug""}, {""token"": ""8 - O - trans - cinnamoyl caryoptoside"", ""start_span"": 173, ""end_span"": 211, ""type"": ""Chemical/Drug""}, {""token"": ""8 - O - trans - cinnamoyl shanzhiside methylester"", ""start_span"": 218, ""end_span"": 267, ""type"": ""Chemical/Drug""}, {""token"": ""8 - O - trans - cinnamoyl mussaenoside"", ""start_span"": 274, ""end_span"": 312, ""type"": ""Chemical/Drug""}, {""token"": ""8 - O - cafeoyl massenoside"", ""start_span"": 322, ""end_span"": 349, ""type"": ""Chemical/Drug""}]"	train
APC effectively reduced phorbol - myristate - acetate - induced generation of reactive oxygen species and superoxide in murine peritoneal macrophages as well as inhibited Escherichia - coli - induced phagocytic activity of macrophages.	APC,0,3,Chemical/Drug	phorbol,24,31,Chemical/Drug	myristate,34,43,Chemical/Drug	acetate,46,53,Chemical/Drug	oxygen,87,93,Chemical/Drug	superoxide,106,116,Chemical/Drug	"[{""token"": ""APC"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical/Drug""}, {""token"": ""phorbol"", ""start_span"": 24, ""end_span"": 31, ""type"": ""Chemical/Drug""}, {""token"": ""myristate"", ""start_span"": 34, ""end_span"": 43, ""type"": ""Chemical/Drug""}, {""token"": ""acetate"", ""start_span"": 46, ""end_span"": 53, ""type"": ""Chemical/Drug""}, {""token"": ""oxygen"", ""start_span"": 87, ""end_span"": 93, ""type"": ""Chemical/Drug""}, {""token"": ""superoxide"", ""start_span"": 106, ""end_span"": 116, ""type"": ""Chemical/Drug""}]"	train
Pure anthocyanins, the main components of used extracts, malvidin - 3 - glucoside, malvidin - 3 - galactoside, and cyanidin - 3 - galactoside, had no effect on oxidation of pyruvate plus malate.	anthocyanins,5,17,Chemical/Drug	malvidin - 3 - glucoside,57,81,Chemical/Drug	malvidin - 3 - galactoside,83,109,Chemical/Drug	cyanidin - 3 - galactoside,115,141,Chemical/Drug	pyruvate,173,181,Chemical/Drug	malate,187,193,Chemical/Drug	"[{""token"": ""anthocyanins"", ""start_span"": 5, ""end_span"": 17, ""type"": ""Chemical/Drug""}, {""token"": ""malvidin - 3 - glucoside"", ""start_span"": 57, ""end_span"": 81, ""type"": ""Chemical/Drug""}, {""token"": ""malvidin - 3 - galactoside"", ""start_span"": 83, ""end_span"": 109, ""type"": ""Chemical/Drug""}, {""token"": ""cyanidin - 3 - galactoside"", ""start_span"": 115, ""end_span"": 141, ""type"": ""Chemical/Drug""}, {""token"": ""pyruvate"", ""start_span"": 173, ""end_span"": 181, ""type"": ""Chemical/Drug""}, {""token"": ""malate"", ""start_span"": 187, ""end_span"": 193, ""type"": ""Chemical/Drug""}]"	train
While IsoPs and NeuroPs have been established as a reliable measurement of lipid peroxidation and oxidative stress in vivo, we show that in this genetic SLOS mouse model, 7 - DHC - derived oxysterols are present at much higher levels than IsoPs and NeuroPs and thus are better markers of lipid oxidation and related oxidative stress.	IsoPs,6,11,Chemical/Drug	NeuroPs,16,23,Chemical/Drug	7 - DHC,171,178,Chemical/Drug	oxysterols,189,199,Chemical/Drug	IsoPs,239,244,Chemical/Drug	NeuroPs,249,256,Chemical/Drug	"[{""token"": ""IsoPs"", ""start_span"": 6, ""end_span"": 11, ""type"": ""Chemical/Drug""}, {""token"": ""NeuroPs"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Chemical/Drug""}, {""token"": ""7 - DHC"", ""start_span"": 171, ""end_span"": 178, ""type"": ""Chemical/Drug""}, {""token"": ""oxysterols"", ""start_span"": 189, ""end_span"": 199, ""type"": ""Chemical/Drug""}, {""token"": ""IsoPs"", ""start_span"": 239, ""end_span"": 244, ""type"": ""Chemical/Drug""}, {""token"": ""NeuroPs"", ""start_span"": 249, ""end_span"": 256, ""type"": ""Chemical/Drug""}]"	train
The aim of this study is to show the transferability of the two - tiered approach with training chemicals: 3 sensitizers ( DNCB, resorcinol, pPD) and 1 non sensitizer ( lactic acid) in tier 1 and 2 sensitizers with different potency in tier 2 ( DNCB; extreme and resorcinol; moderate).	DNCB,123,127,Chemical/Drug	resorcinol,129,139,Chemical/Drug	pPD,141,144,Chemical/Drug	lactic acid,169,180,Chemical/Drug	DNCB,245,249,Chemical/Drug	resorcinol,263,273,Chemical/Drug	"[{""token"": ""DNCB"", ""start_span"": 123, ""end_span"": 127, ""type"": ""Chemical/Drug""}, {""token"": ""resorcinol"", ""start_span"": 129, ""end_span"": 139, ""type"": ""Chemical/Drug""}, {""token"": ""pPD"", ""start_span"": 141, ""end_span"": 144, ""type"": ""Chemical/Drug""}, {""token"": ""lactic acid"", ""start_span"": 169, ""end_span"": 180, ""type"": ""Chemical/Drug""}, {""token"": ""DNCB"", ""start_span"": 245, ""end_span"": 249, ""type"": ""Chemical/Drug""}, {""token"": ""resorcinol"", ""start_span"": 263, ""end_span"": 273, ""type"": ""Chemical/Drug""}]"	train
Three long - chain aliphatic compounds, including one new polyketide derivative, dindygulerione C ( 1), one new octaketide derivative, dindygulerione D ( 2) and one new acylresorcinol derivative dindyguleranone ( 3) were isolated from the whole plant of the Chinese anticancer folk medicine Peperomia dindygulensis Miq.	polyketide,58,68,Chemical/Drug	dindygulerione C,81,97,Chemical/Drug	octaketide,112,122,Chemical/Drug	dindygulerione D,135,151,Chemical/Drug	acylresorcinol,169,183,Chemical/Drug	dindyguleranone,195,210,Chemical/Drug	"[{""token"": ""polyketide"", ""start_span"": 58, ""end_span"": 68, ""type"": ""Chemical/Drug""}, {""token"": ""dindygulerione C"", ""start_span"": 81, ""end_span"": 97, ""type"": ""Chemical/Drug""}, {""token"": ""octaketide"", ""start_span"": 112, ""end_span"": 122, ""type"": ""Chemical/Drug""}, {""token"": ""dindygulerione D"", ""start_span"": 135, ""end_span"": 151, ""type"": ""Chemical/Drug""}, {""token"": ""acylresorcinol"", ""start_span"": 169, ""end_span"": 183, ""type"": ""Chemical/Drug""}, {""token"": ""dindyguleranone"", ""start_span"": 195, ""end_span"": 210, ""type"": ""Chemical/Drug""}]"	train
The content of total polyphenols, chlorogenic, caffeic ( CaA) and ferulic acids, and rutin, was investigated in plant organs of three introgression lines ( IL7 - 3, IL10 - 1 and IL12 - 4) of Solanum pennellii in Solanum lycopersicum cv M82 and compared with that of cropped parental.	polyphenols,21,32,Chemical/Drug	chlorogenic,34,45,Chemical/Drug	caffeic,47,54,Chemical/Drug	CaA,57,60,Chemical/Drug	ferulic acids,66,79,Chemical/Drug	rutin,85,90,Chemical/Drug	"[{""token"": ""polyphenols"", ""start_span"": 21, ""end_span"": 32, ""type"": ""Chemical/Drug""}, {""token"": ""chlorogenic"", ""start_span"": 34, ""end_span"": 45, ""type"": ""Chemical/Drug""}, {""token"": ""caffeic"", ""start_span"": 47, ""end_span"": 54, ""type"": ""Chemical/Drug""}, {""token"": ""CaA"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Chemical/Drug""}, {""token"": ""ferulic acids"", ""start_span"": 66, ""end_span"": 79, ""type"": ""Chemical/Drug""}, {""token"": ""rutin"", ""start_span"": 85, ""end_span"": 90, ""type"": ""Chemical/Drug""}]"	train
In the CCl4 hepatotoxicity model, pre - treatment with PSM or silymarin resulted in significantly increased activities of ethylmorphine - N - demethylase and aniline 4 - hydroxylase activity and cytochrome P450, compared to the CCl4 only group.	CCl4,7,11,Chemical/Drug	silymarin,62,71,Chemical/Drug	ethylmorphine,122,135,Chemical/Drug	N,138,139,Chemical/Drug	aniline,158,165,Chemical/Drug	CCl4,228,232,Chemical/Drug	"[{""token"": ""CCl4"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Chemical/Drug""}, {""token"": ""silymarin"", ""start_span"": 62, ""end_span"": 71, ""type"": ""Chemical/Drug""}, {""token"": ""ethylmorphine"", ""start_span"": 122, ""end_span"": 135, ""type"": ""Chemical/Drug""}, {""token"": ""N"", ""start_span"": 138, ""end_span"": 139, ""type"": ""Chemical/Drug""}, {""token"": ""aniline"", ""start_span"": 158, ""end_span"": 165, ""type"": ""Chemical/Drug""}, {""token"": ""CCl4"", ""start_span"": 228, ""end_span"": 232, ""type"": ""Chemical/Drug""}]"	train
Metabolite detection and quantification revealed that CYP1A2 ( via the detection of paraxanthine), CYP3A4 ( via 1 - OH - midazolam, and omeprazole sulfone detection), CYP2C8 ( via hydroxyl - repaglinide detection), CYP2C19 ( via hydroxy - omeprazole detection) and CYP2D6 ( via dextrorphan detection) were functional in our microfluidic configurations.	paraxanthine,84,96,Chemical/Drug	1 - OH - midazolam,112,130,Chemical/Drug	omeprazole sulfone,136,154,Chemical/Drug	hydroxyl - repaglinide,180,202,Chemical/Drug	hydroxy - omeprazole,229,249,Chemical/Drug	dextrorphan,278,289,Chemical/Drug	"[{""token"": ""paraxanthine"", ""start_span"": 84, ""end_span"": 96, ""type"": ""Chemical/Drug""}, {""token"": ""1 - OH - midazolam"", ""start_span"": 112, ""end_span"": 130, ""type"": ""Chemical/Drug""}, {""token"": ""omeprazole sulfone"", ""start_span"": 136, ""end_span"": 154, ""type"": ""Chemical/Drug""}, {""token"": ""hydroxyl - repaglinide"", ""start_span"": 180, ""end_span"": 202, ""type"": ""Chemical/Drug""}, {""token"": ""hydroxy - omeprazole"", ""start_span"": 229, ""end_span"": 249, ""type"": ""Chemical/Drug""}, {""token"": ""dextrorphan"", ""start_span"": 278, ""end_span"": 289, ""type"": ""Chemical/Drug""}]"	train
Here, we report that ( 1) parabens promote adipogenesis ( or adipocyte differentiation) in murine 3T3 - L1 cells, as revealed by adipocyte morphology, lipid accumulation, and mRNA expression of adipocyte - specific markers; ( 2) the adipogenic potency of parabens is increased with increasing length of the linear alkyl chain in the following potency ranking order: methyl - < ethyl - < propyl - < butylparaben.	parabens,26,34,Chemical/Drug	parabens,255,263,Chemical/Drug	methyl,366,372,Chemical/Drug	ethyl,377,382,Chemical/Drug	propyl,387,393,Chemical/Drug	butylparaben,398,410,Chemical/Drug	"[{""token"": ""parabens"", ""start_span"": 26, ""end_span"": 34, ""type"": ""Chemical/Drug""}, {""token"": ""parabens"", ""start_span"": 255, ""end_span"": 263, ""type"": ""Chemical/Drug""}, {""token"": ""methyl"", ""start_span"": 366, ""end_span"": 372, ""type"": ""Chemical/Drug""}, {""token"": ""ethyl"", ""start_span"": 377, ""end_span"": 382, ""type"": ""Chemical/Drug""}, {""token"": ""propyl"", ""start_span"": 387, ""end_span"": 393, ""type"": ""Chemical/Drug""}, {""token"": ""butylparaben"", ""start_span"": 398, ""end_span"": 410, ""type"": ""Chemical/Drug""}]"	train
Under whole - cell configuration, alpha - asarone induced inward currents in a concentration - dependent manner with an EC ( 50) of 248 + / - 33 mu M, which was inhibited by a GABA ( A) receptor blocker picotoxin and a competitive GABA ( A) receptor antagonist bicuculline but not a specific glycine receptor inhibitor strychnine.	GABA,176,180,Chemical/Drug	picotoxin,203,212,Chemical/Drug	GABA,231,235,Chemical/Drug	bicuculline,261,272,Chemical/Drug	glycine,292,299,Chemical/Drug	strychnine,319,329,Chemical/Drug	"[{""token"": ""GABA"", ""start_span"": 176, ""end_span"": 180, ""type"": ""Chemical/Drug""}, {""token"": ""picotoxin"", ""start_span"": 203, ""end_span"": 212, ""type"": ""Chemical/Drug""}, {""token"": ""GABA"", ""start_span"": 231, ""end_span"": 235, ""type"": ""Chemical/Drug""}, {""token"": ""bicuculline"", ""start_span"": 261, ""end_span"": 272, ""type"": ""Chemical/Drug""}, {""token"": ""glycine"", ""start_span"": 292, ""end_span"": 299, ""type"": ""Chemical/Drug""}, {""token"": ""strychnine"", ""start_span"": 319, ""end_span"": 329, ""type"": ""Chemical/Drug""}]"	train
Our evaluation of oxime reactivation of AChE inhibited by a sarin analogue, O - methyl isopropylphosphonofl, or a cyclosarin analogue, O - methyl cyclohexylphosphonof, indicated that AChE inhibited by these analogues was at least 70 - fold more difficult to reactivate than AChE inhibited by sarin or cyclosarin.	oxime,18,23,Chemical/Drug	O - methyl isopropylphosphonofl,76,107,Chemical/Drug	cyclosarin,114,124,Chemical/Drug	O - methyl cyclohexylphosphonof,135,166,Chemical/Drug	sarin,292,297,Chemical/Drug	cyclosarin,301,311,Chemical/Drug	"[{""token"": ""oxime"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Chemical/Drug""}, {""token"": ""O - methyl isopropylphosphonofl"", ""start_span"": 76, ""end_span"": 107, ""type"": ""Chemical/Drug""}, {""token"": ""cyclosarin"", ""start_span"": 114, ""end_span"": 124, ""type"": ""Chemical/Drug""}, {""token"": ""O - methyl cyclohexylphosphonof"", ""start_span"": 135, ""end_span"": 166, ""type"": ""Chemical/Drug""}, {""token"": ""sarin"", ""start_span"": 292, ""end_span"": 297, ""type"": ""Chemical/Drug""}, {""token"": ""cyclosarin"", ""start_span"": 301, ""end_span"": 311, ""type"": ""Chemical/Drug""}]"	train
