Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
Several variables were investigated: gonado - somatic index ( GSI), liver - somatic index ( LSI); 7 - ethoxyresorufin - O - deethylase ( EROD), benzo ( a) pyrene monooxygenase and acetylcholinesterase activities; glutathione ( GSH), testosterone, 17 beta - estradiol, total lipid, phospholipid ( PL) and triglyceride contents.	7 - ethoxyresorufin,98,117,Chemical/Drug	O,120,121,Chemical/Drug	glutathione,213,224,Chemical/Drug	GSH,227,230,Chemical/Drug	testosterone,233,245,Chemical/Drug	17 beta - estradiol,247,266,Chemical/Drug	triglyceride,304,316,Chemical/Drug	"[{""token"": ""7 - ethoxyresorufin"", ""start_span"": 98, ""end_span"": 117, ""type"": ""Chemical/Drug""}, {""token"": ""O"", ""start_span"": 120, ""end_span"": 121, ""type"": ""Chemical/Drug""}, {""token"": ""glutathione"", ""start_span"": 213, ""end_span"": 224, ""type"": ""Chemical/Drug""}, {""token"": ""GSH"", ""start_span"": 227, ""end_span"": 230, ""type"": ""Chemical/Drug""}, {""token"": ""testosterone"", ""start_span"": 233, ""end_span"": 245, ""type"": ""Chemical/Drug""}, {""token"": ""17 beta - estradiol"", ""start_span"": 247, ""end_span"": 266, ""type"": ""Chemical/Drug""}, {""token"": ""triglyceride"", ""start_span"": 304, ""end_span"": 316, ""type"": ""Chemical/Drug""}]"	train
Although fractions containing a mixture of flavonoids and oleanane - type saponins or oleanane - type saponins alone produced no DNA damage, those containing hopane - type saponins exhibited a pronounced DNA damaging effect without affecting the viability of the cells.	flavonoids,43,53,Chemical/Drug	oleanane,58,66,Chemical/Drug	saponins,74,82,Chemical/Drug	oleanane,86,94,Chemical/Drug	saponins,102,110,Chemical/Drug	hopane,158,164,Chemical/Drug	saponins,172,180,Chemical/Drug	"[{""token"": ""flavonoids"", ""start_span"": 43, ""end_span"": 53, ""type"": ""Chemical/Drug""}, {""token"": ""oleanane"", ""start_span"": 58, ""end_span"": 66, ""type"": ""Chemical/Drug""}, {""token"": ""saponins"", ""start_span"": 74, ""end_span"": 82, ""type"": ""Chemical/Drug""}, {""token"": ""oleanane"", ""start_span"": 86, ""end_span"": 94, ""type"": ""Chemical/Drug""}, {""token"": ""saponins"", ""start_span"": 102, ""end_span"": 110, ""type"": ""Chemical/Drug""}, {""token"": ""hopane"", ""start_span"": 158, ""end_span"": 164, ""type"": ""Chemical/Drug""}, {""token"": ""saponins"", ""start_span"": 172, ""end_span"": 180, ""type"": ""Chemical/Drug""}]"	train
Nesaea crassicaulis anthocyanins were identified according to their fragment mass spectra and ultra - visible - violet spectral characteristics and 1D and 2D NMR spectra as - 3, 5 - di - O - beta - glucosides of delphinidin, cyanidin, petunidin, malvidin and peonidin as well as cyanidine and peonidin - 3 - O - beta - glucoside.	anthocyanins,20,32,Chemical/Drug	cyanidin,225,233,Chemical/Drug	petunidin,235,244,Chemical/Drug	malvidin,246,254,Chemical/Drug	peonidin,259,267,Chemical/Drug	cyanidine,279,288,Chemical/Drug	peonidin - 3 - O - beta - glucoside,293,328,Chemical/Drug	"[{""token"": ""anthocyanins"", ""start_span"": 20, ""end_span"": 32, ""type"": ""Chemical/Drug""}, {""token"": ""cyanidin"", ""start_span"": 225, ""end_span"": 233, ""type"": ""Chemical/Drug""}, {""token"": ""petunidin"", ""start_span"": 235, ""end_span"": 244, ""type"": ""Chemical/Drug""}, {""token"": ""malvidin"", ""start_span"": 246, ""end_span"": 254, ""type"": ""Chemical/Drug""}, {""token"": ""peonidin"", ""start_span"": 259, ""end_span"": 267, ""type"": ""Chemical/Drug""}, {""token"": ""cyanidine"", ""start_span"": 279, ""end_span"": 288, ""type"": ""Chemical/Drug""}, {""token"": ""peonidin - 3 - O - beta - glucoside"", ""start_span"": 293, ""end_span"": 328, ""type"": ""Chemical/Drug""}]"	train
In addition, apigenin, apigenin - 7 - O - beta - glucopyranoside, apigenin 7 - O - gentobioside, luteolin, luteolin - 7 - O - beta - glucopyranoside, quercetin - 3, 7 - di - O - beta - glucopyranoside, quercetin - 3 - O - beta - glucopyranoside - 7 - O - alpha - rhamnopyranoside and daidzein were also isolated and identified.	apigenin,13,21,Chemical/Drug	apigenin - 7 - O - beta - glucopyranoside,23,64,Chemical/Drug	apigenin 7 - O - gentobioside,66,95,Chemical/Drug	luteolin,97,105,Chemical/Drug	luteolin - 7 - O - beta - glucopyranoside,107,148,Chemical/Drug	quercetin - 3 - O - beta - glucopyranoside - 7 - O - alpha - rhamnopyranoside,202,279,Chemical/Drug	daidzein,284,292,Chemical/Drug	"[{""token"": ""apigenin"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Chemical/Drug""}, {""token"": ""apigenin - 7 - O - beta - glucopyranoside"", ""start_span"": 23, ""end_span"": 64, ""type"": ""Chemical/Drug""}, {""token"": ""apigenin 7 - O - gentobioside"", ""start_span"": 66, ""end_span"": 95, ""type"": ""Chemical/Drug""}, {""token"": ""luteolin"", ""start_span"": 97, ""end_span"": 105, ""type"": ""Chemical/Drug""}, {""token"": ""luteolin - 7 - O - beta - glucopyranoside"", ""start_span"": 107, ""end_span"": 148, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin - 3 - O - beta - glucopyranoside - 7 - O - alpha - rhamnopyranoside"", ""start_span"": 202, ""end_span"": 279, ""type"": ""Chemical/Drug""}, {""token"": ""daidzein"", ""start_span"": 284, ""end_span"": 292, ""type"": ""Chemical/Drug""}]"	train
Drug metabolism was assessed using midazolam, tolbutamide, caffeine, omeprazole, dextromethorphan, acetaminophen and repaglinide as probes.	midazolam,35,44,Chemical/Drug	tolbutamide,46,57,Chemical/Drug	caffeine,59,67,Chemical/Drug	omeprazole,69,79,Chemical/Drug	dextromethorphan,81,97,Chemical/Drug	acetaminophen,99,112,Chemical/Drug	repaglinide,117,128,Chemical/Drug	"[{""token"": ""midazolam"", ""start_span"": 35, ""end_span"": 44, ""type"": ""Chemical/Drug""}, {""token"": ""tolbutamide"", ""start_span"": 46, ""end_span"": 57, ""type"": ""Chemical/Drug""}, {""token"": ""caffeine"", ""start_span"": 59, ""end_span"": 67, ""type"": ""Chemical/Drug""}, {""token"": ""omeprazole"", ""start_span"": 69, ""end_span"": 79, ""type"": ""Chemical/Drug""}, {""token"": ""dextromethorphan"", ""start_span"": 81, ""end_span"": 97, ""type"": ""Chemical/Drug""}, {""token"": ""acetaminophen"", ""start_span"": 99, ""end_span"": 112, ""type"": ""Chemical/Drug""}, {""token"": ""repaglinide"", ""start_span"": 117, ""end_span"": 128, ""type"": ""Chemical/Drug""}]"	train
In hepatocytes, PT predominantly formed three ribose conjugates: Rib - C1, the ribose conjugate ( Rib - C2), and the carboxylic acid of Rib - C2 ( Rib - C3).	ribose,46,52,Chemical/Drug	Rib,65,68,Chemical/Drug	ribose,79,85,Chemical/Drug	Rib,98,101,Chemical/Drug	carboxylic acid,117,132,Chemical/Drug	Rib,136,139,Chemical/Drug	Rib,147,150,Chemical/Drug	"[{""token"": ""ribose"", ""start_span"": 46, ""end_span"": 52, ""type"": ""Chemical/Drug""}, {""token"": ""Rib"", ""start_span"": 65, ""end_span"": 68, ""type"": ""Chemical/Drug""}, {""token"": ""ribose"", ""start_span"": 79, ""end_span"": 85, ""type"": ""Chemical/Drug""}, {""token"": ""Rib"", ""start_span"": 98, ""end_span"": 101, ""type"": ""Chemical/Drug""}, {""token"": ""carboxylic acid"", ""start_span"": 117, ""end_span"": 132, ""type"": ""Chemical/Drug""}, {""token"": ""Rib"", ""start_span"": 136, ""end_span"": 139, ""type"": ""Chemical/Drug""}, {""token"": ""Rib"", ""start_span"": 147, ""end_span"": 150, ""type"": ""Chemical/Drug""}]"	train
Quercetin was converted into metabolite methylquercetin ( 2) and quercetin glucuronide ( 3) and rutin into metabolite rutin sulphate ( 5), methylrutin ( 6) and rutin glucuronide ( 7).	Quercetin,0,9,Chemical/Drug	methylquercetin,40,55,Chemical/Drug	quercetin glucuronide,65,86,Chemical/Drug	rutin,96,101,Chemical/Drug	rutin sulphate,118,132,Chemical/Drug	methylrutin,139,150,Chemical/Drug	rutin glucuronide,160,177,Chemical/Drug	"[{""token"": ""Quercetin"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Chemical/Drug""}, {""token"": ""methylquercetin"", ""start_span"": 40, ""end_span"": 55, ""type"": ""Chemical/Drug""}, {""token"": ""quercetin glucuronide"", ""start_span"": 65, ""end_span"": 86, ""type"": ""Chemical/Drug""}, {""token"": ""rutin"", ""start_span"": 96, ""end_span"": 101, ""type"": ""Chemical/Drug""}, {""token"": ""rutin sulphate"", ""start_span"": 118, ""end_span"": 132, ""type"": ""Chemical/Drug""}, {""token"": ""methylrutin"", ""start_span"": 139, ""end_span"": 150, ""type"": ""Chemical/Drug""}, {""token"": ""rutin glucuronide"", ""start_span"": 160, ""end_span"": 177, ""type"": ""Chemical/Drug""}]"	train
The recent adulteration of infant and pet food with melamine ( MEL) and structurally - related compounds revealed that co - ingestion of MEL and cyanuric acid ( CYA) could form melamine - cyanurate crystals which obstruct renal tubules and induce acute renal failure.	melamine,52,60,Chemical/Drug	MEL,63,66,Chemical/Drug	MEL,137,140,Chemical/Drug	cyanuric acid,145,158,Chemical/Drug	CYA,161,164,Chemical/Drug	melamine,177,185,Chemical/Drug	cyanurate,188,197,Chemical/Drug	"[{""token"": ""melamine"", ""start_span"": 52, ""end_span"": 60, ""type"": ""Chemical/Drug""}, {""token"": ""MEL"", ""start_span"": 63, ""end_span"": 66, ""type"": ""Chemical/Drug""}, {""token"": ""MEL"", ""start_span"": 137, ""end_span"": 140, ""type"": ""Chemical/Drug""}, {""token"": ""cyanuric acid"", ""start_span"": 145, ""end_span"": 158, ""type"": ""Chemical/Drug""}, {""token"": ""CYA"", ""start_span"": 161, ""end_span"": 164, ""type"": ""Chemical/Drug""}, {""token"": ""melamine"", ""start_span"": 177, ""end_span"": 185, ""type"": ""Chemical/Drug""}, {""token"": ""cyanurate"", ""start_span"": 188, ""end_span"": 197, ""type"": ""Chemical/Drug""}]"	train
In vitro estrogenic potencies of three model compounds ( bisphenol A, genistein, and 4 - nonylphenol) relative to ethinylestradiol ( EE2), determined with the estrogen receptor alpha ( ER alpha) transcriptional activation assay using hER - HeLa - 9903 cells, were taken from literature and used to calculate the EE2 equivalent ( EE2EQ) effect doses in the predominantly ER alpha - dependent rat uterotrophic assay.	bisphenol A,57,68,Chemical/Drug	genistein,70,79,Chemical/Drug	4 - nonylphenol,85,100,Chemical/Drug	ethinylestradiol,114,130,Chemical/Drug	EE2,133,136,Chemical/Drug	estrogen,159,167,Chemical/Drug	EE2,312,315,Chemical/Drug	"[{""token"": ""bisphenol A"", ""start_span"": 57, ""end_span"": 68, ""type"": ""Chemical/Drug""}, {""token"": ""genistein"", ""start_span"": 70, ""end_span"": 79, ""type"": ""Chemical/Drug""}, {""token"": ""4 - nonylphenol"", ""start_span"": 85, ""end_span"": 100, ""type"": ""Chemical/Drug""}, {""token"": ""ethinylestradiol"", ""start_span"": 114, ""end_span"": 130, ""type"": ""Chemical/Drug""}, {""token"": ""EE2"", ""start_span"": 133, ""end_span"": 136, ""type"": ""Chemical/Drug""}, {""token"": ""estrogen"", ""start_span"": 159, ""end_span"": 167, ""type"": ""Chemical/Drug""}, {""token"": ""EE2"", ""start_span"": 312, ""end_span"": 315, ""type"": ""Chemical/Drug""}]"	train
Seventy female rats, 32 weeks old, were assigned to seven groups: ( 1) a sham - operated control group; ( 2) an OVX - control group; ( 3) an ELD group; ( 4) an ALF group; ( 5) an ALN group; ( 6) an ELD + ALN group; and ( 7) an ALF + ALN group.	ELD,141,144,Chemical/Drug	ALF,160,163,Chemical/Drug	ALN,179,182,Chemical/Drug	ELD,198,201,Chemical/Drug	ALN,204,207,Chemical/Drug	ALF,227,230,Chemical/Drug	ALN,233,236,Chemical/Drug	"[{""token"": ""ELD"", ""start_span"": 141, ""end_span"": 144, ""type"": ""Chemical/Drug""}, {""token"": ""ALF"", ""start_span"": 160, ""end_span"": 163, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 179, ""end_span"": 182, ""type"": ""Chemical/Drug""}, {""token"": ""ELD"", ""start_span"": 198, ""end_span"": 201, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 204, ""end_span"": 207, ""type"": ""Chemical/Drug""}, {""token"": ""ALF"", ""start_span"": 227, ""end_span"": 230, ""type"": ""Chemical/Drug""}, {""token"": ""ALN"", ""start_span"": 233, ""end_span"": 236, ""type"": ""Chemical/Drug""}]"	train
