Sentence	entity_1	entity_2	entity_3	json	split
OBJECTIVES: The United Kingdom Parkinson ' s Disease Research Group ( UKPDRG) trial found an increased mortality in patients with Parkinson ' s disease ( PD) randomized to receive 10 mg selegiline per day and L - dopa compared with those taking L - dopa alone.	selegiline,186,196,Chemical/Drug	L - dopa,209,217,Chemical/Drug	L - dopa,245,253,Chemical/Drug	"[{""token"": ""selegiline"", ""start_span"": 186, ""end_span"": 196, ""type"": ""Chemical/Drug""}, {""token"": ""L - dopa"", ""start_span"": 209, ""end_span"": 217, ""type"": ""Chemical/Drug""}, {""token"": ""L - dopa"", ""start_span"": 245, ""end_span"": 253, ""type"": ""Chemical/Drug""}]"	train
Recently, we found that therapy with selegiline and L - dopa was associated with selective systolic orthostatic hypotension which was abolished by withdrawal of selegiline.	selegiline,37,47,Chemical/Drug	L - dopa,52,60,Chemical/Drug	selegiline,161,171,Chemical/Drug	"[{""token"": ""selegiline"", ""start_span"": 37, ""end_span"": 47, ""type"": ""Chemical/Drug""}, {""token"": ""L - dopa"", ""start_span"": 52, ""end_span"": 60, ""type"": ""Chemical/Drug""}, {""token"": ""selegiline"", ""start_span"": 161, ""end_span"": 171, ""type"": ""Chemical/Drug""}]"	train
A high percentage of kanamycin - colistin and povidone - iodine irrigations were associated with erosive cystitis and suggested a possible complication with human usage.	kanamycin,21,30,Chemical/Drug	colistin,33,41,Chemical/Drug	povidone - iodine,46,63,Chemical/Drug	"[{""token"": ""kanamycin"", ""start_span"": 21, ""end_span"": 30, ""type"": ""Chemical/Drug""}, {""token"": ""colistin"", ""start_span"": 33, ""end_span"": 41, ""type"": ""Chemical/Drug""}, {""token"": ""povidone - iodine"", ""start_span"": 46, ""end_span"": 63, ""type"": ""Chemical/Drug""}]"	train
The addition of ephedrine to propofol appears to be an effective method of obtunding the hypotensive response to propofol at all doses used in this study.	ephedrine,16,25,Chemical/Drug	propofol,29,37,Chemical/Drug	propofol,113,121,Chemical/Drug	"[{""token"": ""ephedrine"", ""start_span"": 16, ""end_span"": 25, ""type"": ""Chemical/Drug""}, {""token"": ""propofol"", ""start_span"": 29, ""end_span"": 37, ""type"": ""Chemical/Drug""}, {""token"": ""propofol"", ""start_span"": 113, ""end_span"": 121, ""type"": ""Chemical/Drug""}]"	train
Gemcitabine plus vinorelbine in nonsmall cell lung carcinoma patients age 70 years or older or patients who cannot receive cisplatin.	Gemcitabine,0,11,Chemical/Drug	vinorelbine,17,28,Chemical/Drug	cisplatin,123,132,Chemical/Drug	"[{""token"": ""Gemcitabine"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Chemical/Drug""}, {""token"": ""vinorelbine"", ""start_span"": 17, ""end_span"": 28, ""type"": ""Chemical/Drug""}, {""token"": ""cisplatin"", ""start_span"": 123, ""end_span"": 132, ""type"": ""Chemical/Drug""}]"	train
In the current study the efficacy and toxicity of the combination of GEM and VNB in elderly patients with advanced NSCLC or those with some contraindication to receiving cisplatin were assessed.	GEM,69,72,Chemical/Drug	VNB,77,80,Chemical/Drug	cisplatin,170,179,Chemical/Drug	"[{""token"": ""GEM"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Chemical/Drug""}, {""token"": ""VNB"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Chemical/Drug""}, {""token"": ""cisplatin"", ""start_span"": 170, ""end_span"": 179, ""type"": ""Chemical/Drug""}]"	train
NRA0160 is over 20, 000fold more potent at the dopamine D4. 2 receptor compared with the human cloned dopamine D2L receptor.	NRA0160,0,7,Chemical/Drug	dopamine,47,55,Chemical/Drug	dopamine,102,110,Chemical/Drug	"[{""token"": ""NRA0160"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Chemical/Drug""}, {""token"": ""dopamine"", ""start_span"": 47, ""end_span"": 55, ""type"": ""Chemical/Drug""}, {""token"": ""dopamine"", ""start_span"": 102, ""end_span"": 110, ""type"": ""Chemical/Drug""}]"	train
NRA0160 and clozapine antagonized MAP - induced stereotyped behavior in mice, although their effects did not exceed 50% inhibition, even at the highest dose given.	NRA0160,0,7,Chemical/Drug	clozapine,12,21,Chemical/Drug	MAP,34,37,Chemical/Drug	"[{""token"": ""NRA0160"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Chemical/Drug""}, {""token"": ""clozapine"", ""start_span"": 12, ""end_span"": 21, ""type"": ""Chemical/Drug""}, {""token"": ""MAP"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Chemical/Drug""}]"	train
NRA0160 and clozapine significantly reversed the disruption of prepulse inhibition ( PPI) in rats produced by apomorphine.	NRA0160,0,7,Chemical/Drug	clozapine,12,21,Chemical/Drug	apomorphine,110,121,Chemical/Drug	"[{""token"": ""NRA0160"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Chemical/Drug""}, {""token"": ""clozapine"", ""start_span"": 12, ""end_span"": 21, ""type"": ""Chemical/Drug""}, {""token"": ""apomorphine"", ""start_span"": 110, ""end_span"": 121, ""type"": ""Chemical/Drug""}]"	train
Although the explanation for the association between artery calcification and growth status cannot be determined from the present study, there was a relationship between higher serum phosphate and susceptibility to artery calcification, with 30% higher levels of serum phosphate in young, ad libitum - fed rats compared with either of the groups that was resistant to Warfarin - induced artery calcification, ie, the 10 - month - old rats and the restricted - diet, growth - inhibited young rats.	phosphate,183,192,Chemical/Drug	phosphate,269,278,Chemical/Drug	Warfarin,368,376,Chemical/Drug	"[{""token"": ""phosphate"", ""start_span"": 183, ""end_span"": 192, ""type"": ""Chemical/Drug""}, {""token"": ""phosphate"", ""start_span"": 269, ""end_span"": 278, ""type"": ""Chemical/Drug""}, {""token"": ""Warfarin"", ""start_span"": 368, ""end_span"": 376, ""type"": ""Chemical/Drug""}]"	train
High levels of matrix Gla protein are found at sites of artery calcification in rats treated with vitamin D plus Warfarin, and chemical analysis showed that the protein that accumulated was indeed not gamma - carboxylated.	vitamin D,98,107,Chemical/Drug	Warfarin,113,121,Chemical/Drug	gamma - carboxylated,201,221,Chemical/Drug	"[{""token"": ""vitamin D"", ""start_span"": 98, ""end_span"": 107, ""type"": ""Chemical/Drug""}, {""token"": ""Warfarin"", ""start_span"": 113, ""end_span"": 121, ""type"": ""Chemical/Drug""}, {""token"": ""gamma - carboxylated"", ""start_span"": 201, ""end_span"": 221, ""type"": ""Chemical/Drug""}]"	train
Apomorphine, a nonselective dopamine agonist, was selected due to its biphasic behavioral effects, its ability to induce hypothermia, and to produce distinct changes to dopamine turnover in the rodent brain.	Apomorphine,0,11,Chemical/Drug	dopamine agonist,28,44,Chemical/Drug	dopamine,169,177,Chemical/Drug	"[{""token"": ""Apomorphine"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Chemical/Drug""}, {""token"": ""dopamine agonist"", ""start_span"": 28, ""end_span"": 44, ""type"": ""Chemical/Drug""}, {""token"": ""dopamine"", ""start_span"": 169, ""end_span"": 177, ""type"": ""Chemical/Drug""}]"	train
Furthermore, it was observed that TAM inhibits the peroxidation of human erythrocytes induced by AAPH, thus ruling out TAM - induced cell oxidative stress.	TAM,34,37,Chemical/Drug	AAPH,97,101,Chemical/Drug	TAM,119,122,Chemical/Drug	"[{""token"": ""TAM"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Chemical/Drug""}, {""token"": ""AAPH"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Chemical/Drug""}, {""token"": ""TAM"", ""start_span"": 119, ""end_span"": 122, ""type"": ""Chemical/Drug""}]"	train
Either alpha - T or alpha - TAc increases membrane packing and prevents TAM partition into model membranes.	alpha - T,7,16,Chemical/Drug	alpha - TAc,20,31,Chemical/Drug	TAM,72,75,Chemical/Drug	"[{""token"": ""alpha - T"", ""start_span"": 7, ""end_span"": 16, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - TAc"", ""start_span"": 20, ""end_span"": 31, ""type"": ""Chemical/Drug""}, {""token"": ""TAM"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Chemical/Drug""}]"	train
The K ( Na) value for Na + returned to control value.	K,4,5,Chemical/Drug	Na,8,10,Chemical/Drug	Na,22,24,Chemical/Drug	"[{""token"": ""K"", ""start_span"": 4, ""end_span"": 5, ""type"": ""Chemical/Drug""}, {""token"": ""Na"", ""start_span"": 8, ""end_span"": 10, ""type"": ""Chemical/Drug""}, {""token"": ""Na"", ""start_span"": 22, ""end_span"": 24, ""type"": ""Chemical/Drug""}]"	train
