Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
The hemolytic effect of TAM is prevented by low concentrations of alpha - tocopherol ( alpha - T) and alpha - tocopherol acetate ( alpha - TAc) ( inactivated functional hydroxyl) indicating that TAM - induced hemolysis is not related to oxidative membrane damage.	TAM,24,27,Chemical/Drug	alpha - tocopherol,66,84,Chemical/Drug	alpha - T,87,96,Chemical/Drug	alpha - tocopherol acetate,102,128,Chemical/Drug	alpha - TAc,131,142,Chemical/Drug	hydroxyl,169,177,Chemical/Drug	TAM,195,198,Chemical/Drug	"[{""token"": ""TAM"", ""start_span"": 24, ""end_span"": 27, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - tocopherol"", ""start_span"": 66, ""end_span"": 84, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - T"", ""start_span"": 87, ""end_span"": 96, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - tocopherol acetate"", ""start_span"": 102, ""end_span"": 128, ""type"": ""Chemical/Drug""}, {""token"": ""alpha - TAc"", ""start_span"": 131, ""end_span"": 142, ""type"": ""Chemical/Drug""}, {""token"": ""hydroxyl"", ""start_span"": 169, ""end_span"": 177, ""type"": ""Chemical/Drug""}, {""token"": ""TAM"", ""start_span"": 195, ""end_span"": 198, ""type"": ""Chemical/Drug""}]"	train
The animals that had experienced cyclic sucrose and chow were hyperactive in response to amphetamine compared with four control groups ( ad libitum 10% sucrose and chow followed by amphetamine injection, cyclic chow followed by amphetamine injection, ad libitum chow with amphetamine, or cyclic 10% sucrose and chow with a saline injection).	sucrose,40,47,Chemical/Drug	amphetamine,89,100,Chemical/Drug	sucrose,152,159,Chemical/Drug	amphetamine,181,192,Chemical/Drug	amphetamine,228,239,Chemical/Drug	amphetamine,272,283,Chemical/Drug	sucrose,299,306,Chemical/Drug	"[{""token"": ""sucrose"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Chemical/Drug""}, {""token"": ""amphetamine"", ""start_span"": 89, ""end_span"": 100, ""type"": ""Chemical/Drug""}, {""token"": ""sucrose"", ""start_span"": 152, ""end_span"": 159, ""type"": ""Chemical/Drug""}, {""token"": ""amphetamine"", ""start_span"": 181, ""end_span"": 192, ""type"": ""Chemical/Drug""}, {""token"": ""amphetamine"", ""start_span"": 228, ""end_span"": 239, ""type"": ""Chemical/Drug""}, {""token"": ""amphetamine"", ""start_span"": 272, ""end_span"": 283, ""type"": ""Chemical/Drug""}, {""token"": ""sucrose"", ""start_span"": 299, ""end_span"": 306, ""type"": ""Chemical/Drug""}]"	train
In patients requiring the concurrent use of statins and CYP3A4 inhibitors, pravastatin, fluvastatin, and rosuvastatin carry the lowest risk of drug interactions; atorvastatin carries moderate risk, whereas simvastatin and lovastatin have the highest risk and should be avoided in patients taking concomitant CYP3A4 inhibitors.	statins,44,51,Chemical/Drug	pravastatin,75,86,Chemical/Drug	fluvastatin,88,99,Chemical/Drug	rosuvastatin,105,117,Chemical/Drug	atorvastatin,162,174,Chemical/Drug	simvastatin,206,217,Chemical/Drug	lovastatin,222,232,Chemical/Drug	"[{""token"": ""statins"", ""start_span"": 44, ""end_span"": 51, ""type"": ""Chemical/Drug""}, {""token"": ""pravastatin"", ""start_span"": 75, ""end_span"": 86, ""type"": ""Chemical/Drug""}, {""token"": ""fluvastatin"", ""start_span"": 88, ""end_span"": 99, ""type"": ""Chemical/Drug""}, {""token"": ""rosuvastatin"", ""start_span"": 105, ""end_span"": 117, ""type"": ""Chemical/Drug""}, {""token"": ""atorvastatin"", ""start_span"": 162, ""end_span"": 174, ""type"": ""Chemical/Drug""}, {""token"": ""simvastatin"", ""start_span"": 206, ""end_span"": 217, ""type"": ""Chemical/Drug""}, {""token"": ""lovastatin"", ""start_span"": 222, ""end_span"": 232, ""type"": ""Chemical/Drug""}]"	train
The electrophysiological recording in vitro showed that Rg1 restored the LTP in slices from the rats treated with morphine, but not changed LTP in the slices from normal saline - or morphine / Rg1 - treated rats; this restoration could be inhibited by N - methyl - D - aspartate ( NMDA) receptor antagonist MK801.	Rg1,56,59,Chemical/Drug	morphine,114,122,Chemical/Drug	morphine,182,190,Chemical/Drug	Rg1,193,196,Chemical/Drug	N - methyl - D - aspartate,252,278,Chemical/Drug	NMDA,281,285,Chemical/Drug	MK801,307,312,Chemical/Drug	"[{""token"": ""Rg1"", ""start_span"": 56, ""end_span"": 59, ""type"": ""Chemical/Drug""}, {""token"": ""morphine"", ""start_span"": 114, ""end_span"": 122, ""type"": ""Chemical/Drug""}, {""token"": ""morphine"", ""start_span"": 182, ""end_span"": 190, ""type"": ""Chemical/Drug""}, {""token"": ""Rg1"", ""start_span"": 193, ""end_span"": 196, ""type"": ""Chemical/Drug""}, {""token"": ""N - methyl - D - aspartate"", ""start_span"": 252, ""end_span"": 278, ""type"": ""Chemical/Drug""}, {""token"": ""NMDA"", ""start_span"": 281, ""end_span"": 285, ""type"": ""Chemical/Drug""}, {""token"": ""MK801"", ""start_span"": 307, ""end_span"": 312, ""type"": ""Chemical/Drug""}]"	train
Isoproterenol - treated rats showed significant increases in the levels of lactate dehydrogenase, aspartate transaminase, creatine kinase and malondialdehyde and significant decreases in the activities of superoxide dismutase, catalase and glutathione peroxidase in serum and heart.	Isoproterenol,0,13,Chemical/Drug	lactate,75,82,Chemical/Drug	aspartate,98,107,Chemical/Drug	creatine,122,130,Chemical/Drug	malondialdehyde,142,157,Chemical/Drug	superoxide,205,215,Chemical/Drug	glutathione,240,251,Chemical/Drug	"[{""token"": ""Isoproterenol"", ""start_span"": 0, ""end_span"": 13, ""type"": ""Chemical/Drug""}, {""token"": ""lactate"", ""start_span"": 75, ""end_span"": 82, ""type"": ""Chemical/Drug""}, {""token"": ""aspartate"", ""start_span"": 98, ""end_span"": 107, ""type"": ""Chemical/Drug""}, {""token"": ""creatine"", ""start_span"": 122, ""end_span"": 130, ""type"": ""Chemical/Drug""}, {""token"": ""malondialdehyde"", ""start_span"": 142, ""end_span"": 157, ""type"": ""Chemical/Drug""}, {""token"": ""superoxide"", ""start_span"": 205, ""end_span"": 215, ""type"": ""Chemical/Drug""}, {""token"": ""glutathione"", ""start_span"": 240, ""end_span"": 251, ""type"": ""Chemical/Drug""}]"	train
Gamma - hexachlorocyclohexane ( gamma - HCH), the active ingredient of the insecticide lindane, has been shown to decrease seizure threshold to pentylenetrazol ( PTZ) 3 h after exposure to gamma - HCH and conversely increase threshold to PTZ - induced seizures 24 h after exposure to gamma - HCH ( Vohland et al. 1981).	Gamma - hexachlorocyclohexane,0,29,Chemical/Drug	gamma - HCH,32,43,Chemical/Drug	lindane,87,94,Chemical/Drug	PTZ,162,165,Chemical/Drug	gamma - HCH,189,200,Chemical/Drug	PTZ,238,241,Chemical/Drug	gamma - HCH,284,295,Chemical/Drug	"[{""token"": ""Gamma - hexachlorocyclohexane"", ""start_span"": 0, ""end_span"": 29, ""type"": ""Chemical/Drug""}, {""token"": ""gamma - HCH"", ""start_span"": 32, ""end_span"": 43, ""type"": ""Chemical/Drug""}, {""token"": ""lindane"", ""start_span"": 87, ""end_span"": 94, ""type"": ""Chemical/Drug""}, {""token"": ""PTZ"", ""start_span"": 162, ""end_span"": 165, ""type"": ""Chemical/Drug""}, {""token"": ""gamma - HCH"", ""start_span"": 189, ""end_span"": 200, ""type"": ""Chemical/Drug""}, {""token"": ""PTZ"", ""start_span"": 238, ""end_span"": 241, ""type"": ""Chemical/Drug""}, {""token"": ""gamma - HCH"", ""start_span"": 284, ""end_span"": 295, ""type"": ""Chemical/Drug""}]"	train
The drugs commonly used are cyclophosphamide and chlorambucil ( alkylating agents), azathioprine ( purine analogue), and methotrexate ( folic acid analogue).	cyclophosphamide,28,44,Chemical/Drug	chlorambucil,49,61,Chemical/Drug	alkylating agents,64,81,Chemical/Drug	azathioprine,84,96,Chemical/Drug	purine,99,105,Chemical/Drug	methotrexate,121,133,Chemical/Drug	folic acid,136,146,Chemical/Drug	"[{""token"": ""cyclophosphamide"", ""start_span"": 28, ""end_span"": 44, ""type"": ""Chemical/Drug""}, {""token"": ""chlorambucil"", ""start_span"": 49, ""end_span"": 61, ""type"": ""Chemical/Drug""}, {""token"": ""alkylating agents"", ""start_span"": 64, ""end_span"": 81, ""type"": ""Chemical/Drug""}, {""token"": ""azathioprine"", ""start_span"": 84, ""end_span"": 96, ""type"": ""Chemical/Drug""}, {""token"": ""purine"", ""start_span"": 99, ""end_span"": 105, ""type"": ""Chemical/Drug""}, {""token"": ""methotrexate"", ""start_span"": 121, ""end_span"": 133, ""type"": ""Chemical/Drug""}, {""token"": ""folic acid"", ""start_span"": 136, ""end_span"": 146, ""type"": ""Chemical/Drug""}]"	train
Histologic changes were found in rat kidneys after administration of MTX, CY and NG, while no such change was observed after 5 - FU and joint administration of MTX + 5 - FU + CY compared to controls.	MTX,69,72,Chemical/Drug	CY,74,76,Chemical/Drug	NG,81,83,Chemical/Drug	5 - FU,125,131,Chemical/Drug	MTX,160,163,Chemical/Drug	5 - FU,166,172,Chemical/Drug	CY,175,177,Chemical/Drug	"[{""token"": ""MTX"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Chemical/Drug""}, {""token"": ""CY"", ""start_span"": 74, ""end_span"": 76, ""type"": ""Chemical/Drug""}, {""token"": ""NG"", ""start_span"": 81, ""end_span"": 83, ""type"": ""Chemical/Drug""}, {""token"": ""5 - FU"", ""start_span"": 125, ""end_span"": 131, ""type"": ""Chemical/Drug""}, {""token"": ""MTX"", ""start_span"": 160, ""end_span"": 163, ""type"": ""Chemical/Drug""}, {""token"": ""5 - FU"", ""start_span"": 166, ""end_span"": 172, ""type"": ""Chemical/Drug""}, {""token"": ""CY"", ""start_span"": 175, ""end_span"": 177, ""type"": ""Chemical/Drug""}]"	train
The effects of N - nitro - L - arginine - methyl ester ( L - NAME) a nitric oxide ( NO) synthase inhibitor and L - arginine, a NO precursor, were investigated on lidocaine - induced convulsions.	N - nitro - L - arginine - methyl ester,15,54,Chemical/Drug	L - NAME,57,65,Chemical/Drug	nitric oxide,69,81,Chemical/Drug	NO,84,86,Chemical/Drug	L - arginine,111,123,Chemical/Drug	NO,127,129,Chemical/Drug	lidocaine,162,171,Chemical/Drug	"[{""token"": ""N - nitro - L - arginine - methyl ester"", ""start_span"": 15, ""end_span"": 54, ""type"": ""Chemical/Drug""}, {""token"": ""L - NAME"", ""start_span"": 57, ""end_span"": 65, ""type"": ""Chemical/Drug""}, {""token"": ""nitric oxide"", ""start_span"": 69, ""end_span"": 81, ""type"": ""Chemical/Drug""}, {""token"": ""NO"", ""start_span"": 84, ""end_span"": 86, ""type"": ""Chemical/Drug""}, {""token"": ""L - arginine"", ""start_span"": 111, ""end_span"": 123, ""type"": ""Chemical/Drug""}, {""token"": ""NO"", ""start_span"": 127, ""end_span"": 129, ""type"": ""Chemical/Drug""}, {""token"": ""lidocaine"", ""start_span"": 162, ""end_span"": 171, ""type"": ""Chemical/Drug""}]"	valid
Although 3, 4 - methylenedioxymethamphetamine ( MDMA or ecstasy) has been shown to damage brain serotonin ( 5 - HT) neurons in animals and possibly humans, little is known about the long - term consequences of MDMA - induced 5 - HT neurotoxic lesions on functions in which 5 - HT is involved, such as cognitive function.	MDMA,48,52,Chemical/Drug	ecstasy,56,63,Chemical/Drug	serotonin,96,105,Chemical/Drug	5 - HT,108,114,Chemical/Drug	MDMA,210,214,Chemical/Drug	5 - HT,225,231,Chemical/Drug	5 - HT,273,279,Chemical/Drug	"[{""token"": ""MDMA"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Chemical/Drug""}, {""token"": ""ecstasy"", ""start_span"": 56, ""end_span"": 63, ""type"": ""Chemical/Drug""}, {""token"": ""serotonin"", ""start_span"": 96, ""end_span"": 105, ""type"": ""Chemical/Drug""}, {""token"": ""5 - HT"", ""start_span"": 108, ""end_span"": 114, ""type"": ""Chemical/Drug""}, {""token"": ""MDMA"", ""start_span"": 210, ""end_span"": 214, ""type"": ""Chemical/Drug""}, {""token"": ""5 - HT"", ""start_span"": 225, ""end_span"": 231, ""type"": ""Chemical/Drug""}, {""token"": ""5 - HT"", ""start_span"": 273, ""end_span"": 279, ""type"": ""Chemical/Drug""}]"	valid
