Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
243 cocaine - dependent outpatients with cocaine - induced mood disorder ( CIMD), other mood disorders, or no mood disorder were compared on measures of psychiatric symptoms.	mood disorder,59,72,Disease/Disorder	CIMD,75,79,Disease/Disorder	mood disorders,88,102,Disease/Disorder	mood disorder,110,123,Disease/Disorder	psychiatric,153,164,Disease/Disorder	"[{""token"": ""mood disorder"", ""start_span"": 59, ""end_span"": 72, ""type"": ""Disease/Disorder""}, {""token"": ""CIMD"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Disease/Disorder""}, {""token"": ""mood disorders"", ""start_span"": 88, ""end_span"": 102, ""type"": ""Disease/Disorder""}, {""token"": ""mood disorder"", ""start_span"": 110, ""end_span"": 123, ""type"": ""Disease/Disorder""}, {""token"": ""psychiatric"", ""start_span"": 153, ""end_span"": 164, ""type"": ""Disease/Disorder""}]"	train
Fucoidan - treated rats exhibited evidence of impaired blood clotting and hemodilution, had larger hematomas, and tended to have less inflammation in the vicinity of the hematoma after three days.	impaired blood clotting,46,69,Disease/Disorder	hemodilution,74,86,Disease/Disorder	hematomas,99,108,Disease/Disorder	inflammation,134,146,Disease/Disorder	hematoma,170,178,Disease/Disorder	"[{""token"": ""impaired blood clotting"", ""start_span"": 46, ""end_span"": 69, ""type"": ""Disease/Disorder""}, {""token"": ""hemodilution"", ""start_span"": 74, ""end_span"": 86, ""type"": ""Disease/Disorder""}, {""token"": ""hematomas"", ""start_span"": 99, ""end_span"": 108, ""type"": ""Disease/Disorder""}, {""token"": ""inflammation"", ""start_span"": 134, ""end_span"": 146, ""type"": ""Disease/Disorder""}, {""token"": ""hematoma"", ""start_span"": 170, ""end_span"": 178, ""type"": ""Disease/Disorder""}]"	train
Pain intensity on a 0 to 10 numerical scale; nausea and vomiting, drowsiness, confusion, and dry mouth, using a scale from 0 to 3 ( not at all, slight, a lot, awful); Mini - Mental State Examination ( MMSE) ( 0 - 30); and arterial pressure were recorded before administration of drugs ( T0) and after 30 minutes ( T30), 60 minutes ( T60), 120 minutes ( T120), and 180 minutes ( T180).	Pain,0,4,Disease/Disorder	nausea,45,51,Disease/Disorder	vomiting,56,64,Disease/Disorder	confusion,78,87,Disease/Disorder	dry mouth,93,102,Disease/Disorder	"[{""token"": ""Pain"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Disease/Disorder""}, {""token"": ""nausea"", ""start_span"": 45, ""end_span"": 51, ""type"": ""Disease/Disorder""}, {""token"": ""vomiting"", ""start_span"": 56, ""end_span"": 64, ""type"": ""Disease/Disorder""}, {""token"": ""confusion"", ""start_span"": 78, ""end_span"": 87, ""type"": ""Disease/Disorder""}, {""token"": ""dry mouth"", ""start_span"": 93, ""end_span"": 102, ""type"": ""Disease/Disorder""}]"	train
Patients who experienced a manic or hypomanic switch were compared with those who did not on several variables including age, sex, diagnosis ( DSM - IV bipolar I vs. bipolar II), number of previous manic episodes, type of antidepressant therapy used ( electroconvulsive therapy vs. antidepressant drugs and, more particularly, selective serotonin reuptake inhibitors [ SSRIs]), use and type of mood stabilizers ( lithium vs. anticonvulsants), and temperament of the patient, assessed during a normothymic period using the hyperthymia component of the Semi - structured Affective Temperament Interview.	manic,27,32,Disease/Disorder	hypomanic,36,45,Disease/Disorder	DSM - IV bipolar I,143,161,Disease/Disorder	bipolar II,166,176,Disease/Disorder	manic,198,203,Disease/Disorder	"[{""token"": ""manic"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Disease/Disorder""}, {""token"": ""hypomanic"", ""start_span"": 36, ""end_span"": 45, ""type"": ""Disease/Disorder""}, {""token"": ""DSM - IV bipolar I"", ""start_span"": 143, ""end_span"": 161, ""type"": ""Disease/Disorder""}, {""token"": ""bipolar II"", ""start_span"": 166, ""end_span"": 176, ""type"": ""Disease/Disorder""}, {""token"": ""manic"", ""start_span"": 198, ""end_span"": 203, ""type"": ""Disease/Disorder""}]"	train
Native kidney specimens included a wide range of glomerulopathies as well as cases of thrombotic microangiopathy, malignant hypertension, acute interstitial nephritis, and acute tubular necrosis.	glomerulopathies,49,65,Disease/Disorder	thrombotic microangiopathy,86,112,Disease/Disorder	malignant hypertension,114,136,Disease/Disorder	interstitial nephritis,144,166,Disease/Disorder	acute tubular necrosis,172,194,Disease/Disorder	"[{""token"": ""glomerulopathies"", ""start_span"": 49, ""end_span"": 65, ""type"": ""Disease/Disorder""}, {""token"": ""thrombotic microangiopathy"", ""start_span"": 86, ""end_span"": 112, ""type"": ""Disease/Disorder""}, {""token"": ""malignant hypertension"", ""start_span"": 114, ""end_span"": 136, ""type"": ""Disease/Disorder""}, {""token"": ""interstitial nephritis"", ""start_span"": 144, ""end_span"": 166, ""type"": ""Disease/Disorder""}, {""token"": ""acute tubular necrosis"", ""start_span"": 172, ""end_span"": 194, ""type"": ""Disease/Disorder""}]"	train
A 34 - year - old lady developed a constellation of dermatitis, fever, lymphadenopathy and hepatitis, beginning on the 17th day of a course of oral sulphasalazine for sero - negative rheumatoid arthritis.	dermatitis,52,62,Disease/Disorder	fever,64,69,Disease/Disorder	lymphadenopathy,71,86,Disease/Disorder	hepatitis,91,100,Disease/Disorder	rheumatoid arthritis,183,203,Disease/Disorder	"[{""token"": ""dermatitis"", ""start_span"": 52, ""end_span"": 62, ""type"": ""Disease/Disorder""}, {""token"": ""fever"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Disease/Disorder""}, {""token"": ""lymphadenopathy"", ""start_span"": 71, ""end_span"": 86, ""type"": ""Disease/Disorder""}, {""token"": ""hepatitis"", ""start_span"": 91, ""end_span"": 100, ""type"": ""Disease/Disorder""}, {""token"": ""rheumatoid arthritis"", ""start_span"": 183, ""end_span"": 203, ""type"": ""Disease/Disorder""}]"	train
She subsequently died some 5 weeks after the commencement of her drug therapy. Post - mortem examination showed evidence of massive hepatocellular necrosis, acute hypersensitivity myocarditis, focal acute tubulo - interstitial nephritis and extensive bone marrow necrosis, with no evidence of malignancy.	massive hepatocellular necrosis,124,155,Disease/Disorder	myocarditis,180,191,Disease/Disorder	nephritis,227,236,Disease/Disorder	bone marrow necrosis,251,271,Disease/Disorder	malignancy,293,303,Disease/Disorder	"[{""token"": ""massive hepatocellular necrosis"", ""start_span"": 124, ""end_span"": 155, ""type"": ""Disease/Disorder""}, {""token"": ""myocarditis"", ""start_span"": 180, ""end_span"": 191, ""type"": ""Disease/Disorder""}, {""token"": ""nephritis"", ""start_span"": 227, ""end_span"": 236, ""type"": ""Disease/Disorder""}, {""token"": ""bone marrow necrosis"", ""start_span"": 251, ""end_span"": 271, ""type"": ""Disease/Disorder""}, {""token"": ""malignancy"", ""start_span"": 293, ""end_span"": 303, ""type"": ""Disease/Disorder""}]"	train
Although a dose - response effect has been observed with cisplatin, the dose - limiting toxicities associated with cisplatin ( e. g., nephrotoxicity, ototoxicity, and neurotoxicity) have limited its use as a treatment for breast carcinoma.	toxicities,88,98,Disease/Disorder	nephrotoxicity,134,148,Disease/Disorder	ototoxicity,150,161,Disease/Disorder	neurotoxicity,167,180,Disease/Disorder	breast carcinoma,222,238,Disease/Disorder	"[{""token"": ""toxicities"", ""start_span"": 88, ""end_span"": 98, ""type"": ""Disease/Disorder""}, {""token"": ""nephrotoxicity"", ""start_span"": 134, ""end_span"": 148, ""type"": ""Disease/Disorder""}, {""token"": ""ototoxicity"", ""start_span"": 150, ""end_span"": 161, ""type"": ""Disease/Disorder""}, {""token"": ""neurotoxicity"", ""start_span"": 167, ""end_span"": 180, ""type"": ""Disease/Disorder""}, {""token"": ""breast carcinoma"", ""start_span"": 222, ""end_span"": 238, ""type"": ""Disease/Disorder""}]"	train
Analysis was performed on 61 women with chemotherapy - responsive metastatic breast cancer receiving 96 - h infusional cyclophosphamide as part of a triple sequential high - dose regimen to assess association between presence of peritransplant congestive heart failure ( CHF) and the following pretreatment characteristics: presence of electrocardiogram ( EKG) abnormalities, age, hypertension, prior cardiac history, smoking, diabetes mellitus, prior use of anthracyclines, and left - sided chest irradiation.	breast cancer,77,90,Disease/Disorder	congestive heart failure,244,268,Disease/Disorder	CHF,271,274,Disease/Disorder	hypertension,381,393,Disease/Disorder	diabetes mellitus,427,444,Disease/Disorder	"[{""token"": ""breast cancer"", ""start_span"": 77, ""end_span"": 90, ""type"": ""Disease/Disorder""}, {""token"": ""congestive heart failure"", ""start_span"": 244, ""end_span"": 268, ""type"": ""Disease/Disorder""}, {""token"": ""CHF"", ""start_span"": 271, ""end_span"": 274, ""type"": ""Disease/Disorder""}, {""token"": ""hypertension"", ""start_span"": 381, ""end_span"": 393, ""type"": ""Disease/Disorder""}, {""token"": ""diabetes mellitus"", ""start_span"": 427, ""end_span"": 444, ""type"": ""Disease/Disorder""}]"	train
CONCLUSION: Raloxifene was associated with an increased risk for venous thromboembolism, but there was no increased risk for cataracts, gallbladder disease, endometrial hyperplasia, or endometrial cancer.	venous thromboembolism,65,87,Disease/Disorder	cataracts,125,134,Disease/Disorder	gallbladder disease,136,155,Disease/Disorder	endometrial hyperplasia,157,180,Disease/Disorder	endometrial cancer,185,203,Disease/Disorder	"[{""token"": ""venous thromboembolism"", ""start_span"": 65, ""end_span"": 87, ""type"": ""Disease/Disorder""}, {""token"": ""cataracts"", ""start_span"": 125, ""end_span"": 134, ""type"": ""Disease/Disorder""}, {""token"": ""gallbladder disease"", ""start_span"": 136, ""end_span"": 155, ""type"": ""Disease/Disorder""}, {""token"": ""endometrial hyperplasia"", ""start_span"": 157, ""end_span"": 180, ""type"": ""Disease/Disorder""}, {""token"": ""endometrial cancer"", ""start_span"": 185, ""end_span"": 203, ""type"": ""Disease/Disorder""}]"	train
Other possible adverse effects - - such as gastrointestinal disorders, orthostatic hypotension, levodopa - induced psychosis, sleep disturbances or parasomnias, or drug interactions - - also require carefully monitored individual treatment.	gastrointestinal disorders,43,69,Disease/Disorder	orthostatic hypotension,71,94,Disease/Disorder	psychosis,115,124,Disease/Disorder	sleep disturbances,126,144,Disease/Disorder	parasomnias,148,159,Disease/Disorder	"[{""token"": ""gastrointestinal disorders"", ""start_span"": 43, ""end_span"": 69, ""type"": ""Disease/Disorder""}, {""token"": ""orthostatic hypotension"", ""start_span"": 71, ""end_span"": 94, ""type"": ""Disease/Disorder""}, {""token"": ""psychosis"", ""start_span"": 115, ""end_span"": 124, ""type"": ""Disease/Disorder""}, {""token"": ""sleep disturbances"", ""start_span"": 126, ""end_span"": 144, ""type"": ""Disease/Disorder""}, {""token"": ""parasomnias"", ""start_span"": 148, ""end_span"": 159, ""type"": ""Disease/Disorder""}]"	train
We report a woman with coronary artery disease who developed a markedly prolonged QT interval and torsades de pointes ( TdP) after taking ketoconazole for treatment of fungal infection.	coronary artery disease,23,46,Disease/Disorder	prolonged QT interval,72,93,Disease/Disorder	torsades de pointes,98,117,Disease/Disorder	TdP,120,123,Disease/Disorder	fungal infection,168,184,Disease/Disorder	"[{""token"": ""coronary artery disease"", ""start_span"": 23, ""end_span"": 46, ""type"": ""Disease/Disorder""}, {""token"": ""prolonged QT interval"", ""start_span"": 72, ""end_span"": 93, ""type"": ""Disease/Disorder""}, {""token"": ""torsades de pointes"", ""start_span"": 98, ""end_span"": 117, ""type"": ""Disease/Disorder""}, {""token"": ""TdP"", ""start_span"": 120, ""end_span"": 123, ""type"": ""Disease/Disorder""}, {""token"": ""fungal infection"", ""start_span"": 168, ""end_span"": 184, ""type"": ""Disease/Disorder""}]"	train
Further signs were hyperhidrosis, hypersalivation, bronchorrhoea, and severe miosis; the electrocardiographic finding was atrio - ventricular dissociation.	hyperhidrosis,19,32,Disease/Disorder	hypersalivation,34,49,Disease/Disorder	bronchorrhoea,51,64,Disease/Disorder	miosis,77,83,Disease/Disorder	atrio - ventricular dissociation,122,154,Disease/Disorder	"[{""token"": ""hyperhidrosis"", ""start_span"": 19, ""end_span"": 32, ""type"": ""Disease/Disorder""}, {""token"": ""hypersalivation"", ""start_span"": 34, ""end_span"": 49, ""type"": ""Disease/Disorder""}, {""token"": ""bronchorrhoea"", ""start_span"": 51, ""end_span"": 64, ""type"": ""Disease/Disorder""}, {""token"": ""miosis"", ""start_span"": 77, ""end_span"": 83, ""type"": ""Disease/Disorder""}, {""token"": ""atrio - ventricular dissociation"", ""start_span"": 122, ""end_span"": 154, ""type"": ""Disease/Disorder""}]"	train
