Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
The leading causes of death were pneumonia and bronchitis ( 44. 1%), malignant neoplasms ( 11. 6%), heart diseases ( 4. 1%), cerebral infarction ( 3. 7%) and septicaemia ( 3. 3%).	death,22,27,Disease/Disorder	pneumonia,33,42,Disease/Disorder	bronchitis,47,57,Disease/Disorder	neoplasms,79,88,Disease/Disorder	heart diseases,100,114,Disease/Disorder	cerebral infarction,125,144,Disease/Disorder	septicaemia,158,169,Disease/Disorder	"[{""token"": ""death"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Disease/Disorder""}, {""token"": ""pneumonia"", ""start_span"": 33, ""end_span"": 42, ""type"": ""Disease/Disorder""}, {""token"": ""bronchitis"", ""start_span"": 47, ""end_span"": 57, ""type"": ""Disease/Disorder""}, {""token"": ""neoplasms"", ""start_span"": 79, ""end_span"": 88, ""type"": ""Disease/Disorder""}, {""token"": ""heart diseases"", ""start_span"": 100, ""end_span"": 114, ""type"": ""Disease/Disorder""}, {""token"": ""cerebral infarction"", ""start_span"": 125, ""end_span"": 144, ""type"": ""Disease/Disorder""}, {""token"": ""septicaemia"", ""start_span"": 158, ""end_span"": 169, ""type"": ""Disease/Disorder""}]"	train
Compared with placebo subjects, alprazolam patients developed more adverse reactions ( 21% v. 0%) of depression, enuresis, disinhibition and aggression; and more side - effects, particularly sedation, irritability, impaired memory, weight loss and ataxia.	depression,101,111,Disease/Disorder	enuresis,113,121,Disease/Disorder	aggression,141,151,Disease/Disorder	irritability,201,213,Disease/Disorder	impaired memory,215,230,Disease/Disorder	weight loss,232,243,Disease/Disorder	ataxia,248,254,Disease/Disorder	"[{""token"": ""depression"", ""start_span"": 101, ""end_span"": 111, ""type"": ""Disease/Disorder""}, {""token"": ""enuresis"", ""start_span"": 113, ""end_span"": 121, ""type"": ""Disease/Disorder""}, {""token"": ""aggression"", ""start_span"": 141, ""end_span"": 151, ""type"": ""Disease/Disorder""}, {""token"": ""irritability"", ""start_span"": 201, ""end_span"": 213, ""type"": ""Disease/Disorder""}, {""token"": ""impaired memory"", ""start_span"": 215, ""end_span"": 230, ""type"": ""Disease/Disorder""}, {""token"": ""weight loss"", ""start_span"": 232, ""end_span"": 243, ""type"": ""Disease/Disorder""}, {""token"": ""ataxia"", ""start_span"": 248, ""end_span"": 254, ""type"": ""Disease/Disorder""}]"	train
Assessment was done on the following: prenatal screening for hepatitis B and rubella, administration of the hepatitis B vaccine birth dose to all infants, administration of hepatitis B immune globulin to infants who were born to hepatitis B surface antigen - positive mothers, rubella immunity, and administration of in - hospital postpartum rubella vaccine to rubella nonimmune women.	hepatitis B,61,72,Disease/Disorder	rubella,77,84,Disease/Disorder	hepatitis B,108,119,Disease/Disorder	hepatitis B,173,184,Disease/Disorder	rubella,277,284,Disease/Disorder	rubella,342,349,Disease/Disorder	rubella,361,368,Disease/Disorder	"[{""token"": ""hepatitis B"", ""start_span"": 61, ""end_span"": 72, ""type"": ""Disease/Disorder""}, {""token"": ""rubella"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Disease/Disorder""}, {""token"": ""hepatitis B"", ""start_span"": 108, ""end_span"": 119, ""type"": ""Disease/Disorder""}, {""token"": ""hepatitis B"", ""start_span"": 173, ""end_span"": 184, ""type"": ""Disease/Disorder""}, {""token"": ""rubella"", ""start_span"": 277, ""end_span"": 284, ""type"": ""Disease/Disorder""}, {""token"": ""rubella"", ""start_span"": 342, ""end_span"": 349, ""type"": ""Disease/Disorder""}, {""token"": ""rubella"", ""start_span"": 361, ""end_span"": 368, ""type"": ""Disease/Disorder""}]"	valid
The data indicate that phenylephrine - induced hypertension instituted 2 h after MCAO does not aggravate edema in the ischemic core, that it improves edema in the periphery of the ischemic territory, and that it reduces the area of histochemical neuronal dysfunction.	hypertension,47,59,Disease/Disorder	MCAO,81,85,Disease/Disorder	edema,105,110,Disease/Disorder	ischemic,118,126,Disease/Disorder	edema,150,155,Disease/Disorder	ischemic,180,188,Disease/Disorder	neuronal dysfunction,246,266,Disease/Disorder	"[{""token"": ""hypertension"", ""start_span"": 47, ""end_span"": 59, ""type"": ""Disease/Disorder""}, {""token"": ""MCAO"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Disease/Disorder""}, {""token"": ""edema"", ""start_span"": 105, ""end_span"": 110, ""type"": ""Disease/Disorder""}, {""token"": ""ischemic"", ""start_span"": 118, ""end_span"": 126, ""type"": ""Disease/Disorder""}, {""token"": ""edema"", ""start_span"": 150, ""end_span"": 155, ""type"": ""Disease/Disorder""}, {""token"": ""ischemic"", ""start_span"": 180, ""end_span"": 188, ""type"": ""Disease/Disorder""}, {""token"": ""neuronal dysfunction"", ""start_span"": 246, ""end_span"": 266, ""type"": ""Disease/Disorder""}]"	valid
The most common symptomatic adverse reactions were tremor or ataxia ( 35%), nausea and anorexia ( 8%), visual halos or blurring ( 6%), thyroid function abnormalities ( 6%) and pulmonary interstitial infiltrates ( 5%).	tremor,51,57,Disease/Disorder	ataxia,61,67,Disease/Disorder	nausea,76,82,Disease/Disorder	anorexia,87,95,Disease/Disorder	visual halos or blurring,103,127,Disease/Disorder	thyroid function abnormalities,135,165,Disease/Disorder	pulmonary interstitial infiltrates,176,210,Disease/Disorder	"[{""token"": ""tremor"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Disease/Disorder""}, {""token"": ""ataxia"", ""start_span"": 61, ""end_span"": 67, ""type"": ""Disease/Disorder""}, {""token"": ""nausea"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Disease/Disorder""}, {""token"": ""anorexia"", ""start_span"": 87, ""end_span"": 95, ""type"": ""Disease/Disorder""}, {""token"": ""visual halos or blurring"", ""start_span"": 103, ""end_span"": 127, ""type"": ""Disease/Disorder""}, {""token"": ""thyroid function abnormalities"", ""start_span"": 135, ""end_span"": 165, ""type"": ""Disease/Disorder""}, {""token"": ""pulmonary interstitial infiltrates"", ""start_span"": 176, ""end_span"": 210, ""type"": ""Disease/Disorder""}]"	valid
Dose - limiting toxicities in six of nine patients at 200 mg / m2 / d included hypercalcemia ( n = 3), rash ( n = 2), and anemia / thrombocytopenia / emesis / rash ( n = 1).	toxicities,16,26,Disease/Disorder	hypercalcemia,79,92,Disease/Disorder	rash,103,107,Disease/Disorder	anemia,122,128,Disease/Disorder	thrombocytopenia,131,147,Disease/Disorder	emesis,150,156,Disease/Disorder	rash,159,163,Disease/Disorder	"[{""token"": ""toxicities"", ""start_span"": 16, ""end_span"": 26, ""type"": ""Disease/Disorder""}, {""token"": ""hypercalcemia"", ""start_span"": 79, ""end_span"": 92, ""type"": ""Disease/Disorder""}, {""token"": ""rash"", ""start_span"": 103, ""end_span"": 107, ""type"": ""Disease/Disorder""}, {""token"": ""anemia"", ""start_span"": 122, ""end_span"": 128, ""type"": ""Disease/Disorder""}, {""token"": ""thrombocytopenia"", ""start_span"": 131, ""end_span"": 147, ""type"": ""Disease/Disorder""}, {""token"": ""emesis"", ""start_span"": 150, ""end_span"": 156, ""type"": ""Disease/Disorder""}, {""token"": ""rash"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Disease/Disorder""}]"	valid
The worst toxicities (%) observed were ( CTC - NCI 1 / 2 / 3): leukopenia 45. 5 / 18. 2 / 6. 1, thrombocytopenia 33. 3 / 9. 1 / 6. 1, vomitus 24. 2 / 9. 1 / 0, diarrhea 36. 4 / 6. 1 / 3. 0, stomatitis 18. 2 / 9. 1 / 0, hand - foot syndrome 12. 1 / 0 / 0.	toxicities,10,20,Disease/Disorder	leukopenia,63,73,Disease/Disorder	thrombocytopenia,96,112,Disease/Disorder	vomitus,134,141,Disease/Disorder	diarrhea,160,168,Disease/Disorder	stomatitis,190,200,Disease/Disorder	hand - foot syndrome,219,239,Disease/Disorder	"[{""token"": ""toxicities"", ""start_span"": 10, ""end_span"": 20, ""type"": ""Disease/Disorder""}, {""token"": ""leukopenia"", ""start_span"": 63, ""end_span"": 73, ""type"": ""Disease/Disorder""}, {""token"": ""thrombocytopenia"", ""start_span"": 96, ""end_span"": 112, ""type"": ""Disease/Disorder""}, {""token"": ""vomitus"", ""start_span"": 134, ""end_span"": 141, ""type"": ""Disease/Disorder""}, {""token"": ""diarrhea"", ""start_span"": 160, ""end_span"": 168, ""type"": ""Disease/Disorder""}, {""token"": ""stomatitis"", ""start_span"": 190, ""end_span"": 200, ""type"": ""Disease/Disorder""}, {""token"": ""hand - foot syndrome"", ""start_span"": 219, ""end_span"": 239, ""type"": ""Disease/Disorder""}]"	test
Administration of parenteral quinine must be done carefully and with good observation because of its pro - arrhythmic effect, especially in older patients who have heart diseases or patients with electrolyte disorder ( hypokalemia) which frequently occurs due to vomiting and or diarrhea in malaria cases.	arrhythmic,107,117,Disease/Disorder	heart diseases,164,178,Disease/Disorder	electrolyte disorder,196,216,Disease/Disorder	hypokalemia,219,230,Disease/Disorder	vomiting,263,271,Disease/Disorder	diarrhea,279,287,Disease/Disorder	malaria,291,298,Disease/Disorder	"[{""token"": ""arrhythmic"", ""start_span"": 107, ""end_span"": 117, ""type"": ""Disease/Disorder""}, {""token"": ""heart diseases"", ""start_span"": 164, ""end_span"": 178, ""type"": ""Disease/Disorder""}, {""token"": ""electrolyte disorder"", ""start_span"": 196, ""end_span"": 216, ""type"": ""Disease/Disorder""}, {""token"": ""hypokalemia"", ""start_span"": 219, ""end_span"": 230, ""type"": ""Disease/Disorder""}, {""token"": ""vomiting"", ""start_span"": 263, ""end_span"": 271, ""type"": ""Disease/Disorder""}, {""token"": ""diarrhea"", ""start_span"": 279, ""end_span"": 287, ""type"": ""Disease/Disorder""}, {""token"": ""malaria"", ""start_span"": 291, ""end_span"": 298, ""type"": ""Disease/Disorder""}]"	test
Our aim was to observe if patients with panic disorder ( PD) and patients with major depression with panic attacks ( MDP) ( Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition criteria) respond in a similar way to the induction of panic attacks by an oral caffeine challenge test.	panic disorder,40,54,Disease/Disorder	PD,57,59,Disease/Disorder	major depression,79,95,Disease/Disorder	panic attacks,101,114,Disease/Disorder	MDP,117,120,Disease/Disorder	Mental Disorders,161,177,Disease/Disorder	panic attacks,249,262,Disease/Disorder	"[{""token"": ""panic disorder"", ""start_span"": 40, ""end_span"": 54, ""type"": ""Disease/Disorder""}, {""token"": ""PD"", ""start_span"": 57, ""end_span"": 59, ""type"": ""Disease/Disorder""}, {""token"": ""major depression"", ""start_span"": 79, ""end_span"": 95, ""type"": ""Disease/Disorder""}, {""token"": ""panic attacks"", ""start_span"": 101, ""end_span"": 114, ""type"": ""Disease/Disorder""}, {""token"": ""MDP"", ""start_span"": 117, ""end_span"": 120, ""type"": ""Disease/Disorder""}, {""token"": ""Mental Disorders"", ""start_span"": 161, ""end_span"": 177, ""type"": ""Disease/Disorder""}, {""token"": ""panic attacks"", ""start_span"": 249, ""end_span"": 262, ""type"": ""Disease/Disorder""}]"	test
We report a 57 - year - old woman with end - stage renal disease receiving continuous ambulatory peritoneal dialysis ( CAPD), who developed slurred speech, tremor, bizarre behavior, progressive mental confusion, and 2 episodes of generalized tonic - clonic seizure ( GTCS) after 5 doses of piperacillin / tazobactam ( 2 g / 250 mg) were given for bronchiectasis with secondary infection.	end - stage renal disease,39,64,Disease/Disorder	tremor,156,162,Disease/Disorder	confusion,201,210,Disease/Disorder	tonic - clonic seizure,242,264,Disease/Disorder	GTCS,267,271,Disease/Disorder	bronchiectasis,347,361,Disease/Disorder	secondary infection,367,386,Disease/Disorder	"[{""token"": ""end - stage renal disease"", ""start_span"": 39, ""end_span"": 64, ""type"": ""Disease/Disorder""}, {""token"": ""tremor"", ""start_span"": 156, ""end_span"": 162, ""type"": ""Disease/Disorder""}, {""token"": ""confusion"", ""start_span"": 201, ""end_span"": 210, ""type"": ""Disease/Disorder""}, {""token"": ""tonic - clonic seizure"", ""start_span"": 242, ""end_span"": 264, ""type"": ""Disease/Disorder""}, {""token"": ""GTCS"", ""start_span"": 267, ""end_span"": 271, ""type"": ""Disease/Disorder""}, {""token"": ""bronchiectasis"", ""start_span"": 347, ""end_span"": 361, ""type"": ""Disease/Disorder""}, {""token"": ""secondary infection"", ""start_span"": 367, ""end_span"": 386, ""type"": ""Disease/Disorder""}]"	test
