Sentence	entity_1	entity_2	json	split
Reactive oxygen intermediate - dependent NF - kappaB activation by interleukin - 1beta requires 5 - lipoxygenase or NADPH oxidase activity.	interleukin - 1beta,67,86,Protein	5 - lipoxygenase,96,112,Protein	"[{""token"": ""interleukin - 1beta"", ""start_span"": 67, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""5 - lipoxygenase"", ""start_span"": 96, ""end_span"": 112, ""type"": ""Protein""}]"	train
However, the sources for ROIs in various cell types are yet to be determined and might include 5 - lipoxygenase ( 5 - LOX) and NADPH oxidase.	5 - lipoxygenase,95,111,Protein	5 - LOX,114,121,Protein	"[{""token"": ""5 - lipoxygenase"", ""start_span"": 95, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""5 - LOX"", ""start_span"": 114, ""end_span"": 121, ""type"": ""Protein""}]"	train
IL - 1beta stimulation of epithelial cells did not generate any ROIs and NF - kappaB induction was not influenced by 5 - LOX inhibitors.	IL - 1beta,0,10,Protein	5 - LOX,117,124,Protein	"[{""token"": ""IL - 1beta"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Protein""}, {""token"": ""5 - LOX"", ""start_span"": 117, ""end_span"": 124, ""type"": ""Protein""}]"	train
However, reintroduction of a functional 5 - LOX system in these cells allowed ROI production and 5 - LOX - dependent NF - kappaB activation.	5 - LOX,40,47,Protein	5 - LOX,97,104,Protein	"[{""token"": ""5 - LOX"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""5 - LOX"", ""start_span"": 97, ""end_span"": 104, ""type"": ""Protein""}]"	train
In monocytic cells, IL - 1beta treatment led to a production of ROIs which is independent of the 5 - LOX enzyme but requires the NADPH oxidase activity.	IL - 1beta,20,30,Protein	5 - LOX,97,104,Protein	"[{""token"": ""IL - 1beta"", ""start_span"": 20, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""5 - LOX"", ""start_span"": 97, ""end_span"": 104, ""type"": ""Protein""}]"	train
Lymphocyte activation results in the upregulation of Fas expression and the acquisition of sensitivity to FasL - mediated apoptosis.	Fas,53,56,Protein	FasL,106,110,Protein	"[{""token"": ""Fas"", ""start_span"": 53, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""FasL"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Protein""}]"	train
To investigate the events involved in activation - induced Fas upregulation, we have examined mRNA accumulation, fas promoter activity, and protein expression in the Jurkat T - cell line treated with phorbol myristate acetate and ionomycin ( P / I), pharmacological mimics of T - cell receptor activation.	Fas,59,62,Protein	fas,113,116,Protein	"[{""token"": ""Fas"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""fas"", ""start_span"": 113, ""end_span"": 116, ""type"": ""Protein""}]"	train
Although resting Jurkat cells express Fas, Fas mRNA was induced approximately 10 - fold in 2 h upon P / I stimulation.	Fas,38,41,Protein	Fas,43,46,Protein	"[{""token"": ""Fas"", ""start_span"": 38, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""Fas"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Protein""}]"	train
Using sequential deletion mutants of the human fas promoter in transient transfection assays, we identified a 47 - bp sequence ( positions - 306 to - 260 relative to the ATG) required for activation - driven fas upregulation.	fas,47,50,Protein	fas,208,211,Protein	"[{""token"": ""fas"", ""start_span"": 47, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""fas"", ""start_span"": 208, ""end_span"": 211, ""type"": ""Protein""}]"	train
Site - directed mutagenesis of the critical guanine nucleotides in the kappaB - Sp1 element documented the essential role of this site in activation - dependent fas promoter induction.	Sp1,80,83,Protein	fas,161,164,Protein	"[{""token"": ""Sp1"", ""start_span"": 80, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""fas"", ""start_span"": 161, ""end_span"": 164, ""type"": ""Protein""}]"	train
RFLAT - 1: a new zinc finger transcription factor that activates RANTES gene expression in T lymphocytes.	RFLAT - 1,0,9,Protein	RANTES,65,71,Protein	"[{""token"": ""RFLAT - 1"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""RANTES"", ""start_span"": 65, ""end_span"": 71, ""type"": ""Protein""}]"	train
"Using expression cloning, we identified the first "" late "" T lymphocyte associated transcription factor and named it "" RANTES Factor of Late Activated T Lymphocytes - 1 "" ( RFLAT - 1)."	RANTES Factor of Late Activated T Lymphocytes - 1,119,168,Protein	RFLAT - 1,173,182,Protein	"[{""token"": ""RANTES Factor of Late Activated T Lymphocytes - 1"", ""start_span"": 119, ""end_span"": 168, ""type"": ""Protein""}, {""token"": ""RFLAT - 1"", ""start_span"": 173, ""end_span"": 182, ""type"": ""Protein""}]"	train
RFLAT - 1 is a novel, phosphorylated, zinc finger transcription factor that is expressed in T cells 3 days after activation, coincident with RANTES expression.	RFLAT - 1,0,9,Protein	RANTES,141,147,Protein	"[{""token"": ""RFLAT - 1"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""RANTES"", ""start_span"": 141, ""end_span"": 147, ""type"": ""Protein""}]"	train
Interleukin - 10 ( IL - 10) helps maintain polarized T - helper cells in a T - helper lymphocyte 2 ( Th2) phenotype.	Interleukin - 10,0,16,Protein	IL - 10,19,26,Protein	"[{""token"": ""Interleukin - 10"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""IL - 10"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Protein""}]"	train
Part of this process involves the prevention of the development of Th1 cells, which are a primary source of interferon gamma ( IFNgamma), a potent activator of monocytes and an inhibitor of Th2 proliferation.	interferon gamma,108,124,Protein	IFNgamma,127,135,Protein	"[{""token"": ""interferon gamma"", ""start_span"": 108, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""IFNgamma"", ""start_span"": 127, ""end_span"": 135, ""type"": ""Protein""}]"	train
Because monocytes and macrophages are important mediators of Th1 - type responses, such as delayed - type hypersensitivity, we sought to determine if IL - 10 could directly mediate inhibition of IFNgamma - and IFNalpha - induced gene expression in these cells.	IL - 10,150,157,Protein	IFNgamma,195,203,Protein	"[{""token"": ""IL - 10"", ""start_span"": 150, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""IFNgamma"", ""start_span"": 195, ""end_span"": 203, ""type"": ""Protein""}]"	train
Highly purified monocytes were incubated with IL - 10 for 60 to 90 minutes before the addition of IFNgamma or IFNalpha.	IL - 10,46,53,Protein	IFNgamma,98,106,Protein	"[{""token"": ""IL - 10"", ""start_span"": 46, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""IFNgamma"", ""start_span"": 98, ""end_span"": 106, ""type"": ""Protein""}]"	train
The reduction in gene expression resulted from the ability of IL - 10 to suppress IFN - induced assembly of signal transducer and activator of transcription ( STAT) factors to specific promoter motifs on IFNalpha - and IFNgamma - inducible genes.	IL - 10,62,69,Protein	IFNgamma,219,227,Protein	"[{""token"": ""IL - 10"", ""start_span"": 62, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""IFNgamma"", ""start_span"": 219, ""end_span"": 227, ""type"": ""Protein""}]"	train
This was accomplished by preventing the IFN - induced tyrosine phosphorylation of STAT1, a component of both IFNalpha - and IFNgamma - induced DNA binding complexes.	STAT1,82,87,Protein	IFNgamma,124,132,Protein	"[{""token"": ""STAT1"", ""start_span"": 82, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""IFNgamma"", ""start_span"": 124, ""end_span"": 132, ""type"": ""Protein""}]"	train
Two tandem AP1 binding sites with dyad symmetry are required for enhancer activity and for DNA - protein complex formation with members of the c - fos / c - jun family.	c - fos,143,150,Protein	c - jun,153,160,Protein	"[{""token"": ""c - fos"", ""start_span"": 143, ""end_span"": 150, ""type"": ""Protein""}, {""token"": ""c - jun"", ""start_span"": 153, ""end_span"": 160, ""type"": ""Protein""}]"	train
Inhibition of the MAP kinase cascade with PD98059, a specific inhibitor of MAPK kinase 1, prevented the expression of the alpha2 integrin subunit in cells induced to become megakaryocytic.	MAPK kinase 1,75,88,Protein	alpha2 integrin,122,137,Protein	"[{""token"": ""MAPK kinase 1"", ""start_span"": 75, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""alpha2 integrin"", ""start_span"": 122, ""end_span"": 137, ""type"": ""Protein""}]"	train
We provide a model of megakaryocytic differentiation in which expression of the alpha2 integrin gene requires signaling via the MAP kinase pathway to activate two tandem AP1 binding sites in the alpha2 integrin enhancer.	alpha2 integrin,80,95,Protein	alpha2 integrin,195,210,Protein	"[{""token"": ""alpha2 integrin"", ""start_span"": 80, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""alpha2 integrin"", ""start_span"": 195, ""end_span"": 210, ""type"": ""Protein""}]"	train
Differential expression and phosphorylation of CTCF, a c - myc transcriptional regulator, during differentiation of human myeloid cells.	CTCF,47,51,Protein	c - myc,55,62,Protein	"[{""token"": ""CTCF"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""c - myc"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}]"	train
CTCF is a transcriptional repressor of the c - myc gene.	CTCF,0,4,Protein	c - myc,43,50,Protein	"[{""token"": ""CTCF"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""c - myc"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Protein""}]"	train
Although CTCF has been characterized in some detail, there is very little information about the regulation of CTCF activity.	CTCF,9,13,Protein	CTCF,110,114,Protein	"[{""token"": ""CTCF"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""CTCF"", ""start_span"": 110, ""end_span"": 114, ""type"": ""Protein""}]"	train
The GATA - 3 transcription factor is required for development of the T - cell lineage and Th2 cytokine gene expression in CD4 T - cells.	GATA - 3,4,12,Protein	CD4,122,125,Protein	"[{""token"": ""GATA - 3"", ""start_span"": 4, ""end_span"": 12, ""type"": ""Protein""}, {""token"": ""CD4"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Protein""}]"	train
Among these hypersensitive sites, two transcriptional control elements were found, one in the first intron of the GATA - 3 gene and the other between 8. 3 and 5. 9 kilobases 5 ' from the GATA - 3 transcriptional initiation site.	GATA - 3,114,122,Protein	GATA - 3,187,195,Protein	"[{""token"": ""GATA - 3"", ""start_span"": 114, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""GATA - 3"", ""start_span"": 187, ""end_span"": 195, ""type"": ""Protein""}]"	train
The upstream regulatory element could confer T - cell specificity to the GATA - 3 promoter activity, and analysis of this region revealed a 707 - base pair silencer that drastically inhibited GATA - 3 promoter activity in non - T - cells.	GATA - 3,73,81,Protein	GATA - 3,192,200,Protein	"[{""token"": ""GATA - 3"", ""start_span"": 73, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""GATA - 3"", ""start_span"": 192, ""end_span"": 200, ""type"": ""Protein""}]"	train
The induction of these genes is associated with interleukin - 2 ( IL - 2) - induced T - cell proliferation.	interleukin - 2,48,63,Protein	IL - 2,66,72,Protein	"[{""token"": ""interleukin - 2"", ""start_span"": 48, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 66, ""end_span"": 72, ""type"": ""Protein""}]"	train
Taken together, our results suggest that IFN - alpha, IL - 2, IL - 12, and IL - 15 have overlapping activities on human T cells.	IL - 2,54,60,Protein	IL - 15,75,82,Protein	"[{""token"": ""IL - 2"", ""start_span"": 54, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""IL - 15"", ""start_span"": 75, ""end_span"": 82, ""type"": ""Protein""}]"	train
Allergen - specific T cells in atopic patients are polarized IL - 4 - producing Th2 cells, promoting IgE synthesis by B cells.	IL - 4,61,67,Protein	IgE,101,104,Protein	"[{""token"": ""IL - 4"", ""start_span"": 61, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""IgE"", ""start_span"": 101, ""end_span"": 104, ""type"": ""Protein""}]"	train
Recently, a unique inhibitory role of NFAT1 in IL - 4 gene control was shown in the mouse.	NFAT1,38,43,Protein	IL - 4,47,53,Protein	"[{""token"": ""NFAT1"", ""start_span"": 38, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""IL - 4"", ""start_span"": 47, ""end_span"": 53, ""type"": ""Protein""}]"	train
In non - rheumatoid arthritis, binding of NF - kappa B in synovial T cells was exclusively mediated by p50 / p50 homodimers.	p50,103,106,Protein	p50,109,112,Protein	"[{""token"": ""p50"", ""start_span"": 103, ""end_span"": 106, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 109, ""end_span"": 112, ""type"": ""Protein""}]"	train
To investigate the effect of NAC on the induction phase of T cell responses, we analyzed its action on human dendritic cells ( DC) derived from adherent PBMC cultured with IL - 4 and granulocyte - macrophage CSF.	IL - 4,172,178,Protein	granulocyte - macrophage CSF,183,211,Protein	"[{""token"": ""IL - 4"", ""start_span"": 172, ""end_span"": 178, ""type"": ""Protein""}, {""token"": ""granulocyte - macrophage CSF"", ""start_span"": 183, ""end_span"": 211, ""type"": ""Protein""}]"	train
TLR2 and TLR4 were expressed on the cell surface of HDMEC and THP - 1 cells.	TLR2,0,4,Protein	TLR4,9,13,Protein	"[{""token"": ""TLR2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""TLR4"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}]"	train
Of p38 MAPk isoforms studied, only p38alpha and p38delta were detected in neutrophils.	p38alpha,35,43,Protein	p38delta,48,56,Protein	"[{""token"": ""p38alpha"", ""start_span"": 35, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""p38delta"", ""start_span"": 48, ""end_span"": 56, ""type"": ""Protein""}]"	train
Inhibition of STAT6 activity is not evident unless cells are preincubated with IFN for at least 1 h before IL - 4 stimulation.	STAT6,14,19,Protein	IL - 4,107,113,Protein	"[{""token"": ""STAT6"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""IL - 4"", ""start_span"": 107, ""end_span"": 113, ""type"": ""Protein""}]"	train
A region between - 3134 and - 2729 bp upstream from the transcription site of the human pro - interleukin 1beta ( proIL - 1beta) gene was identified as an LPS - responsive enhancer element.	pro - interleukin 1beta,88,111,Protein	proIL - 1beta,114,127,Protein	"[{""token"": ""pro - interleukin 1beta"", ""start_span"": 88, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""proIL - 1beta"", ""start_span"": 114, ""end_span"": 127, ""type"": ""Protein""}]"	train
The results obtained by transient transfection of fos - CAT constructs that contained serial 5 ' - deletion mutations showed that the region between - 3134 and - 3059 appears to be required for the induction of transcription by LPS.	fos,50,53,Protein	CAT,56,59,Protein	"[{""token"": ""fos"", ""start_span"": 50, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""CAT"", ""start_span"": 56, ""end_span"": 59, ""type"": ""Protein""}]"	train
Phosphorylation of TRAF2 inhibits binding to the CD40 cytoplasmic domain.	TRAF2,19,24,Protein	CD40,49,53,Protein	"[{""token"": ""TRAF2"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""CD40"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}]"	train
TRAF2 is a signal transducing adaptor molecule which binds to the CD40 cytoplasmic domain.	TRAF2,0,5,Protein	CD40,66,70,Protein	"[{""token"": ""TRAF2"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""CD40"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}]"	train
Augmented expression of VCAM - 1 led to increased SS RBC adhesion, inhibitable by a VCAM - 1 antibody.	VCAM - 1,24,32,Protein	VCAM - 1,84,92,Protein	"[{""token"": ""VCAM - 1"", ""start_span"": 24, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""VCAM - 1"", ""start_span"": 84, ""end_span"": 92, ""type"": ""Protein""}]"	train
Our data suggests that CoCl2 - induced cellular signals directing increased expression of VCAM - 1 in HUVEC involve downstream activation of MAP kinase and NF - kappaB, while the phosphorylation of PECAM - 1 occurs as a result of activation of PKC.	VCAM - 1,90,98,Protein	PECAM - 1,198,207,Protein	"[{""token"": ""VCAM - 1"", ""start_span"": 90, ""end_span"": 98, ""type"": ""Protein""}, {""token"": ""PECAM - 1"", ""start_span"": 198, ""end_span"": 207, ""type"": ""Protein""}]"	train
Our investigations have focused on localizing cis - elements responsible for the down regulation of the adult beta - like globin genes ( delta and beta) in immature, or primitive erythroid tissues.	delta,137,142,Protein	beta,147,151,Protein	"[{""token"": ""delta"", ""start_span"": 137, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""beta"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Protein""}]"	train
The authors have previously demonstrated that in vitro exposure of mononuclear cells to DFX decreases the bioavailability of tumour necrosis factor alpha ( TNF - alpha) which has a stimulatory effect on HIV - 1 replication.	tumour necrosis factor alpha,125,153,Protein	TNF - alpha,156,167,Protein	"[{""token"": ""tumour necrosis factor alpha"", ""start_span"": 125, ""end_span"": 153, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 156, ""end_span"": 167, ""type"": ""Protein""}]"	train
Evidence is presented showing that DFX treatment reduces TNF - alpha bioavailability ( P < 0. 05) by inhibiting its steady state ( P < 0. 05) and by enhancing its inactivation through binding to soluble TNF - alpha receptor type II ( P < 0. 05).	TNF - alpha,57,68,Protein	TNF - alpha receptor type II,203,231,Protein	"[{""token"": ""TNF - alpha"", ""start_span"": 57, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""TNF - alpha receptor type II"", ""start_span"": 203, ""end_span"": 231, ""type"": ""Protein""}]"	train
We also show that DFX treatment limits the in vivo activation of NF - kappaB, a transcription factor involved in both TNF - alpha gene transcription and TNF - alpha signalling ( P < 0. 005).	TNF - alpha,118,129,Protein	TNF - alpha,153,164,Protein	"[{""token"": ""TNF - alpha"", ""start_span"": 118, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 153, ""end_span"": 164, ""type"": ""Protein""}]"	train
Soluble interleukin - 2 receptor - alpha ( IL - 2Ralpha) has been reported to be increased in the sera of patients with advanced tuberculosis, and levels decline after therapy in accordance with improvement of radiologic findings.	interleukin - 2 receptor - alpha,8,40,Protein	IL - 2Ralpha,43,55,Protein	"[{""token"": ""interleukin - 2 receptor - alpha"", ""start_span"": 8, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""IL - 2Ralpha"", ""start_span"": 43, ""end_span"": 55, ""type"": ""Protein""}]"	train
We investigated expression of the IL - 2Ralpha in bronchoalveolar lavage ( BAL) cells in active pulmonary tuberculosis, and evaluated the mechanism Mycobacterium tuberculosis induces in the IL - 2Ralpha using the THP - 1 mononuclear phagocyte cell line.	IL - 2Ralpha,34,46,Protein	IL - 2Ralpha,190,202,Protein	"[{""token"": ""IL - 2Ralpha"", ""start_span"": 34, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""IL - 2Ralpha"", ""start_span"": 190, ""end_span"": 202, ""type"": ""Protein""}]"	train
Regulation of the megakaryocytic glycoprotein IX promoter by the oncogenic Ets transcription factor Fli - 1.	glycoprotein IX,33,48,Protein	Fli - 1,100,107,Protein	"[{""token"": ""glycoprotein IX"", ""start_span"": 33, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""Fli - 1"", ""start_span"": 100, ""end_span"": 107, ""type"": ""Protein""}]"	train
