Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
Treatment of T lymphocytes with IFN - alpha, IL - 2, IL - 12, and IL - 15 upregulated IL - 2Ralpha, c - myc, and pim - 1 gene expression.	IL - 2,45,51,Protein	IL - 15,66,73,Protein	IL - 2Ralpha,86,98,Protein	c - myc,100,107,Protein	pim - 1,113,120,Protein	"[{""token"": ""IL - 2"", ""start_span"": 45, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""IL - 15"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""IL - 2Ralpha"", ""start_span"": 86, ""end_span"": 98, ""type"": ""Protein""}, {""token"": ""c - myc"", ""start_span"": 100, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""pim - 1"", ""start_span"": 113, ""end_span"": 120, ""type"": ""Protein""}]"	train
IFN - alpha enhanced tyrosine phosphorylation of STAT1, STAT3, STAT4, STAT5a, and STAT5b.	STAT1,49,54,Protein	STAT3,56,61,Protein	STAT4,63,68,Protein	STAT5a,70,76,Protein	STAT5b,82,88,Protein	"[{""token"": ""STAT1"", ""start_span"": 49, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""STAT3"", ""start_span"": 56, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""STAT4"", ""start_span"": 63, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""STAT5a"", ""start_span"": 70, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""STAT5b"", ""start_span"": 82, ""end_span"": 88, ""type"": ""Protein""}]"	train
In this study, transient cotransfection of several GPIX promoter / reporter constructs into 293T kidney fibroblasts with a Fli - 1 expression vector shows that the oncogenic protein Fli - 1 can transactivate the GPIX promoter when an intact GPIX Ets site is present.	GPIX,51,55,Protein	Fli - 1,123,130,Protein	Fli - 1,182,189,Protein	GPIX,212,216,Protein	GPIX,241,245,Protein	"[{""token"": ""GPIX"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""Fli - 1"", ""start_span"": 123, ""end_span"": 130, ""type"": ""Protein""}, {""token"": ""Fli - 1"", ""start_span"": 182, ""end_span"": 189, ""type"": ""Protein""}, {""token"": ""GPIX"", ""start_span"": 212, ""end_span"": 216, ""type"": ""Protein""}, {""token"": ""GPIX"", ""start_span"": 241, ""end_span"": 245, ""type"": ""Protein""}]"	train
First, we showed that viral binding induced a number of immunoregulatory genes ( IL - 1beta, A20, NF - kappaB - p105 / p50, and IkappaBalpha) in unactivated monocytes and that neutralizing Abs to the major HCMV glycoproteins, gB ( UL55) and gH ( UL75), inhibited the induction of these genes.	IL - 1beta,81,91,Protein	A20,93,96,Protein	p105,112,116,Protein	p50,119,122,Protein	IkappaBalpha,128,140,Protein	"[{""token"": ""IL - 1beta"", ""start_span"": 81, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""A20"", ""start_span"": 93, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""p105"", ""start_span"": 112, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 119, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""IkappaBalpha"", ""start_span"": 128, ""end_span"": 140, ""type"": ""Protein""}]"	train
Extracellular - regulated kinase 1 / 2, Jun N - terminal kinase, and c - Jun are involved in NF - kappa B - dependent IL - 6 expression in human monocytes.	Extracellular - regulated kinase 1,0,34,Protein	2,37,38,Protein	Jun N - terminal kinase,40,63,Protein	c - Jun,69,76,Protein	IL - 6,118,124,Protein	"[{""token"": ""Extracellular - regulated kinase 1"", ""start_span"": 0, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 37, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""Jun N - terminal kinase"", ""start_span"": 40, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""c - Jun"", ""start_span"": 69, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 118, ""end_span"": 124, ""type"": ""Protein""}]"	train
Despite this drastic effect in vivo, the in vitro immortalization of erythropoietin - dependent erythroid progenitors unexpectedly occurred at low frequency, and all four cell lines established expressed both erythrocytic ( globins) and megakaryocytic markers ( glycoprotein IIb, platelet factor 4) as well as Spi - 1 and Fli - 1 transcripts at permissive temperature.	erythropoietin,69,83,Protein	glycoprotein IIb,262,278,Protein	platelet factor 4,280,297,Protein	Spi - 1,310,317,Protein	Fli - 1,322,329,Protein	"[{""token"": ""erythropoietin"", ""start_span"": 69, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""glycoprotein IIb"", ""start_span"": 262, ""end_span"": 278, ""type"": ""Protein""}, {""token"": ""platelet factor 4"", ""start_span"": 280, ""end_span"": 297, ""type"": ""Protein""}, {""token"": ""Spi - 1"", ""start_span"": 310, ""end_span"": 317, ""type"": ""Protein""}, {""token"": ""Fli - 1"", ""start_span"": 322, ""end_span"": 329, ""type"": ""Protein""}]"	train
The I gamma 3 ECS lies upstream of the major I gamma 3 transcription initiation site and displays more than 90% identity with the corresponding human I gamma 1, I gamma 2, and I gamma 4 regions.	I gamma 3,4,13,Protein	I gamma 3,45,54,Protein	I gamma 1,150,159,Protein	I gamma 2,161,170,Protein	I gamma 4,176,185,Protein	"[{""token"": ""I gamma 3"", ""start_span"": 4, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""I gamma 3"", ""start_span"": 45, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""I gamma 1"", ""start_span"": 150, ""end_span"": 159, ""type"": ""Protein""}, {""token"": ""I gamma 2"", ""start_span"": 161, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""I gamma 4"", ""start_span"": 176, ""end_span"": 185, ""type"": ""Protein""}]"	train
These data indicate that thrombin activates endothelial ICAM - 1 expression and polymorphonuclear leukocyte adhesion by NF - kappa Bp65 binding to the downstream NF - kappa B site of ICAM - 1 promoter after proteolytically activated receptor - 1 activation.	thrombin,25,33,Protein	ICAM - 1,56,64,Protein	Bp65,131,135,Protein	ICAM - 1,183,191,Protein	proteolytically activated receptor - 1,207,245,Protein	"[{""token"": ""thrombin"", ""start_span"": 25, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""ICAM - 1"", ""start_span"": 56, ""end_span"": 64, ""type"": ""Protein""}, {""token"": ""Bp65"", ""start_span"": 131, ""end_span"": 135, ""type"": ""Protein""}, {""token"": ""ICAM - 1"", ""start_span"": 183, ""end_span"": 191, ""type"": ""Protein""}, {""token"": ""proteolytically activated receptor - 1"", ""start_span"": 207, ""end_span"": 245, ""type"": ""Protein""}]"	train
The signaling events that link FGF receptor - 1 engagement and NF - kappaB activation in Jurkat are probably distinct from the CD28 costimulation pathway, since FGF - 1 - induced Rel / kappaB binding proteins do not contain significant levels of c - Rel and are not identical with the CD28 response complex.	FGF receptor - 1,31,47,Protein	CD28,127,131,Protein	FGF - 1,161,168,Protein	c - Rel,246,253,Protein	CD28,285,289,Protein	"[{""token"": ""FGF receptor - 1"", ""start_span"": 31, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""CD28"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""FGF - 1"", ""start_span"": 161, ""end_span"": 168, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 246, ""end_span"": 253, ""type"": ""Protein""}, {""token"": ""CD28"", ""start_span"": 285, ""end_span"": 289, ""type"": ""Protein""}]"	train
In early to intermediate stages of erythroid differentiation we monitored the induction of CD36, Tal1, EKLF, NF - E2, and GATA - 1 that preceeded expression of EpoR.	CD36,91,95,Protein	Tal1,97,101,Protein	EKLF,103,107,Protein	GATA - 1,122,130,Protein	EpoR,160,164,Protein	"[{""token"": ""CD36"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""Tal1"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""EKLF"", ""start_span"": 103, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""GATA - 1"", ""start_span"": 122, ""end_span"": 130, ""type"": ""Protein""}, {""token"": ""EpoR"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Protein""}]"	train
