Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	json	split
Because STAT6 activation plays an essential role in IL - 4 / IL - 13 - induced gene expression, the ability of IFN - beta and IFN - gamma to inhibit STAT6 activity provides an explanation for how IFNs can suppress IL - 4 / IL - 13 - inducible gene expression.	STAT6,8,13,Protein	IL - 4,52,58,Protein	IL - 13,61,68,Protein	IFN - beta,111,121,Protein	IFN - gamma,126,137,Protein	STAT6,149,154,Protein	IL - 4,214,220,Protein	IL - 13,223,230,Protein	"[{""token"": ""STAT6"", ""start_span"": 8, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""IL - 4"", ""start_span"": 52, ""end_span"": 58, ""type"": ""Protein""}, {""token"": ""IL - 13"", ""start_span"": 61, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""IFN - beta"", ""start_span"": 111, ""end_span"": 121, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 126, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""STAT6"", ""start_span"": 149, ""end_span"": 154, ""type"": ""Protein""}, {""token"": ""IL - 4"", ""start_span"": 214, ""end_span"": 220, ""type"": ""Protein""}, {""token"": ""IL - 13"", ""start_span"": 223, ""end_span"": 230, ""type"": ""Protein""}]"	train
Analyzed DNA sequences included delta and beta 5 ' flanking regions extending from approximately - 500 to + 50bp ( promoter regions), truncated delta and beta 5 ' flanking regions extending from approximately - 250 to + 50 bp, and chimeric promoter constructions, which consisted of a distal delta or beta fragment fused to a proximal beta or delta sequence.	delta,32,37,Protein	beta,42,46,Protein	delta,144,149,Protein	beta,154,158,Protein	delta,292,297,Protein	beta,301,305,Protein	beta,335,339,Protein	delta,343,348,Protein	"[{""token"": ""delta"", ""start_span"": 32, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""beta"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""delta"", ""start_span"": 144, ""end_span"": 149, ""type"": ""Protein""}, {""token"": ""beta"", ""start_span"": 154, ""end_span"": 158, ""type"": ""Protein""}, {""token"": ""delta"", ""start_span"": 292, ""end_span"": 297, ""type"": ""Protein""}, {""token"": ""beta"", ""start_span"": 301, ""end_span"": 305, ""type"": ""Protein""}, {""token"": ""beta"", ""start_span"": 335, ""end_span"": 339, ""type"": ""Protein""}, {""token"": ""delta"", ""start_span"": 343, ""end_span"": 348, ""type"": ""Protein""}]"	train
These include the Ikaros, LKLF, and GATA3 zinc - finger proteins; the Ets, CREB / ATF, and NF - kappa B / Rel / NFAT transcription factors; the Stat proteins; and HMG box transcription factors such as LEF1, TCF1, and Sox4.	Ikaros,18,24,Protein	LKLF,26,30,Protein	GATA3,36,41,Protein	CREB,75,79,Protein	ATF,82,85,Protein	LEF1,201,205,Protein	TCF1,207,211,Protein	Sox4,217,221,Protein	"[{""token"": ""Ikaros"", ""start_span"": 18, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""LKLF"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""GATA3"", ""start_span"": 36, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""CREB"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""ATF"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""LEF1"", ""start_span"": 201, ""end_span"": 205, ""type"": ""Protein""}, {""token"": ""TCF1"", ""start_span"": 207, ""end_span"": 211, ""type"": ""Protein""}, {""token"": ""Sox4"", ""start_span"": 217, ""end_span"": 221, ""type"": ""Protein""}]"	train
DNase I footprinting identified several protected areas including Sp1, Sp1 / AP - 2, and cAMP response element ( CRE) binding sites within the 201 - bp core promoter region and Sp1, NRE - 2a, TCF - 1 / LEF - 1, and Sp1 / NF - AT binding sites in the upstream regulatory region.	DNase I,0,7,Protein	Sp1,66,69,Protein	Sp1,71,74,Protein	Sp1,177,180,Protein	NRE - 2a,182,190,Protein	TCF - 1,192,199,Protein	LEF - 1,202,209,Protein	Sp1,215,218,Protein	"[{""token"": ""DNase I"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}, {""token"": ""Sp1"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""Sp1"", ""start_span"": 71, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""Sp1"", ""start_span"": 177, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""NRE - 2a"", ""start_span"": 182, ""end_span"": 190, ""type"": ""Protein""}, {""token"": ""TCF - 1"", ""start_span"": 192, ""end_span"": 199, ""type"": ""Protein""}, {""token"": ""LEF - 1"", ""start_span"": 202, ""end_span"": 209, ""type"": ""Protein""}, {""token"": ""Sp1"", ""start_span"": 215, ""end_span"": 218, ""type"": ""Protein""}]"	train
In this study, we demonstrate that constitutive expression of bcl - xl but not bcl - 2, bcl - xs, bak, bad, or bax was associated with apoptosis resistance after IL - 2 deprivation in CTLL - 2 cells that expressed Tax.	bcl - xl,62,70,Protein	bcl - 2,79,86,Protein	bcl - xs,88,96,Protein	bak,98,101,Protein	bad,103,106,Protein	bax,111,114,Protein	IL - 2,162,168,Protein	Tax,214,217,Protein	"[{""token"": ""bcl - xl"", ""start_span"": 62, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""bcl - 2"", ""start_span"": 79, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""bcl - xs"", ""start_span"": 88, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""bak"", ""start_span"": 98, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""bad"", ""start_span"": 103, ""end_span"": 106, ""type"": ""Protein""}, {""token"": ""bax"", ""start_span"": 111, ""end_span"": 114, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 162, ""end_span"": 168, ""type"": ""Protein""}, {""token"": ""Tax"", ""start_span"": 214, ""end_span"": 217, ""type"": ""Protein""}]"	train
Pretreatment of monocytes with IFN - beta or IFN - gamma, but not IL - 1, IL - 2, macrophage colony - stimulating factor, granulocyte / macrophage colony - stimulating factor, IL - 6, or transforming growth factor beta suppressed activation of STAT6 by IL - 4.	IFN - beta,31,41,Protein	IFN - gamma,45,56,Protein	IL - 1,66,72,Protein	IL - 2,74,80,Protein	IL - 6,176,182,Protein	transforming growth factor beta,187,218,Protein	STAT6,244,249,Protein	IL - 4,253,259,Protein	"[{""token"": ""IFN - beta"", ""start_span"": 31, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 45, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""IL - 1"", ""start_span"": 66, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 74, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 176, ""end_span"": 182, ""type"": ""Protein""}, {""token"": ""transforming growth factor beta"", ""start_span"": 187, ""end_span"": 218, ""type"": ""Protein""}, {""token"": ""STAT6"", ""start_span"": 244, ""end_span"": 249, ""type"": ""Protein""}, {""token"": ""IL - 4"", ""start_span"": 253, ""end_span"": 259, ""type"": ""Protein""}]"	train
Several other transcription factors including NF - IL - 6, AP - 1, AP - 2, GR, CREB, Oct - 1, and Sp - 1 are not affected by IL - 10.	NF - IL - 6,46,57,Protein	AP - 1,59,65,Protein	AP - 2,67,73,Protein	GR,75,77,Protein	CREB,79,83,Protein	Oct - 1,85,92,Protein	Sp - 1,98,104,Protein	IL - 10,125,132,Protein	"[{""token"": ""NF - IL - 6"", ""start_span"": 46, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""AP - 1"", ""start_span"": 59, ""end_span"": 65, ""type"": ""Protein""}, {""token"": ""AP - 2"", ""start_span"": 67, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""GR"", ""start_span"": 75, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""CREB"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""Oct - 1"", ""start_span"": 85, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""Sp - 1"", ""start_span"": 98, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""IL - 10"", ""start_span"": 125, ""end_span"": 132, ""type"": ""Protein""}]"	train
IL - 4, a product of the T - helper 0 ( Th0) and 2 ( Th2) subset, was originally described as a B - cell stimulatory factor and has subsequently been found to suppress IL - 1 alpha, IL - 1 beta, IL - 6, IL - 8, and TNF - alpha gene expression in monocytes stimulated with LPS, and to upregulate IL - 1 receptor antagonist ( IL1 - RA) gene expression.	IL - 4,0,6,Protein	IL - 1 alpha,168,180,Protein	IL - 1 beta,182,193,Protein	IL - 6,195,201,Protein	IL - 8,203,209,Protein	TNF - alpha,215,226,Protein	IL - 1 receptor antagonist,295,321,Protein	( IL1 - RA,322,332,Protein	"[{""token"": ""IL - 4"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Protein""}, {""token"": ""IL - 1 alpha"", ""start_span"": 168, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""IL - 1 beta"", ""start_span"": 182, ""end_span"": 193, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 195, ""end_span"": 201, ""type"": ""Protein""}, {""token"": ""IL - 8"", ""start_span"": 203, ""end_span"": 209, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 215, ""end_span"": 226, ""type"": ""Protein""}, {""token"": ""IL - 1 receptor antagonist"", ""start_span"": 295, ""end_span"": 321, ""type"": ""Protein""}, {""token"": ""( IL1 - RA"", ""start_span"": 322, ""end_span"": 332, ""type"": ""Protein""}]"	train
Synergistic transactivation of the LPS response element in Drosophila Schneider cells by coexpression of c - Fos, c - Jun, c - Rel, and p65 or c - Jun and p65 required the transactivation domains of c - Jun and p65.	c - Fos,105,112,Protein	c - Jun,114,121,Protein	c - Rel,123,130,Protein	p65,136,139,Protein	c - Jun,143,150,Protein	p65,155,158,Protein	c - Jun,199,206,Protein	p65,211,214,Protein	"[{""token"": ""c - Fos"", ""start_span"": 105, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""c - Jun"", ""start_span"": 114, ""end_span"": 121, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 123, ""end_span"": 130, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 136, ""end_span"": 139, ""type"": ""Protein""}, {""token"": ""c - Jun"", ""start_span"": 143, ""end_span"": 150, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 155, ""end_span"": 158, ""type"": ""Protein""}, {""token"": ""c - Jun"", ""start_span"": 199, ""end_span"": 206, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 211, ""end_span"": 214, ""type"": ""Protein""}]"	train
CD40 ligation on MM by CD40L - transfected murine L - cells or by a soluble CD40L fusion protein up - regulated their expression of intercellular adhesion molecule - 1 and MHC class I and class II molecules and their secretion of IL - 6, IL - 8, tumor necrosis factor - a, and granulocyte macrophage colony - stimulating factor and also induced a rapid activation of the transcription factor nuclear factor kappaB.	CD40,0,4,Protein	CD40L,23,28,Protein	CD40L,76,81,Protein	intercellular adhesion molecule - 1,132,167,Protein	IL - 6,230,236,Protein	IL - 8,238,244,Protein	tumor necrosis factor - a,246,271,Protein	granulocyte macrophage colony - stimulating factor,277,327,Protein	"[{""token"": ""CD40"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""CD40L"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""CD40L"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""intercellular adhesion molecule - 1"", ""start_span"": 132, ""end_span"": 167, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 230, ""end_span"": 236, ""type"": ""Protein""}, {""token"": ""IL - 8"", ""start_span"": 238, ""end_span"": 244, ""type"": ""Protein""}, {""token"": ""tumor necrosis factor - a"", ""start_span"": 246, ""end_span"": 271, ""type"": ""Protein""}, {""token"": ""granulocyte macrophage colony - stimulating factor"", ""start_span"": 277, ""end_span"": 327, ""type"": ""Protein""}]"	valid
