Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	json	split
The Th2 - type cytokines, interleukin - 4 ( IL - 4) and interleukin - 13 ( IL - 13), induce expression of a distinct subset of genes in human monocytes, including FcepsilonRIIb ( CD23), 15 - lipoxygenase, IL - 1 receptor antagonist ( IL - 1ra), and type I and type II IL - 1 receptors ( IL - 1R).	interleukin - 4,26,41,Protein	IL - 4,44,50,Protein	interleukin - 13,56,72,Protein	IL - 13,75,82,Protein	FcepsilonRIIb,163,176,Protein	CD23,179,183,Protein	15 - lipoxygenase,186,203,Protein	IL - 1 receptor antagonist,205,231,Protein	IL - 1ra,234,242,Protein	"[{""token"": ""interleukin - 4"", ""start_span"": 26, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""IL - 4"", ""start_span"": 44, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""interleukin - 13"", ""start_span"": 56, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""IL - 13"", ""start_span"": 75, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""FcepsilonRIIb"", ""start_span"": 163, ""end_span"": 176, ""type"": ""Protein""}, {""token"": ""CD23"", ""start_span"": 179, ""end_span"": 183, ""type"": ""Protein""}, {""token"": ""15 - lipoxygenase"", ""start_span"": 186, ""end_span"": 203, ""type"": ""Protein""}, {""token"": ""IL - 1 receptor antagonist"", ""start_span"": 205, ""end_span"": 231, ""type"": ""Protein""}, {""token"": ""IL - 1ra"", ""start_span"": 234, ""end_span"": 242, ""type"": ""Protein""}]"	train
The results of supershift analysis using specific antibodies against transcription factors suggested that both binding complexes contained the NF - kappaB components p50 and p65, and did not contain other NF - kappaB proteins ( p52, c - Rel, Rel B), AP - 1 proteins ( c - Fos, C - Jun), CREB or C / EBPbeta ( NF - IL6).	p50,166,169,Protein	p65,174,177,Protein	p52,228,231,Protein	c - Rel,233,240,Protein	Rel B,242,247,Protein	c - Fos,268,275,Protein	C - Jun,277,284,Protein	C / EBPbeta,295,306,Protein	NF - IL6,309,317,Protein	"[{""token"": ""p50"", ""start_span"": 166, ""end_span"": 169, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 174, ""end_span"": 177, ""type"": ""Protein""}, {""token"": ""p52"", ""start_span"": 228, ""end_span"": 231, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 233, ""end_span"": 240, ""type"": ""Protein""}, {""token"": ""Rel B"", ""start_span"": 242, ""end_span"": 247, ""type"": ""Protein""}, {""token"": ""c - Fos"", ""start_span"": 268, ""end_span"": 275, ""type"": ""Protein""}, {""token"": ""C - Jun"", ""start_span"": 277, ""end_span"": 284, ""type"": ""Protein""}, {""token"": ""C / EBPbeta"", ""start_span"": 295, ""end_span"": 306, ""type"": ""Protein""}, {""token"": ""NF - IL6"", ""start_span"": 309, ""end_span"": 317, ""type"": ""Protein""}]"	train
Cytokine - stimulated cell surface expression of vascular cell adhesion molecule - 1 ( VCAM - 1, CD106) and E - selectin ( ELAM - 1, CD62E), but not of intercellular adhesion molecule - 1 ( ICAM - 1, CD54), was time - and dose - dependently inhibited by TCP succinate but not by TCP or TCP acetate.	vascular cell adhesion molecule - 1,49,84,Protein	VCAM - 1,87,95,Protein	CD106,97,102,Protein	E - selectin,108,120,Protein	ELAM - 1,123,131,Protein	CD62E,133,138,Protein	intercellular adhesion molecule - 1,152,187,Protein	ICAM - 1,190,198,Protein	CD54,200,204,Protein	"[{""token"": ""vascular cell adhesion molecule - 1"", ""start_span"": 49, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""VCAM - 1"", ""start_span"": 87, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""CD106"", ""start_span"": 97, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""E - selectin"", ""start_span"": 108, ""end_span"": 120, ""type"": ""Protein""}, {""token"": ""ELAM - 1"", ""start_span"": 123, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""CD62E"", ""start_span"": 133, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""intercellular adhesion molecule - 1"", ""start_span"": 152, ""end_span"": 187, ""type"": ""Protein""}, {""token"": ""ICAM - 1"", ""start_span"": 190, ""end_span"": 198, ""type"": ""Protein""}, {""token"": ""CD54"", ""start_span"": 200, ""end_span"": 204, ""type"": ""Protein""}]"	train
TNFRI has been recently shown to activate NF - kappaB through association with TRADD, RIP, and TRAF2; activation of the NF - kappaB - inducing kinase ( NIK); activation of the IkappaB alpha kinases ( IKKalpha and IKKbeta); and phosphorylation of IkappaB alpha.	TNFRI,0,5,Protein	TRADD,79,84,Protein	RIP,86,89,Protein	TRAF2,95,100,Protein	NF - kappaB - inducing kinase,120,149,Protein	NIK,152,155,Protein	IKKalpha,200,208,Protein	IKKbeta,213,220,Protein	IkappaB alpha,246,259,Protein	"[{""token"": ""TNFRI"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""TRADD"", ""start_span"": 79, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""RIP"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""TRAF2"", ""start_span"": 95, ""end_span"": 100, ""type"": ""Protein""}, {""token"": ""NF - kappaB - inducing kinase"", ""start_span"": 120, ""end_span"": 149, ""type"": ""Protein""}, {""token"": ""NIK"", ""start_span"": 152, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""IKKalpha"", ""start_span"": 200, ""end_span"": 208, ""type"": ""Protein""}, {""token"": ""IKKbeta"", ""start_span"": 213, ""end_span"": 220, ""type"": ""Protein""}, {""token"": ""IkappaB alpha"", ""start_span"": 246, ""end_span"": 259, ""type"": ""Protein""}]"	train
Briefly, we found that 1) rheumatoid synovial cells highly expressed CD44; 2) cross - linking of CD44 markedly but transiently augmented VCAM - 1 expression and its mRNA transcription much more than did IL - 1beta and TNF - alpha; 3) hyaluronan, especially when fragmented, also up - regulated VCAM - 1; 4) CD44 activated the transcription factor AP - 1; and 5) the integrin - dependent adhesive function of RA synovial cells to T cells was also amplified by CD44 cross - linking.	CD44,69,73,Protein	CD44,97,101,Protein	VCAM - 1,137,145,Protein	IL - 1beta,203,213,Protein	TNF - alpha,218,229,Protein	VCAM - 1,294,302,Protein	CD44,307,311,Protein	AP - 1,347,353,Protein	CD44,459,463,Protein	"[{""token"": ""CD44"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""CD44"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""VCAM - 1"", ""start_span"": 137, ""end_span"": 145, ""type"": ""Protein""}, {""token"": ""IL - 1beta"", ""start_span"": 203, ""end_span"": 213, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 218, ""end_span"": 229, ""type"": ""Protein""}, {""token"": ""VCAM - 1"", ""start_span"": 294, ""end_span"": 302, ""type"": ""Protein""}, {""token"": ""CD44"", ""start_span"": 307, ""end_span"": 311, ""type"": ""Protein""}, {""token"": ""AP - 1"", ""start_span"": 347, ""end_span"": 353, ""type"": ""Protein""}, {""token"": ""CD44"", ""start_span"": 459, ""end_span"": 463, ""type"": ""Protein""}]"	train
In Rel - / - splenic T cell cultures stimulated with phorbol 12 - myristate 13 - acetate and ionomycin, the levels of IL - 3, IL - 5, granulocyte - macrophage colony - stimulating factor ( GM - CSF), tumor necrosis factor alpha ( TNF - alpha), and gamma interferon ( IFN - gamma) were only 2 - to 3 - fold lower compared with normal T cells.	Rel,3,6,Protein	IL - 3,118,124,Protein	IL - 5,126,132,Protein	granulocyte - macrophage colony - stimulating factor,134,186,Protein	GM - CSF,189,197,Protein	tumor necrosis factor alpha,200,227,Protein	TNF - alpha,230,241,Protein	gamma interferon,248,264,Protein	IFN - gamma,267,278,Protein	"[{""token"": ""Rel"", ""start_span"": 3, ""end_span"": 6, ""type"": ""Protein""}, {""token"": ""IL - 3"", ""start_span"": 118, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""IL - 5"", ""start_span"": 126, ""end_span"": 132, ""type"": ""Protein""}, {""token"": ""granulocyte - macrophage colony - stimulating factor"", ""start_span"": 134, ""end_span"": 186, ""type"": ""Protein""}, {""token"": ""GM - CSF"", ""start_span"": 189, ""end_span"": 197, ""type"": ""Protein""}, {""token"": ""tumor necrosis factor alpha"", ""start_span"": 200, ""end_span"": 227, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 230, ""end_span"": 241, ""type"": ""Protein""}, {""token"": ""gamma interferon"", ""start_span"": 248, ""end_span"": 264, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 267, ""end_span"": 278, ""type"": ""Protein""}]"	valid
PHA stimulates IL - 2R alpha -, beta -, and gamma - chain expression and their signaling pathway molecules Jak1, Jak3, Stat1, Stat3, and Stat5.	PHA,0,3,Protein	IL - 2R alpha -,15,30,Protein	beta -,32,38,Protein	gamma - chain,44,57,Protein	Jak1,107,111,Protein	Jak3,113,117,Protein	Stat1,119,124,Protein	Stat3,126,131,Protein	Stat5,137,142,Protein	"[{""token"": ""PHA"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}, {""token"": ""IL - 2R alpha -"", ""start_span"": 15, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""beta -"", ""start_span"": 32, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""gamma - chain"", ""start_span"": 44, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""Jak1"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""Jak3"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""Stat1"", ""start_span"": 119, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""Stat3"", ""start_span"": 126, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""Stat5"", ""start_span"": 137, ""end_span"": 142, ""type"": ""Protein""}]"	test
Among upstream signaling molecules of ERK, Shc was constitutively associated with Grb2 and was not tyrosine - phosphorylated by GM - CSF and FMLP, and Sos1 and c - Raf - 1 were not phosphorylated by GM - CSF, IL - 3, TNF, and FMLP in monocytes, whereas all these signaling molecules were affected and / or utilized by GM - CSF in MO7e cells.	Shc,43,46,Protein	Grb2,82,86,Protein	GM - CSF,128,136,Protein	Sos1,151,155,Protein	c - Raf - 1,160,171,Protein	GM - CSF,199,207,Protein	IL - 3,209,215,Protein	TNF,217,220,Protein	GM - CSF,318,326,Protein	"[{""token"": ""Shc"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""Grb2"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""GM - CSF"", ""start_span"": 128, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""Sos1"", ""start_span"": 151, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""c - Raf - 1"", ""start_span"": 160, ""end_span"": 171, ""type"": ""Protein""}, {""token"": ""GM - CSF"", ""start_span"": 199, ""end_span"": 207, ""type"": ""Protein""}, {""token"": ""IL - 3"", ""start_span"": 209, ""end_span"": 215, ""type"": ""Protein""}, {""token"": ""TNF"", ""start_span"": 217, ""end_span"": 220, ""type"": ""Protein""}, {""token"": ""GM - CSF"", ""start_span"": 318, ""end_span"": 326, ""type"": ""Protein""}]"	test
In lymphoblastoid cell lines, six EBV - encoded nuclear antigens ( EBNA1, 2, 3A, 3B, 3C, - LP), three latent membrane proteins ( LMP1, 2A, 2B), and two nuclear RNAs ( EBERs) are expressed.	EBNA1,67,72,Protein	2,74,75,Protein	3A,77,79,Protein	3B,81,83,Protein	3C,85,87,Protein	- LP,89,93,Protein	LMP1,129,133,Protein	2A,135,137,Protein	2B,139,141,Protein	"[{""token"": ""EBNA1"", ""start_span"": 67, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 74, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""3A"", ""start_span"": 77, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""3B"", ""start_span"": 81, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""3C"", ""start_span"": 85, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""- LP"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""LMP1"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""2A"", ""start_span"": 135, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""2B"", ""start_span"": 139, ""end_span"": 141, ""type"": ""Protein""}]"	test
Tyloxapol inhibits activation of the transcription factor nuclear factor - kappa B ( NK - kappa B), reduces resting secretion of the cytokine interleukin - 8 ( IL - 8) in cultured human monocytes, and inhibits lipopolysaccharide ( LPS) - stimulated release of tumor necrosis factor - alpha ( TNF - alpha), IL - 1 beta, IL - 6, IL - 8, granulocyte - macrophage colony - stimulating factor ( GM - CSF), and the eiconsanoids thromboxane A2 and leukotriene B4 ( LTB4).	interleukin - 8,142,157,Protein	IL - 8,160,166,Protein	tumor necrosis factor - alpha,260,289,Protein	TNF - alpha,292,303,Protein	IL - 1 beta,306,317,Protein	IL - 6,319,325,Protein	IL - 8,327,333,Protein	granulocyte - macrophage colony - stimulating factor,335,387,Protein	GM - CSF,390,398,Protein	"[{""token"": ""interleukin - 8"", ""start_span"": 142, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""IL - 8"", ""start_span"": 160, ""end_span"": 166, ""type"": ""Protein""}, {""token"": ""tumor necrosis factor - alpha"", ""start_span"": 260, ""end_span"": 289, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 292, ""end_span"": 303, ""type"": ""Protein""}, {""token"": ""IL - 1 beta"", ""start_span"": 306, ""end_span"": 317, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 319, ""end_span"": 325, ""type"": ""Protein""}, {""token"": ""IL - 8"", ""start_span"": 327, ""end_span"": 333, ""type"": ""Protein""}, {""token"": ""granulocyte - macrophage colony - stimulating factor"", ""start_span"": 335, ""end_span"": 387, ""type"": ""Protein""}, {""token"": ""GM - CSF"", ""start_span"": 390, ""end_span"": 398, ""type"": ""Protein""}]"	test
