Stimulation of lymphoid cells with interleukin - 1beta ( IL - 1beta) led to ROI production and NF - kappaB activation, which could both be blocked by antioxidants or FLAP inhibitors, confirming that 5 - LOX was the source of ROIs and was required for NF - kappaB activation in these cells.	"interleukin - 1beta	35	54	Protein"	"IL - 1beta	57	67	Protein"	"FLAP	166	170	Protein"	"5 - LOX	199	206	Protein"	"[{""token"": ""interleukin - 1beta"", ""start_span"": 35, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""IL - 1beta"", ""start_span"": 57, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""FLAP"", ""start_span"": 166, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""5 - LOX"", ""start_span"": 199, ""end_span"": 206, ""type"": ""Protein""}]"
Fas ( CD95) and Fas ligand ( CD95L) are an interacting receptor - ligand pair required for immune homeostasis.	"Fas	0	3	Protein"	"CD95	6	10	Protein"	"Fas ligand	16	26	Protein"	"CD95L	29	34	Protein"	"[{""token"": ""Fas"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}, {""token"": ""CD95"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Protein""}, {""token"": ""Fas ligand"", ""start_span"": 16, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""CD95L"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Protein""}]"
The functional contribution of the kappaB - Sp1 composite site in P / I - inducible fas promoter activation was verified by using kappaB - Sp1 concatamers ( - 295 to - 286) in a thymidine kinase promoter - driven reporter construct and native promoter constructs in Jurkat cells overexpressing IkappaB - alpha.	"Sp1	44	47	Protein"	"fas	84	87	Protein"	"Sp1	139	142	Protein"	"IkappaB - alpha	294	309	Protein"	"[{""token"": ""Sp1"", ""start_span"": 44, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""fas"", ""start_span"": 84, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""Sp1"", ""start_span"": 139, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""IkappaB - alpha"", ""start_span"": 294, ""end_span"": 309, ""type"": ""Protein""}]"
IL - 10 preincubation resulted in the inhibition of gene expression for several IFN - induced genes, such as IP - 10, ISG54, and intercellular adhesion molecule - 1.	"IL - 10	0	7	Protein"	"IP - 10	109	116	Protein"	"ISG54	118	123	Protein"	"intercellular adhesion molecule - 1	129	164	Protein"	"[{""token"": ""IL - 10"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}, {""token"": ""IP - 10"", ""start_span"": 109, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""ISG54"", ""start_span"": 118, ""end_span"": 123, ""type"": ""Protein""}, {""token"": ""intercellular adhesion molecule - 1"", ""start_span"": 129, ""end_span"": 164, ""type"": ""Protein""}]"
We found that: ( i) both CTCF mRNA and protein are down - regulated during terminal differentiation in most cell lines tested; ( ii) CTCF down - regulation is retarded and less pronounced than that of c - myc; ( iii) CTCF protein is differentially phosphorylated and the phosphorylation profiles depend on the differentiation pathway.	"CTCF	25	29	Protein"	"CTCF	133	137	Protein"	"c - myc	201	208	Protein"	"CTCF	217	221	Protein"	"[{""token"": ""CTCF"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""CTCF"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""c - myc"", ""start_span"": 201, ""end_span"": 208, ""type"": ""Protein""}, {""token"": ""CTCF"", ""start_span"": 217, ""end_span"": 221, ""type"": ""Protein""}]"
The complexes consisted of p50 / p50 homodimers and p50 / p65 heterodimers.	"p50	27	30	Protein"	"p50	33	36	Protein"	"p50	52	55	Protein"	"p65	58	61	Protein"	"[{""token"": ""p50"", ""start_span"": 27, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 33, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 52, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 58, ""end_span"": 61, ""type"": ""Protein""}]"
In transient cotransfection experiments, dominant negative mutants of the IL - 1 signaling pathway, including MyD88, IRAK, IRAK2, and TRAF6 inhibited both IL - 1 - and LPS - induced NF - kappaB - luciferase activity.	"MyD88	110	115	Protein"	"IRAK	117	121	Protein"	"IRAK2	123	128	Protein"	"TRAF6	134	139	Protein"	"[{""token"": ""MyD88"", ""start_span"": 110, ""end_span"": 115, ""type"": ""Protein""}, {""token"": ""IRAK"", ""start_span"": 117, ""end_span"": 121, ""type"": ""Protein""}, {""token"": ""IRAK2"", ""start_span"": 123, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""TRAF6"", ""start_span"": 134, ""end_span"": 139, ""type"": ""Protein""}]"
Although MKK3, MKK4, and MKK6 all activated p38 MAPk in experimental models, only MKK3 was found to activate recombinant p38 MAPk in LPS - treated neutrophils.	"MKK3	9	13	Protein"	"MKK4	15	19	Protein"	"MKK6	25	29	Protein"	"MKK3	82	86	Protein"	"[{""token"": ""MKK3"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""MKK4"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""MKK6"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""MKK3"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Protein""}]"
These findings support a pathway by which LPS stimulation of neutrophils results in activation of MKK3, which in turn activates p38alpha MAPk, ultimately regulating adhesion, NF - kappaB activation, enhanced gene expression of TNF - alpha, and regulation of TNF - alpha synthesis.	"MKK3	98	102	Protein"	"p38alpha MAPk	128	141	Protein"	"TNF - alpha	227	238	Protein"	"TNF - alpha	258	269	Protein"	"[{""token"": ""MKK3"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""p38alpha MAPk"", ""start_span"": 128, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 227, ""end_span"": 238, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 258, ""end_span"": 269, ""type"": ""Protein""}]"
Type I interferons ( IFN - alpha and IFN - beta) and type II interferon ( IFN - gamma) inhibit induction of these genes by IL - 4 and IL - 13.	"IFN - beta	37	47	Protein"	"IFN - gamma	74	85	Protein"	"IL - 4	123	129	Protein"	"IL - 13	134	141	Protein"	"[{""token"": ""IFN - beta"", ""start_span"": 37, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 74, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""IL - 4"", ""start_span"": 123, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""IL - 13"", ""start_span"": 134, ""end_span"": 141, ""type"": ""Protein""}]"
