Phenotypic DC characteristics of KG1 dendritic - like cells include morphology ( loosely adherent cells with long neurite processes), MHC I + / MHC IIbright / CD83 + / CD86 + / CD14 - surface Ag expression, and RelB and DC - CK1 gene expression.	"CD83	159	163	Protein"	"CD86	168	172	Protein"	"CD14	177	181	Protein"	"RelB	211	215	Protein"	"DC - CK1	220	228	Protein"	"[{""token"": ""CD83"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Protein""}, {""token"": ""CD86"", ""start_span"": 168, ""end_span"": 172, ""type"": ""Protein""}, {""token"": ""CD14"", ""start_span"": 177, ""end_span"": 181, ""type"": ""Protein""}, {""token"": ""RelB"", ""start_span"": 211, ""end_span"": 215, ""type"": ""Protein""}, {""token"": ""DC - CK1"", ""start_span"": 220, ""end_span"": 228, ""type"": ""Protein""}]"
CD40 expression could be enhanced in CD40 - positive MM by stimulation with IFN - gamma and tumor necrosis factor - alpha but not by interleukin ( IL) - 1beta or CD40 triggering.	"CD40	0	4	Protein"	"CD40	37	41	Protein"	"IFN - gamma	76	87	Protein"	"tumor necrosis factor - alpha	92	121	Protein"	"CD40	162	166	Protein"	"[{""token"": ""CD40"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""CD40"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""IFN - gamma"", ""start_span"": 76, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""tumor necrosis factor - alpha"", ""start_span"": 92, ""end_span"": 121, ""type"": ""Protein""}, {""token"": ""CD40"", ""start_span"": 162, ""end_span"": 166, ""type"": ""Protein""}]"
In contrast, although the Janus kinase 3 tyrosine kinase was associated with CD40 molecules in both monocytes and resting B cells, Janus kinase 3 phosphorylation induction was observed only in CD40 - activated monocytes, with subsequent induction of STAT5a DNA binding activity in the nucleus.	"Janus kinase 3	26	40	Protein"	"CD40	77	81	Protein"	"Janus kinase 3	131	145	Protein"	"CD40	193	197	Protein"	"STAT5a	250	256	Protein"	"[{""token"": ""Janus kinase 3"", ""start_span"": 26, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""CD40"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""Janus kinase 3"", ""start_span"": 131, ""end_span"": 145, ""type"": ""Protein""}, {""token"": ""CD40"", ""start_span"": 193, ""end_span"": 197, ""type"": ""Protein""}, {""token"": ""STAT5a"", ""start_span"": 250, ""end_span"": 256, ""type"": ""Protein""}]"
Exposure to LPS or TNF led to differential patterns of IkappaB - alpha and IkappaB - epsilon disappearance from and reassembly with the signalsome, whereas IKK - alpha, IKK - beta, and NIK remained complex - associated.	"IkappaB - alpha	55	70	Protein"	"IkappaB - epsilon	75	92	Protein"	"IKK - alpha	156	167	Protein"	"IKK - beta	169	179	Protein"	"NIK	185	188	Protein"	"[{""token"": ""IkappaB - alpha"", ""start_span"": 55, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""IkappaB - epsilon"", ""start_span"": 75, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""IKK - alpha"", ""start_span"": 156, ""end_span"": 167, ""type"": ""Protein""}, {""token"": ""IKK - beta"", ""start_span"": 169, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""NIK"", ""start_span"": 185, ""end_span"": 188, ""type"": ""Protein""}]"
NIK cannot phosphorylate IkappaB - alpha directly, but it appears to be a functionally important subunit, because mutated NIK inhibited stimulus - induced kappaB - dependent transcription more effectively than mutated IKK - alpha or - beta.	"NIK	0	3	Protein"	"IkappaB - alpha	25	40	Protein"	"NIK	122	125	Protein"	"IKK - alpha	218	229	Protein"	"- beta	233	239	Protein"	"[{""token"": ""NIK"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}, {""token"": ""IkappaB - alpha"", ""start_span"": 25, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""NIK"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""IKK - alpha"", ""start_span"": 218, ""end_span"": 229, ""type"": ""Protein""}, {""token"": ""- beta"", ""start_span"": 233, ""end_span"": 239, ""type"": ""Protein""}]"
Here, we show that v - erbA and c - erbA bind directly to sequences within the promoter of the erythrocyte - specific carbonic anhydrase II ( CAII), a gene whose transcription is efficiently suppressed by v - erbA.	"v - erbA	19	27	Protein"	"c - erbA	32	40	Protein"	"carbonic anhydrase II	118	139	Protein"	"CAII	142	146	Protein"	"v - erbA	205	213	Protein"	"[{""token"": ""v - erbA"", ""start_span"": 19, ""end_span"": 27, ""type"": ""Protein""}, {""token"": ""c - erbA"", ""start_span"": 32, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""carbonic anhydrase II"", ""start_span"": 118, ""end_span"": 139, ""type"": ""Protein""}, {""token"": ""CAII"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Protein""}, {""token"": ""v - erbA"", ""start_span"": 205, ""end_span"": 213, ""type"": ""Protein""}]"
Triggering of the human interleukin - 6 gene by interferon - gamma and tumor necrosis factor - alpha in monocytic cells involves cooperation between interferon regulatory factor - 1, NF kappa B, and Sp1 transcription factors.	"interleukin - 6	24	39	Protein"	"interferon - gamma	48	66	Protein"	"tumor necrosis factor - alpha	71	100	Protein"	"interferon regulatory factor - 1	149	181	Protein"	"Sp1	199	202	Protein"	"[{""token"": ""interleukin - 6"", ""start_span"": 24, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""interferon - gamma"", ""start_span"": 48, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""tumor necrosis factor - alpha"", ""start_span"": 71, ""end_span"": 100, ""type"": ""Protein""}, {""token"": ""interferon regulatory factor - 1"", ""start_span"": 149, ""end_span"": 181, ""type"": ""Protein""}, {""token"": ""Sp1"", ""start_span"": 199, ""end_span"": 202, ""type"": ""Protein""}]"
Our results indicate that not only the reported IL - 2 NF - AT and NFIL - 2A sites and Ig kappa B site, but also the IL - 8 AP - 1 and kappa B - like sites are terminals of FK506 - sensitive pathway involving Ca2 + mobilization.	"IL - 2	48	54	Protein"	"NF - AT	55	62	Protein"	"NFIL - 2A	67	76	Protein"	"Ig kappa B	87	97	Protein"	"IL - 8	117	123	Protein"	"[{""token"": ""IL - 2"", ""start_span"": 48, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""NF - AT"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""NFIL - 2A"", ""start_span"": 67, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""Ig kappa B"", ""start_span"": 87, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""IL - 8"", ""start_span"": 117, ""end_span"": 123, ""type"": ""Protein""}]"
Adhesion of human monocytes to P - selectin, the most rapidly expressed endothelial tethering factor, increased the secretion of monocyte chemotactic protein - 1 ( MCP - 1) and tumor necrosis factor - alpha ( TNF - alpha) by the leukocytes when they were stimulated with platelet - activating factor.	"P - selectin	31	43	Protein"	"monocyte chemotactic protein - 1	129	161	Protein"	"MCP - 1	164	171	Protein"	"tumor necrosis factor - alpha	177	206	Protein"	"TNF - alpha	209	220	Protein"	"[{""token"": ""P - selectin"", ""start_span"": 31, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""monocyte chemotactic protein - 1"", ""start_span"": 129, ""end_span"": 161, ""type"": ""Protein""}, {""token"": ""MCP - 1"", ""start_span"": 164, ""end_span"": 171, ""type"": ""Protein""}, {""token"": ""tumor necrosis factor - alpha"", ""start_span"": 177, ""end_span"": 206, ""type"": ""Protein""}, {""token"": ""TNF - alpha"", ""start_span"": 209, ""end_span"": 220, ""type"": ""Protein""}]"
Murine macrophage inflammatory protein 1 alpha ( MIP - 1 alpha) and its human equivalent ( GOS19, LD78, or AT464) are members of the - C - C family of low - molecular - weight chemokines.	"macrophage inflammatory protein 1 alpha	7	46	Protein"	"MIP - 1 alpha	49	62	Protein"	"GOS19	91	96	Protein"	"LD78	98	102	Protein"	"AT464	107	112	Protein"	"[{""token"": ""macrophage inflammatory protein 1 alpha"", ""start_span"": 7, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""MIP - 1 alpha"", ""start_span"": 49, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""GOS19"", ""start_span"": 91, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""LD78"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""AT464"", ""start_span"": 107, ""end_span"": 112, ""type"": ""Protein""}]"
