The 3 ' - CAGGTG E - box could bind USF proteins, the ubiquitous repressor ZEB, or the basic helix - loop - helix proteins E2A and HEB, and we showed that a competition between ZEB and E2A / HEB proteins is involved in the silencer activity.	"ZEB	75	78	Protein"	"E2A	123	126	Protein"	"HEB	131	134	Protein"	"ZEB	177	180	Protein"	"E2A	185	188	Protein"	"HEB	191	194	Protein"	"[{""token"": ""ZEB"", ""start_span"": 75, ""end_span"": 78, ""type"": ""Protein""}, {""token"": ""E2A"", ""start_span"": 123, ""end_span"": 126, ""type"": ""Protein""}, {""token"": ""HEB"", ""start_span"": 131, ""end_span"": 134, ""type"": ""Protein""}, {""token"": ""ZEB"", ""start_span"": 177, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""E2A"", ""start_span"": 185, ""end_span"": 188, ""type"": ""Protein""}, {""token"": ""HEB"", ""start_span"": 191, ""end_span"": 194, ""type"": ""Protein""}]"
When we analyzed the nature of STAT proteins capable of binding to IL - 2Ralpha, pim - 1, and IRF - 1 GAS elements after cytokine stimulation, we observed IFN - alpha - induced binding of STAT1, STAT3, and STAT4, but not STAT5 to all of these elements.	"IL - 2Ralpha	67	79	Protein"	"pim - 1	81	88	Protein"	"IRF - 1	94	101	Protein"	"STAT1	188	193	Protein"	"STAT3	195	200	Protein"	"STAT4	206	211	Protein"	"[{""token"": ""IL - 2Ralpha"", ""start_span"": 67, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""pim - 1"", ""start_span"": 81, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""IRF - 1"", ""start_span"": 94, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""STAT1"", ""start_span"": 188, ""end_span"": 193, ""type"": ""Protein""}, {""token"": ""STAT3"", ""start_span"": 195, ""end_span"": 200, ""type"": ""Protein""}, {""token"": ""STAT4"", ""start_span"": 206, ""end_span"": 211, ""type"": ""Protein""}]"
Furthermore, the phosphorylation status of TRAF2 had significant effects on the ability of the protein to bind to CD40, as evidenced by our observations that the CD40 cytoplasmic domain interacted preferentially with underphosphorylated TRAF2 and that phosphatase treatment significantly enhanced the binding of TRAF2 to CD40.	"TRAF2	43	48	Protein"	"CD40	114	118	Protein"	"CD40	162	166	Protein"	"TRAF2	237	242	Protein"	"TRAF2	312	317	Protein"	"CD40	321	325	Protein"	"[{""token"": ""TRAF2"", ""start_span"": 43, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""CD40"", ""start_span"": 114, ""end_span"": 118, ""type"": ""Protein""}, {""token"": ""CD40"", ""start_span"": 162, ""end_span"": 166, ""type"": ""Protein""}, {""token"": ""TRAF2"", ""start_span"": 237, ""end_span"": 242, ""type"": ""Protein""}, {""token"": ""TRAF2"", ""start_span"": 312, ""end_span"": 317, ""type"": ""Protein""}, {""token"": ""CD40"", ""start_span"": 321, ""end_span"": 325, ""type"": ""Protein""}]"
Interaction between immunoglobulin - like transcript - 2 / leukocyte Ig - like receptor 1 on NKL cells and HLA - B27 on target cells leads to an impairment of NKL natural cytotoxicity, which correlates with an absence of JunB, FosB, and c - Fos transcription, as well as an absence of their DNA - binding activity.	"immunoglobulin - like transcript - 2	20	56	Protein"	"leukocyte Ig - like receptor 1	59	89	Protein"	"HLA - B27	107	116	Protein"	"JunB	221	225	Protein"	"FosB	227	231	Protein"	"c - Fos	237	244	Protein"	"[{""token"": ""immunoglobulin - like transcript - 2"", ""start_span"": 20, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""leukocyte Ig - like receptor 1"", ""start_span"": 59, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""HLA - B27"", ""start_span"": 107, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""JunB"", ""start_span"": 221, ""end_span"": 225, ""type"": ""Protein""}, {""token"": ""FosB"", ""start_span"": 227, ""end_span"": 231, ""type"": ""Protein""}, {""token"": ""c - Fos"", ""start_span"": 237, ""end_span"": 244, ""type"": ""Protein""}]"
Electrophoretic mobility shift assays showed that p50 / p65 / c - Rel and STAT - 6 are effectively induced by CD40L and IL - 4, respectively, and bind to specific DNA motifs within the ECS.	"p50	50	53	Protein"	"p65	56	59	Protein"	"c - Rel	62	69	Protein"	"STAT - 6	74	82	Protein"	"CD40L	110	115	Protein"	"IL - 4	120	126	Protein"	"[{""token"": ""p50"", ""start_span"": 50, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""p65"", ""start_span"": 56, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 62, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""STAT - 6"", ""start_span"": 74, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""CD40L"", ""start_span"": 110, ""end_span"": 115, ""type"": ""Protein""}, {""token"": ""IL - 4"", ""start_span"": 120, ""end_span"": 126, ""type"": ""Protein""}]"
Single - cell reverse transcriptase - polymerase chain reaction ( RT - PCR) analysis was applied to this culture system to investigate gene expression of diverse receptors, markers of differentiation, and transcription factors ( EKLF, GATA - 1, GATA - 2, p45 NF - E2, PU. 1, and SCL / Tal1) at discrete stages of erythropoietic development.	"EKLF	229	233	Protein"	"GATA - 1	235	243	Protein"	"GATA - 2	245	253	Protein"	"p45 NF - E2	255	266	Protein"	"SCL	279	282	Protein"	"Tal1	285	289	Protein"	"[{""token"": ""EKLF"", ""start_span"": 229, ""end_span"": 233, ""type"": ""Protein""}, {""token"": ""GATA - 1"", ""start_span"": 235, ""end_span"": 243, ""type"": ""Protein""}, {""token"": ""GATA - 2"", ""start_span"": 245, ""end_span"": 253, ""type"": ""Protein""}, {""token"": ""p45 NF - E2"", ""start_span"": 255, ""end_span"": 266, ""type"": ""Protein""}, {""token"": ""SCL"", ""start_span"": 279, ""end_span"": 282, ""type"": ""Protein""}, {""token"": ""Tal1"", ""start_span"": 285, ""end_span"": 289, ""type"": ""Protein""}]"
The composite motif binds a multi - protein hematopoietic - specific transcription factor complex which includes GATA - 1, SCL / tal - 1, E2A, Lmo2 and Ldb - 1.	"GATA - 1	113	121	Protein"	"SCL	123	126	Protein"	"tal - 1	129	136	Protein"	"E2A	138	141	Protein"	"Lmo2	143	147	Protein"	"Ldb - 1	152	159	Protein"	"[{""token"": ""GATA - 1"", ""start_span"": 113, ""end_span"": 121, ""type"": ""Protein""}, {""token"": ""SCL"", ""start_span"": 123, ""end_span"": 126, ""type"": ""Protein""}, {""token"": ""tal - 1"", ""start_span"": 129, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""E2A"", ""start_span"": 138, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""Lmo2"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""Ldb - 1"", ""start_span"": 152, ""end_span"": 159, ""type"": ""Protein""}]"
AML1 ( CBFalpha2) cooperates with B cell - specific activating protein ( BSAP / PAX5) in activation of the B cell - specific BLK gene promoter.	"AML1	0	4	Protein"	"CBFalpha2	7	16	Protein"	"B cell - specific activating protein	34	70	Protein"	"BSAP	73	77	Protein"	"PAX5	80	84	Protein"	"BLK	125	128	Protein"	"[{""token"": ""AML1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""CBFalpha2"", ""start_span"": 7, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""B cell - specific activating protein"", ""start_span"": 34, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""BSAP"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""PAX5"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""BLK"", ""start_span"": 125, ""end_span"": 128, ""type"": ""Protein""}]"
In spite of its association with p50 in vitro, however, we found a lymphoid cell - specific nuclear factor in vivo that contains c - Rel but not p50 epitopes; this factor, termed IL - 6 kappa B binding factor II, appears to contain the c - Rel homodimer and preferentially recognizes several IL - 6 kappa B - related kappa B motifs.	"p50	33	36	Protein"	"c - Rel	129	136	Protein"	"p50	145	148	Protein"	"IL - 6	179	185	Protein"	"c - Rel	236	243	Protein"	"IL - 6	292	298	Protein"	"[{""token"": ""p50"", ""start_span"": 33, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 129, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 145, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 179, ""end_span"": 185, ""type"": ""Protein""}, {""token"": ""c - Rel"", ""start_span"": 236, ""end_span"": 243, ""type"": ""Protein""}, {""token"": ""IL - 6"", ""start_span"": 292, ""end_span"": 298, ""type"": ""Protein""}]"
DNA - protein crosslinking studies have revealed that the more rapidly migrating B2 complex contains both p50 and p55 while the more slowly migrating B1 complex is composed of p50, p55, p75, and p85.	"p50	106	109	Protein"	"p55	114	117	Protein"	"p50	176	179	Protein"	"p55	181	184	Protein"	"p75	186	189	Protein"	"p85	195	198	Protein"	"[{""token"": ""p50"", ""start_span"": 106, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""p55"", ""start_span"": 114, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""p50"", ""start_span"": 176, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""p55"", ""start_span"": 181, ""end_span"": 184, ""type"": ""Protein""}, {""token"": ""p75"", ""start_span"": 186, ""end_span"": 189, ""type"": ""Protein""}, {""token"": ""p85"", ""start_span"": 195, ""end_span"": 198, ""type"": ""Protein""}]"
