Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	json	split
Ectopic expression of Foxp3 in non - T ( reg) leads to repression of the interleukin 2 ( IL - 2) and interferon gamma ( IFNgamma) genes, gain of suppressor function, and induction of genes such as CD25, GITR, and CTLA - 4, but the mode by which Foxp3 enforces this program is unclear.	Foxp3,22,27,Protein	interleukin 2,73,86,Protein	IL - 2,89,95,Protein	interferon gamma,101,117,Protein	IFNgamma,120,128,Protein	CD25,197,201,Protein	GITR,203,207,Protein	CTLA - 4,213,221,Protein	Foxp3,245,250,Protein	"[{""token"": ""Foxp3"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Protein""}, {""token"": ""interleukin 2"", ""start_span"": 73, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 89, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""interferon gamma"", ""start_span"": 101, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""IFNgamma"", ""start_span"": 120, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""CD25"", ""start_span"": 197, ""end_span"": 201, ""type"": ""Protein""}, {""token"": ""GITR"", ""start_span"": 203, ""end_span"": 207, ""type"": ""Protein""}, {""token"": ""CTLA - 4"", ""start_span"": 213, ""end_span"": 221, ""type"": ""Protein""}, {""token"": ""Foxp3"", ""start_span"": 245, ""end_span"": 250, ""type"": ""Protein""}]"	train
Thus, we have identified TANK as a scaffold protein that assembles some but not all IRF3 / 7 - phosphorylating TBK1 - IKKepsilon complexes and demonstrated that these kinases possess two functions, namely the phosphorylation of both IRF3 / 7 and TANK as well as the recruitment of an E3 ligase for Lys ( 63) - linked polyubiquitination of their scaffold protein, TANK.	TANK,25,29,Protein	IRF3,84,88,Protein	7,91,92,Protein	TBK1,111,115,Protein	IKKepsilon,118,128,Protein	IRF3,233,237,Protein	7,240,241,Protein	TANK,246,250,Protein	TANK,363,367,Protein	"[{""token"": ""TANK"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""IRF3"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""7"", ""start_span"": 91, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""TBK1"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Protein""}, {""token"": ""IKKepsilon"", ""start_span"": 118, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""IRF3"", ""start_span"": 233, ""end_span"": 237, ""type"": ""Protein""}, {""token"": ""7"", ""start_span"": 240, ""end_span"": 241, ""type"": ""Protein""}, {""token"": ""TANK"", ""start_span"": 246, ""end_span"": 250, ""type"": ""Protein""}, {""token"": ""TANK"", ""start_span"": 363, ""end_span"": 367, ""type"": ""Protein""}]"	train
But unlike MDM2, Pirh2, COP1, and ARF - BP1, all of which possess an intrinsic ubiquitin ligase activity, JFK destabilizes p53 through the assembly of a Skp1 - Cul1 - F - box complex.	MDM2,11,15,Protein	Pirh2,17,22,Protein	COP1,24,28,Protein	ARF - BP1,34,43,Protein	ubiquitin,79,88,Protein	JFK,106,109,Protein	p53,123,126,Protein	Skp1,153,157,Protein	Cul1,160,164,Protein	"[{""token"": ""MDM2"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""Pirh2"", ""start_span"": 17, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""COP1"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""ARF - BP1"", ""start_span"": 34, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 79, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""JFK"", ""start_span"": 106, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 123, ""end_span"": 126, ""type"": ""Protein""}, {""token"": ""Skp1"", ""start_span"": 153, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""Cul1"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Protein""}]"	train
Acetylated H3 and phosphorylated H3 are enriched at the promoter of EGR - 1; and EGR - 1 is enriched at the promoters of tissue factor and plasminogen activator inhibitor 1 in response to IL - 1beta, and attenuated by PD98059, Garcinol, and mitogen and stress - activated protein kinase 1 / 2 short interfering RNA.	H3,11,13,Protein	H3,33,35,Protein	EGR - 1,68,75,Protein	EGR - 1,81,88,Protein	tissue factor,121,134,Protein	plasminogen activator inhibitor 1,139,172,Protein	IL - 1beta,188,198,Protein	mitogen and stress - activated protein kinase 1,241,288,Protein	2,291,292,Protein	"[{""token"": ""H3"", ""start_span"": 11, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""H3"", ""start_span"": 33, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""EGR - 1"", ""start_span"": 68, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""EGR - 1"", ""start_span"": 81, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""tissue factor"", ""start_span"": 121, ""end_span"": 134, ""type"": ""Protein""}, {""token"": ""plasminogen activator inhibitor 1"", ""start_span"": 139, ""end_span"": 172, ""type"": ""Protein""}, {""token"": ""IL - 1beta"", ""start_span"": 188, ""end_span"": 198, ""type"": ""Protein""}, {""token"": ""mitogen and stress - activated protein kinase 1"", ""start_span"": 241, ""end_span"": 288, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 291, ""end_span"": 292, ""type"": ""Protein""}]"	train
Binding studies with melanoma transfectants expressing CD44H, CD44E, or with soluble immunoglobulin fusions of CD44H and CD44E ( CD44H - Rg, CD44E - Rg) showed that although both CD44 isoforms can bind HA, CD44H binds HA more efficiently than CD44E.	CD44H,55,60,Protein	CD44E,62,67,Protein	CD44H,111,116,Protein	CD44E,121,126,Protein	CD44H,129,134,Protein	CD44E,141,146,Protein	CD44,179,183,Protein	CD44H,206,211,Protein	CD44E,243,248,Protein	"[{""token"": ""CD44H"", ""start_span"": 55, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""CD44E"", ""start_span"": 62, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""CD44H"", ""start_span"": 111, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""CD44E"", ""start_span"": 121, ""end_span"": 126, ""type"": ""Protein""}, {""token"": ""CD44H"", ""start_span"": 129, ""end_span"": 134, ""type"": ""Protein""}, {""token"": ""CD44E"", ""start_span"": 141, ""end_span"": 146, ""type"": ""Protein""}, {""token"": ""CD44"", ""start_span"": 179, ""end_span"": 183, ""type"": ""Protein""}, {""token"": ""CD44H"", ""start_span"": 206, ""end_span"": 211, ""type"": ""Protein""}, {""token"": ""CD44E"", ""start_span"": 243, ""end_span"": 248, ""type"": ""Protein""}]"	valid
The following proteins are methylated: L11, L1, L3, L5, L7, L8, L9, L12, L18, and L33.	L11,39,42,Protein	L1,44,46,Protein	L3,48,50,Protein	L5,52,54,Protein	L7,56,58,Protein	L9,64,66,Protein	L12,68,71,Protein	L18,73,76,Protein	L33,82,85,Protein	"[{""token"": ""L11"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""L1"", ""start_span"": 44, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""L3"", ""start_span"": 48, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""L5"", ""start_span"": 52, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""L7"", ""start_span"": 56, ""end_span"": 58, ""type"": ""Protein""}, {""token"": ""L9"", ""start_span"": 64, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""L12"", ""start_span"": 68, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""L18"", ""start_span"": 73, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""L33"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Protein""}]"	test
Three enzymes, prolyl hydroxylase domain - containing proteins 1, 2, and 3 ( PHD1, - 2, and - 3; also known as HIF prolyl hydroxylase 3, 2, and 1, respectively), have recently been identified that catalyze proline hydroxylation of HIF alpha subunits.	prolyl hydroxylase domain - containing proteins 1,15,64,Protein	2,66,67,Protein	3,73,74,Protein	PHD1,77,81,Protein	- 2,83,86,Protein	- 3,92,95,Protein	HIF prolyl hydroxylase 3,111,135,Protein	2,137,138,Protein	1,144,145,Protein	"[{""token"": ""prolyl hydroxylase domain - containing proteins 1"", ""start_span"": 15, ""end_span"": 64, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 66, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""3"", ""start_span"": 73, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""PHD1"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""- 2"", ""start_span"": 83, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""- 3"", ""start_span"": 92, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""HIF prolyl hydroxylase 3"", ""start_span"": 111, ""end_span"": 135, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 137, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""1"", ""start_span"": 144, ""end_span"": 145, ""type"": ""Protein""}]"	test
To investigate the functional role of a nuclear localization sequence ( NLS) detected within the N - terminus and of an endoplasmic reticulum retention signal within the C - terminus, NEP - GFP expression vectors were constructed containing the whole NEP gene, fragments encoding the N - terminus / C - terminus of the protein ( 5 ( ') NEP - GFP / 3 ( ') NEP - GFP), and 5 ( ') NEP - GFP constructs lacking the NLS.	NEP,184,187,Protein	GFP,190,193,Protein	NEP,251,254,Protein	NEP,336,339,Protein	GFP,342,345,Protein	NEP,355,358,Protein	GFP,361,364,Protein	NEP,378,381,Protein	GFP,384,387,Protein	"[{""token"": ""NEP"", ""start_span"": 184, ""end_span"": 187, ""type"": ""Protein""}, {""token"": ""GFP"", ""start_span"": 190, ""end_span"": 193, ""type"": ""Protein""}, {""token"": ""NEP"", ""start_span"": 251, ""end_span"": 254, ""type"": ""Protein""}, {""token"": ""NEP"", ""start_span"": 336, ""end_span"": 339, ""type"": ""Protein""}, {""token"": ""GFP"", ""start_span"": 342, ""end_span"": 345, ""type"": ""Protein""}, {""token"": ""NEP"", ""start_span"": 355, ""end_span"": 358, ""type"": ""Protein""}, {""token"": ""GFP"", ""start_span"": 361, ""end_span"": 364, ""type"": ""Protein""}, {""token"": ""NEP"", ""start_span"": 378, ""end_span"": 381, ""type"": ""Protein""}, {""token"": ""GFP"", ""start_span"": 384, ""end_span"": 387, ""type"": ""Protein""}]"	test
Using different E7 mutant proteins, dominant negative cyclin - dependent kinase 4, and p16 RNA interference, we demonstrate that Rb - related and Rb - independent mechanisms of E7 are necessary for subversion of PML - induced senescence and we identify PML as a novel target for E7.	E7,16,18,Protein	cyclin - dependent kinase 4,54,81,Protein	p16,87,90,Protein	Rb,129,131,Protein	Rb,146,148,Protein	E7,177,179,Protein	PML,212,215,Protein	PML,253,256,Protein	E7,279,281,Protein	"[{""token"": ""E7"", ""start_span"": 16, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""cyclin - dependent kinase 4"", ""start_span"": 54, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 87, ""end_span"": 90, ""type"": ""Protein""}, {""token"": ""Rb"", ""start_span"": 129, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""Rb"", ""start_span"": 146, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""E7"", ""start_span"": 177, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""PML"", ""start_span"": 212, ""end_span"": 215, ""type"": ""Protein""}, {""token"": ""PML"", ""start_span"": 253, ""end_span"": 256, ""type"": ""Protein""}, {""token"": ""E7"", ""start_span"": 279, ""end_span"": 281, ""type"": ""Protein""}]"	test
Granulocytic marker CD66c - - Carcinoembryonic antigen - related cell adhesion molecule 6 ( CEACAM6) is aberrantly expressed on ALL with strong correlation to genotype ( negative in TEL / AML1 and MLL / AF4, positive in BCR / ABL and hyperdiploid cases).	CD66c,20,25,Protein	Carcinoembryonic antigen - related cell adhesion molecule 6,30,89,Protein	CEACAM6,92,99,Protein	TEL,182,185,Protein	AML1,188,192,Protein	MLL,197,200,Protein	AF4,203,206,Protein	BCR,220,223,Protein	ABL,226,229,Protein	"[{""token"": ""CD66c"", ""start_span"": 20, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""Carcinoembryonic antigen - related cell adhesion molecule 6"", ""start_span"": 30, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""CEACAM6"", ""start_span"": 92, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""TEL"", ""start_span"": 182, ""end_span"": 185, ""type"": ""Protein""}, {""token"": ""AML1"", ""start_span"": 188, ""end_span"": 192, ""type"": ""Protein""}, {""token"": ""MLL"", ""start_span"": 197, ""end_span"": 200, ""type"": ""Protein""}, {""token"": ""AF4"", ""start_span"": 203, ""end_span"": 206, ""type"": ""Protein""}, {""token"": ""BCR"", ""start_span"": 220, ""end_span"": 223, ""type"": ""Protein""}, {""token"": ""ABL"", ""start_span"": 226, ""end_span"": 229, ""type"": ""Protein""}]"	test
