The relationship of glycosylation and isoelectric point with tumor accumulation of avidin.	"avidin	83	89	Protein"	"[{""token"": ""avidin"", ""start_span"": 83, ""end_span"": 89, ""type"": ""Protein""}]"
Radiolabeled avidin markedly accumulated in intraperitoneal tumors and was cleared rapidly from circulation when given intraperitoneally.	"avidin	13	19	Protein"	"[{""token"": ""avidin"", ""start_span"": 13, ""end_span"": 19, ""type"": ""Protein""}]"
This study investigated the mechanisms of the tumor localization of avidin.	"avidin	68	74	Protein"	"[{""token"": ""avidin"", ""start_span"": 68, ""end_span"": 74, ""type"": ""Protein""}]"
RESULTS: Deglycosylated avidins revealed a major band of smaller molecules on SDS / PAGE.	"avidins	24	31	Protein"	"[{""token"": ""avidins"", ""start_span"": 24, ""end_span"": 31, ""type"": ""Protein""}]"
CONCLUSION: Both high glycosylation and positive charge of avidin contributed to its accumulation in tumor.	"avidin	59	65	Protein"	"[{""token"": ""avidin"", ""start_span"": 59, ""end_span"": 65, ""type"": ""Protein""}]"
2 kb upstream of the oxygenase genes and 872 bp upstream of a putative meta ring cleavage dioxygenase gene, ditC.	"ditC	108	112	Protein"	"[{""token"": ""ditC"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Protein""}]"
A Tn5 insertion in the alpha subunit gene, ditA1, resulted in the accumulation by the mutant strain BKME - 941 of the pathway intermediate, 7 - oxoDhA.	"ditA1	43	48	Protein"	"[{""token"": ""ditA1"", ""start_span"": 43, ""end_span"": 48, ""type"": ""Protein""}]"
Disruption of the ferredoxin gene, ditA3, in wild - type BKME - 9 by mutant - allele exchange resulted in a strain ( BKME - 91) with a phenotype identical to that of the mutant strain BKME - 941.	"ditA3	35	40	Protein"	"[{""token"": ""ditA3"", ""start_span"": 35, ""end_span"": 40, ""type"": ""Protein""}]"
Expression in Escherichia coli of ditA1A2A3, encoding the diterpenoid dioxygenase without its putative reductase component, resulted in a functional enzyme.	"ditA1A2A3	34	43	Protein"	"[{""token"": ""ditA1A2A3"", ""start_span"": 34, ""end_span"": 43, ""type"": ""Protein""}]"
Recent studies provide insight into the mechanism of transcriptional silencing by a methyl - CpG binding protein, MeCP2.	"MeCP2	114	119	Protein"	"[{""token"": ""MeCP2"", ""start_span"": 114, ""end_span"": 119, ""type"": ""Protein""}]"
Moreover, several studies have shown that inhibition of histone deacetylases by specific inhibitors can reactivate endogenous genes or reporter constructs previously silenced by DNA methylation.	"histone	56	63	Protein"	"[{""token"": ""histone"", ""start_span"": 56, ""end_span"": 63, ""type"": ""Protein""}]"
Catalase inhibited the activation while superoxide dismutase enhanced it.	"Catalase	0	8	Protein"	"[{""token"": ""Catalase"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Protein""}]"
In the same pool of collagens an increase in collagen III content was observed as compared with controls ( lipodermatosclerosis 14. 5% + / - 1. 6, control 10. 3% + / - 1. 6, p < 0. 001).	"collagen III	45	57	Protein"	"[{""token"": ""collagen III"", ""start_span"": 45, ""end_span"": 57, ""type"": ""Protein""}]"
