METHODS: Avidin was deglycosylated through endoglycosydase - H digestion and / or neutralized by acetylation of its lysine amino acids with acetic acid N - hydroxysuccinimide ester.	"Avidin	9	15	Protein"	"endoglycosydase - H	43	62	Protein"	"[{""token"": ""Avidin"", ""start_span"": 9, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""endoglycosydase - H"", ""start_span"": 43, ""end_span"": 62, ""type"": ""Protein""}]"
Avidin and modified avidins were analyzed using sodium dodecylsulfate - polyacrylamide gel electrophoresis ( SDS / PAGE) and isoelectric focusing.	"Avidin	0	6	Protein"	"avidins	20	27	Protein"	"[{""token"": ""Avidin"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Protein""}, {""token"": ""avidins"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Protein""}]"
Avidin and modified avidins were labeled with 111In using diethyleneamine pentaacetic acid - biotin and were administered intraperitoneally into the tumor - bearing mice.	"Avidin	0	6	Protein"	"avidins	20	27	Protein"	"[{""token"": ""Avidin"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Protein""}, {""token"": ""avidins"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Protein""}]"
The isoelectric point of neutralized avidins was reduced to less than 5, whereas that of unneutralized avidins was more than 9. 5.	"avidins	37	44	Protein"	"avidins	103	110	Protein"	"[{""token"": ""avidins"", ""start_span"": 37, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""avidins"", ""start_span"": 103, ""end_span"": 110, ""type"": ""Protein""}]"
One of the prominent cell cycle - related modifications of histone proteins whose function remains unresolved is the phosphorylation of linker histone H1.	"histone	59	66	Protein"	"histone H1	143	153	Protein"	"[{""token"": ""histone"", ""start_span"": 59, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""histone H1"", ""start_span"": 143, ""end_span"": 153, ""type"": ""Protein""}]"
A method for determining the in vivo topology of yeast polytopic membrane proteins demonstrates that Gap1p fully integrates into the membrane independently of Shr3p.	"Gap1p	101	106	Protein"	"Shr3p	159	164	Protein"	"[{""token"": ""Gap1p"", ""start_span"": 101, ""end_span"": 106, ""type"": ""Protein""}, {""token"": ""Shr3p"", ""start_span"": 159, ""end_span"": 164, ""type"": ""Protein""}]"
A topological reporter construct, encoding an internal 53 - amino acid peptide of invertase ( Suc2p) containing three Asp - X - Ser / Thr glycosylation sites, was inserted in - frame into the hydrophilic NH ( 2) - and COOH - terminal domains and each of the 11 hydrophilic loops that separate the 12 hydrophobic segments of Gap1p.	"Suc2p	94	99	Protein"	"Gap1p	324	329	Protein"	"[{""token"": ""Suc2p"", ""start_span"": 94, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""Gap1p"", ""start_span"": 324, ""end_span"": 329, ""type"": ""Protein""}]"
The propeptide of the transforming growth factor - beta superfamily member, macrophage inhibitory cytokine - 1 ( MIC - 1), is a multifunctional domain that can facilitate protein folding and secretion.	"macrophage inhibitory cytokine - 1	76	110	Protein"	"MIC - 1	113	120	Protein"	"[{""token"": ""macrophage inhibitory cytokine - 1"", ""start_span"": 76, ""end_span"": 110, ""type"": ""Protein""}, {""token"": ""MIC - 1"", ""start_span"": 113, ""end_span"": 120, ""type"": ""Protein""}]"
Macrophage inhibitory cytokine - 1 ( MIC - 1) is a divergent member of the transforming growth factor - beta ( TGF - beta) superfamily.	"Macrophage inhibitory cytokine - 1	0	34	Protein"	"MIC - 1	37	44	Protein"	"[{""token"": ""Macrophage inhibitory cytokine - 1"", ""start_span"": 0, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""MIC - 1"", ""start_span"": 37, ""end_span"": 44, ""type"": ""Protein""}]"
To investigate factors that enable these propeptide independent events to occur, we constructed MIC - 1 / TGF - beta1 chimeras, both with and without a propeptide.	"MIC - 1	96	103	Protein"	"TGF - beta1	106	117	Protein"	"[{""token"": ""MIC - 1"", ""start_span"": 96, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""TGF - beta1"", ""start_span"": 106, ""end_span"": 117, ""type"": ""Protein""}]"
Cytosine methylation represses glutathione S - transferase P1 ( GSTP1) gene expression in human prostate cancer cells.	"glutathione S - transferase P1	31	61	Protein"	"GSTP1	64	69	Protein"	"[{""token"": ""glutathione S - transferase P1"", ""start_span"": 31, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""GSTP1"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Protein""}]"
Methylation of the glutathione S - transferase P1 ( GSTP1) gene has been described as a highly specific and sensitive biomarker for prostate cancer.	"glutathione S - transferase P1	19	49	Protein"	"GSTP1	52	57	Protein"	"[{""token"": ""glutathione S - transferase P1"", ""start_span"": 19, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""GSTP1"", ""start_span"": 52, ""end_span"": 57, ""type"": ""Protein""}]"
In contrast, Du145 and PC3 prostate cancer cells express the GSTP1 gene and exhibit methylated and unmethylated GSTP1 alleles.	"GSTP1	61	66	Protein"	"GSTP1	112	117	Protein"	"[{""token"": ""GSTP1"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""GSTP1"", ""start_span"": 112, ""end_span"": 117, ""type"": ""Protein""}]"
Thyrotropin receptor ( TSHR) is a member of the glycoprotein hormone receptor family and an autoantigen of Graves ' disease.	"Thyrotropin receptor	0	20	Protein"	"TSHR	23	27	Protein"	"[{""token"": ""Thyrotropin receptor"", ""start_span"": 0, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Protein""}]"
In conclusion, we succeeded in secreting the ectodomain of TSHR into culture medium, which was capable of binding to TSH and neutralizing anti - TSHR antibody activities.	"TSHR	59	63	Protein"	"TSHR	145	149	Protein"	"[{""token"": ""TSHR"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 145, ""end_span"": 149, ""type"": ""Protein""}]"
Here, we define a conserved HIF - VHL - prolyl hydroxylase pathway in C. elegans, and use a genetic approach to identify EGL - 9 as a dioxygenase that regulates HIF by prolyl hydroxylation.	"VHL	34	37	Protein"	"EGL - 9	121	128	Protein"	"[{""token"": ""VHL"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""EGL - 9"", ""start_span"": 121, ""end_span"": 128, ""type"": ""Protein""}]"
This mutated VR1 was not glycosylated, confirming the extracellular location of N604 and its role as the exclusive site of glycosylation of the VR1 protein.	"VR1	13	16	Protein"	"VR1	144	147	Protein"	"[{""token"": ""VR1"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""VR1"", ""start_span"": 144, ""end_span"": 147, ""type"": ""Protein""}]"
In the light of conflicting literature data on biochemical characteristics of VR1, our data suggest that dorsal root ganglion - derived F - 11 cells provide a powerful experimental system for the study of VR1 biochemistry.	"VR1	78	81	Protein"	"VR1	205	208	Protein"	"[{""token"": ""VR1"", ""start_span"": 78, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""VR1"", ""start_span"": 205, ""end_span"": 208, ""type"": ""Protein""}]"
The methylosome, a 20S complex containing JBP1 and pICln, produces dimethylarginine - modified Sm proteins.	"JBP1	42	46	Protein"	"pICln	51	56	Protein"	"[{""token"": ""JBP1"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""pICln"", ""start_span"": 51, ""end_span"": 56, ""type"": ""Protein""}]"
SMN binds preferentially and directly to the symmetrical dimethylarginine ( sDMA) - modified arginine - and glycine - rich ( RG - rich) domains of SmD1 and SmD3.	"SmD1	147	151	Protein"	"SmD3	156	160	Protein"	"[{""token"": ""SmD1"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Protein""}, {""token"": ""SmD3"", ""start_span"": 156, ""end_span"": 160, ""type"": ""Protein""}]"
The point mutation of exon 2 in p16 gene was investigated by single strand conformational polymorphism ( SSCP) analysis, and the status of p16 gene methylation was screened using a PCR based methylation analysis.	"p16	32	35	Protein"	"p16	139	142	Protein"	"[{""token"": ""p16"", ""start_span"": 32, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 139, ""end_span"": 142, ""type"": ""Protein""}]"
35 parafin - embedded specimens of HCC with corresponding non - tumor liver tissues, including the 25 cases described above for screening p16 gene alterations, were investigated for p16 protein expression using immunohistochemical analysis.	"p16	138	141	Protein"	"p16	182	185	Protein"	"[{""token"": ""p16"", ""start_span"": 138, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 182, ""end_span"": 185, ""type"": ""Protein""}]"
Loss of p16 protein expression occurred in 16 of 35 ( 45. 7%) tumor samples, and all the non - tumor liver tissue specimens showed positive p16 staining.	"p16	8	11	Protein"	"p16	140	143	Protein"	"[{""token"": ""p16"", ""start_span"": 8, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 140, ""end_span"": 143, ""type"": ""Protein""}]"
Full induction of HIF - 1alpha and - 2alpha, therefore, relies on the abrogation of both Pro and Asn hydroxylation, which during normoxia occur at the degradation and COOH - terminal transactivation domains, respectively.	"HIF - 1alpha	18	30	Protein"	"- 2alpha	35	43	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 18, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""- 2alpha"", ""start_span"": 35, ""end_span"": 43, ""type"": ""Protein""}]"
Collagen - induced arthritis ( CIA) is induced in H - 2 ( q) mice after immunization with rat type II collagen ( CII).	"type II collagen	94	110	Protein"	"CII	113	116	Protein"	"[{""token"": ""type II collagen"", ""start_span"": 94, ""end_span"": 110, ""type"": ""Protein""}, {""token"": ""CII"", ""start_span"": 113, ""end_span"": 116, ""type"": ""Protein""}]"
The immunodominant T cell epitope on heterologous CII has been located to CII256 - 270.	"CII	50	53	Protein"	"CII256	74	80	Protein"	"[{""token"": ""CII"", ""start_span"": 50, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""CII256"", ""start_span"": 74, ""end_span"": 80, ""type"": ""Protein""}]"
The von Hippel - Lindau tumor suppressor protein ( pVHL) is the substrate - recognition module of an E3 ubiquitin ligase that targets the alpha subunits of hypoxia - inducible factor ( HIF) for degradation in the presence of oxygen.	"von Hippel - Lindau tumor suppressor	4	40	Protein"	"pVHL	51	55	Protein"	"[{""token"": ""von Hippel - Lindau tumor suppressor"", ""start_span"": 4, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""pVHL"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}]"
The biological significance of excess active X chromosomes in testicular germ cell tumors was suggested by enhanced expression of the 2 X - linked oncogenes ARAF1 and ELK1 in the testicular germ cell tumor derived cell lines.	"ARAF1	157	162	Protein"	"ELK1	167	171	Protein"	"[{""token"": ""ARAF1"", ""start_span"": 157, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""ELK1"", ""start_span"": 167, ""end_span"": 171, ""type"": ""Protein""}]"
They displayed a reasonably high degree ( 74 - 94, 85 - 93, 75 - 91%, for alpha, FSH beta and LH beta subunits, respectively) of identity when deduced amino acids were compared with homologous sequences from partial available mammals including human, cattle, sheep, pig, rat, mouse.	"FSH beta	81	89	Protein"	"LH beta	94	101	Protein"	"[{""token"": ""FSH beta"", ""start_span"": 81, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""LH beta"", ""start_span"": 94, ""end_span"": 101, ""type"": ""Protein""}]"
In this study, we attempted to determine the timing of methylation erasure of Igf2r DMR2 in developing PGCs, using transgenic mice expressing green fluorescent protein specifically in the germ line.	"Igf2r	78	83	Protein"	"green fluorescent protein	142	167	Protein"	"[{""token"": ""Igf2r"", ""start_span"": 78, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""green fluorescent protein"", ""start_span"": 142, ""end_span"": 167, ""type"": ""Protein""}]"
Here, we show that geldanamycin, an inhibitor of Hsp90, interferes with the formation of complex glycosylated mammalian prion protein ( PrPC).	"prion protein	120	133	Protein"	"PrPC	136	140	Protein"	"[{""token"": ""prion protein"", ""start_span"": 120, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""PrPC"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Protein""}]"
Our study reveals that complex glycosylation is dispensable for the cellular trafficking of PrPC, but modulates the formation of PrPSc.	"PrPC	92	96	Protein"	"PrPSc	129	134	Protein"	"[{""token"": ""PrPC"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""PrPSc"", ""start_span"": 129, ""end_span"": 134, ""type"": ""Protein""}]"
Chromatin immunoprecipitation assays show that cAMP treatment results in a decrease in acetylation of histone H4, and in multiple modifications of histone H3 at specific nucleosomes in the promoter region of the stable MMTV template.	"histone H4	102	112	Protein"	"histone H3	147	157	Protein"	"[{""token"": ""histone H4"", ""start_span"": 102, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""histone H3"", ""start_span"": 147, ""end_span"": 157, ""type"": ""Protein""}]"
We confirm that Set2 catalyzes methylation of lysine 36 on the N - terminal tail of histone H3.	"Set2	16	20	Protein"	"histone H3	84	94	Protein"	"[{""token"": ""Set2"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""histone H3"", ""start_span"": 84, ""end_span"": 94, ""type"": ""Protein""}]"
Conversion of lysine 36 to an unmethylatable arginine causes a decrease in the repression of GAL4 transcription, as does a Delta set2 mutation.	"GAL4	93	97	Protein"	"set2	129	133	Protein"	"[{""token"": ""GAL4"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""set2"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Protein""}]"
The M protein of HCV - OC43 shows features typical of all coronavirus M proteins studied: a hydrophilic, presumably external N terminus including about 10% of the protein, and a potential N - glycosylation site followed by three major hydrophobic transmembrane domains.	"M	4	5	Protein"	"M	70	71	Protein"	"[{""token"": ""M"", ""start_span"": 4, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""M"", ""start_span"": 70, ""end_span"": 71, ""type"": ""Protein""}]"
