In contrast, an MspI / HpaII restriction site in the Cx43 promoter ( position - 38) was methylated in MH1C1 cells, but not in WB - F344 cells or hepatocytes.	"MspI	16	20	Protein"	"HpaII	23	28	Protein"	"Cx43	53	57	Protein"	"[{""token"": ""MspI"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""HpaII"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""Cx43"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}]"
Transient transfection of the cell lines with connexin promoter - luciferase constructs indicated that the Cx32 promoter was 7 - fold more active in MH1C1 cells and the Cx43 promoter was 5 - fold more active in WB - F344 cells.	"luciferase	66	76	Protein"	"Cx32	107	111	Protein"	"Cx43	169	173	Protein"	"[{""token"": ""luciferase"", ""start_span"": 66, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""Cx32"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""Cx43"", ""start_span"": 169, ""end_span"": 173, ""type"": ""Protein""}]"
Furthermore, we show that the remethylation of asparagine - bound McpB requires the response regulator, CheY - P, suggesting that CheY - P acts in a feedback mechanism to facilitate adaptation to positive stimuli during chemotaxis in B. subtilis.	"McpB	66	70	Protein"	"CheY	104	108	Protein"	"CheY	130	134	Protein"	"[{""token"": ""McpB"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""CheY"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Protein""}, {""token"": ""CheY"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Protein""}]"
Here, we elucidate two essential steps and describe the roles played by the three translation factors EF - G, RRF, and IF3.	"EF - G	102	108	Protein"	"RRF	110	113	Protein"	"IF3	119	122	Protein"	"[{""token"": ""EF - G"", ""start_span"": 102, ""end_span"": 108, ""type"": ""Protein""}, {""token"": ""RRF"", ""start_span"": 110, ""end_span"": 113, ""type"": ""Protein""}, {""token"": ""IF3"", ""start_span"": 119, ""end_span"": 122, ""type"": ""Protein""}]"
Release factor RF3 is known to catalyze the dissociation of RF1 or RF2 from ribosomes after polypeptide release.	"RF3	15	18	Protein"	"RF1	60	63	Protein"	"RF2	67	70	Protein"	"[{""token"": ""RF3"", ""start_span"": 15, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""RF1"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""RF2"", ""start_span"": 67, ""end_span"": 70, ""type"": ""Protein""}]"
In contrast to the PLOD1 and PLOD3 genes, both cell types showed low PLOD2 gene expression in undifferentiated and early differentiated conditions.	"PLOD1	19	24	Protein"	"PLOD3	29	34	Protein"	"PLOD2	69	74	Protein"	"[{""token"": ""PLOD1"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""PLOD3"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""PLOD2"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Protein""}]"
Remethylation occurred most rapidly in the p16, PAX - 6, and c - ABL genes, shown to be transcribed prior to drug treatment.	"p16	43	46	Protein"	"PAX - 6	48	55	Protein"	"c - ABL	61	68	Protein"	"[{""token"": ""p16"", ""start_span"": 43, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""PAX - 6"", ""start_span"": 48, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""c - ABL"", ""start_span"": 61, ""end_span"": 68, ""type"": ""Protein""}]"
In the present study, we investigated the 5 ' CpG island hypermethylation of hMLH1, E - cadherin and p16 in 61 primary gastric cancers ( GCs) by using combined bisulfite restriction analysis ( COBRA) and methylation - specific PCR ( MSP), and their MSI status.	"hMLH1	77	82	Protein"	"E - cadherin	84	96	Protein"	"p16	101	104	Protein"	"[{""token"": ""hMLH1"", ""start_span"": 77, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""E - cadherin"", ""start_span"": 84, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 101, ""end_span"": 104, ""type"": ""Protein""}]"
Of 61 GCs investigated, 5 ( 8. 1%) tumors presented hMLH1 methylation, 16 ( 26. 2%) and 25 ( 40. 9%) showed E - cadherin and p16 methylation respectively, and 8 ( 13. 1%) presented high - frequency MSI ( MSI - H).	"hMLH1	52	57	Protein"	"E - cadherin	108	120	Protein"	"p16	125	128	Protein"	"[{""token"": ""hMLH1"", ""start_span"": 52, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""E - cadherin"", ""start_span"": 108, ""end_span"": 120, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 125, ""end_span"": 128, ""type"": ""Protein""}]"
We have cloned the mouse erythroid KCC1 ( mKCC1) cDNA and its flanking genomic regions and mapped the mKCC1 gene to chromosome 8.	"KCC1	35	39	Protein"	"mKCC1	42	47	Protein"	"mKCC1	102	107	Protein"	"[{""token"": ""KCC1"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""mKCC1"", ""start_span"": 42, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""mKCC1"", ""start_span"": 102, ""end_span"": 107, ""type"": ""Protein""}]"
