In a transient transfection assay using LNCaP cells, methylation of the GSTP1 promoter - driven luciferase reporter vector ( GSTP1 - pGL3) resulted in a > 20 - fold inhibition of transcription, and this repression was not relieved by the presence of a histone deacetylase inhibitor, trichostatin A ( TSA).	"GSTP1	72	77	Protein"	"luciferase	96	106	Protein"	"GSTP1	125	130	Protein"	"histone	252	259	Protein"	"[{""token"": ""GSTP1"", ""start_span"": 72, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""luciferase"", ""start_span"": 96, ""end_span"": 106, ""type"": ""Protein""}, {""token"": ""GSTP1"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Protein""}, {""token"": ""histone"", ""start_span"": 252, ""end_span"": 259, ""type"": ""Protein""}]"
Regarding the interactions of TSHR ectodomains with anti - TSHR antibodies, both the secreted and non - secreted forms of sTSHR - gp, almost completely neutralized the stimulatory and inhibitory anti - TSHR antibody activities.	"TSHR	30	34	Protein"	"TSHR	59	63	Protein"	"sTSHR	122	127	Protein"	"TSHR	202	206	Protein"	"[{""token"": ""TSHR"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""sTSHR"", ""start_span"": 122, ""end_span"": 127, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 202, ""end_span"": 206, ""type"": ""Protein""}]"
JBP1 binds SmD1 and SmD3 via their RG domains, while pICln binds the Sm domains.	"JBP1	0	4	Protein"	"SmD1	11	15	Protein"	"SmD3	20	24	Protein"	"pICln	53	58	Protein"	"[{""token"": ""JBP1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""SmD1"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""SmD3"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""pICln"", ""start_span"": 53, ""end_span"": 58, ""type"": ""Protein""}]"
We further demonstrate the existence of a 6S complex that contains pICln, SmD1, and SmD3 but not JBP1.	"pICln	67	72	Protein"	"SmD1	74	78	Protein"	"SmD3	84	88	Protein"	"JBP1	97	101	Protein"	"[{""token"": ""pICln"", ""start_span"": 67, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""SmD1"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Protein""}, {""token"": ""SmD3"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""JBP1"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Protein""}]"
Here, I review the biochemistry, DNA - binding properties, and genetics of the MBD proteins that are linked to transcriptional repression, namely, MeCP2, MBD1, MBD2, and MBD3.	"MeCP2	147	152	Protein"	"MBD1	154	158	Protein"	"MBD2	160	164	Protein"	"MBD3	170	174	Protein"	"[{""token"": ""MeCP2"", ""start_span"": 147, ""end_span"": 152, ""type"": ""Protein""}, {""token"": ""MBD1"", ""start_span"": 154, ""end_span"": 158, ""type"": ""Protein""}, {""token"": ""MBD2"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Protein""}, {""token"": ""MBD3"", ""start_span"": 170, ""end_span"": 174, ""type"": ""Protein""}]"
For the 25 cases examined for p16 gene alterations, the loss of p16 protein expression was observed in all tumors with p16 gene alterations and also in 3 tumors without p16 gene alterations.	"p16	30	33	Protein"	"p16	64	67	Protein"	"p16	119	122	Protein"	"p16	169	172	Protein"	"[{""token"": ""p16"", ""start_span"": 30, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 64, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 119, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""p16"", ""start_span"": 169, ""end_span"": 172, ""type"": ""Protein""}]"
XIST expression in testicular germ cell tumors and normal testicular parenchyma was not associated with methylation of the AR, FMR1 or GPC3 genes.	"XIST	0	4	Protein"	"AR	123	125	Protein"	"FMR1	127	131	Protein"	"GPC3	135	139	Protein"	"[{""token"": ""XIST"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""AR"", ""start_span"": 123, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""FMR1"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""GPC3"", ""start_span"": 135, ""end_span"": 139, ""type"": ""Protein""}]"
After determining the expression patterns of AR, FMR1 and GPC3 in testicular germ cell tumor samples we concluded that multiple X chromosomes in testicular germ cell tumors were predominantly hypomethylated and active regardless of XIST expression.	"AR	45	47	Protein"	"FMR1	49	53	Protein"	"GPC3	58	62	Protein"	"XIST	232	236	Protein"	"[{""token"": ""AR"", ""start_span"": 45, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""FMR1"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""GPC3"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""XIST"", ""start_span"": 232, ""end_span"": 236, ""type"": ""Protein""}]"
Moreover, a PrP / Grp94 complex could be isolated from geldanamycin - treated cells, suggesting that Grp94 might play a role in the processing of PrPC in the endoplasmic reticulum.	"PrP	12	15	Protein"	"Grp94	18	23	Protein"	"Grp94	101	106	Protein"	"PrPC	146	150	Protein"	"[{""token"": ""PrP"", ""start_span"": 12, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""Grp94"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""Grp94"", ""start_span"": 101, ""end_span"": 106, ""type"": ""Protein""}, {""token"": ""PrPC"", ""start_span"": 146, ""end_span"": 150, ""type"": ""Protein""}]"
Optimal production and secretion of recombinant hAChE ( rehAChE) was achieved in the embryonal kidney 293 cell line transfected either with the RSV - hAChE or with CMV - hAChE expression vectors.	"hAChE	48	53	Protein"	"rehAChE	56	63	Protein"	"hAChE	150	155	Protein"	"hAChE	170	175	Protein"	"[{""token"": ""hAChE"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""rehAChE"", ""start_span"": 56, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""hAChE"", ""start_span"": 150, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""hAChE"", ""start_span"": 170, ""end_span"": 175, ""type"": ""Protein""}]"
