We investigated the mechanisms of connexin32 ( Cx32) and connexin43 ( Cx43) expression in hepatic cells using MH1C1 rat hepatoma cells and freshly isolated, adult rat hepatocytes that express Cx32 but not Cx43 and WB - F344 rat liver epithelial cells that express Cx43 but not Cx32.	"connexin32	34	44	Protein"	"Cx32	47	51	Protein"	"connexin43	57	67	Protein"	"Cx43	70	74	Protein"	"Cx32	192	196	Protein"	"Cx43	205	209	Protein"	"Cx43	264	268	Protein"	"Cx32	277	281	Protein"	"[{""token"": ""connexin32"", ""start_span"": 34, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""Cx32"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""connexin43"", ""start_span"": 57, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""Cx43"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""Cx32"", ""start_span"": 192, ""end_span"": 196, ""type"": ""Protein""}, {""token"": ""Cx43"", ""start_span"": 205, ""end_span"": 209, ""type"": ""Protein""}, {""token"": ""Cx43"", ""start_span"": 264, ""end_span"": 268, ""type"": ""Protein""}, {""token"": ""Cx32"", ""start_span"": 277, ""end_span"": 281, ""type"": ""Protein""}]"
We expressed three different constructs of full - length human TSHR in insect cells: ( a) a TSHR cDNA lacking signal sequence ( TSHR - ns), ( b) a TSHR cDNA containing human TSHR signal sequence ( TSHR - hs) and ( c) a TSHR cDNA with baculovirus envelope protein encoded signal sequence gp - 67 ( TSHR - gp).	"TSHR	63	67	Protein"	"TSHR	92	96	Protein"	"TSHR	128	132	Protein"	"TSHR	147	151	Protein"	"TSHR	174	178	Protein"	"TSHR	197	201	Protein"	"TSHR	219	223	Protein"	"TSHR	297	301	Protein"	"[{""token"": ""TSHR"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 174, ""end_span"": 178, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 197, ""end_span"": 201, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 219, ""end_span"": 223, ""type"": ""Protein""}, {""token"": ""TSHR"", ""start_span"": 297, ""end_span"": 301, ""type"": ""Protein""}]"
Calf histones H2A and H4 and bovine myelin basic protein were methylated by Hsl7p, whereas histones H1, H2B, and H3 and bovine cytochrome c were not.	"histones H2A	5	17	Protein"	"H4	22	24	Protein"	"myelin basic protein	36	56	Protein"	"Hsl7p	76	81	Protein"	"histones H1	91	102	Protein"	"H2B	104	107	Protein"	"H3	113	115	Protein"	"cytochrome c	127	139	Protein"	"[{""token"": ""histones H2A"", ""start_span"": 5, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""H4"", ""start_span"": 22, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""myelin basic protein"", ""start_span"": 36, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""Hsl7p"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""histones H1"", ""start_span"": 91, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""H2B"", ""start_span"": 104, ""end_span"": 107, ""type"": ""Protein""}, {""token"": ""H3"", ""start_span"": 113, ""end_span"": 115, ""type"": ""Protein""}, {""token"": ""cytochrome c"", ""start_span"": 127, ""end_span"": 139, ""type"": ""Protein""}]"
Surprisingly, the expression levels of histone acetyltransferases ( HATs), p300, cAMP response element - binding protein - binding protein ( CBP), and p300 / CBP - associated factor ( PCAF), were significantly reduced in PARP - 1 - / - cells, as compared with PARP - 1 + / + cells.	"histone	39	46	Protein"	"p300	75	79	Protein"	"cAMP response element - binding protein - binding protein	81	138	Protein"	"CBP	141	144	Protein"	"p300 / CBP - associated factor	151	181	Protein"	"PCAF	184	188	Protein"	"PARP - 1	221	229	Protein"	"PARP - 1	260	268	Protein"	"[{""token"": ""histone"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""p300"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""cAMP response element - binding protein - binding protein"", ""start_span"": 81, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""CBP"", ""start_span"": 141, ""end_span"": 144, ""type"": ""Protein""}, {""token"": ""p300 / CBP - associated factor"", ""start_span"": 151, ""end_span"": 181, ""type"": ""Protein""}, {""token"": ""PCAF"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Protein""}, {""token"": ""PARP - 1"", ""start_span"": 221, ""end_span"": 229, ""type"": ""Protein""}, {""token"": ""PARP - 1"", ""start_span"": 260, ""end_span"": 268, ""type"": ""Protein""}]"
Among patients with SLE, NAT2 * 4 / NAT2 * 6 and NAT2 * 5 / NAT2 * 5 genotypes occurred most frequently, while NAT2 * 4 / NAT2 * 6 and NAT2 * 5 / NAT2 * 6 prevailed in the control group.	"NAT2	25	29	Protein"	"NAT2	36	40	Protein"	"NAT2	49	53	Protein"	"NAT2	60	64	Protein"	"NAT2	111	115	Protein"	"NAT2	122	126	Protein"	"NAT2	135	139	Protein"	"NAT2	146	150	Protein"	"[{""token"": ""NAT2"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""NAT2"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""NAT2"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""NAT2"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Protein""}, {""token"": ""NAT2"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Protein""}, {""token"": ""NAT2"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Protein""}, {""token"": ""NAT2"", ""start_span"": 135, ""end_span"": 139, ""type"": ""Protein""}, {""token"": ""NAT2"", ""start_span"": 146, ""end_span"": 150, ""type"": ""Protein""}]"
Metazoan GCN5 and PCAF are subunits of at least two types of multiprotein complexes, one having a molecular weight of 2 MDa ( SPT3 - TAF9 - GCN5 acetyl transferase / TATA binding protein ( TBP) - free - TAF complex / PCAF complexes) and a second type with about a size of 700 kDa ( ATAC complex).	"GCN5	9	13	Protein"	"PCAF	18	22	Protein"	"SPT3	126	130	Protein"	"TAF9	133	137	Protein"	"GCN5	140	144	Protein"	"TATA binding protein	166	186	Protein"	"TBP	189	192	Protein"	"PCAF	217	221	Protein"	"[{""token"": ""GCN5"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""PCAF"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""SPT3"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Protein""}, {""token"": ""TAF9"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Protein""}, {""token"": ""GCN5"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Protein""}, {""token"": ""TATA binding protein"", ""start_span"": 166, ""end_span"": 186, ""type"": ""Protein""}, {""token"": ""TBP"", ""start_span"": 189, ""end_span"": 192, ""type"": ""Protein""}, {""token"": ""PCAF"", ""start_span"": 217, ""end_span"": 221, ""type"": ""Protein""}]"
Association of H2Bub1 with the chromatin of FLC clade genes depended on UBC1, 2 and HUB1, 2, as did the dynamics of methylated histones H3K4me3 and H3K36me2.	"H2Bub1	15	21	Protein"	"FLC	44	47	Protein"	"UBC1	72	76	Protein"	"2	78	79	Protein"	"HUB1	84	88	Protein"	"2	90	91	Protein"	"histones H3K4me3	127	143	Protein"	"H3K36me2	148	156	Protein"	"[{""token"": ""H2Bub1"", ""start_span"": 15, ""end_span"": 21, ""type"": ""Protein""}, {""token"": ""FLC"", ""start_span"": 44, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""UBC1"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 78, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""HUB1"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""2"", ""start_span"": 90, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""histones H3K4me3"", ""start_span"": 127, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""H3K36me2"", ""start_span"": 148, ""end_span"": 156, ""type"": ""Protein""}]"
In contrast, the interaction between activated Smad2 / 3 and the transcriptional coactivator and histone acetyltransferase p300 induced by TGF - beta, and the accumulation of p300 on consensus Smad - binding DNA sequences and histone H4 hyperacetylation at the COL1A2 locus, were all prevented by PPAR - gamma.	"Smad2	47	52	Protein"	"3	55	56	Protein"	"histone	97	104	Protein"	"p300	123	127	Protein"	"p300	175	179	Protein"	"histone H4	226	236	Protein"	"COL1A2	261	267	Protein"	"PPAR - gamma	297	309	Protein"	"[{""token"": ""Smad2"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""3"", ""start_span"": 55, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""histone"", ""start_span"": 97, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""p300"", ""start_span"": 123, ""end_span"": 127, ""type"": ""Protein""}, {""token"": ""p300"", ""start_span"": 175, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""histone H4"", ""start_span"": 226, ""end_span"": 236, ""type"": ""Protein""}, {""token"": ""COL1A2"", ""start_span"": 261, ""end_span"": 267, ""type"": ""Protein""}, {""token"": ""PPAR - gamma"", ""start_span"": 297, ""end_span"": 309, ""type"": ""Protein""}]"
MDM2, an ubiquitin E3 ligase target gene of p53, was upregulated following prolonged DFX, but using p53 / Mdm2 double - null mouse embryonic fibroblasts, we found that p53 upregulated HIF1A ubiquitination and degradation independently of MDM2.	"MDM2	0	4	Protein"	"ubiquitin	9	18	Protein"	"p53	44	47	Protein"	"p53	100	103	Protein"	"Mdm2	106	110	Protein"	"p53	168	171	Protein"	"HIF1A	184	189	Protein"	"MDM2	238	242	Protein"	"[{""token"": ""MDM2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""ubiquitin"", ""start_span"": 9, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 44, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 100, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""Mdm2"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Protein""}, {""token"": ""p53"", ""start_span"": 168, ""end_span"": 171, ""type"": ""Protein""}, {""token"": ""HIF1A"", ""start_span"": 184, ""end_span"": 189, ""type"": ""Protein""}, {""token"": ""MDM2"", ""start_span"": 238, ""end_span"": 242, ""type"": ""Protein""}]"
Furthermore, inhibition of p38alpha / beta by SB202190 blocked hydrogen peroxide - induced atrophy with diminished upregulation of Atg7 and atrogenes [ muscle atrophy F - box protein ( MAFbx / Atrogin - 1), muscle ring finger protein 1 ( MuRF - 1), and Nedd4].	"p38alpha	27	35	Protein"	"beta	38	42	Protein"	"Atg7	131	135	Protein"	"MAFbx	185	190	Protein"	"Atrogin - 1	193	204	Protein"	"muscle ring finger protein 1	207	235	Protein"	"MuRF - 1	238	246	Protein"	"Nedd4	253	258	Protein"	"[{""token"": ""p38alpha"", ""start_span"": 27, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""beta"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}, {""token"": ""Atg7"", ""start_span"": 131, ""end_span"": 135, ""type"": ""Protein""}, {""token"": ""MAFbx"", ""start_span"": 185, ""end_span"": 190, ""type"": ""Protein""}, {""token"": ""Atrogin - 1"", ""start_span"": 193, ""end_span"": 204, ""type"": ""Protein""}, {""token"": ""muscle ring finger protein 1"", ""start_span"": 207, ""end_span"": 235, ""type"": ""Protein""}, {""token"": ""MuRF - 1"", ""start_span"": 238, ""end_span"": 246, ""type"": ""Protein""}, {""token"": ""Nedd4"", ""start_span"": 253, ""end_span"": 258, ""type"": ""Protein""}]"
