Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	json	split
Since in previous, independent studies it has been demonstrated that functions of the rv3614c - rv3616c ( espA) gene cluster were essential for the secretion of ESAT - 6 and CFP - 10 [ 27, 28], it is quite probable that the lack of ESAT - 6 - specific T cell responses observed for strains H37Ra and SO2 ( Figure 3) might be caused by the insufficient expression of rv3612c - rv3616c, which results from the lack of a fully functional PhoP in these strains.	rv3614c,86,93,Protein	rv3616c,96,103,Protein	espA,106,110,Protein	ESAT - 6,161,169,Protein	CFP - 10,174,182,Protein	ESAT - 6,232,240,Protein	H37Ra,290,295,Organism	SO2,300,303,Organism	rv3612c,366,373,Protein	rv3616c,376,383,Protein	PhoP,435,439,Protein	"[{""token"": ""rv3614c"", ""start_span"": 86, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 96, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""espA"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 161, ""end_span"": 169, ""type"": ""Protein""}, {""token"": ""CFP - 10"", ""start_span"": 174, ""end_span"": 182, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 232, ""end_span"": 240, ""type"": ""Protein""}, {""token"": ""H37Ra"", ""start_span"": 290, ""end_span"": 295, ""type"": ""Organism""}, {""token"": ""SO2"", ""start_span"": 300, ""end_span"": 303, ""type"": ""Organism""}, {""token"": ""rv3612c"", ""start_span"": 366, ""end_span"": 373, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 376, ""end_span"": 383, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 435, ""end_span"": 439, ""type"": ""Protein""}]"	train
Factors present in both pathogens are two monooxigenases encoded by ye1945 / hpaC ( plu0974) and ye3394 / plu3599, and two hydroxylases encoded by ubiH ( ye3395 / plu3600) and ubiF ( ye2984 / plu1313).	ye1945,68,74,Protein	hpaC,77,81,Protein	plu0974,84,91,Protein	ye3394,97,103,Protein	plu3599,106,113,Protein	ubiH,147,151,Protein	ye3395,154,160,Protein	plu3600,163,170,Protein	ubiF,176,180,Protein	ye2984,183,189,Protein	plu1313,192,199,Protein	"[{""token"": ""ye1945"", ""start_span"": 68, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""hpaC"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""plu0974"", ""start_span"": 84, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""ye3394"", ""start_span"": 97, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""plu3599"", ""start_span"": 106, ""end_span"": 113, ""type"": ""Protein""}, {""token"": ""ubiH"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Protein""}, {""token"": ""ye3395"", ""start_span"": 154, ""end_span"": 160, ""type"": ""Protein""}, {""token"": ""plu3600"", ""start_span"": 163, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""ubiF"", ""start_span"": 176, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""ye2984"", ""start_span"": 183, ""end_span"": 189, ""type"": ""Protein""}, {""token"": ""plu1313"", ""start_span"": 192, ""end_span"": 199, ""type"": ""Protein""}]"	train
The expression of the other virulence - associated genes, such as IgG degrading protease of GAS, Mac - 1 - like protein ( mac), nicotine adenine dinucleotide glycohydrolase ( nga), polysaccharide capsule production ( hasA), and C5a peptidase ( scpA), was also upregulted in the severe invasive GAS, greater than that detected in the non - invasive GAS ( Figure 5A).	IgG,66,69,Protein	GAS,92,95,Protein	Mac - 1,97,104,Protein	mac,122,125,Protein	nicotine adenine dinucleotide,128,157,Chemical	nga,175,178,Protein	polysaccharide capsule,181,203,Chemical	hasA,217,221,Protein	scpA,244,248,Protein	invasive GAS,285,297,Organism	non - invasive GAS,333,351,Organism	"[{""token"": ""IgG"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""GAS"", ""start_span"": 92, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""Mac - 1"", ""start_span"": 97, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""mac"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""nicotine adenine dinucleotide"", ""start_span"": 128, ""end_span"": 157, ""type"": ""Chemical""}, {""token"": ""nga"", ""start_span"": 175, ""end_span"": 178, ""type"": ""Protein""}, {""token"": ""polysaccharide capsule"", ""start_span"": 181, ""end_span"": 203, ""type"": ""Chemical""}, {""token"": ""hasA"", ""start_span"": 217, ""end_span"": 221, ""type"": ""Protein""}, {""token"": ""scpA"", ""start_span"": 244, ""end_span"": 248, ""type"": ""Protein""}, {""token"": ""invasive GAS"", ""start_span"": 285, ""end_span"": 297, ""type"": ""Organism""}, {""token"": ""non - invasive GAS"", ""start_span"": 333, ""end_span"": 351, ""type"": ""Organism""}]"	train
Mutation in these regulatory pathways did not affect initial attachment, motility, or Pel and Psl polysaccharide production, but instead arrested biofilm development in the transition from reversible to irreversible attachment [ 8 hr to 24 hr, BfiRS ( PA4196 - 4197)], from initial attachment to the maturation - 1 stage [ ( 24 hr to 72 hr, BfmRS ( PA4101 - 4102)], and following the maturation - 1 stage [ 72 hr to 144 hr, MifRS ( PA5511 - 5512)] ( Fig. 6).	Pel,86,89,Protein	Psl,94,97,Protein	BfiRS,244,249,Protein	PA4196,252,258,Protein	4197,261,265,Protein	BfmRS,341,346,Protein	PA4101,349,355,Protein	4102,358,362,Protein	MifRS,424,429,Protein	PA5511,432,438,Protein	5512,441,445,Protein	"[{""token"": ""Pel"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""Psl"", ""start_span"": 94, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""BfiRS"", ""start_span"": 244, ""end_span"": 249, ""type"": ""Protein""}, {""token"": ""PA4196"", ""start_span"": 252, ""end_span"": 258, ""type"": ""Protein""}, {""token"": ""4197"", ""start_span"": 261, ""end_span"": 265, ""type"": ""Protein""}, {""token"": ""BfmRS"", ""start_span"": 341, ""end_span"": 346, ""type"": ""Protein""}, {""token"": ""PA4101"", ""start_span"": 349, ""end_span"": 355, ""type"": ""Protein""}, {""token"": ""4102"", ""start_span"": 358, ""end_span"": 362, ""type"": ""Protein""}, {""token"": ""MifRS"", ""start_span"": 424, ""end_span"": 429, ""type"": ""Protein""}, {""token"": ""PA5511"", ""start_span"": 432, ""end_span"": 438, ""type"": ""Protein""}, {""token"": ""5512"", ""start_span"": 441, ""end_span"": 445, ""type"": ""Protein""}]"	train
On the other hand, exoR ( BAB1 _ 0891), omp25a ( BAB1 _ 0722), hpr - K ( BAB1 _ 2094), bvrS ( BAB1 _ 2093) and the lipoproteins ( BAB1 _ 2147, BAB1 _ 0589, BAB1 _ 0358) were among the less expressed genes ( Table 1).	exoR,19,23,Protein	BAB1 _ 0891,26,37,Protein	omp25a,40,46,Protein	BAB1 _ 0722,49,60,Protein	hpr - K,63,70,Protein	BAB1 _ 2094,73,84,Protein	bvrS,87,91,Protein	BAB1 _ 2093,94,105,Protein	BAB1 _ 2147,130,141,Protein	BAB1 _ 0589,143,154,Protein	BAB1 _ 0358,156,167,Protein	"[{""token"": ""exoR"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0891"", ""start_span"": 26, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""omp25a"", ""start_span"": 40, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0722"", ""start_span"": 49, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""hpr - K"", ""start_span"": 63, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""BAB1 _ 2094"", ""start_span"": 73, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""bvrS"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""BAB1 _ 2093"", ""start_span"": 94, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""BAB1 _ 2147"", ""start_span"": 130, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0589"", ""start_span"": 143, ""end_span"": 154, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0358"", ""start_span"": 156, ""end_span"": 167, ""type"": ""Protein""}]"	train
Notably, seven transcriptional regulators genes were also differentially expressed in the bvrR mutant compared to parental strain: BAB1 _ 0237, BAB1 _ 0891 ( exoR), BAB1 _ 1397, BAB2 _ 0118 ( vjbR), BAB2 _ 0762 ( ompR), BAB2 _ 1127 and BAB2 _ 1152.	bvrR,90,94,Protein	BAB1 _ 0237,131,142,Protein	BAB1 _ 0891,144,155,Protein	exoR,158,162,Protein	BAB1 _ 1397,165,176,Protein	BAB2 _ 0118,178,189,Protein	vjbR,192,196,Protein	BAB2 _ 0762,199,210,Protein	ompR,213,217,Protein	BAB2 _ 1127,220,231,Protein	BAB2 _ 1152,236,247,Protein	"[{""token"": ""bvrR"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0237"", ""start_span"": 131, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0891"", ""start_span"": 144, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""exoR"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""BAB1 _ 1397"", ""start_span"": 165, ""end_span"": 176, ""type"": ""Protein""}, {""token"": ""BAB2 _ 0118"", ""start_span"": 178, ""end_span"": 189, ""type"": ""Protein""}, {""token"": ""vjbR"", ""start_span"": 192, ""end_span"": 196, ""type"": ""Protein""}, {""token"": ""BAB2 _ 0762"", ""start_span"": 199, ""end_span"": 210, ""type"": ""Protein""}, {""token"": ""ompR"", ""start_span"": 213, ""end_span"": 217, ""type"": ""Protein""}, {""token"": ""BAB2 _ 1127"", ""start_span"": 220, ""end_span"": 231, ""type"": ""Protein""}, {""token"": ""BAB2 _ 1152"", ""start_span"": 236, ""end_span"": 247, ""type"": ""Protein""}]"	train
SR1304 exhibited a > 10 - fold reduction in hilA and HilA - dependent invF ( invFA) expression, and about a 3 - fold reduction in hilD and HilC / D - dependent invF ( invFD) expression, compared to SL1344.	SR1304,0,6,Organism	hilA,44,48,Protein	HilA,53,57,Protein	invF,70,74,Protein	invFA,77,82,Protein	hilD,130,134,Protein	HilC,139,143,Protein	D,146,147,Protein	invF,160,164,Protein	invFD,167,172,Protein	SL1344,198,204,Organism	"[{""token"": ""SR1304"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Organism""}, {""token"": ""hilA"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""HilA"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""invF"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""invFA"", ""start_span"": 77, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""hilD"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Protein""}, {""token"": ""HilC"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""D"", ""start_span"": 146, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""invF"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Protein""}, {""token"": ""invFD"", ""start_span"": 167, ""end_span"": 172, ""type"": ""Protein""}, {""token"": ""SL1344"", ""start_span"": 198, ""end_span"": 204, ""type"": ""Organism""}]"	valid
The expression levels of hilA and invF were previously shown to be affected by both HilC and HilD ( 8, 9, 16) but since hilC levels are unaffected by the mlc mutation ( Figure 2A) we speculated that Mlc was regulating hilA and invF expression indirectly probably by modulating the expression of hilD or the higher regulator of hilD.	hilA,25,29,Protein	invF,34,38,Protein	HilC,84,88,Protein	HilD,93,97,Protein	hilC,120,124,Protein	mlc,154,157,Protein	Mlc,199,202,Protein	hilA,218,222,Protein	invF,227,231,Protein	hilD,295,299,Protein	hilD,327,331,Protein	"[{""token"": ""hilA"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""invF"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""HilC"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""HilD"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""hilC"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 154, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""Mlc"", ""start_span"": 199, ""end_span"": 202, ""type"": ""Protein""}, {""token"": ""hilA"", ""start_span"": 218, ""end_span"": 222, ""type"": ""Protein""}, {""token"": ""invF"", ""start_span"": 227, ""end_span"": 231, ""type"": ""Protein""}, {""token"": ""hilD"", ""start_span"": 295, ""end_span"": 299, ""type"": ""Protein""}, {""token"": ""hilD"", ""start_span"": 327, ""end_span"": 331, ""type"": ""Protein""}]"	valid
Therefore, while rcsC mutations disrupt the RcsF - - > RcsC - - > RcsD - - > RcsB phosphorelay cascade, the phosphorylation of RcsB cannot be fully reversed in the absence of RcsC phosphatase activity, as observed by the reduced flhDC - lacZ expression and motility exhibited by rcsC and rcsD mutants ( Figure 4).	rcsC,17,21,Protein	RcsF,44,48,Protein	RcsC,55,59,Protein	RcsD,66,70,Protein	RcsB,77,81,Protein	RcsB,127,131,Protein	RcsC,175,179,Protein	flhDC,229,234,Protein	lacZ,237,241,Protein	rcsC,279,283,Protein	rcsD,288,292,Protein	"[{""token"": ""rcsC"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Protein""}, {""token"": ""RcsF"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""RcsC"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""RcsD"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""RcsB"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""RcsB"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""RcsC"", ""start_span"": 175, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""flhDC"", ""start_span"": 229, ""end_span"": 234, ""type"": ""Protein""}, {""token"": ""lacZ"", ""start_span"": 237, ""end_span"": 241, ""type"": ""Protein""}, {""token"": ""rcsC"", ""start_span"": 279, ""end_span"": 283, ""type"": ""Protein""}, {""token"": ""rcsD"", ""start_span"": 288, ""end_span"": 292, ""type"": ""Protein""}]"	test
RopB mutation in this particular strain does not result in the kind of global phenotypic change found with covR / S mutation where differential expression was observed of multiple genes encoding virulence determinants, including sic, ska, slo, speA, speJ, scpC and the hyaluronic acid synthesis operon [ 37] which were all unaffected in the ropB mutant examined in this work.	RopB,0,4,Protein	covR,107,111,Protein	S,114,115,Protein	sic,229,232,Protein	ska,234,237,Protein	slo,239,242,Protein	speA,244,248,Protein	speJ,250,254,Protein	scpC,256,260,Protein	hyaluronic acid synthesis operon,269,301,Regulon	ropB,341,345,Protein	"[{""token"": ""RopB"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""covR"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""S"", ""start_span"": 114, ""end_span"": 115, ""type"": ""Protein""}, {""token"": ""sic"", ""start_span"": 229, ""end_span"": 232, ""type"": ""Protein""}, {""token"": ""ska"", ""start_span"": 234, ""end_span"": 237, ""type"": ""Protein""}, {""token"": ""slo"", ""start_span"": 239, ""end_span"": 242, ""type"": ""Protein""}, {""token"": ""speA"", ""start_span"": 244, ""end_span"": 248, ""type"": ""Protein""}, {""token"": ""speJ"", ""start_span"": 250, ""end_span"": 254, ""type"": ""Protein""}, {""token"": ""scpC"", ""start_span"": 256, ""end_span"": 260, ""type"": ""Protein""}, {""token"": ""hyaluronic acid synthesis operon"", ""start_span"": 269, ""end_span"": 301, ""type"": ""Regulon""}, {""token"": ""ropB"", ""start_span"": 341, ""end_span"": 345, ""type"": ""Protein""}]"	test
