Sentence	entity_1	entity_2	entity_3	entity_4	json	split
To determine if SpeH plays a direct role in the adherence process, we created a deletion mutant in strain SF370 ( SF370DeltaspeH), which was confirmed by PCR ( unpublished data) and RT - PCR ( Figure 1A) and tested in vitro for adherence to human pharyngeal cells.	SpeH,16,20,Protein	SF370,106,111,Organism	SF370DeltaspeH,114,128,Protein	human,241,246,Organism	"[{""token"": ""SpeH"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""SF370"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Organism""}, {""token"": ""SF370DeltaspeH"", ""start_span"": 114, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""human"", ""start_span"": 241, ""end_span"": 246, ""type"": ""Organism""}]"	train
Only two clusters ( spy0127 - 0130 and spy1701 - 1704) could have been identified without neighbor clustering; however, a number of these genes were initially annotated as hypothetical proteins, so a potential relationship between the gene members may not have been readily apparent.	spy0127,20,27,Protein	0130,30,34,Protein	spy1701,39,46,Protein	1704,49,53,Protein	"[{""token"": ""spy0127"", ""start_span"": 20, ""end_span"": 27, ""type"": ""Protein""}, {""token"": ""0130"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""spy1701"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""1704"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}]"	train
Recently, it was reported that the four genes spanning spy0127 - 0130 encode, and are responsible for, the formation of surface - localized, trypsin - resistant pili that induce protective immunity against a lethal dose of group A streptococci in a mouse model of infection [ 36].	spy0127,55,62,Protein	0130,65,69,Protein	group A streptococci,223,243,Organism	mouse,249,254,Organism	"[{""token"": ""spy0127"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""0130"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""group A streptococci"", ""start_span"": 223, ""end_span"": 243, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 249, ""end_span"": 254, ""type"": ""Organism""}]"	train
We posited that a deletion in the spy0129 sortase gene may have the greatest overall effect on the production and processing of the gene products of this cluster, since both the spy0128 and spy0130 gene products do not localize to the cell - wall surface in the absence of the sortase enzyme [ 36].	spy0129,34,41,Protein	spy0128,178,185,Protein	spy0130,190,197,Protein	sortase,277,284,Protein	"[{""token"": ""spy0129"", ""start_span"": 34, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""spy0128"", ""start_span"": 178, ""end_span"": 185, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 190, ""end_span"": 197, ""type"": ""Protein""}, {""token"": ""sortase"", ""start_span"": 277, ""end_span"": 284, ""type"": ""Protein""}]"	train
In agreement with a previous report ( Nishikawa et al., 2004), rFimR did not bind to the fimA promoter region, suggesting that regulation of fimA expression by FimR is through a different mechanism.	rFimR,63,68,Protein	fimA,89,93,Protein	fimA,141,145,Protein	FimR,160,164,Protein	"[{""token"": ""rFimR"", ""start_span"": 63, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 141, ""end_span"": 145, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Protein""}]"	train
The previous study suggested that regulation of fimA expression by FimR is through a regulation cascade involving interaction of FimR and the promoter region of the first gene in the fimA cluster ( Nishikawa et al., 2004).	fimA,48,52,Protein	FimR,67,71,Protein	FimR,129,133,Protein	fimA,183,187,Protein	"[{""token"": ""fimA"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 183, ""end_span"": 187, ""type"": ""Protein""}]"	train
Here it is demonstrated that FimR binds directly to the promoter region of the mfa1 gene, suggesting a direct role of FimR in activation of mfa1 expression.	FimR,29,33,Protein	mfa1,79,83,Protein	FimR,118,122,Protein	mfa1,140,144,Protein	"[{""token"": ""FimR"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 118, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Protein""}]"	train
Moreover, FimR appears to act on the promoter region identified here, suggesting that this promoter may make significant contributions toward mfa1 expression through the FimS / FimR system.	FimR,10,14,Protein	mfa1,142,146,Protein	FimS,170,174,Protein	FimR,177,181,Protein	"[{""token"": ""FimR"", ""start_span"": 10, ""end_span"": 14, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Protein""}, {""token"": ""FimS"", ""start_span"": 170, ""end_span"": 174, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 177, ""end_span"": 181, ""type"": ""Protein""}]"	train
Expression of major fimbriae ( FimA) is extremely low in the fimR mutant, and minor fimbriae production in this mutant is inhibited by least 50%.	major fimbriae,14,28,Protein	FimA,31,35,Protein	fimR,61,65,Protein	minor fimbriae,78,92,Protein	"[{""token"": ""major fimbriae"", ""start_span"": 14, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""FimA"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Protein""}, {""token"": ""minor fimbriae"", ""start_span"": 78, ""end_span"": 92, ""type"": ""Protein""}]"	train
Two of the most widely used attenuated strains in the history of tuberculosis research are Mycobacterium bovis BCG ( BCG) and Mycobacterium tuberculosis H37Ra ( H37Ra), which both lost their virulence during in vitro serial passage.	Mycobacterium bovis BCG,91,114,Organism	BCG,117,120,Organism	Mycobacterium tuberculosis H37Ra,126,158,Organism	H37Ra,161,166,Organism	"[{""token"": ""Mycobacterium bovis BCG"", ""start_span"": 91, ""end_span"": 114, ""type"": ""Organism""}, {""token"": ""BCG"", ""start_span"": 117, ""end_span"": 120, ""type"": ""Organism""}, {""token"": ""Mycobacterium tuberculosis H37Ra"", ""start_span"": 126, ""end_span"": 158, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 161, ""end_span"": 166, ""type"": ""Organism""}]"	train
