Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	json	split
Only four ( 16%) of 25 Type I clusters ( spy0080 - 0081, spy1236 - 1237, spy1707 - 1711, spy2041 - 2042) could have been identified in entirety by significance analysis because all clustered genes exhibited significant differential expression ( PF value < 0. 05).	spy0080,41,48,Protein	0081,51,55,Protein	spy1236,57,64,Protein	1237,67,71,Protein	spy1707,73,80,Protein	1711,83,87,Protein	spy2041,89,96,Protein	2042,99,103,Protein	"[{""token"": ""spy0080"", ""start_span"": 41, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""0081"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""spy1236"", ""start_span"": 57, ""end_span"": 64, ""type"": ""Protein""}, {""token"": ""1237"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""spy1707"", ""start_span"": 73, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""1711"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""spy2041"", ""start_span"": 89, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""2042"", ""start_span"": 99, ""end_span"": 103, ""type"": ""Protein""}]"	train
The genes spy1724, spy1722, spy1721, and spy1719 share transcriptional order and predicted function with homologs in the nusA - infB protein biosynthesis operon of Bacillus subtilis and Escherichia coli [ 51].	spy1724,10,17,Protein	spy1722,19,26,Protein	spy1721,28,35,Protein	spy1719,41,48,Protein	nusA,121,125,Protein	infB,128,132,Protein	Bacillus subtilis,164,181,Organism	Escherichia coli,186,202,Organism	"[{""token"": ""spy1724"", ""start_span"": 10, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""spy1722"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""spy1721"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""spy1719"", ""start_span"": 41, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""nusA"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""infB"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Protein""}, {""token"": ""Bacillus subtilis"", ""start_span"": 164, ""end_span"": 181, ""type"": ""Organism""}, {""token"": ""Escherichia coli"", ""start_span"": 186, ""end_span"": 202, ""type"": ""Organism""}]"	train
Together, our findings correlate perfectly with the in vivo data described above and suggest that the lack of ESAT - 6 specific T cell recognition for H37Ra, H37Ra:: fadE5, H37Ra:: rpsL, and SO2 is not caused by a loss of ESAT - 6 expression, but rather due to a failure of ( phoP dependent) ESAT - 6 secretion.	ESAT - 6,110,118,Protein	H37Ra,151,156,Organism	fadE5,166,171,Protein	rpsL,181,185,Protein	SO2,191,194,Organism	ESAT - 6,222,230,Protein	phoP,276,280,Protein	ESAT - 6,292,300,Protein	"[{""token"": ""ESAT - 6"", ""start_span"": 110, ""end_span"": 118, ""type"": ""Protein""}, {""token"": ""H37Ra"", ""start_span"": 151, ""end_span"": 156, ""type"": ""Organism""}, {""token"": ""fadE5"", ""start_span"": 166, ""end_span"": 171, ""type"": ""Protein""}, {""token"": ""rpsL"", ""start_span"": 181, ""end_span"": 185, ""type"": ""Protein""}, {""token"": ""SO2"", ""start_span"": 191, ""end_span"": 194, ""type"": ""Organism""}, {""token"": ""ESAT - 6"", ""start_span"": 222, ""end_span"": 230, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 276, ""end_span"": 280, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 292, ""end_span"": 300, ""type"": ""Protein""}]"	train
As closer inspection of the available literature on transcriptional analyses of a H37Rv - phoP ko strain [ 21] and H37Ra [ 12] suggested that the expression of gene cluster rv3612c - rv3616c is reduced in both strains, we evaluated the expression level of rv3614c in H37Rv, H37Ra, and H37Ra:: phoP by quantitative real time PCR ( qRT - PCR).	phoP,90,94,Protein	H37Ra,115,120,Organism	rv3612c,173,180,Protein	rv3616c,183,190,Protein	rv3614c,256,263,Protein	H37Rv,267,272,Organism	H37Ra,274,279,Organism	phoP,293,297,Protein	"[{""token"": ""phoP"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""H37Ra"", ""start_span"": 115, ""end_span"": 120, ""type"": ""Organism""}, {""token"": ""rv3612c"", ""start_span"": 173, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 183, ""end_span"": 190, ""type"": ""Protein""}, {""token"": ""rv3614c"", ""start_span"": 256, ""end_span"": 263, ""type"": ""Protein""}, {""token"": ""H37Rv"", ""start_span"": 267, ""end_span"": 272, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 274, ""end_span"": 279, ""type"": ""Organism""}, {""token"": ""phoP"", ""start_span"": 293, ""end_span"": 297, ""type"": ""Protein""}]"	train
We confirmed the trend that rv3614c was expressed much lower in H37Ra compared to H37Rv by qRT - PCR ( Figure 6), whereas expression of rv3614c in H37Ra:: phoP was restored to wild - type levels, suggesting that the rv3612c - rv3616c gene cluster is regulated by PhoP.	rv3614c,28,35,Protein	H37Ra,64,69,Organism	H37Rv,82,87,Organism	rv3614c,136,143,Protein	phoP,155,159,Protein	rv3612c,216,223,Protein	rv3616c,226,233,Protein	PhoP,263,267,Protein	"[{""token"": ""rv3614c"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""H37Ra"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 82, ""end_span"": 87, ""type"": ""Organism""}, {""token"": ""rv3614c"", ""start_span"": 136, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Protein""}, {""token"": ""rv3612c"", ""start_span"": 216, ""end_span"": 223, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 226, ""end_span"": 233, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 263, ""end_span"": 267, ""type"": ""Protein""}]"	train
In addition, NirA ( Rv2391), a putative nitrite reductase and MmpL10 - FadD21 ( Rv1183 - 85c), which were all identified by TraSH analysis as potentially implicated in virulence [ 16], seem to be regulated by PhoP [ 12, 21].	NirA,13,17,Protein	Rv2391,20,26,Protein	nitrite,40,47,Chemical	MmpL10,62,68,Protein	FadD21,71,77,Protein	Rv1183,80,86,Protein	85c,89,92,Protein	PhoP,209,213,Protein	"[{""token"": ""NirA"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""Rv2391"", ""start_span"": 20, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""nitrite"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Chemical""}, {""token"": ""MmpL10"", ""start_span"": 62, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""FadD21"", ""start_span"": 71, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""Rv1183"", ""start_span"": 80, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""85c"", ""start_span"": 89, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 209, ""end_span"": 213, ""type"": ""Protein""}]"	train
Altogether, from these reports it seems plausible that the pleiotropic regulator PhoP is involved in the regulation of rv3612c - rv3616c expression and thereby influences ESAT - 6 secretion and virulence [ 16], but to unambiguously answer this question, virulence tests with recombinant H37Ra and / or phoP ko strains that express rv3616c - 3612c under a constitutive promoter or a tetracycline inducable expression system [ 39] will be needed.	PhoP,81,85,Protein	rv3612c,119,126,Protein	rv3616c,129,136,Protein	ESAT - 6,171,179,Protein	H37Ra,287,292,Organism	phoP,302,306,Protein	rv3616c,331,338,Protein	3612c,341,346,Protein	"[{""token"": ""PhoP"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""rv3612c"", ""start_span"": 119, ""end_span"": 126, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 129, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 171, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""H37Ra"", ""start_span"": 287, ""end_span"": 292, ""type"": ""Organism""}, {""token"": ""phoP"", ""start_span"": 302, ""end_span"": 306, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 331, ""end_span"": 338, ""type"": ""Protein""}, {""token"": ""3612c"", ""start_span"": 341, ""end_span"": 346, ""type"": ""Protein""}]"	train
In the genome of Y. enterocolitica, only three complete TPS systems are present, namely YE0479 / YE0480, YE2407 / YE2408, ( YE4084) YE4085 / YE4086, and YE3454 which lacks the activator partner.	YE0479,88,94,Protein	YE0480,97,103,Protein	YE2407,105,111,Protein	YE2408,114,120,Protein	YE4084,124,130,Protein	YE4085,132,138,Protein	YE4086,141,147,Protein	YE3454,153,159,Protein	"[{""token"": ""YE0479"", ""start_span"": 88, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""YE0480"", ""start_span"": 97, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""YE2407"", ""start_span"": 105, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""YE2408"", ""start_span"": 114, ""end_span"": 120, ""type"": ""Protein""}, {""token"": ""YE4084"", ""start_span"": 124, ""end_span"": 130, ""type"": ""Protein""}, {""token"": ""YE4085"", ""start_span"": 132, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""YE4086"", ""start_span"": 141, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""YE3454"", ""start_span"": 153, ""end_span"": 159, ""type"": ""Protein""}]"	train
The most prominent protein of Y. enterocolitica involved in attachment to and invasion of mammalian cells is Ail ( YE1820) that is homologue to three P. luminescens proteins encoded by plu2481, plu2480, and plu1967, and InvA ( YE2564) with high similarity to Plu2057.	Ail,109,112,Protein	YE1820,115,121,Protein	plu2481,185,192,Protein	plu2480,194,201,Protein	plu1967,207,214,Protein	InvA,220,224,Protein	YE2564,227,233,Protein	Plu2057,259,266,Protein	"[{""token"": ""Ail"", ""start_span"": 109, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""YE1820"", ""start_span"": 115, ""end_span"": 121, ""type"": ""Protein""}, {""token"": ""plu2481"", ""start_span"": 185, ""end_span"": 192, ""type"": ""Protein""}, {""token"": ""plu2480"", ""start_span"": 194, ""end_span"": 201, ""type"": ""Protein""}, {""token"": ""plu1967"", ""start_span"": 207, ""end_span"": 214, ""type"": ""Protein""}, {""token"": ""InvA"", ""start_span"": 220, ""end_span"": 224, ""type"": ""Protein""}, {""token"": ""YE2564"", ""start_span"": 227, ""end_span"": 233, ""type"": ""Protein""}, {""token"": ""Plu2057"", ""start_span"": 259, ""end_span"": 266, ""type"": ""Protein""}]"	train
Remarkable exceptions are the toxin / antitoxin system ccdA / ccdB, the tolQRAB / pal operon involved in group A colicin translocation, and a colicin production and secretion system ( Plu3168 / Plu3869; YE0791 / YE1314).	ccdA,55,59,Protein	ccdB,62,66,Protein	tolQRAB,72,79,Protein	pal,82,85,Protein	Plu3168,184,191,Protein	Plu3869,194,201,Protein	YE0791,203,209,Protein	YE1314,212,218,Protein	"[{""token"": ""ccdA"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""ccdB"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""tolQRAB"", ""start_span"": 72, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""pal"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""Plu3168"", ""start_span"": 184, ""end_span"": 191, ""type"": ""Protein""}, {""token"": ""Plu3869"", ""start_span"": 194, ""end_span"": 201, ""type"": ""Protein""}, {""token"": ""YE0791"", ""start_span"": 203, ""end_span"": 209, ""type"": ""Protein""}, {""token"": ""YE1314"", ""start_span"": 212, ""end_span"": 218, ""type"": ""Protein""}]"	train
