Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	json	split
The algorithm also identified other neighbor clusters containing genes known to be functionally related, including spy0098 - 0100 ( encoding the beta and beta ' subunits of DNA - dependent RNA polymerase), spy2159 - 2160 ( encoding the 50S ribosomal subunit proteins L32 and L33), and spy0741 - 0746 ( six of the nine streptolysin S - encoding genes) [ 14].	spy0098,115,122,Protein	0100,125,129,Protein	spy2159,206,213,Protein	2160,216,220,Protein	L32,267,270,Protein	L33,275,278,Protein	spy0741,285,292,Protein	0746,295,299,Protein	streptolysin S,318,332,Protein	"[{""token"": ""spy0098"", ""start_span"": 115, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""0100"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""spy2159"", ""start_span"": 206, ""end_span"": 213, ""type"": ""Protein""}, {""token"": ""2160"", ""start_span"": 216, ""end_span"": 220, ""type"": ""Protein""}, {""token"": ""L32"", ""start_span"": 267, ""end_span"": 270, ""type"": ""Protein""}, {""token"": ""L33"", ""start_span"": 275, ""end_span"": 278, ""type"": ""Protein""}, {""token"": ""spy0741"", ""start_span"": 285, ""end_span"": 292, ""type"": ""Protein""}, {""token"": ""0746"", ""start_span"": 295, ""end_span"": 299, ""type"": ""Protein""}, {""token"": ""streptolysin S"", ""start_span"": 318, ""end_span"": 332, ""type"": ""Protein""}]"	train
As shown in Figure 3, splenocytes from mice that were inoculated with H37Rv produced high amounts of IFN - gamma upon stimulation with ESAT - 6 or CFP - 10, whereas the responses of H37Ra, H37Ra:: fadE5, and H37Ra:: rpsL infected mice were extremely weak.	mice,39,43,Organism	H37Rv,70,75,Organism	IFN - gamma,101,112,Protein	ESAT - 6,135,143,Protein	CFP - 10,147,155,Protein	H37Ra,182,187,Organism	fadE5,197,202,Protein	rpsL,216,220,Protein	mice,230,234,Organism	"[{""token"": ""mice"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 70, ""end_span"": 75, ""type"": ""Organism""}, {""token"": ""IFN - gamma"", ""start_span"": 101, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 135, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""CFP - 10"", ""start_span"": 147, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""H37Ra"", ""start_span"": 182, ""end_span"": 187, ""type"": ""Organism""}, {""token"": ""fadE5"", ""start_span"": 197, ""end_span"": 202, ""type"": ""Protein""}, {""token"": ""rpsL"", ""start_span"": 216, ""end_span"": 220, ""type"": ""Protein""}, {""token"": ""mice"", ""start_span"": 230, ""end_span"": 234, ""type"": ""Organism""}]"	train
LuxR - like receptors in Y. enterocolitica with a yet unidentified signalling binding - site are YE2705 and YE3014, both of which are also present in Y. pestis ( YPO2955 and YPO2593) and in S. glossinidius ( SGP1 _ 007, SG1174, SG1480, and SG1698), but not in P. luminescens ( Fig. 3).	LuxR,0,4,Protein	YE2705,97,103,Protein	YE3014,108,114,Protein	YPO2955,162,169,Protein	YPO2593,174,181,Protein	SGP1 _ 007,208,218,Protein	SG1174,220,226,Protein	SG1480,228,234,Protein	SG1698,240,246,Protein	"[{""token"": ""LuxR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""YE2705"", ""start_span"": 97, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""YE3014"", ""start_span"": 108, ""end_span"": 114, ""type"": ""Protein""}, {""token"": ""YPO2955"", ""start_span"": 162, ""end_span"": 169, ""type"": ""Protein""}, {""token"": ""YPO2593"", ""start_span"": 174, ""end_span"": 181, ""type"": ""Protein""}, {""token"": ""SGP1 _ 007"", ""start_span"": 208, ""end_span"": 218, ""type"": ""Protein""}, {""token"": ""SG1174"", ""start_span"": 220, ""end_span"": 226, ""type"": ""Protein""}, {""token"": ""SG1480"", ""start_span"": 228, ""end_span"": 234, ""type"": ""Protein""}, {""token"": ""SG1698"", ""start_span"": 240, ""end_span"": 246, ""type"": ""Protein""}]"	train
In contrast, P. luminescens produces several factors involved in host cell interaction without homologues in Y. enterocolitica, namely Plu2096 which is similar to lectin PA - I, Plu1561 with strong homology to a Ca2 + dependent adhesion molecule, the adhesin Plu2433 similar to a virulence factor of the Gram - negative plant pathogen Erwinia carotovora, EvF, which is involved in colonisation of the D. melanogaster gut epithelium [ 80], and the putative invasin Plu2064.	Plu2096,135,142,Protein	lectin,163,169,Protein	PA - I,170,176,Protein	Plu1561,178,185,Protein	Ca2 +,212,217,Chemical	Plu2433,259,266,Protein	Erwinia carotovora,335,353,Organism	EvF,355,358,Protein	Plu2064,464,471,Protein	"[{""token"": ""Plu2096"", ""start_span"": 135, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""lectin"", ""start_span"": 163, ""end_span"": 169, ""type"": ""Protein""}, {""token"": ""PA - I"", ""start_span"": 170, ""end_span"": 176, ""type"": ""Protein""}, {""token"": ""Plu1561"", ""start_span"": 178, ""end_span"": 185, ""type"": ""Protein""}, {""token"": ""Ca2 +"", ""start_span"": 212, ""end_span"": 217, ""type"": ""Chemical""}, {""token"": ""Plu2433"", ""start_span"": 259, ""end_span"": 266, ""type"": ""Protein""}, {""token"": ""Erwinia carotovora"", ""start_span"": 335, ""end_span"": 353, ""type"": ""Organism""}, {""token"": ""EvF"", ""start_span"": 355, ""end_span"": 358, ""type"": ""Protein""}, {""token"": ""Plu2064"", ""start_span"": 464, ""end_span"": 471, ""type"": ""Protein""}]"	train
Further metabolic genes common to both pathogens are dctA responsible for transport of C4 - dicarboxylates across the membrane, the UhpABC regulatory system controlling the hexose phosphate transport by UhpT, and the three Mg2 + transport systems CorA, MgtA and MgtB.	dctA,53,57,Protein	C4 - dicarboxylates,87,106,Chemical	UhpABC,132,138,Protein	hexose phosphate,173,189,Chemical	UhpT,203,207,Protein	Mg2 +,223,228,Chemical	CorA,247,251,Protein	MgtA,253,257,Protein	MgtB,262,266,Protein	"[{""token"": ""dctA"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""C4 - dicarboxylates"", ""start_span"": 87, ""end_span"": 106, ""type"": ""Chemical""}, {""token"": ""UhpABC"", ""start_span"": 132, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""hexose phosphate"", ""start_span"": 173, ""end_span"": 189, ""type"": ""Chemical""}, {""token"": ""UhpT"", ""start_span"": 203, ""end_span"": 207, ""type"": ""Protein""}, {""token"": ""Mg2 +"", ""start_span"": 223, ""end_span"": 228, ""type"": ""Chemical""}, {""token"": ""CorA"", ""start_span"": 247, ""end_span"": 251, ""type"": ""Protein""}, {""token"": ""MgtA"", ""start_span"": 253, ""end_span"": 257, ""type"": ""Protein""}, {""token"": ""MgtB"", ""start_span"": 262, ""end_span"": 266, ""type"": ""Protein""}]"	train
Some of the 14 regulators in this study have been previously shown to directly regulate ssrA / ssrB; OmpR binding to PssrA / ssrB [ 60], [ 61]; SlyA binding to PssrA [ 62]; PhoP binding to PssrB [ 45].	ssrA,88,92,Protein	ssrB,95,99,Protein	OmpR,101,105,Protein	PssrA,117,122,Protein	ssrB,125,129,Protein	SlyA,144,148,Protein	PssrA,160,165,Protein	PhoP,173,177,Protein	PssrB,189,194,Protein	"[{""token"": ""ssrA"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""ssrB"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""OmpR"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""PssrA"", ""start_span"": 117, ""end_span"": 122, ""type"": ""Protein""}, {""token"": ""ssrB"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Protein""}, {""token"": ""SlyA"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""PssrA"", ""start_span"": 160, ""end_span"": 165, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 173, ""end_span"": 177, ""type"": ""Protein""}, {""token"": ""PssrB"", ""start_span"": 189, ""end_span"": 194, ""type"": ""Protein""}]"	train
Furthermore, we report the identification of three novel two - component regulatory systems named BfiRS ( PA4196 - 4197), BfmRS ( PA4101 - 4102), and MifRS ( PA5511 - 5512) that coordinate phosphorylation events required for the progression of P. aeruginosa biofilm development in a stage - specific manner.	BfiRS,98,103,Protein	PA4196,106,112,Protein	4197,115,119,Protein	BfmRS,122,127,Protein	PA4101,130,136,Protein	4102,139,143,Protein	MifRS,150,155,Protein	PA5511,158,164,Protein	5512,167,171,Protein	"[{""token"": ""BfiRS"", ""start_span"": 98, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""PA4196"", ""start_span"": 106, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""4197"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Protein""}, {""token"": ""BfmRS"", ""start_span"": 122, ""end_span"": 127, ""type"": ""Protein""}, {""token"": ""PA4101"", ""start_span"": 130, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""4102"", ""start_span"": 139, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""MifRS"", ""start_span"": 150, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""PA5511"", ""start_span"": 158, ""end_span"": 164, ""type"": ""Protein""}, {""token"": ""5512"", ""start_span"": 167, ""end_span"": 171, ""type"": ""Protein""}]"	train
The cognate response regulator BfiR ( PA4196) harbors a CheY - like signal receiver domain and a LuxR - like DNA binding domain, which is also present in the quorum - sensing regulatory proteins LasR, RhlR, and QscR and in response regulators with established roles in biofilm formation ( GacA, RocA1 / SadA) [ 53].	BfiR,31,35,Protein	PA4196,38,44,Protein	LuxR,97,101,Protein	LasR,195,199,Protein	RhlR,201,205,Protein	QscR,211,215,Protein	GacA,289,293,Protein	RocA1,295,300,Protein	SadA,303,307,Protein	"[{""token"": ""BfiR"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""PA4196"", ""start_span"": 38, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""LuxR"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""LasR"", ""start_span"": 195, ""end_span"": 199, ""type"": ""Protein""}, {""token"": ""RhlR"", ""start_span"": 201, ""end_span"": 205, ""type"": ""Protein""}, {""token"": ""QscR"", ""start_span"": 211, ""end_span"": 215, ""type"": ""Protein""}, {""token"": ""GacA"", ""start_span"": 289, ""end_span"": 293, ""type"": ""Protein""}, {""token"": ""RocA1"", ""start_span"": 295, ""end_span"": 300, ""type"": ""Protein""}, {""token"": ""SadA"", ""start_span"": 303, ""end_span"": 307, ""type"": ""Protein""}]"	train
The gabD gene functions to produce succinate from both GABA and hydroxyphenylacetate ( HPA), an aromatic degradation product of Tyr and Phe; and the HPA transport ( hpaX) and catabolism ( hpaCBIFHDE) genes of Y. pestis were also highly upregulated in the flea gut ( Table S1, Fig. 2).	gabD,4,8,Protein	succinate,35,44,Chemical	GABA,55,59,Chemical	hydroxyphenylacetate,64,84,Chemical	HPA,87,90,Chemical	HPA transport,149,162,Protein	hpaX,165,169,Protein	hpaCBIFHDE,188,198,Protein	flea,255,259,Organism	"[{""token"": ""gabD"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""succinate"", ""start_span"": 35, ""end_span"": 44, ""type"": ""Chemical""}, {""token"": ""GABA"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Chemical""}, {""token"": ""hydroxyphenylacetate"", ""start_span"": 64, ""end_span"": 84, ""type"": ""Chemical""}, {""token"": ""HPA"", ""start_span"": 87, ""end_span"": 90, ""type"": ""Chemical""}, {""token"": ""HPA transport"", ""start_span"": 149, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""hpaX"", ""start_span"": 165, ""end_span"": 169, ""type"": ""Protein""}, {""token"": ""hpaCBIFHDE"", ""start_span"": 188, ""end_span"": 198, ""type"": ""Protein""}, {""token"": ""flea"", ""start_span"": 255, ""end_span"": 259, ""type"": ""Organism""}]"	train
While both proteins cleaved human IgG efficiently, only a small fraction of horse IgG was cleaved by either protein ( Fig. 4B), suggesting that SeMac or GAS Mac cannot digest all subgroups of horse IgG.	human,28,33,Organism	IgG,34,37,Protein	horse,76,81,Organism	IgG,82,85,Protein	SeMac,144,149,Protein	GAS,153,156,Organism	Mac,157,160,Protein	horse,192,197,Organism	IgG,198,201,Protein	"[{""token"": ""human"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Organism""}, {""token"": ""IgG"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""horse"", ""start_span"": 76, ""end_span"": 81, ""type"": ""Organism""}, {""token"": ""IgG"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""SeMac"", ""start_span"": 144, ""end_span"": 149, ""type"": ""Protein""}, {""token"": ""GAS"", ""start_span"": 153, ""end_span"": 156, ""type"": ""Organism""}, {""token"": ""Mac"", ""start_span"": 157, ""end_span"": 160, ""type"": ""Protein""}, {""token"": ""horse"", ""start_span"": 192, ""end_span"": 197, ""type"": ""Organism""}, {""token"": ""IgG"", ""start_span"": 198, ""end_span"": 201, ""type"": ""Protein""}]"	train
