We used oligonucleotide microarrays to monitor ( in vitro) differential gene expression in group A streptococci during pharyngeal cell adherence, the first overt infection stage.	"group A streptococci	91	111	Organism"	"[{""token"": ""group A streptococci"", ""start_span"": 91, ""end_span"": 111, ""type"": ""Organism""}]"
Neighbor clustering provides a more comprehensive view of the molecular responses of streptococci during pharyngeal cell adherence.	"streptococci	85	97	Organism"	"[{""token"": ""streptococci"", ""start_span"": 85, ""end_span"": 97, ""type"": ""Organism""}]"
The ability of all bacterial pathogens to infect the human host depends upon coordinated regulation of diverse gene sets that are required for survival in host environments.	"human	53	58	Organism"	"[{""token"": ""human"", ""start_span"": 53, ""end_span"": 58, ""type"": ""Organism""}]"
Although recent microarray studies have highlighted the molecular responses of streptococci in relevant host conditions [ 8 - 10], characterizing differentially expressed loci during pharyngeal cell adherence is critical for understanding the molecular basis for host colonization.	"streptococci	79	91	Organism"	"[{""token"": ""streptococci"", ""start_span"": 79, ""end_span"": 91, ""type"": ""Organism""}]"
Although the mechanisms mediating these responses are not known, the results of these studies indicate that streptococci sense and, on a transcriptional level, respond to various signals and cues in the pharyngeal cell environment.	"streptococci	108	120	Organism"	"[{""token"": ""streptococci"", ""start_span"": 108, ""end_span"": 120, ""type"": ""Organism""}]"
Streptococci elaborate several factors implicated in infection, including surface - exposed adhesins and secreted toxigenic proteins ( reviewed in [ 7, 14, 24]).	"Streptococci	0	12	Organism"	"[{""token"": ""Streptococci"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Organism""}]"
The resulting cellular damage, particularly to polymorphonuclear leukocytes [ 26], decreases internalization and subsequent intracellular killing of streptococci [ 27].	"streptococci	149	161	Organism"	"[{""token"": ""streptococci"", ""start_span"": 149, ""end_span"": 161, ""type"": ""Organism""}]"
However, once adhered, our data suggest that streptococci downregulate production of this cytotoxin, presumably to prevent further host tissue destruction that could interfere with adherence.	"streptococci	45	57	Organism"	"[{""token"": ""streptococci"", ""start_span"": 45, ""end_span"": 57, ""type"": ""Organism""}]"
The protein shares 60% sequence similarity to protein F, suggesting that it may coordinate a similar internalization mechanism or may be involved directly in adherence ( discussed later in detail).	"protein F	46	55	Protein"	"[{""token"": ""protein F"", ""start_span"": 46, ""end_span"": 55, ""type"": ""Protein""}]"
SpeB downregulation also coincides with increased expression of pyrogenic exotoxins [ 33, 37] that reportedly increase streptococcal survival in vivo.	"SpeB	0	4	Protein"	"[{""token"": ""SpeB"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}]"
We observed that the exotoxin - encoding speH gene [ 38] was upregulated.	"speH	41	45	Protein"	"[{""token"": ""speH"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Protein""}]"
Taken together, our results agree with previous reports on SpeB production during host cell interactions, suggesting that decreased expression may promote streptococcal adherence ( by preventing proteolytic degradation of key virulence factors or adhesins), enhance internalization ( perhaps through a fibronectin - mediated pathway), and increase survival ( through increased pyrogenic exotoxin production, discussed below).	"SpeB	59	63	Protein"	"[{""token"": ""SpeB"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}]"
SF370 contains one inducible prophage ( 370. 1) and three defective prophages ( 370. 2, 370. 3, and 370. 4) that produce no infectious phage [ 39].	"SF370	0	5	Organism"	"[{""token"": ""SF370"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Organism""}]"
The speH gene encodes a mitogenic exotoxin [ 38] reportedly induced during polymorphonuclear leukocyte phagocytosis [ 8] but not implicated previously in adherence.	"speH	4	8	Protein"	"[{""token"": ""speH"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}]"
Allelic Replacement of speH	"speH	23	27	Protein"	"[{""token"": ""speH"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Protein""}]"
