We undertook the present study to understand and to assess more accurately the genome - wide transcriptional responses of streptococci during one of the earliest recognized stages of infection, namely adherence to human pharyngeal cells.	"streptococci	122	134	Organism"	"human	214	219	Organism"	"[{""token"": ""streptococci"", ""start_span"": 122, ""end_span"": 134, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 214, ""end_span"": 219, ""type"": ""Organism""}]"
We verified the differential expression of spy2039 and spy0130 by qRT - PCR.	"spy2039	43	50	Protein"	"spy0130	55	62	Protein"	"[{""token"": ""spy2039"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}]"
Streptolysin O is a cytotoxin that damages human tissue and increases host cell cytotoxicity [ 7, 25].	"Streptolysin O	0	14	Protein"	"human	43	48	Organism"	"[{""token"": ""Streptolysin O"", ""start_span"": 0, ""end_span"": 14, ""type"": ""Protein""}, {""token"": ""human"", ""start_span"": 43, ""end_span"": 48, ""type"": ""Organism""}]"
Based on its downregulation during adherence, we infer that slo was transcribed during pre - adherence associations, perhaps, as previously reported, to protect streptococci from phagocytic killing in vivo [ 27].	"slo	60	63	Protein"	"streptococci	161	173	Organism"	"[{""token"": ""slo"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""streptococci"", ""start_span"": 161, ""end_span"": 173, ""type"": ""Organism""}]"
When SpeB expression is limited, several streptococcal proteins necessary for adherence remain intact [ 24, 32, 33]; thus, decreased SpeB production ( as indicated here) may promote pharyngeal cell attachment.	"SpeB	5	9	Protein"	"SpeB	133	137	Protein"	"[{""token"": ""SpeB"", ""start_span"": 5, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""SpeB"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Protein""}]"
We observed significant upregulation of the gene spy0130, encoding a protein recently found to be associated with the production of surface - exposed pili on strain SF370 [ 36].	"spy0130	49	56	Protein"	"SF370	165	170	Organism"	"[{""token"": ""spy0130"", ""start_span"": 49, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""SF370"", ""start_span"": 165, ""end_span"": 170, ""type"": ""Organism""}]"
The speH gene ( spy1008) was induced, and the remaining genes, hypothetically involved in replication and regulation [ 39], were downregulated.	"speH	4	8	Protein"	"spy1008	16	23	Protein"	"[{""token"": ""speH"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""spy1008"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Protein""}]"
Increased expression of speH during pharyngeal cell adherence suggests that the SpeH exotoxin is either necessary for adherence, or is a component of a downstream infection process.	"speH	24	28	Protein"	"SpeH	80	84	Protein"	"[{""token"": ""speH"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""SpeH"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}]"
We observed no significant difference in adherence between the wild - type ( SF370) and mutant strains ( Figure 1B), indicating that SpeH is not involved directly in attachment to the pharyngeal cell.	"SF370	77	82	Organism"	"SpeH	133	137	Protein"	"[{""token"": ""SF370"", ""start_span"": 77, ""end_span"": 82, ""type"": ""Organism""}, {""token"": ""SpeH"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Protein""}]"
We obtained a similar result for the eight - gene operon encoding the F0F1 - type proton translocating ATPase [ 41] ( spy0754 - 0761).	"spy0754	118	125	Protein"	"0761	128	132	Protein"	"[{""token"": ""spy0754"", ""start_span"": 118, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""0761"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Protein""}]"
