Besides mild acid pH, two other stimuli are known to promote expression of PmrA - activated genes: ( i) submillimolar levels of extracellular Fe3 + or Al3 +, which are directly sensed by the PmrB protein ( Wosten et al., 2000), and ( ii) low concentrations of extracellular Mg2 + ( Soncini and Groisman, 1996) ( Fig. 1).	"PmrA	75	79	Protein"	"Fe3 +	142	147	Chemical"	"Al3 +	151	156	Chemical"	"PmrB	191	195	Protein"	"Mg2 +	274	279	Chemical"	"[{""token"": ""PmrA"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Protein""}, {""token"": ""Fe3 +"", ""start_span"": 142, ""end_span"": 147, ""type"": ""Chemical""}, {""token"": ""Al3 +"", ""start_span"": 151, ""end_span"": 156, ""type"": ""Chemical""}, {""token"": ""PmrB"", ""start_span"": 191, ""end_span"": 195, ""type"": ""Protein""}, {""token"": ""Mg2 +"", ""start_span"": 274, ""end_span"": 279, ""type"": ""Chemical""}]"
This medium lacked Fe3 + or Al3 +, the only known PmrB ligands ( Wosten et al., 2000), and contained 10 mM MgCl2, which represses expression of PmrA - activated genes ( Soncini and Groisman, 1996; Kox et al., 2000).	"Fe3 +	19	24	Chemical"	"Al3 +	28	33	Chemical"	"PmrB	50	54	Protein"	"MgCl2	107	112	Chemical"	"PmrA	144	148	Protein"	"[{""token"": ""Fe3 +"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Chemical""}, {""token"": ""Al3 +"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Chemical""}, {""token"": ""PmrB"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""MgCl2"", ""start_span"": 107, ""end_span"": 112, ""type"": ""Chemical""}, {""token"": ""PmrA"", ""start_span"": 144, ""end_span"": 148, ""type"": ""Protein""}]"
Expression of pbgP was still induced when Salmonella was grown in the Chelex - treated medium ( Fig. 2D) or in media containing the specific Fe3 + chelator deferoxamine mesylate ( data not shown) supporting the notion that mild acid pH is responsible for the observed induction.	"pbgP	14	18	Protein"	"Salmonella	42	52	Organism"	"Chelex	70	76	Chemical"	"Fe3 +	141	146	Chemical"	"deferoxamine mesylate	156	177	Chemical"	"[{""token"": ""pbgP"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""Salmonella"", ""start_span"": 42, ""end_span"": 52, ""type"": ""Organism""}, {""token"": ""Chelex"", ""start_span"": 70, ""end_span"": 76, ""type"": ""Chemical""}, {""token"": ""Fe3 +"", ""start_span"": 141, ""end_span"": 146, ""type"": ""Chemical""}, {""token"": ""deferoxamine mesylate"", ""start_span"": 156, ""end_span"": 177, ""type"": ""Chemical""}]"
We investigated whether PmrB was also required for the pH - dependent induction of pbgP, which was chosen as a prototypical PmrA - activated gene because the PmrA protein binds to the pbgP promoter in vitro ( Wosten and Groisman, 1999) and in vivo ( Shin and Groisman, 2005).	"PmrB	24	28	Protein"	"pbgP	83	87	Protein"	"PmrA	124	128	Protein"	"PmrA	158	162	Protein"	"pbgP	184	188	Protein"	"[{""token"": ""PmrB"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""pbgP"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""pbgP"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Protein""}]"
Thus, we determined the beta - galactosidase activity of isogenic pmrB strains harbouring a chromosomal pbgP - lac transcriptional fusion: expression was approximately sixfold lower in a pmrB mutant than in the pmrB + strain following growth at pH 5. 8 ( Fig. 3), indicating that a functional pmrB gene is necessary for a normal response to mild acid pH.	"pmrB	66	70	Protein"	"pbgP	104	108	Protein"	"pmrB	187	191	Protein"	"pmrB	211	215	Protein"	"pmrB	293	297	Protein"	"[{""token"": ""pmrB"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""pbgP"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Protein""}, {""token"": ""pmrB"", ""start_span"": 187, ""end_span"": 191, ""type"": ""Protein""}, {""token"": ""pmrB"", ""start_span"": 211, ""end_span"": 215, ""type"": ""Protein""}, {""token"": ""pmrB"", ""start_span"": 293, ""end_span"": 297, ""type"": ""Protein""}]"
Consistent with this notion, pbgP transcription was abrogated in the pmrB mutant upon deletion of the pta and ackA genes ( Fig. 3), which encode the two enzymes that are required for the production of acetyl phosphate ( Wolfe, 2005) ( Fig. 1).	"pbgP	29	33	Protein"	"pmrB	69	73	Protein"	"pta	102	105	Protein"	"ackA	110	114	Protein"	"acetyl phosphate	201	217	Chemical"	"[{""token"": ""pbgP"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""pmrB"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Protein""}, {""token"": ""pta"", ""start_span"": 102, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""ackA"", ""start_span"": 110, ""end_span"": 114, ""type"": ""Protein""}, {""token"": ""acetyl phosphate"", ""start_span"": 201, ""end_span"": 217, ""type"": ""Chemical""}]"
In contrast, a strain lacking the ability to synthesize acetyl phosphate but with a functional pmrB gene exhibited wild - type pbgP expression levels ( Fig. 3), implying that under normal conditions ( i. e. when a functional pmrB gene is present) acetyl phosphate does not contribute to PmrA phosphorylation.	"acetyl phosphate	56	72	Chemical"	"pmrB	95	99	Protein"	"pbgP	127	131	Protein"	"pmrB	225	229	Protein"	"PmrA	287	291	Protein"	"[{""token"": ""acetyl phosphate"", ""start_span"": 56, ""end_span"": 72, ""type"": ""Chemical""}, {""token"": ""pmrB"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""pbgP"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""pmrB"", ""start_span"": 225, ""end_span"": 229, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 287, ""end_span"": 291, ""type"": ""Protein""}]"
This could be because PmrB is directly involved in sensing extracytoplasmic pH in a way analogous to its sensing of Fe3 + and Al3 + ( Wosten et al., 2000), or because PmrB plays an indirect role in its capacity of main ( if not sole) phosphodonor for PmrA.	"PmrB	22	26	Protein"	"Fe3 +	116	121	Chemical"	"Al3 +	126	131	Chemical"	"PmrB	167	171	Protein"	"PmrA	251	255	Protein"	"[{""token"": ""PmrB"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""Fe3 +"", ""start_span"": 116, ""end_span"": 121, ""type"": ""Chemical""}, {""token"": ""Al3 +"", ""start_span"": 126, ""end_span"": 131, ""type"": ""Chemical""}, {""token"": ""PmrB"", ""start_span"": 167, ""end_span"": 171, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 251, ""end_span"": 255, ""type"": ""Protein""}]"
To examine this hypothesis, we tested a Salmonella strain with a chromosomal pbgP - lac fusion, deleted for the chromosomal copy of the pmrB gene and harbouring a plasmid expressing a PmrB protein lacking its periplasmic domain for its ability to promote pbgP expression in response to different signals.	"Salmonella	40	50	Organism"	"pbgP	77	81	Protein"	"pmrB	136	140	Protein"	"PmrB	184	188	Protein"	"pbgP	255	259	Protein"	"[{""token"": ""Salmonella"", ""start_span"": 40, ""end_span"": 50, ""type"": ""Organism""}, {""token"": ""pbgP"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""pmrB"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""PmrB"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Protein""}, {""token"": ""pbgP"", ""start_span"": 255, ""end_span"": 259, ""type"": ""Protein""}]"
Strains expressing the mutant PmrB proteins could express pbgP normally in response to the low Mg2 + signal ( Fig. 6C) ( Wosten et al., 2000), indicating that mutations in residues of the periplasmic domain of PmrB do not impair the enzymatic activity of the cytoplasmic domain of the PmrB protein.	"PmrB	30	34	Protein"	"pbgP	58	62	Protein"	"Mg2 +	95	100	Chemical"	"PmrB	210	214	Protein"	"PmrB	285	289	Protein"	"[{""token"": ""PmrB"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""pbgP"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""Mg2 +"", ""start_span"": 95, ""end_span"": 100, ""type"": ""Chemical""}, {""token"": ""PmrB"", ""start_span"": 210, ""end_span"": 214, ""type"": ""Protein""}, {""token"": ""PmrB"", ""start_span"": 285, ""end_span"": 289, ""type"": ""Protein""}]"
