Here we report that this activation requires both PmrA ' s cognate sensor kinase PmrB, which had been previously shown to respond to Fe3 + and Al3 +, and PmrA ' s post - translational activator PmrD.	"PmrA	50	54	Protein"	"PmrB	81	85	Protein"	"Fe3 +	133	138	Chemical"	"Al3 +	143	148	Chemical"	"PmrA	154	158	Protein"	"PmrD	194	198	Protein"	"[{""token"": ""PmrA"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""PmrB"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""Fe3 +"", ""start_span"": 133, ""end_span"": 138, ""type"": ""Chemical""}, {""token"": ""Al3 +"", ""start_span"": 143, ""end_span"": 148, ""type"": ""Chemical""}, {""token"": ""PmrA"", ""start_span"": 154, ""end_span"": 158, ""type"": ""Protein""}, {""token"": ""PmrD"", ""start_span"": 194, ""end_span"": 198, ""type"": ""Protein""}]"
We determined that Chelex 100 was effective at chelating iron because expression of the pmrA - independent iron - repressed iroA gene ( Hall and Foster, 1996) was induced to higher levels in cultures treated with Chelex 100 ( Fig. 2D).	"Chelex 100	19	29	Chemical"	"iron	57	61	Chemical"	"pmrA	88	92	Protein"	"iron	107	111	Chemical"	"iroA	124	128	Protein"	"Chelex 100	213	223	Chemical"	"[{""token"": ""Chelex 100"", ""start_span"": 19, ""end_span"": 29, ""type"": ""Chemical""}, {""token"": ""iron"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Chemical""}, {""token"": ""pmrA"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""iron"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Chemical""}, {""token"": ""iroA"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""Chelex 100"", ""start_span"": 213, ""end_span"": 223, ""type"": ""Chemical""}]"
The PmrB protein is necessary for activation of the PmrA protein in low Mg2 + ( Kox et al., 2000; Kato and Groisman, 2004) and in the presence of Fe3 + ( Wosten et al., 2000), consistent with the notion that PmrB is the major phosphodonor for PmrA.	"PmrB	4	8	Protein"	"PmrA	52	56	Protein"	"Mg2 +	72	77	Chemical"	"Fe3 +	146	151	Chemical"	"PmrB	208	212	Protein"	"PmrA	243	247	Protein"	"[{""token"": ""PmrB"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""Mg2 +"", ""start_span"": 72, ""end_span"": 77, ""type"": ""Chemical""}, {""token"": ""Fe3 +"", ""start_span"": 146, ""end_span"": 151, ""type"": ""Chemical""}, {""token"": ""PmrB"", ""start_span"": 208, ""end_span"": 212, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 243, ""end_span"": 247, ""type"": ""Protein""}]"
This acid pH - promoted increase appears to be specific to a subset of PhoP - activated genes ( our unpublished results) that includes pmrD because expression of the PhoP - regulated slyA gene and the PhoP - independent corA gene was not affected by the pH of the medium ( Fig. 4A).	"PhoP	71	75	Protein"	"pmrD	135	139	Protein"	"PhoP	166	170	Protein"	"slyA	183	187	Protein"	"PhoP	201	205	Protein"	"corA	220	224	Protein"	"[{""token"": ""PhoP"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""pmrD"", ""start_span"": 135, ""end_span"": 139, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 166, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""slyA"", ""start_span"": 183, ""end_span"": 187, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 201, ""end_span"": 205, ""type"": ""Protein""}, {""token"": ""corA"", ""start_span"": 220, ""end_span"": 224, ""type"": ""Protein""}]"
On the other hand, although mild acid ( pH 6. 0) per se, i. e. even in the presence of high Mg2 +, promotes LPS modifications ( Gibbons et al., 2005), the low pH signal may also act synergistically with the low Mg2 + signal in vivo because Mg2 + deprivation alone is not sufficient to provide all the LPS modifications seen in Salmonella when present inside macrophages ( Gibbons et al., 2005).	"Mg2 +	92	97	Chemical"	"LPS	108	111	Chemical"	"Mg2 +	211	216	Chemical"	"Mg2 +	240	245	Chemical"	"LPS	301	304	Chemical"	"Salmonella	327	337	Organism"	"[{""token"": ""Mg2 +"", ""start_span"": 92, ""end_span"": 97, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 108, ""end_span"": 111, ""type"": ""Chemical""}, {""token"": ""Mg2 +"", ""start_span"": 211, ""end_span"": 216, ""type"": ""Chemical""}, {""token"": ""Mg2 +"", ""start_span"": 240, ""end_span"": 245, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 301, ""end_span"": 304, ""type"": ""Chemical""}, {""token"": ""Salmonella"", ""start_span"": 327, ""end_span"": 337, ""type"": ""Organism""}]"
The expression of invF leads to the induction of several effector genes encoded both within SPI1 ( sic / sip operon) and outside SPI1 ( sigD / sopB and sopE), with SicA as a co - factor ( 11).	"invF	18	22	Protein"	"sic / sip	99	108	Regulon"	"sigD	136	140	Protein"	"sopB	143	147	Protein"	"sopE	152	156	Protein"	"SicA	164	168	Protein"	"[{""token"": ""invF"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""sic / sip"", ""start_span"": 99, ""end_span"": 108, ""type"": ""Regulon""}, {""token"": ""sigD"", ""start_span"": 136, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""sopB"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""sopE"", ""start_span"": 152, ""end_span"": 156, ""type"": ""Protein""}, {""token"": ""SicA"", ""start_span"": 164, ""end_span"": 168, ""type"": ""Protein""}]"
HilC and HilD, which are members of the AraC / XylS family, have been postulated to act as a derepressor of hilA expression by counteracting the action of negative regulatory elements at the hilA promoter ( 12, 13).	"HilC	0	4	Protein"	"HilD	9	13	Protein"	"AraC	40	44	Protein"	"XylS	47	51	Protein"	"hilA	108	112	Protein"	"hilA	191	195	Protein"	"[{""token"": ""HilC"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""HilD"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""AraC"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Protein""}, {""token"": ""XylS"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""hilA"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""hilA"", ""start_span"": 191, ""end_span"": 195, ""type"": ""Protein""}]"
When these cells were grown in static cultures to exponential phase, SL1344 - pMAB69 expressed 28. 9 + / - 3. 5 Miller units of beta - galactosidase, whereas SR1304 - pMAB69 expressed 49. 5 + / - 5. 3 Miller units of beta - galactosidase; the level of hilE expression in the mlc mutant was almost 1. 8 - fold higher than that in the wild - type strain.	"SL1344 - pMAB69	69	84	Organism"	"beta - galactosidase	128	148	Protein"	"SR1304 - pMAB69	158	173	Organism"	"beta - galactosidase	217	237	Protein"	"hilE	252	256	Protein"	"mlc	275	278	Protein"	"[{""token"": ""SL1344 - pMAB69"", ""start_span"": 69, ""end_span"": 84, ""type"": ""Organism""}, {""token"": ""beta - galactosidase"", ""start_span"": 128, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""SR1304 - pMAB69"", ""start_span"": 158, ""end_span"": 173, ""type"": ""Organism""}, {""token"": ""beta - galactosidase"", ""start_span"": 217, ""end_span"": 237, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 252, ""end_span"": 256, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 275, ""end_span"": 278, ""type"": ""Protein""}]"
The role of HilE in the regulation of SPI1 gene expression by Mlc was further studied by comparing the invasive abilities of the hilE and hilE / mlc mutant strains of Salmonella.	"HilE	12	16	Protein"	"Mlc	62	65	Protein"	"hilE	129	133	Protein"	"hilE	138	142	Protein"	"mlc	145	148	Protein"	"Salmonella	167	177	Organism"	"[{""token"": ""HilE"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""Mlc"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 129, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 138, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 145, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""Salmonella"", ""start_span"": 167, ""end_span"": 177, ""type"": ""Organism""}]"
On the other hand, the expression in SR1304 of both hilE and hilD was increased in the presence of glucose, mannose or arabinose.	"SR1304	37	43	Organism"	"hilE	52	56	Protein"	"hilD	61	65	Protein"	"glucose	99	106	Chemical"	"mannose	108	115	Chemical"	"arabinose	119	128	Chemical"	"[{""token"": ""SR1304"", ""start_span"": 37, ""end_span"": 43, ""type"": ""Organism""}, {""token"": ""hilE"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""hilD"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Protein""}, {""token"": ""glucose"", ""start_span"": 99, ""end_span"": 106, ""type"": ""Chemical""}, {""token"": ""mannose"", ""start_span"": 108, ""end_span"": 115, ""type"": ""Chemical""}, {""token"": ""arabinose"", ""start_span"": 119, ""end_span"": 128, ""type"": ""Chemical""}]"
