This same report provided the first experimental evidence supporting the sortase prediction, indicating that the gene product of spy0129 is responsible for the cell - wall sorting of the proteins encoded by both spy0128 ( annotated as a Cpa homolog [ 50]) and spy0130 ( annotated as a protein F homolog [ 14]).	"sortase	73	80	Protein"	"spy0129	129	136	Protein"	"spy0128	212	219	Protein"	"Cpa	237	240	Protein"	"spy0130	260	267	Protein"	"protein F	285	294	Protein"	"[{""token"": ""sortase"", ""start_span"": 73, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""spy0129"", ""start_span"": 129, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""spy0128"", ""start_span"": 212, ""end_span"": 219, ""type"": ""Protein""}, {""token"": ""Cpa"", ""start_span"": 237, ""end_span"": 240, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 260, ""end_span"": 267, ""type"": ""Protein""}, {""token"": ""protein F"", ""start_span"": 285, ""end_span"": 294, ""type"": ""Protein""}]"
Two of the identified upregulated clusters ( spy2009 - 2010 and spy2039 - 2040) encoding the well - studied virulence factors, C5a peptidase and SpeB, respectively, showed consistently large log2 - fold changes of the genes across replicates [ 57].	"spy2009	45	52	Protein"	"2010	55	59	Protein"	"spy2039	64	71	Protein"	"2040	74	78	Protein"	"C5a peptidase	127	140	Protein"	"SpeB	145	149	Protein"	"[{""token"": ""spy2009"", ""start_span"": 45, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""2010"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""spy2039"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""2040"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Protein""}, {""token"": ""C5a peptidase"", ""start_span"": 127, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""SpeB"", ""start_span"": 145, ""end_span"": 149, ""type"": ""Protein""}]"
Figure 4A shows that infection of BM - DC with H37Ra or H37Ra:: rpsL induced no stimulation of the hybridoma as judged by IL - 2 production, while H37Ra:: phoP or H37Rv triggered high amounts of IL - 2 production in this very sensitive and specific test.	"H37Ra	47	52	Organism"	"rpsL	64	68	Protein"	"IL - 2	122	128	Protein"	"phoP	155	159	Protein"	"H37Rv	163	168	Organism"	"IL - 2	195	201	Protein"	"[{""token"": ""H37Ra"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Organism""}, {""token"": ""rpsL"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""IL - 2"", ""start_span"": 122, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Protein""}, {""token"": ""H37Rv"", ""start_span"": 163, ""end_span"": 168, ""type"": ""Organism""}, {""token"": ""IL - 2"", ""start_span"": 195, ""end_span"": 201, ""type"": ""Protein""}]"
However, as previously observed in complementation studies of BCG [ 18], the level of virulence displayed by the phoP complemented H37Ra strain was still substantially below that of wild - type H37Rv, arguing that the strong attenuation of the H37Ra strain is likely based on several different genetic lesions, such as the one responsible for the absence of phthiocerol dimycocerosates ( PDIM) [ 29], that were probably introduced into this strain during years of continued culture following the original event of attenuation described by Steenken et al. in 1934 [ 6].	"BCG	62	65	Organism"	"phoP	113	117	Protein"	"H37Rv	194	199	Organism"	"H37Ra	244	249	Organism"	"phthiocerol dimycocerosates	358	385	Chemical"	"PDIM	388	392	Chemical"	"[{""token"": ""BCG"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Organism""}, {""token"": ""phoP"", ""start_span"": 113, ""end_span"": 117, ""type"": ""Protein""}, {""token"": ""H37Rv"", ""start_span"": 194, ""end_span"": 199, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 244, ""end_span"": 249, ""type"": ""Organism""}, {""token"": ""phthiocerol dimycocerosates"", ""start_span"": 358, ""end_span"": 385, ""type"": ""Chemical""}, {""token"": ""PDIM"", ""start_span"": 388, ""end_span"": 392, ""type"": ""Chemical""}]"
Interestingly, one TCS ( Plu0102 / Plu103 and YE4185 / YE4186) is unique for the genera Photorhabdus and Yersinia.	"Plu0102	25	32	Protein"	"Plu103	35	41	Protein"	"YE4185	46	52	Protein"	"YE4186	55	61	Protein"	"Photorhabdus	88	100	Organism"	"Yersinia	105	113	Organism"	"[{""token"": ""Plu0102"", ""start_span"": 25, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""Plu103"", ""start_span"": 35, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""YE4185"", ""start_span"": 46, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""YE4186"", ""start_span"": 55, ""end_span"": 61, ""type"": ""Protein""}, {""token"": ""Photorhabdus"", ""start_span"": 88, ""end_span"": 100, ""type"": ""Organism""}, {""token"": ""Yersinia"", ""start_span"": 105, ""end_span"": 113, ""type"": ""Organism""}]"
The putative target genes of Plu0102 / Plu0103 and Ye4185 / Ye4186, plu0104 and ye4187, respectively, are homologues and encode putative secreted proteins which might act in a similar, yet unknown manner.	"Plu0102	29	36	Protein"	"Plu0103	39	46	Protein"	"Ye4185	51	57	Protein"	"Ye4186	60	66	Protein"	"plu0104	68	75	Protein"	"ye4187	80	86	Protein"	"[{""token"": ""Plu0102"", ""start_span"": 29, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""Plu0103"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""Ye4185"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""Ye4186"", ""start_span"": 60, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""plu0104"", ""start_span"": 68, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""ye4187"", ""start_span"": 80, ""end_span"": 86, ""type"": ""Protein""}]"
2, and include PhoP / PhoQ, and AstS / AstR ( BvgS / BvgR) which have been identified to be involved in virulence [ 28].	"PhoP	15	19	Protein"	"PhoQ	22	26	Protein"	"AstS	32	36	Protein"	"AstR	39	43	Protein"	"BvgS	46	50	Protein"	"BvgR	53	57	Protein"	"[{""token"": ""PhoP"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""PhoQ"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""AstS"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""AstR"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""BvgS"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""BvgR"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}]"
One of them is autoinductor 2 ( AI - 2), furanosyl borate diester, which is synthesized by the luxS product [ 39, 40] of which homologues are present in P. luminescens and Y. enterocolitica ( plu1253, ye0839).	"autoinductor 2	15	29	Chemical"	"AI - 2	32	38	Chemical"	"furanosyl borate diester	41	65	Chemical"	"luxS	95	99	Protein"	"plu1253	192	199	Protein"	"ye0839	201	207	Protein"	"[{""token"": ""autoinductor 2"", ""start_span"": 15, ""end_span"": 29, ""type"": ""Chemical""}, {""token"": ""AI - 2"", ""start_span"": 32, ""end_span"": 38, ""type"": ""Chemical""}, {""token"": ""furanosyl borate diester"", ""start_span"": 41, ""end_span"": 65, ""type"": ""Chemical""}, {""token"": ""luxS"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}, {""token"": ""plu1253"", ""start_span"": 192, ""end_span"": 199, ""type"": ""Protein""}, {""token"": ""ye0839"", ""start_span"": 201, ""end_span"": 207, ""type"": ""Protein""}]"
The DeltaluxS mutant also showed decreased expression of virulence factors such as the cytotoxic protein CcdB, the hemolysin secretion protein HlyD ( Plu0635), and the toxin ABC transporter subunits RtxD / RtxB.	"DeltaluxS	4	13	Protein"	"CcdB	105	109	Protein"	"HlyD	143	147	Protein"	"Plu0635	150	157	Protein"	"RtxD	199	203	Protein"	"RtxB	206	210	Protein"	"[{""token"": ""DeltaluxS"", ""start_span"": 4, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""CcdB"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""HlyD"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""Plu0635"", ""start_span"": 150, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""RtxD"", ""start_span"": 199, ""end_span"": 203, ""type"": ""Protein""}, {""token"": ""RtxB"", ""start_span"": 206, ""end_span"": 210, ""type"": ""Protein""}]"
Both genomes share an UspA - like ( Plu0121 and YE4050) and an UspE - like ( Plu2178 and YE2076) homologue.	"UspA	22	26	Protein"	"Plu0121	36	43	Protein"	"YE4050	48	54	Protein"	"UspE	63	67	Protein"	"Plu2178	77	84	Protein"	"YE2076	89	95	Protein"	"[{""token"": ""UspA"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""Plu0121"", ""start_span"": 36, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""YE4050"", ""start_span"": 48, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""UspE"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""Plu2178"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""YE2076"", ""start_span"": 89, ""end_span"": 95, ""type"": ""Protein""}]"
