For example, RopB ( encoded by spy2042), a member of the Rgg family of response regulators, interacts with a number of regulatory networks throughout the streptococcal genome ( e. g., mga, csrRS, sagA, and fasBCA), affecting the transcription of numerous proteins, virulence factors, and two - component regulatory systems [ 42, 43].	"RopB	13	17	Protein"	"spy2042	31	38	Protein"	"Rgg	57	60	Protein"	"mga	184	187	Protein"	"csrRS	189	194	Protein"	"sagA	196	200	Protein"	"fasBCA	206	212	Protein"	"[{""token"": ""RopB"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""spy2042"", ""start_span"": 31, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""Rgg"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""mga"", ""start_span"": 184, ""end_span"": 187, ""type"": ""Protein""}, {""token"": ""csrRS"", ""start_span"": 189, ""end_span"": 194, ""type"": ""Protein""}, {""token"": ""sagA"", ""start_span"": 196, ""end_span"": 200, ""type"": ""Protein""}, {""token"": ""fasBCA"", ""start_span"": 206, ""end_span"": 212, ""type"": ""Protein""}]"
As depicted in Figure S2, hybridization of SpeI - digested genomic DNA with a 32P labeled phoP probe resulted in two bands of different sizes, one corresponding to the SpeI fragment harboring the H37Ra phoP gene ( 50 kb), and the other to the larger SpeI fragment created by integration of the I36 cosmid into the genome of H37Ra at the attB site.	"SpeI	43	47	Protein"	"phoP	90	94	Protein"	"SpeI	168	172	Protein"	"H37Ra	196	201	Organism"	"phoP	202	206	Protein"	"SpeI	250	254	Protein"	"H37Ra	324	329	Organism"	"[{""token"": ""SpeI"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""SpeI"", ""start_span"": 168, ""end_span"": 172, ""type"": ""Protein""}, {""token"": ""H37Ra"", ""start_span"": 196, ""end_span"": 201, ""type"": ""Organism""}, {""token"": ""phoP"", ""start_span"": 202, ""end_span"": 206, ""type"": ""Protein""}, {""token"": ""SpeI"", ""start_span"": 250, ""end_span"": 254, ""type"": ""Protein""}, {""token"": ""H37Ra"", ""start_span"": 324, ""end_span"": 329, ""type"": ""Organism""}]"
Groups of C57BL / 6 mice were subcutaneously inoculated with H37Rv, H37Ra, or one of three recombinant H37Ra strains complemented with phoP, fadE5, or rpsL, respectively.	"C57BL / 6 mice	10	24	Organism"	"H37Rv	61	66	Organism"	"H37Ra	68	73	Organism"	"H37Ra	103	108	Organism"	"phoP	135	139	Protein"	"fadE5	141	146	Protein"	"rpsL	151	155	Protein"	"[{""token"": ""C57BL / 6 mice"", ""start_span"": 10, ""end_span"": 24, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 103, ""end_span"": 108, ""type"": ""Organism""}, {""token"": ""phoP"", ""start_span"": 135, ""end_span"": 139, ""type"": ""Protein""}, {""token"": ""fadE5"", ""start_span"": 141, ""end_span"": 146, ""type"": ""Protein""}, {""token"": ""rpsL"", ""start_span"": 151, ""end_span"": 155, ""type"": ""Protein""}]"
The observation that knocking - in the ESX - 1 region of H37Rv into H37Ra ( H37Ra:: RD1 - ppe68 - ko), and the resultant diploidy, did not improve the ESAT - 6 - specific T cell responses ( Figure 3B), further argues that PhoP - dependent ESAT - secretion might be regulated via a mechanism that lies outside the RD1 region.	"ESX - 1	39	46	Protein"	"H37Rv	57	62	Organism"	"H37Ra	68	73	Organism"	"RD1	84	87	Protein"	"ppe68	90	95	Protein"	"ESAT - 6	151	159	Protein"	"PhoP	222	226	Protein"	"[{""token"": ""ESX - 1"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""H37Rv"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Organism""}, {""token"": ""RD1"", ""start_span"": 84, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""ppe68"", ""start_span"": 90, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 151, ""end_span"": 159, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 222, ""end_span"": 226, ""type"": ""Protein""}]"
Among the genes expressed at low level in the phoP - ko strain and in H37Ra were several that are involved in lipid metabolism; for example, the polyketide synthases pks2 ( rv3825c) or the Pks - associated protein papA1 ( rv3824c).	"phoP	46	50	Protein"	"H37Ra	70	75	Organism"	"polyketide	145	155	Chemical"	"pks2	166	170	Protein"	"rv3825c	173	180	Protein"	"papA1	214	219	Protein"	"rv3824c	222	229	Protein"	"[{""token"": ""phoP"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""H37Ra"", ""start_span"": 70, ""end_span"": 75, ""type"": ""Organism""}, {""token"": ""polyketide"", ""start_span"": 145, ""end_span"": 155, ""type"": ""Chemical""}, {""token"": ""pks2"", ""start_span"": 166, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""rv3825c"", ""start_span"": 173, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""papA1"", ""start_span"": 214, ""end_span"": 219, ""type"": ""Protein""}, {""token"": ""rv3824c"", ""start_span"": 222, ""end_span"": 229, ""type"": ""Protein""}]"
Y. enterocolitica possesses a typical quorum sensing pair of homologues, YenI / YenR ( YE1600 / YE1599), and it has recently been shown that swimming and swarming motility is regulated by 3 - oxo - C6 - AHL and C6 - AHL, which are synthesized by YenI [ 34].	"YenI	73	77	Protein"	"YenR	80	84	Protein"	"YE1600	87	93	Protein"	"YE1599	96	102	Protein"	"3 - oxo - C6 - AHL	188	206	Chemical"	"C6 - AHL	211	219	Chemical"	"YenI	246	250	Protein"	"[{""token"": ""YenI"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""YenR"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""YE1600"", ""start_span"": 87, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""YE1599"", ""start_span"": 96, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""3 - oxo - C6 - AHL"", ""start_span"": 188, ""end_span"": 206, ""type"": ""Chemical""}, {""token"": ""C6 - AHL"", ""start_span"": 211, ""end_span"": 219, ""type"": ""Chemical""}, {""token"": ""YenI"", ""start_span"": 246, ""end_span"": 250, ""type"": ""Protein""}]"
It is interesting to note that Sodalis glossinidius strain morsitans, an endosymbiont of the tse tse fly Glossina morsitans morsitans [ 38], also has two pontential AHL - LuxR receptors, SG1740 and SG0285, but no luxI homologue ( Fig. 3).	"Sodalis glossinidius strain morsitans	31	68	Organism"	"tse tse fly Glossina morsitans morsitans	93	133	Organism"	"AHL	165	168	Chemical"	"LuxR	171	175	Protein"	"SG1740	187	193	Protein"	"SG0285	198	204	Protein"	"luxI	213	217	Protein"	"[{""token"": ""Sodalis glossinidius strain morsitans"", ""start_span"": 31, ""end_span"": 68, ""type"": ""Organism""}, {""token"": ""tse tse fly Glossina morsitans morsitans"", ""start_span"": 93, ""end_span"": 133, ""type"": ""Organism""}, {""token"": ""AHL"", ""start_span"": 165, ""end_span"": 168, ""type"": ""Chemical""}, {""token"": ""LuxR"", ""start_span"": 171, ""end_span"": 175, ""type"": ""Protein""}, {""token"": ""SG1740"", ""start_span"": 187, ""end_span"": 193, ""type"": ""Protein""}, {""token"": ""SG0285"", ""start_span"": 198, ""end_span"": 204, ""type"": ""Protein""}, {""token"": ""luxI"", ""start_span"": 213, ""end_span"": 217, ""type"": ""Protein""}]"
Examples identified are Txp40, a 40 kD insecticidal toxin [ 69], the nematicidal toxin ( Xnp2) first described in X. bovienii ( accession number AJ296651. 1), galA ( plu0840) similar to the enterotoxin Ast of Aeromonas hydrophila which is involved in carbohydrate transport and metabolism [ 70], and two dermonecrotizing toxin - ( dnt -) like factors ( plu2400 and plu2420).	"Txp40	24	29	Protein"	"Xnp2	89	93	Protein"	"galA	159	163	Protein"	"plu0840	166	173	Protein"	"Aeromonas hydrophila	209	229	Organism"	"plu2400	353	360	Protein"	"plu2420	365	372	Protein"	"[{""token"": ""Txp40"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""Xnp2"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""galA"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Protein""}, {""token"": ""plu0840"", ""start_span"": 166, ""end_span"": 173, ""type"": ""Protein""}, {""token"": ""Aeromonas hydrophila"", ""start_span"": 209, ""end_span"": 229, ""type"": ""Organism""}, {""token"": ""plu2400"", ""start_span"": 353, ""end_span"": 360, ""type"": ""Protein""}, {""token"": ""plu2420"", ""start_span"": 365, ""end_span"": 372, ""type"": ""Protein""}]"
Furthermore, we found homologues of the Y. enterocolitica low - calcium - response genes ( lcrH, lcrV, and lrcD) in P. luminescens ( plu3757, plu3758, sctV) which further supports this hypothesis.	"calcium	64	71	Chemical"	"lcrH	91	95	Protein"	"lcrV	97	101	Protein"	"lrcD	107	111	Protein"	"plu3757	133	140	Protein"	"plu3758	142	149	Protein"	"sctV	151	155	Protein"	"[{""token"": ""calcium"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Chemical""}, {""token"": ""lcrH"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""lcrV"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""lrcD"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""plu3757"", ""start_span"": 133, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""plu3758"", ""start_span"": 142, ""end_span"": 149, ""type"": ""Protein""}, {""token"": ""sctV"", ""start_span"": 151, ""end_span"": 155, ""type"": ""Protein""}]"
One of those exoenzymes is the phospholipase A ( YplA) with an accessory protein ( YplB) of Y. enterocolitica ( YE1005 / YE1006) which are also present in P. luminescens ( Plu3370 / Plu3369).	"phospholipase A	31	46	Protein"	"YplA	49	53	Protein"	"YplB	83	87	Protein"	"YE1005	112	118	Protein"	"YE1006	121	127	Protein"	"Plu3370	172	179	Protein"	"Plu3369	182	189	Protein"	"[{""token"": ""phospholipase A"", ""start_span"": 31, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""YplA"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""YplB"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""YE1005"", ""start_span"": 112, ""end_span"": 118, ""type"": ""Protein""}, {""token"": ""YE1006"", ""start_span"": 121, ""end_span"": 127, ""type"": ""Protein""}, {""token"": ""Plu3370"", ""start_span"": 172, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""Plu3369"", ""start_span"": 182, ""end_span"": 189, ""type"": ""Protein""}]"
