Sentence	entity_1	json	split
For example, genes encoding proteins involved in folate biosynthesis [ 40] were upregulated, suggesting that certain cofactors that may be necessary during adherence were unavailable.	folate,49,55,Chemical	"[{""token"": ""folate"", ""start_span"": 49, ""end_span"": 55, ""type"": ""Chemical""}]"	train
Also upregulated were genes encoding subunits of the F0F1 ATPase [ 41] ( discussed in more detail later), which may indicate an acid stress response to maintain cytoplasmic pH or a need to generate ATP in response to increased energy requirements.	ATP,58,61,Chemical	"[{""token"": ""ATP"", ""start_span"": 58, ""end_span"": 61, ""type"": ""Chemical""}]"	train
However, despite a rigorous statistical approach, this analysis, like many previous microarray studies, identified the differential expression of a large number of unknown genes ( n = 21) and a number of incomplete biological pathways ( e. g., F0F1 ATPase [ 41] and folate biosynthesis [ 40]) by failing to detect the differential expression of a number of known gene pathway members ( Table 1).	folate,266,272,Chemical	"[{""token"": ""folate"", ""start_span"": 266, ""end_span"": 272, ""type"": ""Chemical""}]"	train
For example, we initially identified ( Table 1) the significant upregulation of three of the five known gene members of the folate biosynthetic pathway [ 40] ( spy1096 - 1100), but GenomeCrawler identified a significant cluster containing all five genes ( Table 3 and Figure 2B).	folate,124,130,Chemical	"[{""token"": ""folate"", ""start_span"": 124, ""end_span"": 130, ""type"": ""Chemical""}]"	train
Earlier studies by the authors showed that FimA expression was modulated by environmental cues, including temperature and hemin concentration, and by the presence of Streptococcus cristatus, an early colonizer of dental plaque ( Xie et al., 1997, 2000b).	hemin,122,127,Chemical	"[{""token"": ""hemin"", ""start_span"": 122, ""end_span"": 127, ""type"": ""Chemical""}]"	train
However, no apparent difference was found in DNA - binding affinity between rFimRs with or without acetyl phosphate treatment.	acetyl phosphate,99,115,Chemical	"[{""token"": ""acetyl phosphate"", ""start_span"": 99, ""end_span"": 115, ""type"": ""Chemical""}]"	train
In E. coli, two promoters direct transcription of acs encoding, an acetate - scavenging enzyme required for fitness during periods of carbon starvation - the distal acsP1 and the proximal acsP2 ( Beatty et al., 2003).	acetate,67,74,Chemical	"[{""token"": ""acetate"", ""start_span"": 67, ""end_span"": 74, ""type"": ""Chemical""}]"	train
This technique has previously permitted single nucleotide polymorphisms ( SNPs) of a PA - 824 drug resistant mutant strain of H37Rv to be detected [ 13].	PA - 824,85,93,Chemical	"[{""token"": ""PA - 824"", ""start_span"": 85, ""end_span"": 93, ""type"": ""Chemical""}]"	train
Among the genes expressed at low level in the phoP - ko strain and in H37Ra were several that are involved in lipid metabolism; for example, the polyketide synthases pks2 ( rv3825c) or the Pks - associated protein papA1 ( rv3824c).	polyketide,145,155,Chemical	"[{""token"": ""polyketide"", ""start_span"": 145, ""end_span"": 155, ""type"": ""Chemical""}]"	train
In addition, NirA ( Rv2391), a putative nitrite reductase and MmpL10 - FadD21 ( Rv1183 - 85c), which were all identified by TraSH analysis as potentially implicated in virulence [ 16], seem to be regulated by PhoP [ 12, 21].	nitrite,40,47,Chemical	"[{""token"": ""nitrite"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Chemical""}]"	train
However, upregulation of phoP and rv3614c - rv3616c was observed after incubation of M. tuberculosis in 5mM H2O2 [ 37].	H2O2,108,112,Chemical	"[{""token"": ""H2O2"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Chemical""}]"	train
Proteins belonging to the class of two - component regulatory systems, quorum sensing, universal stress proteins, and c - di - GMP signalling have been analysed.	c - di - GMP,118,130,Chemical	"[{""token"": ""c - di - GMP"", ""start_span"": 118, ""end_span"": 130, ""type"": ""Chemical""}]"	train
In P. luminescens, this TCS controls the expression of the pbgPE operon which is involved in lipid A modification and thus plays a role in colonization and infection of the invertebrate hosts [ 18, 31].	lipid A,93,100,Chemical	"[{""token"": ""lipid A"", ""start_span"": 93, ""end_span"": 100, ""type"": ""Chemical""}]"	train
Regulation by AHL - LuxR - like receptors Virulence, bioluminescence, mutualism, antibiotic production and biofilm formation are often regulated by LuxI / LuxR quorum sensing systems in Gram - negative bacteria.	AHL,14,17,Chemical	"[{""token"": ""AHL"", ""start_span"": 14, ""end_span"": 17, ""type"": ""Chemical""}]"	train
These AHLs are produced by an autoinductor synthase named LuxI.	AHLs,6,10,Chemical	"[{""token"": ""AHLs"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Chemical""}]"	train
It is not known if this receptor also binds the AHLs produced by YenI.	AHLs,48,52,Chemical	"[{""token"": ""AHLs"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Chemical""}]"	train
In the genome of P. luminescens, two genes encoding putative AHL - LuxR - like receptors, plu0320 and plu4562, but no luxI genes are present ( Fig. 3).	AHL,61,64,Chemical	"[{""token"": ""AHL"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Chemical""}]"	train
This suggests that P. luminescens does not produce its own AHL signalling molecule, but might be able to sense those produced by other bacteria and therefore to detect mixed microbial communities as demonstrated for Salmonella enterica and Escherichia coli [ 35 - 37].	AHL,59,62,Chemical	"[{""token"": ""AHL"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Chemical""}]"	train
It is interesting to note that Sodalis glossinidius strain morsitans, an endosymbiont of the tse tse fly Glossina morsitans morsitans [ 38], also has two pontential AHL - LuxR receptors, SG1740 and SG0285, but no luxI homologue ( Fig. 3).	AHL,165,168,Chemical	"[{""token"": ""AHL"", ""start_span"": 165, ""end_span"": 168, ""type"": ""Chemical""}]"	train
Regulation by AI - 2	AI - 2,14,20,Chemical	"[{""token"": ""AI - 2"", ""start_span"": 14, ""end_span"": 20, ""type"": ""Chemical""}]"	train
Beside AHL, other putative quorum sensing signalling molecules have been identified.	AHL,7,10,Chemical	"[{""token"": ""AHL"", ""start_span"": 7, ""end_span"": 10, ""type"": ""Chemical""}]"	train
It has been shown that the luxS pathway negatively controls the expression of genes for carbapenem antibiotic biosynthesis in P. luminescens [ 41].	carbapenem,88,98,Chemical	"[{""token"": ""carbapenem"", ""start_span"": 88, ""end_span"": 98, ""type"": ""Chemical""}]"	train
Overall, more than 300 AI - 2 regulated genes involved in regulation, metabolic activity, stress response and pathogenicity are known in P. luminescens [ 42].	AI - 2,23,29,Chemical	"[{""token"": ""AI - 2"", ""start_span"": 23, ""end_span"": 29, ""type"": ""Chemical""}]"	train
Homologues of these proteins are present in Y. enterocolitica ( see chapter 2), suggesting their possible regulation by AI - 2 also in this bacterium.	AI - 2,120,126,Chemical	"[{""token"": ""AI - 2"", ""start_span"": 120, ""end_span"": 126, ""type"": ""Chemical""}]"	train
Taken together, a similar and AI - 2 dependent mechanism for the regulation of insect colonization and insect pathogenicity might be used by both organisms.	AI - 2,30,36,Chemical	"[{""token"": ""AI - 2"", ""start_span"": 30, ""end_span"": 36, ""type"": ""Chemical""}]"	train
35 of these potential LuxR - like receptors exhibit PAS _ 4 signal binding domains instead of an AHL - binding domain, and two have a signalling domain with a yet unidentified motif ( Fig. 3).	AHL,97,100,Chemical	"[{""token"": ""AHL"", ""start_span"": 97, ""end_span"": 100, ""type"": ""Chemical""}]"	train
The methoprene - tolerant gene ( met, also called Resistance to Juvenile Hormone Rst1JH) of D. melanogaster encodes a helix - loop - helix transcriptional regulator combined with a PAS _ 3 domain [ 45].	methoprene,4,14,Chemical	"[{""token"": ""methoprene"", ""start_span"": 4, ""end_span"": 14, ""type"": ""Chemical""}]"	train
Regulation via c - di - GMP as a second messenger	c - di - GMP,15,27,Chemical	"[{""token"": ""c - di - GMP"", ""start_span"": 15, ""end_span"": 27, ""type"": ""Chemical""}]"	train
In addition to phenotypes that affect virulence properties indirectly, c - di - GMP can also directly regulate virulence factors [ 56, 57].	c - di - GMP,71,83,Chemical	"[{""token"": ""c - di - GMP"", ""start_span"": 71, ""end_span"": 83, ""type"": ""Chemical""}]"	train
Proteins containing a so - called GGDEF domain are responsible for the synthesis of c - di - GMP, and those with a so - called EAL domain for its degradation.	c - di - GMP,84,96,Chemical	"[{""token"": ""c - di - GMP"", ""start_span"": 84, ""end_span"": 96, ""type"": ""Chemical""}]"	train
The expression and activity of those GGDEF and EAL domain containing proteins is regulated by factors with a PilZ domain that binds c - di - GMP.	c - di - GMP,132,144,Chemical	"[{""token"": ""c - di - GMP"", ""start_span"": 132, ""end_span"": 144, ""type"": ""Chemical""}]"	train
The protein AdrA ( YE3010, GGDEF domain) is annotated as a putative diguanylate cyclase, YE2278 ( GGDEF + EAL) as a putative phosphodiesterase, YE3818 ( GGDEF) as a putative regulator, and YE3806 ( GGDEF + EAL) as a putative exported protein.	diguanylate,68,79,Chemical	"[{""token"": ""diguanylate"", ""start_span"": 68, ""end_span"": 79, ""type"": ""Chemical""}]"	train
The presence of c - di - GMP mediated regulation in Y. enterocolitica is therefore suggested to play a central role in switching from biofilm formation to the human as well as to the insect environment.	c - di - GMP,16,28,Chemical	"[{""token"": ""c - di - GMP"", ""start_span"": 16, ""end_span"": 28, ""type"": ""Chemical""}]"	train
This phenomenon is quite surprising, because with few exceptions such as Helicobacter pylori, nearly all pathogenic bacteria use c - di - GMP as a second messenger.	c - di - GMP,129,141,Chemical	"[{""token"": ""c - di - GMP"", ""start_span"": 129, ""end_span"": 141, ""type"": ""Chemical""}]"	train
The lack of these protein domains in P. luminescens reveals that c - di - GMP signalling plays a major role in pathogenic bacteria when colonizing a mammalian host, and a minor for invertebrate colonization of entomopathogenic or entomoinfecting bacteria.	c - di - GMP,65,77,Chemical	"[{""token"": ""c - di - GMP"", ""start_span"": 65, ""end_span"": 77, ""type"": ""Chemical""}]"	train
These extracellular toxins target red blood cells to provide access to iron, but often show activity against immune cells, thus contributing to the bacterial response to the immune system of hosts, including phagocytosis by insect blood cells [ 64].	iron,71,75,Chemical	"[{""token"": ""iron"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Chemical""}]"	train
P. luminescens and Y. enterocolitica TPS systems include the calcium - independent hemolysin PhlA that is transported through the outer membrane and activated by PhlB.	calcium,61,68,Chemical	"[{""token"": ""calcium"", ""start_span"": 61, ""end_span"": 68, ""type"": ""Chemical""}]"	train
Remarkably, their expression is induced by low iron concentration as encountered in the insect host, and phlA / phlB are up - regulated at 18degreesC compared to 28degreesC in Y. ruckeri [ 66].	iron,47,51,Chemical	"[{""token"": ""iron"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Chemical""}]"	train
In contrast, P. luminescens produces several factors involved in host cell interaction without homologues in Y. enterocolitica, namely Plu2096 which is similar to lectin PA - I, Plu1561 with strong homology to a Ca2 + dependent adhesion molecule, the adhesin Plu2433 similar to a virulence factor of the Gram - negative plant pathogen Erwinia carotovora, EvF, which is involved in colonisation of the D. melanogaster gut epithelium [ 80], and the putative invasin Plu2064.	Ca2 +,212,217,Chemical	"[{""token"": ""Ca2 +"", ""start_span"": 212, ""end_span"": 217, ""type"": ""Chemical""}]"	train
Furthermore, we found homologues of the Y. enterocolitica low - calcium - response genes ( lcrH, lcrV, and lrcD) in P. luminescens ( plu3757, plu3758, sctV) which further supports this hypothesis.	calcium,64,71,Chemical	"[{""token"": ""calcium"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Chemical""}]"	train
Ymt is essential for flea colonization by Y. pestis and is regulated by AHL both in Y. pestis [ 95] and P. luminescens ( R. Heermann, unpublished data), indicating that Ymt is also required for insect colonization by P. luminescens.	AHL,72,75,Chemical	"[{""token"": ""AHL"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Chemical""}]"	train
Examples are the ten triacylglycerol lipases of P. luminescens or the three identified lipases of Y. enterocolitica.	triacylglycerol,21,36,Chemical	"[{""token"": ""triacylglycerol"", ""start_span"": 21, ""end_span"": 36, ""type"": ""Chemical""}]"	train
Y. enterocolitica carries the genes encoding tetrathionate reductase ( ttrABC) and the TCS TtrRS ( YE1613 - 1617).	tetrathionate,45,58,Chemical	"[{""token"": ""tetrathionate"", ""start_span"": 45, ""end_span"": 58, ""type"": ""Chemical""}]"	train
The uhpABC operon as well as mgtC encoding the Mg2 + transport ATPase subunit have been found to be induced at low temperature in Y. enterocolitica [ 67], indicating a relevance for these metabolic genes for P. luminescens and Y. enterocolitica during insect infection.	Mg2 +,47,52,Chemical	"[{""token"": ""Mg2 +"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Chemical""}]"	train
Furthermore, both insecticidal bacteria produce a chitin - binding - like protein ( Plu2352, YE3576), but chitinase - like proteins ( Plu2235, Plu2458 and Plu2461) are without homologues in Y. enterocolitica.	chitin,50,56,Chemical	"[{""token"": ""chitin"", ""start_span"": 50, ""end_span"": 56, ""type"": ""Chemical""}]"	train
Iron uptake	Iron,0,4,Chemical	"[{""token"": ""Iron"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical""}]"	train
Genes involved in the biosynthesis, transport and regulation of the siderophore yersiniabactin are clustered in the high pathogenicity island of Y. enterocolitica [ 103] and have counterparts in P. luminescens ( plu2316 - 2324).	yersiniabactin,80,94,Chemical	"[{""token"": ""yersiniabactin"", ""start_span"": 80, ""end_span"": 94, ""type"": ""Chemical""}]"	train
The proteins encoded by the P. luminescens fecIRABCDE operon are similar to the components of the E. coli Fe3 + - dicitrate transport system.	Fe3 +,106,111,Chemical	"[{""token"": ""Fe3 +"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Chemical""}]"	train
Furthermore, P. luminescens encodes two putative heme - binding hemopexin - like proteins, the photopexins PpxA ( Plu4242) and PpxB ( Plu4243), which are the first hemopexins found in bacteria.	heme,49,53,Chemical	"[{""token"": ""heme"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Chemical""}]"	train
It is suggested that the photopexins may be used by P. luminescens to scavenge iron containing compounds from insects [ 105].	iron,79,83,Chemical	"[{""token"": ""iron"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Chemical""}]"	train
