Sentence	entity_1	entity_2	json	split
These clusters encompass various metabolic processes, including purine biosynthesis ( spy0025 - 0028), lactose metabolism ( spy1916 - 1923), fatty acid biosynthesis ( spy1743 - 1747), lipoteichoic acid synthesis ( spy1308 - 1312), and sugar phosphotransferase transport ( spy1058 - 1060) [ 14], suggesting that specific changes occur in the streptococcal metabolic program as the bacteria adhere to human pharyngeal cells in vitro.	lactose,103,110,Chemical	lipoteichoic acid,184,201,Chemical	"[{""token"": ""lactose"", ""start_span"": 103, ""end_span"": 110, ""type"": ""Chemical""}, {""token"": ""lipoteichoic acid"", ""start_span"": 184, ""end_span"": 201, ""type"": ""Chemical""}]"	train
In the bacterial world the PhoP / PhoR like two - component systems are widely distributed and fulfill a large variety of functions including sensing phosphate and magnesium [ 32, 33], or regulating virulence genes [ 34].	phosphate,150,159,Chemical	magnesium,164,173,Chemical	"[{""token"": ""phosphate"", ""start_span"": 150, ""end_span"": 159, ""type"": ""Chemical""}, {""token"": ""magnesium"", ""start_span"": 164, ""end_span"": 173, ""type"": ""Chemical""}]"	train
It was also found that the PhoP - PhoR system controls the biosynthesis of polyketide - derived lipids [ 35] and determines the amount of triacylated and monoacylated lipoarabinomannans in M. tuberculosis [ 36].	polyketide - derived lipids,75,102,Chemical	lipoarabinomannans,167,185,Chemical	"[{""token"": ""polyketide - derived lipids"", ""start_span"": 75, ""end_span"": 102, ""type"": ""Chemical""}, {""token"": ""lipoarabinomannans"", ""start_span"": 167, ""end_span"": 185, ""type"": ""Chemical""}]"	train
However, as previously observed in complementation studies of BCG [ 18], the level of virulence displayed by the phoP complemented H37Ra strain was still substantially below that of wild - type H37Rv, arguing that the strong attenuation of the H37Ra strain is likely based on several different genetic lesions, such as the one responsible for the absence of phthiocerol dimycocerosates ( PDIM) [ 29], that were probably introduced into this strain during years of continued culture following the original event of attenuation described by Steenken et al. in 1934 [ 6].	phthiocerol dimycocerosates,358,385,Chemical	PDIM,388,392,Chemical	"[{""token"": ""phthiocerol dimycocerosates"", ""start_span"": 358, ""end_span"": 385, ""type"": ""Chemical""}, {""token"": ""PDIM"", ""start_span"": 388, ""end_span"": 392, ""type"": ""Chemical""}]"	train
They produce membrane diffusible signalling molecules, acyl homoserine lactones ( AHLs), which are sensed by the receptor / regulator LuxR when exceeding a threshold concentration.	acyl homoserine lactones,55,79,Chemical	AHLs,82,86,Chemical	"[{""token"": ""acyl homoserine lactones"", ""start_span"": 55, ""end_span"": 79, ""type"": ""Chemical""}, {""token"": ""AHLs"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Chemical""}]"	train
Y. enterocolitica possesses a typical quorum sensing pair of homologues, YenI / YenR ( YE1600 / YE1599), and it has recently been shown that swimming and swarming motility is regulated by 3 - oxo - C6 - AHL and C6 - AHL, which are synthesized by YenI [ 34].	3 - oxo - C6 - AHL,188,206,Chemical	C6 - AHL,211,219,Chemical	"[{""token"": ""3 - oxo - C6 - AHL"", ""start_span"": 188, ""end_span"": 206, ""type"": ""Chemical""}, {""token"": ""C6 - AHL"", ""start_span"": 211, ""end_span"": 219, ""type"": ""Chemical""}]"	train
Moreover, we identified a second AHL - LuxR regulator, YE1026, which lacks a separate AHL synthase ( Fig. 3).	AHL,33,36,Chemical	AHL,86,89,Chemical	"[{""token"": ""AHL"", ""start_span"": 33, ""end_span"": 36, ""type"": ""Chemical""}, {""token"": ""AHL"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Chemical""}]"	train
Instead of producing AHLs to regulate quorum dependent genes, a common strategy of insect - colonizing bacteria might be the detection of AHLs as a signal for the presence of other bacteria such as those colonizing the insect intestinal tract or living in soil.	AHLs,21,25,Chemical	AHLs,138,142,Chemical	"[{""token"": ""AHLs"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Chemical""}, {""token"": ""AHLs"", ""start_span"": 138, ""end_span"": 142, ""type"": ""Chemical""}]"	train
Whether they sense self - produced or external AI - 2, or a combination of both, indicating a quorum sensing mechanism or a regulation similar to AHL as described above, remains to be elucidated.	AI - 2,47,53,Chemical	AHL,146,149,Chemical	"[{""token"": ""AI - 2"", ""start_span"": 47, ""end_span"": 53, ""type"": ""Chemical""}, {""token"": ""AHL"", ""start_span"": 146, ""end_span"": 149, ""type"": ""Chemical""}]"	train
Cyclic diguanylate ( c - di - GMP) is a bacterial second messenger that activates biofilm formation while inhibiting motility, thus regulating the switch between a planktonic and a sessile lifestyle.	Cyclic diguanylate,0,18,Chemical	c - di - GMP,21,33,Chemical	"[{""token"": ""Cyclic diguanylate"", ""start_span"": 0, ""end_span"": 18, ""type"": ""Chemical""}, {""token"": ""c - di - GMP"", ""start_span"": 21, ""end_span"": 33, ""type"": ""Chemical""}]"	train
Other virulence factors absent in P. luminescens are the opg cluster ( YE1604 - 1606) and ProP ( YE3594), both involved in osmoprotection [ 76], cellulose biosynthesis ( YE4072 - 4078) associated with protection from chemical and mechanical stress [ 60], the methionine - salvage pathway ( YE3228 - 3235) also involved in AHL production [ 23], the putative ADP - ribosyltransferase toxin encoded by ytxAB ( ye2124 / ye2123) [ 77], and the Yersinia heat - stable toxin Yst [ 78] which is stronger expressed at 28degreesC than at 37degreesC ( Table 1).	AHL,322,325,Chemical	ADP,357,360,Chemical	"[{""token"": ""AHL"", ""start_span"": 322, ""end_span"": 325, ""type"": ""Chemical""}, {""token"": ""ADP"", ""start_span"": 357, ""end_span"": 360, ""type"": ""Chemical""}]"	train
P. luminescens produces proteins similar to monooxygenases, dioxygenases and hydroxylases that have been suggested to play a role in rapid elimination of insect polyphenols or in the detoxification of reactive oxygen species generated by the invaded host [ 24].	polyphenols,161,172,Chemical	reactive oxygen species,201,224,Chemical	"[{""token"": ""polyphenols"", ""start_span"": 161, ""end_span"": 172, ""type"": ""Chemical""}, {""token"": ""reactive oxygen species"", ""start_span"": 201, ""end_span"": 224, ""type"": ""Chemical""}]"	train
Examples are the product of plu4258, adjacent to a gene encoding glutathione transferase ( plu4259), a putative steroid monooxygenase ( Plu4232), and a glycine oxidase ( Plu2242), all of which have no counterparts in Y. enterocolitica.	glutathione,65,76,Chemical	steroid,112,119,Chemical	"[{""token"": ""glutathione"", ""start_span"": 65, ""end_span"": 76, ""type"": ""Chemical""}, {""token"": ""steroid"", ""start_span"": 112, ""end_span"": 119, ""type"": ""Chemical""}]"	train
We recently reported that the genes of the urease operon as well as a histidine ammonia lyase ( ye3021 / plu1240), which deaminates histidine to urocanic acid, are highly induced in Y. enterocolitica upon temperature decrease [ 67].	ammonia,80,87,Chemical	urocanic acid,145,158,Chemical	"[{""token"": ""ammonia"", ""start_span"": 80, ""end_span"": 87, ""type"": ""Chemical""}, {""token"": ""urocanic acid"", ""start_span"": 145, ""end_span"": 158, ""type"": ""Chemical""}]"	train
The synthesis of vitamin B12 that occurs only anaerobically is required for the degradation of 1, 2 - propanediol by the products of the pdu operon, as well as of ethanolamine by the eutABC - encoded enzymes.	vitamin B12,17,28,Chemical	ethanolamine,163,175,Chemical	"[{""token"": ""vitamin B12"", ""start_span"": 17, ""end_span"": 28, ""type"": ""Chemical""}, {""token"": ""ethanolamine"", ""start_span"": 163, ""end_span"": 175, ""type"": ""Chemical""}]"	train
The gene clusters for cobalamin synthesis and propanediol degradation are located on a 40 - kb genomic island ( ye2707 - 2750), but the eutABC operon is missing.	cobalamin,22,31,Chemical	propanediol,46,57,Chemical	"[{""token"": ""cobalamin"", ""start_span"": 22, ""end_span"": 31, ""type"": ""Chemical""}, {""token"": ""propanediol"", ""start_span"": 46, ""end_span"": 57, ""type"": ""Chemical""}]"	train
None of these iron acquisition systems is present in P. luminescens which in contrast produces the siderophore photobactin [ 104].	iron,14,18,Chemical	siderophore,99,110,Chemical	"[{""token"": ""iron"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Chemical""}, {""token"": ""siderophore"", ""start_span"": 99, ""end_span"": 110, ""type"": ""Chemical""}]"	train
For example, sucA encoding a subunit of alpha - ketoglutarate synthase and acnA encoding the aconitase have been found to be induced in V. cholerae during host infection [ 111, 112], and a complete TCA cycle is also required for S. typhimurium virulence [ 113].	alpha - ketoglutarate,40,61,Chemical	TCA,198,201,Chemical	"[{""token"": ""alpha - ketoglutarate"", ""start_span"": 40, ""end_span"": 61, ""type"": ""Chemical""}, {""token"": ""TCA"", ""start_span"": 198, ""end_span"": 201, ""type"": ""Chemical""}]"	train
To guarantee an optimal amount of tricarboxylic acids within the cell, TctE might specifically sense the presence of tricarboxylic acids and / or signals of the host.	tricarboxylic acids,34,53,Chemical	tricarboxylic acids,117,136,Chemical	"[{""token"": ""tricarboxylic acids"", ""start_span"": 34, ""end_span"": 53, ""type"": ""Chemical""}, {""token"": ""tricarboxylic acids"", ""start_span"": 117, ""end_span"": 136, ""type"": ""Chemical""}]"	train
The graRS mutant shows altered cell surface charge but unaltered lysyl - phosphatidylglycerol ( LPG) content In order to study if reduced expression of the dlt operon upon graRS disruption results in altered cell surface charge, we compared binding of the red - coloured, cationic protein cytochrome c to wild type S. aureus SA113 ( WT), the isogenic graRS mutant, and the plasmid - complemented mutant.	lysyl - phosphatidylglycerol,65,93,Chemical	LPG,96,99,Chemical	"[{""token"": ""lysyl - phosphatidylglycerol"", ""start_span"": 65, ""end_span"": 93, ""type"": ""Chemical""}, {""token"": ""LPG"", ""start_span"": 96, ""end_span"": 99, ""type"": ""Chemical""}]"	train
To analyse whether increased binding of cytochrome c by the graRS mutant is in fact due to altered cell surface charge by decreased teichoic acid alanylation or the altered expression of other surface - exposed molecules, we also examined binding of cytochrome c to a dltA deletion mutant, which completely lacks D - alanine substitution of teichoic acids [ 7], and a dltA / graRS double deletion mutant, which was generated by transducing the graRS mutation into the dltA mutant.	teichoic acid,132,145,Chemical	teichoic acids,341,355,Chemical	"[{""token"": ""teichoic acid"", ""start_span"": 132, ""end_span"": 145, ""type"": ""Chemical""}, {""token"": ""teichoic acids"", ""start_span"": 341, ""end_span"": 355, ""type"": ""Chemical""}]"	train
Increased binding of cationic proteins may also result from reduced mprF expression and, accordingly, reduced lysylphosphatidylglycerol ( LPG) content.	lysylphosphatidylglycerol,110,135,Chemical	LPG,138,141,Chemical	"[{""token"": ""lysylphosphatidylglycerol"", ""start_span"": 110, ""end_span"": 135, ""type"": ""Chemical""}, {""token"": ""LPG"", ""start_span"": 138, ""end_span"": 141, ""type"": ""Chemical""}]"	train
The expression of the other virulence - associated genes, such as IgG degrading protease of GAS, Mac - 1 - like protein ( mac), nicotine adenine dinucleotide glycohydrolase ( nga), polysaccharide capsule production ( hasA), and C5a peptidase ( scpA), was also upregulted in the severe invasive GAS, greater than that detected in the non - invasive GAS ( Figure 5A).	nicotine adenine dinucleotide,128,157,Chemical	polysaccharide capsule,181,203,Chemical	"[{""token"": ""nicotine adenine dinucleotide"", ""start_span"": 128, ""end_span"": 157, ""type"": ""Chemical""}, {""token"": ""polysaccharide capsule"", ""start_span"": 181, ""end_span"": 203, ""type"": ""Chemical""}]"	train
However, we confirmed that addition of DNase in the culture did not alter the level of PI - positive PMN, meaning bright PI staining of PMN is not due to release of NETs from PMN ( Figure S1A).	PI,87,89,Chemical	PI,121,123,Chemical	"[{""token"": ""PI"", ""start_span"": 87, ""end_span"": 89, ""type"": ""Chemical""}, {""token"": ""PI"", ""start_span"": 121, ""end_span"": 123, ""type"": ""Chemical""}]"	train
At physiologically relevant concentrations, extracellular DNA has antimicrobial activity, causing cell lysis by chelating cations that stabilize lipopolysaccharide ( LPS) and the outer membrane ( OM).	lipopolysaccharide,145,163,Chemical	LPS,166,169,Chemical	"[{""token"": ""lipopolysaccharide"", ""start_span"": 145, ""end_span"": 163, ""type"": ""Chemical""}, {""token"": ""LPS"", ""start_span"": 166, ""end_span"": 169, ""type"": ""Chemical""}]"	train
This mucoid phenotype is a result of overproduction of the alginate exopolysaccharide ( EPS) [ 1], [ 12].	alginate exopolysaccharide,59,85,Chemical	EPS,88,91,Chemical	"[{""token"": ""alginate exopolysaccharide"", ""start_span"": 59, ""end_span"": 85, ""type"": ""Chemical""}, {""token"": ""EPS"", ""start_span"": 88, ""end_span"": 91, ""type"": ""Chemical""}]"	train
However, while the biofilm matrix may limit diffusion initially for certain antibiotics such as beta - lactams and aminoglycosides [ 14], [ 22], the penetration of fluoroquinolones occurs immediately and without delay [ 23] - [ 25].	beta - lactams,96,110,Chemical	aminoglycosides,115,130,Chemical	"[{""token"": ""beta - lactams"", ""start_span"": 96, ""end_span"": 110, ""type"": ""Chemical""}, {""token"": ""aminoglycosides"", ""start_span"": 115, ""end_span"": 130, ""type"": ""Chemical""}]"	train
During the course of an infection, one of the first lines of defense encountered by colonizing bacteria is the production of cationic antimicrobial peptides ( CAPs) by a variety of host cells including neutrophils, platelets and epithelia.	cationic antimicrobial peptides,125,156,Chemical	CAPs,159,163,Chemical	"[{""token"": ""cationic antimicrobial peptides"", ""start_span"": 125, ""end_span"": 156, ""type"": ""Chemical""}, {""token"": ""CAPs"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Chemical""}]"	train
