Bacteria use two different strategies to acquire sufficient amounts of iron, namely the expression and secretion of high - affinity iron - binding compounds called siderophores, and the production of receptors for iron carriers such as heme.	"iron	71	75	Chemical"	"iron	132	136	Chemical"	"iron	214	218	Chemical"	"heme	236	240	Chemical"	"[{""token"": ""iron"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Chemical""}, {""token"": ""iron"", ""start_span"": 132, ""end_span"": 136, ""type"": ""Chemical""}, {""token"": ""iron"", ""start_span"": 214, ""end_span"": 218, ""type"": ""Chemical""}, {""token"": ""heme"", ""start_span"": 236, ""end_span"": 240, ""type"": ""Chemical""}]"
In addition, Y. enterocolitica produces two heme - protein acquisition sytems ( YE0123 - 126, YE2180 - 2182), a second SfuABC system, the ferrichrome binding and transport proteins ( YE0730 - 0732), a putative siderophore ( YE0704), and a hemin storage system ( YE2481 - 2484).	"heme	44	48	Chemical"	"ferrichrome	138	149	Chemical"	"siderophore	210	221	Chemical"	"hemin	239	244	Chemical"	"[{""token"": ""heme"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Chemical""}, {""token"": ""ferrichrome"", ""start_span"": 138, ""end_span"": 149, ""type"": ""Chemical""}, {""token"": ""siderophore"", ""start_span"": 210, ""end_span"": 221, ""type"": ""Chemical""}, {""token"": ""hemin"", ""start_span"": 239, ""end_span"": 244, ""type"": ""Chemical""}]"
Interestingly, three gene loci involved in iron acquisition, namely the genes encoding the hemin storage system, the yersiniabactin and the enterobactin transporter FepG, have been demonstrated to be up - regulated upon temperature decrease in Y. pestis or Y. ruckeri, respectively ( Table 1).	"iron	43	47	Chemical"	"hemin	91	96	Chemical"	"yersiniabactin	117	131	Chemical"	"enterobactin	140	152	Chemical"	"[{""token"": ""iron"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Chemical""}, {""token"": ""hemin"", ""start_span"": 91, ""end_span"": 96, ""type"": ""Chemical""}, {""token"": ""yersiniabactin"", ""start_span"": 117, ""end_span"": 131, ""type"": ""Chemical""}, {""token"": ""enterobactin"", ""start_span"": 140, ""end_span"": 152, ""type"": ""Chemical""}]"
This large set of iron, hemin, heme and siderophore transporters underlines the importance of iron availability for the life cycles of P. luminescens and Y. enterocolitica.	"iron	18	22	Chemical"	"hemin	24	29	Chemical"	"heme	31	35	Chemical"	"iron	94	98	Chemical"	"[{""token"": ""iron"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Chemical""}, {""token"": ""hemin"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Chemical""}, {""token"": ""heme"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Chemical""}, {""token"": ""iron"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Chemical""}]"
The transporter is supposed to facilitate uptake of citrate, fluorocitrate, isocitrate and cis - acconitate for aerobic utilization [ 108, 109].	"citrate	52	59	Chemical"	"fluorocitrate	61	74	Chemical"	"isocitrate	76	86	Chemical"	"cis - acconitate	91	107	Chemical"	"[{""token"": ""citrate"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Chemical""}, {""token"": ""fluorocitrate"", ""start_span"": 61, ""end_span"": 74, ""type"": ""Chemical""}, {""token"": ""isocitrate"", ""start_span"": 76, ""end_span"": 86, ""type"": ""Chemical""}, {""token"": ""cis - acconitate"", ""start_span"": 91, ""end_span"": 107, ""type"": ""Chemical""}]"
The Na + dependent citrate symporter CitS of S. enterica, which the Y. enterocolitica protein YE2507 is homologous to, is induced by the CitA / CitB system for fermentation of citrate under anoxic conditions [ 110], indicating a general difference of citrate utilization in P. luminescens and Y. enterocolitica.	"Na +	4	8	Chemical"	"citrate	19	26	Chemical"	"citrate	176	183	Chemical"	"citrate	251	258	Chemical"	"[{""token"": ""Na +"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Chemical""}, {""token"": ""citrate"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Chemical""}, {""token"": ""citrate"", ""start_span"": 176, ""end_span"": 183, ""type"": ""Chemical""}, {""token"": ""citrate"", ""start_span"": 251, ""end_span"": 258, ""type"": ""Chemical""}]"
In a S. aureus SA113 graRS deletion mutant, the content of D - alanine in teichoic acids was reduced by 47% and the mutant showed reduced resistance to various antibiotics including polymyxin B, gallidermin, and vancomycin [ 10, 13].	"teichoic acids	74	88	Chemical"	"polymyxin B	182	193	Chemical"	"gallidermin	195	206	Chemical"	"vancomycin	212	222	Chemical"	"[{""token"": ""teichoic acids"", ""start_span"": 74, ""end_span"": 88, ""type"": ""Chemical""}, {""token"": ""polymyxin B"", ""start_span"": 182, ""end_span"": 193, ""type"": ""Chemical""}, {""token"": ""gallidermin"", ""start_span"": 195, ""end_span"": 206, ""type"": ""Chemical""}, {""token"": ""vancomycin"", ""start_span"": 212, ""end_span"": 222, ""type"": ""Chemical""}]"
To confirm that DNA - mediated killing was a result of cation chelation, excess Mg2 +, Ca2 +, Mn2 +, and Zn2 + were added to P. aeruginosa cultures.	"Mg2 +	80	85	Chemical"	"Ca2 +	87	92	Chemical"	"Mn2 +	94	99	Chemical"	"Zn2 +	105	110	Chemical"	"[{""token"": ""Mg2 +"", ""start_span"": 80, ""end_span"": 85, ""type"": ""Chemical""}, {""token"": ""Ca2 +"", ""start_span"": 87, ""end_span"": 92, ""type"": ""Chemical""}, {""token"": ""Mn2 +"", ""start_span"": 94, ""end_span"": 99, ""type"": ""Chemical""}, {""token"": ""Zn2 +"", ""start_span"": 105, ""end_span"": 110, ""type"": ""Chemical""}]"
The concentration at which maximal protection was obtained for each cation is represented in Fig 3A ( 25 mM Mg2 +; 6. 25 mM Ca2 +; 6. 25 Mn2 +; 3. 125 mM Zn2 +).	"Mg2 +	108	113	Chemical"	"Ca2 +	124	129	Chemical"	"Mn2 +	137	142	Chemical"	"Zn2 +	154	159	Chemical"	"[{""token"": ""Mg2 +"", ""start_span"": 108, ""end_span"": 113, ""type"": ""Chemical""}, {""token"": ""Ca2 +"", ""start_span"": 124, ""end_span"": 129, ""type"": ""Chemical""}, {""token"": ""Mn2 +"", ""start_span"": 137, ""end_span"": 142, ""type"": ""Chemical""}, {""token"": ""Zn2 +"", ""start_span"": 154, ""end_span"": 159, ""type"": ""Chemical""}]"
Kill curve assays indicated that the addition of Mg2 +, Ca2 + or Mn2 + provided protection from DNA - induced lysis, however, the addition of Zn2 + did not protect from DNA - mediated killing ( Fig 3A).	"Mg2 +	49	54	Chemical"	"Ca2 +	56	61	Chemical"	"Mn2 +	65	70	Chemical"	"Zn2 +	142	147	Chemical"	"[{""token"": ""Mg2 +"", ""start_span"": 49, ""end_span"": 54, ""type"": ""Chemical""}, {""token"": ""Ca2 +"", ""start_span"": 56, ""end_span"": 61, ""type"": ""Chemical""}, {""token"": ""Mn2 +"", ""start_span"": 65, ""end_span"": 70, ""type"": ""Chemical""}, {""token"": ""Zn2 +"", ""start_span"": 142, ""end_span"": 147, ""type"": ""Chemical""}]"
