Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	json	split
The protein AdrA ( YE3010, GGDEF domain) is annotated as a putative diguanylate cyclase, YE2278 ( GGDEF + EAL) as a putative phosphodiesterase, YE3818 ( GGDEF) as a putative regulator, and YE3806 ( GGDEF + EAL) as a putative exported protein.	AdrA,12,16,Protein	YE3010,19,25,Protein	GGDEF,27,32,Protein	YE2278,89,95,Protein	GGDEF,98,103,Protein	EAL,106,109,Protein	YE3818,144,150,Protein	GGDEF,153,158,Protein	YE3806,189,195,Protein	GGDEF,198,203,Protein	EAL,206,209,Protein	"[{""token"": ""AdrA"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""YE3010"", ""start_span"": 19, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""GGDEF"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Protein""}, {""token"": ""YE2278"", ""start_span"": 89, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""GGDEF"", ""start_span"": 98, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""EAL"", ""start_span"": 106, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""YE3818"", ""start_span"": 144, ""end_span"": 150, ""type"": ""Protein""}, {""token"": ""GGDEF"", ""start_span"": 153, ""end_span"": 158, ""type"": ""Protein""}, {""token"": ""YE3806"", ""start_span"": 189, ""end_span"": 195, ""type"": ""Protein""}, {""token"": ""GGDEF"", ""start_span"": 198, ""end_span"": 203, ""type"": ""Protein""}, {""token"": ""EAL"", ""start_span"": 206, ""end_span"": 209, ""type"": ""Protein""}]"	train
Other virulence factors absent in P. luminescens are the opg cluster ( YE1604 - 1606) and ProP ( YE3594), both involved in osmoprotection [ 76], cellulose biosynthesis ( YE4072 - 4078) associated with protection from chemical and mechanical stress [ 60], the methionine - salvage pathway ( YE3228 - 3235) also involved in AHL production [ 23], the putative ADP - ribosyltransferase toxin encoded by ytxAB ( ye2124 / ye2123) [ 77], and the Yersinia heat - stable toxin Yst [ 78] which is stronger expressed at 28degreesC than at 37degreesC ( Table 1).	YE1604,71,77,Protein	1606,80,84,Protein	ProP,90,94,Protein	YE3594,97,103,Protein	YE4072,170,176,Protein	4078,179,183,Protein	YE3228,290,296,Protein	3235,299,303,Protein	ytxAB,399,404,Protein	ye2124,407,413,Protein	ye2123,416,422,Protein	"[{""token"": ""YE1604"", ""start_span"": 71, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""1606"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""ProP"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""YE3594"", ""start_span"": 97, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""YE4072"", ""start_span"": 170, ""end_span"": 176, ""type"": ""Protein""}, {""token"": ""4078"", ""start_span"": 179, ""end_span"": 183, ""type"": ""Protein""}, {""token"": ""YE3228"", ""start_span"": 290, ""end_span"": 296, ""type"": ""Protein""}, {""token"": ""3235"", ""start_span"": 299, ""end_span"": 303, ""type"": ""Protein""}, {""token"": ""ytxAB"", ""start_span"": 399, ""end_span"": 404, ""type"": ""Protein""}, {""token"": ""ye2124"", ""start_span"": 407, ""end_span"": 413, ""type"": ""Protein""}, {""token"": ""ye2123"", ""start_span"": 416, ""end_span"": 422, ""type"": ""Protein""}]"	train
Factors present in both pathogens are two monooxigenases encoded by ye1945 / hpaC ( plu0974) and ye3394 / plu3599, and two hydroxylases encoded by ubiH ( ye3395 / plu3600) and ubiF ( ye2984 / plu1313).	ye1945,68,74,Protein	hpaC,77,81,Protein	plu0974,84,91,Protein	ye3394,97,103,Protein	plu3599,106,113,Protein	ubiH,147,151,Protein	ye3395,154,160,Protein	plu3600,163,170,Protein	ubiF,176,180,Protein	ye2984,183,189,Protein	plu1313,192,199,Protein	"[{""token"": ""ye1945"", ""start_span"": 68, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""hpaC"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""plu0974"", ""start_span"": 84, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""ye3394"", ""start_span"": 97, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""plu3599"", ""start_span"": 106, ""end_span"": 113, ""type"": ""Protein""}, {""token"": ""ubiH"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Protein""}, {""token"": ""ye3395"", ""start_span"": 154, ""end_span"": 160, ""type"": ""Protein""}, {""token"": ""plu3600"", ""start_span"": 163, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""ubiF"", ""start_span"": 176, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""ye2984"", ""start_span"": 183, ""end_span"": 189, ""type"": ""Protein""}, {""token"": ""plu1313"", ""start_span"": 192, ""end_span"": 199, ""type"": ""Protein""}]"	train
Mutation in these regulatory pathways did not affect initial attachment, motility, or Pel and Psl polysaccharide production, but instead arrested biofilm development in the transition from reversible to irreversible attachment [ 8 hr to 24 hr, BfiRS ( PA4196 - 4197)], from initial attachment to the maturation - 1 stage [ ( 24 hr to 72 hr, BfmRS ( PA4101 - 4102)], and following the maturation - 1 stage [ 72 hr to 144 hr, MifRS ( PA5511 - 5512)] ( Fig. 6).	Pel,86,89,Protein	Psl,94,97,Protein	BfiRS,244,249,Protein	PA4196,252,258,Protein	4197,261,265,Protein	BfmRS,341,346,Protein	PA4101,349,355,Protein	4102,358,362,Protein	MifRS,424,429,Protein	PA5511,432,438,Protein	5512,441,445,Protein	"[{""token"": ""Pel"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Protein""}, {""token"": ""Psl"", ""start_span"": 94, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""BfiRS"", ""start_span"": 244, ""end_span"": 249, ""type"": ""Protein""}, {""token"": ""PA4196"", ""start_span"": 252, ""end_span"": 258, ""type"": ""Protein""}, {""token"": ""4197"", ""start_span"": 261, ""end_span"": 265, ""type"": ""Protein""}, {""token"": ""BfmRS"", ""start_span"": 341, ""end_span"": 346, ""type"": ""Protein""}, {""token"": ""PA4101"", ""start_span"": 349, ""end_span"": 355, ""type"": ""Protein""}, {""token"": ""4102"", ""start_span"": 358, ""end_span"": 362, ""type"": ""Protein""}, {""token"": ""MifRS"", ""start_span"": 424, ""end_span"": 429, ""type"": ""Protein""}, {""token"": ""PA5511"", ""start_span"": 432, ""end_span"": 438, ""type"": ""Protein""}, {""token"": ""5512"", ""start_span"": 441, ""end_span"": 445, ""type"": ""Protein""}]"	train
On the other hand, exoR ( BAB1 _ 0891), omp25a ( BAB1 _ 0722), hpr - K ( BAB1 _ 2094), bvrS ( BAB1 _ 2093) and the lipoproteins ( BAB1 _ 2147, BAB1 _ 0589, BAB1 _ 0358) were among the less expressed genes ( Table 1).	exoR,19,23,Protein	BAB1 _ 0891,26,37,Protein	omp25a,40,46,Protein	BAB1 _ 0722,49,60,Protein	hpr - K,63,70,Protein	BAB1 _ 2094,73,84,Protein	bvrS,87,91,Protein	BAB1 _ 2093,94,105,Protein	BAB1 _ 2147,130,141,Protein	BAB1 _ 0589,143,154,Protein	BAB1 _ 0358,156,167,Protein	"[{""token"": ""exoR"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0891"", ""start_span"": 26, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""omp25a"", ""start_span"": 40, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0722"", ""start_span"": 49, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""hpr - K"", ""start_span"": 63, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""BAB1 _ 2094"", ""start_span"": 73, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""bvrS"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""BAB1 _ 2093"", ""start_span"": 94, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""BAB1 _ 2147"", ""start_span"": 130, ""end_span"": 141, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0589"", ""start_span"": 143, ""end_span"": 154, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0358"", ""start_span"": 156, ""end_span"": 167, ""type"": ""Protein""}]"	train
Notably, seven transcriptional regulators genes were also differentially expressed in the bvrR mutant compared to parental strain: BAB1 _ 0237, BAB1 _ 0891 ( exoR), BAB1 _ 1397, BAB2 _ 0118 ( vjbR), BAB2 _ 0762 ( ompR), BAB2 _ 1127 and BAB2 _ 1152.	bvrR,90,94,Protein	BAB1 _ 0237,131,142,Protein	BAB1 _ 0891,144,155,Protein	exoR,158,162,Protein	BAB1 _ 1397,165,176,Protein	BAB2 _ 0118,178,189,Protein	vjbR,192,196,Protein	BAB2 _ 0762,199,210,Protein	ompR,213,217,Protein	BAB2 _ 1127,220,231,Protein	BAB2 _ 1152,236,247,Protein	"[{""token"": ""bvrR"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0237"", ""start_span"": 131, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""BAB1 _ 0891"", ""start_span"": 144, ""end_span"": 155, ""type"": ""Protein""}, {""token"": ""exoR"", ""start_span"": 158, ""end_span"": 162, ""type"": ""Protein""}, {""token"": ""BAB1 _ 1397"", ""start_span"": 165, ""end_span"": 176, ""type"": ""Protein""}, {""token"": ""BAB2 _ 0118"", ""start_span"": 178, ""end_span"": 189, ""type"": ""Protein""}, {""token"": ""vjbR"", ""start_span"": 192, ""end_span"": 196, ""type"": ""Protein""}, {""token"": ""BAB2 _ 0762"", ""start_span"": 199, ""end_span"": 210, ""type"": ""Protein""}, {""token"": ""ompR"", ""start_span"": 213, ""end_span"": 217, ""type"": ""Protein""}, {""token"": ""BAB2 _ 1127"", ""start_span"": 220, ""end_span"": 231, ""type"": ""Protein""}, {""token"": ""BAB2 _ 1152"", ""start_span"": 236, ""end_span"": 247, ""type"": ""Protein""}]"	train
The expression levels of hilA and invF were previously shown to be affected by both HilC and HilD ( 8, 9, 16) but since hilC levels are unaffected by the mlc mutation ( Figure 2A) we speculated that Mlc was regulating hilA and invF expression indirectly probably by modulating the expression of hilD or the higher regulator of hilD.	hilA,25,29,Protein	invF,34,38,Protein	HilC,84,88,Protein	HilD,93,97,Protein	hilC,120,124,Protein	mlc,154,157,Protein	Mlc,199,202,Protein	hilA,218,222,Protein	invF,227,231,Protein	hilD,295,299,Protein	hilD,327,331,Protein	"[{""token"": ""hilA"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""invF"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""HilC"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""HilD"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""hilC"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""mlc"", ""start_span"": 154, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""Mlc"", ""start_span"": 199, ""end_span"": 202, ""type"": ""Protein""}, {""token"": ""hilA"", ""start_span"": 218, ""end_span"": 222, ""type"": ""Protein""}, {""token"": ""invF"", ""start_span"": 227, ""end_span"": 231, ""type"": ""Protein""}, {""token"": ""hilD"", ""start_span"": 295, ""end_span"": 299, ""type"": ""Protein""}, {""token"": ""hilD"", ""start_span"": 327, ""end_span"": 331, ""type"": ""Protein""}]"	valid
Therefore, while rcsC mutations disrupt the RcsF - - > RcsC - - > RcsD - - > RcsB phosphorelay cascade, the phosphorylation of RcsB cannot be fully reversed in the absence of RcsC phosphatase activity, as observed by the reduced flhDC - lacZ expression and motility exhibited by rcsC and rcsD mutants ( Figure 4).	rcsC,17,21,Protein	RcsF,44,48,Protein	RcsC,55,59,Protein	RcsD,66,70,Protein	RcsB,77,81,Protein	RcsB,127,131,Protein	RcsC,175,179,Protein	flhDC,229,234,Protein	lacZ,237,241,Protein	rcsC,279,283,Protein	rcsD,288,292,Protein	"[{""token"": ""rcsC"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Protein""}, {""token"": ""RcsF"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""RcsC"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""RcsD"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""RcsB"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""RcsB"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Protein""}, {""token"": ""RcsC"", ""start_span"": 175, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""flhDC"", ""start_span"": 229, ""end_span"": 234, ""type"": ""Protein""}, {""token"": ""lacZ"", ""start_span"": 237, ""end_span"": 241, ""type"": ""Protein""}, {""token"": ""rcsC"", ""start_span"": 279, ""end_span"": 283, ""type"": ""Protein""}, {""token"": ""rcsD"", ""start_span"": 288, ""end_span"": 292, ""type"": ""Protein""}]"	test
Among these were PduA, PduB, PduG, PduL, PduM and PduT as well as CobT, CbiH, CbiF, CbiC, and CbiL.	PduA,17,21,Protein	PduB,23,27,Protein	PduG,29,33,Protein	PduL,35,39,Protein	PduM,41,45,Protein	PduT,50,54,Protein	CobT,66,70,Protein	CbiH,72,76,Protein	CbiF,78,82,Protein	CbiC,84,88,Protein	CbiL,94,98,Protein	"[{""token"": ""PduA"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Protein""}, {""token"": ""PduB"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Protein""}, {""token"": ""PduG"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""PduL"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""PduM"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""PduT"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""CobT"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""CbiH"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Protein""}, {""token"": ""CbiF"", ""start_span"": 78, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""CbiC"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Protein""}, {""token"": ""CbiL"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Protein""}]"	test
Five of these were up - regulated in vivo ( sohB, hbpA, kpsF, apxIVA, phoR) and six were down - regulated ( nlpI, visC, proQ, APL _ 1456, APL _ 1135 and nusG).	sohB,44,48,Protein	hbpA,50,54,Protein	kpsF,56,60,Protein	apxIVA,62,68,Protein	phoR,70,74,Protein	nlpI,108,112,Protein	visC,114,118,Protein	proQ,120,124,Protein	APL _ 1456,126,136,Protein	APL _ 1135,138,148,Protein	nusG,153,157,Protein	"[{""token"": ""sohB"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""hbpA"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""kpsF"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""apxIVA"", ""start_span"": 62, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""phoR"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""nlpI"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""visC"", ""start_span"": 114, ""end_span"": 118, ""type"": ""Protein""}, {""token"": ""proQ"", ""start_span"": 120, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""APL _ 1456"", ""start_span"": 126, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""APL _ 1135"", ""start_span"": 138, ""end_span"": 148, ""type"": ""Protein""}, {""token"": ""nusG"", ""start_span"": 153, ""end_span"": 157, ""type"": ""Protein""}]"	test
