Sentence	entity_1	entity_2	json	split
We verified the differential expression of spy2039 and spy0130 by qRT - PCR.	spy2039,43,50,Protein	spy0130,55,62,Protein	"[{""token"": ""spy2039"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}]"	train
When SpeB expression is limited, several streptococcal proteins necessary for adherence remain intact [ 24, 32, 33]; thus, decreased SpeB production ( as indicated here) may promote pharyngeal cell attachment.	SpeB,5,9,Protein	SpeB,133,137,Protein	"[{""token"": ""SpeB"", ""start_span"": 5, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""SpeB"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Protein""}]"	train
Furthermore, SpeB abolishes internalization ( following adherence) of certain streptococcal strains by epithelial cells ( including Detroit 562 cells), a process mediated in part by the fibronectin - binding protein F [ 34, 35].	SpeB,13,17,Protein	fibronectin - binding protein F,186,217,Protein	"[{""token"": ""SpeB"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""fibronectin - binding protein F"", ""start_span"": 186, ""end_span"": 217, ""type"": ""Protein""}]"	train
The speH gene ( spy1008) was induced, and the remaining genes, hypothetically involved in replication and regulation [ 39], were downregulated.	speH,4,8,Protein	spy1008,16,23,Protein	"[{""token"": ""speH"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""spy1008"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Protein""}]"	train
Increased expression of speH during pharyngeal cell adherence suggests that the SpeH exotoxin is either necessary for adherence, or is a component of a downstream infection process.	speH,24,28,Protein	SpeH,80,84,Protein	"[{""token"": ""speH"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""SpeH"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}]"	train
To determine if SpeH plays a direct role in the adherence process, we created a deletion mutant in strain SF370 ( SF370DeltaspeH), which was confirmed by PCR ( unpublished data) and RT - PCR ( Figure 1A) and tested in vitro for adherence to human pharyngeal cells.	SpeH,16,20,Protein	SF370DeltaspeH,114,128,Protein	"[{""token"": ""SpeH"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""SF370DeltaspeH"", ""start_span"": 114, ""end_span"": 128, ""type"": ""Protein""}]"	train
For example, we initially identified ( Table 1) the significant upregulation of three of the five known gene members of the folate biosynthetic pathway [ 40] ( spy1096 - 1100), but GenomeCrawler identified a significant cluster containing all five genes ( Table 3 and Figure 2B).	spy1096,160,167,Protein	1100,170,174,Protein	"[{""token"": ""spy1096"", ""start_span"": 160, ""end_span"": 167, ""type"": ""Protein""}, {""token"": ""1100"", ""start_span"": 170, ""end_span"": 174, ""type"": ""Protein""}]"	train
We obtained a similar result for the eight - gene operon encoding the F0F1 - type proton translocating ATPase [ 41] ( spy0754 - 0761).	spy0754,118,125,Protein	0761,128,132,Protein	"[{""token"": ""spy0754"", ""start_span"": 118, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""0761"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Protein""}]"	train
For example, the streptolysin operon encodes an internal terminator downstream of the sagA gene ( the first gene in the operon), which modulates the abundance of particular mRNA species ( e. g., sagA mRNA versus the polycistronic message for all nine genes) under different environmental conditions [ 45].	sagA,86,90,Protein	sagA,195,199,Protein	"[{""token"": ""sagA"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Protein""}, {""token"": ""sagA"", ""start_span"": 195, ""end_span"": 199, ""type"": ""Protein""}]"	train
Recently, it was reported that the four genes spanning spy0127 - 0130 encode, and are responsible for, the formation of surface - localized, trypsin - resistant pili that induce protective immunity against a lethal dose of group A streptococci in a mouse model of infection [ 36].	spy0127,55,62,Protein	0130,65,69,Protein	"[{""token"": ""spy0127"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""0130"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Protein""}]"	train
We determined experimentally that cluster spy0127 - 0130 is an operon, verifying both related function and regulation of the gene members.	spy0127,42,49,Protein	0130,52,56,Protein	"[{""token"": ""spy0127"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""0130"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}]"	train
Allelic replacement created two putative deletion mutants; however, RT - PCR analysis ( Figure 4A) revealed that only one such clone ( SF370Deltaspy0129. 2) was a true knock - out for the spy0129 gene and useful for further study.	SF370Deltaspy0129,135,152,Protein	spy0129,188,195,Protein	"[{""token"": ""SF370Deltaspy0129"", ""start_span"": 135, ""end_span"": 152, ""type"": ""Protein""}, {""token"": ""spy0129"", ""start_span"": 188, ""end_span"": 195, ""type"": ""Protein""}]"	train
These results suggest that either the spy0130 gene product is involved directly in adherence, or that due to the elimination of the sortase, the pili, which may function in their entirety as adhesins, were not assembled on the surface of the mutant.	spy0130,38,45,Protein	sortase,132,139,Protein	"[{""token"": ""spy0130"", ""start_span"": 38, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""sortase"", ""start_span"": 132, ""end_span"": 139, ""type"": ""Protein""}]"	train
We are working to produce an in - frame deletion of spy0128 and a spy0130 single knock - out mutant to delineate the contribution of each individual clustered gene product to adherence.	spy0128,52,59,Protein	spy0130,66,73,Protein	"[{""token"": ""spy0128"", ""start_span"": 52, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 66, ""end_span"": 73, ""type"": ""Protein""}]"	train
Another cluster, spy1725 - 1719, contained six genes that together ( though not individually) exhibited significant downregulation.	spy1725,17,24,Protein	1719,27,31,Protein	"[{""token"": ""spy1725"", ""start_span"": 17, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""1719"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Protein""}]"	train
We examined the spy1725 and spy1723 gene products ( annotated as hypothetical proteins [ 14]) for similarities with known proteins that might indicate a role for these gene products in protein biosynthesis.	spy1725,16,23,Protein	spy1723,28,35,Protein	"[{""token"": ""spy1725"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""spy1723"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Protein""}]"	train
The spy1723 gene product has similar domain structure to the YlxR protein of S. pneumoniae, an RNA - binding protein implicated in transcription termination [ 53].	spy1723,4,11,Protein	YlxR,61,65,Protein	"[{""token"": ""spy1723"", ""start_span"": 4, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""YlxR"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Protein""}]"	train
For example, the algorithm identified a significant neighbor cluster spanning spy0711 - 0712.	spy0711,78,85,Protein	0712,88,92,Protein	"[{""token"": ""spy0711"", ""start_span"": 78, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""0712"", ""start_span"": 88, ""end_span"": 92, ""type"": ""Protein""}]"	train
This grouping encodes two known virulence factors, pyrogenic exotoxin SpeC and the MF2 DNase, previously shown to be commonly regulated as an operon [ 11].	SpeC,70,74,Protein	MF2,83,86,Protein	"[{""token"": ""SpeC"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""MF2"", ""start_span"": 83, ""end_span"": 86, ""type"": ""Protein""}]"	train
Porphyromonas gingivalis short fimbriae are regulated by a FimS / FimR two - component system	FimS,59,63,Protein	FimR,66,70,Protein	"[{""token"": ""FimS"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}]"	train
Here, the novel finding that FimR, a member of the two - component regulatory system, is a transcriptional activator of the mfa1 gene is promoted.	FimR,29,33,Protein	mfa1,124,128,Protein	"[{""token"": ""FimR"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Protein""}]"	train
The long ( major) filamentous structure is comprised of a FimA subunit protein encoded by the fimA gene.	FimA,58,62,Protein	fimA,94,98,Protein	"[{""token"": ""FimA"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Protein""}]"	train
The function of the FimA protein and regulation of fimA expression have been extensively studied.	FimA,20,24,Protein	fimA,51,55,Protein	"[{""token"": ""FimA"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}]"	train
A P. gingivalis fimA mutant shows impaired invasion capability of epithelial cells compared with wild - type strain, suggesting the involvement of FimA in the bacterial interaction with surface receptor ( s) on gingival cells ( Weinberg et al., 1997).	fimA,16,20,Protein	FimA,147,151,Protein	"[{""token"": ""fimA"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""FimA"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Protein""}]"	train
Coadhesion and biofilm development between P. gingivalis and Streptococcus gordonii require the interaction of Mfa1 with streptococcal protein SspB ( Park et al., 2005).	Mfa1,111,115,Protein	SspB,143,147,Protein	"[{""token"": ""Mfa1"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Protein""}, {""token"": ""SspB"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Protein""}]"	train
In a nutrient - limited medium, expression of FimA and Mfa1 are inhibited in P. gingivalis, whereas such differences are not found in gingipain expression.	FimA,46,50,Protein	Mfa1,55,59,Protein	"[{""token"": ""FimA"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""Mfa1"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Protein""}]"	train
In this study, it is demonstrated that FimR is a positive regulator of Mfa1 expression.	FimR,39,43,Protein	Mfa1,71,75,Protein	"[{""token"": ""FimR"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""Mfa1"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Protein""}]"	train
1a, expression of the fimA gene was abolished in the fimR - mutant strain FRE.	fimA,22,26,Protein	fimR,53,57,Protein	"[{""token"": ""fimA"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}]"	train
This analysis revealed that the expression of the fimA and mfa1 genes was consistent at the mRNA level and protein level ( Fig. 1b).	fimA,50,54,Protein	mfa1,59,63,Protein	"[{""token"": ""fimA"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}]"	train
It is likely that mfa1 gene possesses two functional promoters, which are also detected in the fimA gene of P. gingivalis ( Xie & Lamont, 1999; Nishikawa et al., 2004).	mfa1,18,22,Protein	fimA,95,99,Protein	"[{""token"": ""mfa1"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 95, ""end_span"": 99, ""type"": ""Protein""}]"	train
Binding of FimR to the promoter region of mfa1	FimR,11,15,Protein	mfa1,42,46,Protein	"[{""token"": ""FimR"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Protein""}]"	train
The previous study has shown that the mechanism of FimR activation of the fimA gene involves a regulatory cascade ( Nishikawa et al., 2004).	FimR,51,55,Protein	fimA,74,78,Protein	"[{""token"": ""FimR"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Protein""}]"	train
