Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	json	split
For example, RopB ( encoded by spy2042), a member of the Rgg family of response regulators, interacts with a number of regulatory networks throughout the streptococcal genome ( e. g., mga, csrRS, sagA, and fasBCA), affecting the transcription of numerous proteins, virulence factors, and two - component regulatory systems [ 42, 43].	RopB,13,17,Protein	spy2042,31,38,Protein	Rgg,57,60,Protein	mga,184,187,Protein	csrRS,189,194,Protein	sagA,196,200,Protein	fasBCA,206,212,Protein	"[{""token"": ""RopB"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""spy2042"", ""start_span"": 31, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""Rgg"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""mga"", ""start_span"": 184, ""end_span"": 187, ""type"": ""Protein""}, {""token"": ""csrRS"", ""start_span"": 189, ""end_span"": 194, ""type"": ""Protein""}, {""token"": ""sagA"", ""start_span"": 196, ""end_span"": 200, ""type"": ""Protein""}, {""token"": ""fasBCA"", ""start_span"": 206, ""end_span"": 212, ""type"": ""Protein""}]"	train
In addition, NirA ( Rv2391), a putative nitrite reductase and MmpL10 - FadD21 ( Rv1183 - 85c), which were all identified by TraSH analysis as potentially implicated in virulence [ 16], seem to be regulated by PhoP [ 12, 21].	NirA,13,17,Protein	Rv2391,20,26,Protein	MmpL10,62,68,Protein	FadD21,71,77,Protein	Rv1183,80,86,Protein	85c,89,92,Protein	PhoP,209,213,Protein	"[{""token"": ""NirA"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""Rv2391"", ""start_span"": 20, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""MmpL10"", ""start_span"": 62, ""end_span"": 68, ""type"": ""Protein""}, {""token"": ""FadD21"", ""start_span"": 71, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""Rv1183"", ""start_span"": 80, ""end_span"": 86, ""type"": ""Protein""}, {""token"": ""85c"", ""start_span"": 89, ""end_span"": 92, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 209, ""end_span"": 213, ""type"": ""Protein""}]"	train
Altogether, from these reports it seems plausible that the pleiotropic regulator PhoP is involved in the regulation of rv3612c - rv3616c expression and thereby influences ESAT - 6 secretion and virulence [ 16], but to unambiguously answer this question, virulence tests with recombinant H37Ra and / or phoP ko strains that express rv3616c - 3612c under a constitutive promoter or a tetracycline inducable expression system [ 39] will be needed.	PhoP,81,85,Protein	rv3612c,119,126,Protein	rv3616c,129,136,Protein	ESAT - 6,171,179,Protein	phoP,302,306,Protein	rv3616c,331,338,Protein	3612c,341,346,Protein	"[{""token"": ""PhoP"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Protein""}, {""token"": ""rv3612c"", ""start_span"": 119, ""end_span"": 126, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 129, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 171, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 302, ""end_span"": 306, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 331, ""end_span"": 338, ""type"": ""Protein""}, {""token"": ""3612c"", ""start_span"": 341, ""end_span"": 346, ""type"": ""Protein""}]"	train
In contrast, P. luminescens produces several factors involved in host cell interaction without homologues in Y. enterocolitica, namely Plu2096 which is similar to lectin PA - I, Plu1561 with strong homology to a Ca2 + dependent adhesion molecule, the adhesin Plu2433 similar to a virulence factor of the Gram - negative plant pathogen Erwinia carotovora, EvF, which is involved in colonisation of the D. melanogaster gut epithelium [ 80], and the putative invasin Plu2064.	Plu2096,135,142,Protein	lectin,163,169,Protein	PA - I,170,176,Protein	Plu1561,178,185,Protein	Plu2433,259,266,Protein	EvF,355,358,Protein	Plu2064,464,471,Protein	"[{""token"": ""Plu2096"", ""start_span"": 135, ""end_span"": 142, ""type"": ""Protein""}, {""token"": ""lectin"", ""start_span"": 163, ""end_span"": 169, ""type"": ""Protein""}, {""token"": ""PA - I"", ""start_span"": 170, ""end_span"": 176, ""type"": ""Protein""}, {""token"": ""Plu1561"", ""start_span"": 178, ""end_span"": 185, ""type"": ""Protein""}, {""token"": ""Plu2433"", ""start_span"": 259, ""end_span"": 266, ""type"": ""Protein""}, {""token"": ""EvF"", ""start_span"": 355, ""end_span"": 358, ""type"": ""Protein""}, {""token"": ""Plu2064"", ""start_span"": 464, ""end_span"": 471, ""type"": ""Protein""}]"	train
One of those exoenzymes is the phospholipase A ( YplA) with an accessory protein ( YplB) of Y. enterocolitica ( YE1005 / YE1006) which are also present in P. luminescens ( Plu3370 / Plu3369).	phospholipase A,31,46,Protein	YplA,49,53,Protein	YplB,83,87,Protein	YE1005,112,118,Protein	YE1006,121,127,Protein	Plu3370,172,179,Protein	Plu3369,182,189,Protein	"[{""token"": ""phospholipase A"", ""start_span"": 31, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""YplA"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""YplB"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""YE1005"", ""start_span"": 112, ""end_span"": 118, ""type"": ""Protein""}, {""token"": ""YE1006"", ""start_span"": 121, ""end_span"": 127, ""type"": ""Protein""}, {""token"": ""Plu3370"", ""start_span"": 172, ""end_span"": 179, ""type"": ""Protein""}, {""token"": ""Plu3369"", ""start_span"": 182, ""end_span"": 189, ""type"": ""Protein""}]"	train
The expression of the other virulence - associated genes, such as IgG degrading protease of GAS, Mac - 1 - like protein ( mac), nicotine adenine dinucleotide glycohydrolase ( nga), polysaccharide capsule production ( hasA), and C5a peptidase ( scpA), was also upregulted in the severe invasive GAS, greater than that detected in the non - invasive GAS ( Figure 5A).	IgG,66,69,Protein	GAS,92,95,Protein	Mac - 1,97,104,Protein	mac,122,125,Protein	nga,175,178,Protein	hasA,217,221,Protein	scpA,244,248,Protein	"[{""token"": ""IgG"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""GAS"", ""start_span"": 92, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""Mac - 1"", ""start_span"": 97, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""mac"", ""start_span"": 122, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""nga"", ""start_span"": 175, ""end_span"": 178, ""type"": ""Protein""}, {""token"": ""hasA"", ""start_span"": 217, ""end_span"": 221, ""type"": ""Protein""}, {""token"": ""scpA"", ""start_span"": 244, ""end_span"": 248, ""type"": ""Protein""}]"	train
The frequency of the mutation in the csrS gene is higher than that in csrR ( csrS mutation: csrR mutation = 59: 19) ( manuscript in preparation), suggesting the csrS mutation is more important in comparison with that of csrR in the clinical isolates regardless of emm genotypes.	csrS,37,41,Protein	csrR,70,74,Protein	csrS,77,81,Protein	csrR,92,96,Protein	csrS,161,165,Protein	csrR,220,224,Protein	emm,264,267,Protein	"[{""token"": ""csrS"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Protein""}, {""token"": ""csrR"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Protein""}, {""token"": ""csrS"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""csrR"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""csrS"", ""start_span"": 161, ""end_span"": 165, ""type"": ""Protein""}, {""token"": ""csrR"", ""start_span"": 220, ""end_span"": 224, ""type"": ""Protein""}, {""token"": ""emm"", ""start_span"": 264, ""end_span"": 267, ""type"": ""Protein""}]"	train
Strains containing mutations in phoP / phoQ, ssrA / ssrB, slyA, and ompR / envZ showed at least 100 - fold decreases in transcription of all SPI - 2 genes ( Figure 4).	phoP,32,36,Protein	phoQ,39,43,Protein	ssrA,45,49,Protein	ssrB,52,56,Protein	slyA,58,62,Protein	ompR,68,72,Protein	envZ,75,79,Protein	"[{""token"": ""phoP"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""phoQ"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""ssrA"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""ssrB"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""slyA"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""ompR"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""envZ"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Protein""}]"	train
The construct strongly complemented ompR / envZ, phoP / phoQ, csrA and himD, suggesting that the effect of these regulators on SPI - 2 expression may be indirect via regulation of slyA.	ompR,36,40,Protein	envZ,43,47,Protein	phoP,49,53,Protein	phoQ,56,60,Protein	csrA,62,66,Protein	himD,71,75,Protein	slyA,180,184,Protein	"[{""token"": ""ompR"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""envZ"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""phoQ"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""csrA"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""himD"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""slyA"", ""start_span"": 180, ""end_span"": 184, ""type"": ""Protein""}]"	train
Furthermore there was a clear dichotomy in expression between the first two SPI - 2 operons encoding ssaB - ssaE and sseA - sseG and the operons further downstream ( ssaG - ssaQ) suggesting that slyA may act at different sites within SPI - 2.	ssaB,101,105,Protein	ssaE,108,112,Protein	sseA,117,121,Protein	sseG,124,128,Protein	ssaG,166,170,Protein	ssaQ,173,177,Protein	slyA,195,199,Protein	"[{""token"": ""ssaB"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}, {""token"": ""ssaE"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Protein""}, {""token"": ""sseA"", ""start_span"": 117, ""end_span"": 121, ""type"": ""Protein""}, {""token"": ""sseG"", ""start_span"": 124, ""end_span"": 128, ""type"": ""Protein""}, {""token"": ""ssaG"", ""start_span"": 166, ""end_span"": 170, ""type"": ""Protein""}, {""token"": ""ssaQ"", ""start_span"": 173, ""end_span"": 177, ""type"": ""Protein""}, {""token"": ""slyA"", ""start_span"": 195, ""end_span"": 199, ""type"": ""Protein""}]"	train
