We verified the differential expression of spy2039 and spy0130 by qRT - PCR.	"spy2039	43	50	Protein"	"spy0130	55	62	Protein"	"[{""token"": ""spy2039"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}]"
When SpeB expression is limited, several streptococcal proteins necessary for adherence remain intact [ 24, 32, 33]; thus, decreased SpeB production ( as indicated here) may promote pharyngeal cell attachment.	"SpeB	5	9	Protein"	"SpeB	133	137	Protein"	"[{""token"": ""SpeB"", ""start_span"": 5, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""SpeB"", ""start_span"": 133, ""end_span"": 137, ""type"": ""Protein""}]"
Furthermore, SpeB abolishes internalization ( following adherence) of certain streptococcal strains by epithelial cells ( including Detroit 562 cells), a process mediated in part by the fibronectin - binding protein F [ 34, 35].	"SpeB	13	17	Protein"	"fibronectin - binding protein F	186	217	Protein"	"[{""token"": ""SpeB"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""fibronectin - binding protein F"", ""start_span"": 186, ""end_span"": 217, ""type"": ""Protein""}]"
The speH gene ( spy1008) was induced, and the remaining genes, hypothetically involved in replication and regulation [ 39], were downregulated.	"speH	4	8	Protein"	"spy1008	16	23	Protein"	"[{""token"": ""speH"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""spy1008"", ""start_span"": 16, ""end_span"": 23, ""type"": ""Protein""}]"
Increased expression of speH during pharyngeal cell adherence suggests that the SpeH exotoxin is either necessary for adherence, or is a component of a downstream infection process.	"speH	24	28	Protein"	"SpeH	80	84	Protein"	"[{""token"": ""speH"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""SpeH"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}]"
To determine if SpeH plays a direct role in the adherence process, we created a deletion mutant in strain SF370 ( SF370DeltaspeH), which was confirmed by PCR ( unpublished data) and RT - PCR ( Figure 1A) and tested in vitro for adherence to human pharyngeal cells.	"SpeH	16	20	Protein"	"SF370DeltaspeH	114	128	Protein"	"[{""token"": ""SpeH"", ""start_span"": 16, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""SF370DeltaspeH"", ""start_span"": 114, ""end_span"": 128, ""type"": ""Protein""}]"
For example, we initially identified ( Table 1) the significant upregulation of three of the five known gene members of the folate biosynthetic pathway [ 40] ( spy1096 - 1100), but GenomeCrawler identified a significant cluster containing all five genes ( Table 3 and Figure 2B).	"spy1096	160	167	Protein"	"1100	170	174	Protein"	"[{""token"": ""spy1096"", ""start_span"": 160, ""end_span"": 167, ""type"": ""Protein""}, {""token"": ""1100"", ""start_span"": 170, ""end_span"": 174, ""type"": ""Protein""}]"
We obtained a similar result for the eight - gene operon encoding the F0F1 - type proton translocating ATPase [ 41] ( spy0754 - 0761).	"spy0754	118	125	Protein"	"0761	128	132	Protein"	"[{""token"": ""spy0754"", ""start_span"": 118, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""0761"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Protein""}]"
For example, the streptolysin operon encodes an internal terminator downstream of the sagA gene ( the first gene in the operon), which modulates the abundance of particular mRNA species ( e. g., sagA mRNA versus the polycistronic message for all nine genes) under different environmental conditions [ 45].	"sagA	86	90	Protein"	"sagA	195	199	Protein"	"[{""token"": ""sagA"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Protein""}, {""token"": ""sagA"", ""start_span"": 195, ""end_span"": 199, ""type"": ""Protein""}]"
Recently, it was reported that the four genes spanning spy0127 - 0130 encode, and are responsible for, the formation of surface - localized, trypsin - resistant pili that induce protective immunity against a lethal dose of group A streptococci in a mouse model of infection [ 36].	"spy0127	55	62	Protein"	"0130	65	69	Protein"	"[{""token"": ""spy0127"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""0130"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Protein""}]"
We determined experimentally that cluster spy0127 - 0130 is an operon, verifying both related function and regulation of the gene members.	"spy0127	42	49	Protein"	"0130	52	56	Protein"	"[{""token"": ""spy0127"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Protein""}, {""token"": ""0130"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}]"
