PmrD binds to the phosphorylated form of PmrA protecting it from dephosphorylation by PmrB ( Kato and Groisman, 2004).	"PmrD	0	4	Protein"	"PmrA	41	45	Protein"	"PmrB	86	90	Protein"	"[{""token"": ""PmrD"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""PmrB"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Protein""}]"
Here we show that PmrA ' s cognate sensor kinase PmrB is required for responding to external changes in pH through a mechanism that requires a histidine and several glutamic acid residues located in its periplasmic domain, as well as the post - translational activator PmrD protein.	"PmrA	18	22	Protein"	"PmrB	49	53	Protein"	"PmrD	269	273	Protein"	"[{""token"": ""PmrA"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""PmrB"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""PmrD"", ""start_span"": 269, ""end_span"": 273, ""type"": ""Protein""}]"
Moreover, a mutant expressing a derivative of the PmrA protein that cannot be phosphorylated due to substitution of the putative phosphorylation residue aspartate 51 by alanine ( Kato and Groisman, 2004) completely failed to promote transcription of PmrA - activated genes in response to pH 5. 8, in a similar fashion to the pmrA strain ( A. Kato and E. A. Groisman, unpubl. results).	"PmrA	50	54	Protein"	"PmrA	250	254	Protein"	"pmrA	325	329	Protein"	"[{""token"": ""PmrA"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 250, ""end_span"": 254, ""type"": ""Protein""}, {""token"": ""pmrA"", ""start_span"": 325, ""end_span"": 329, ""type"": ""Protein""}]"
The PhoP - activated PmrD protein favours the phosphorylated state of the PmrA protein ( Fig. 1) ( Kato and Groisman, 2004).	"PhoP	4	8	Protein"	"PmrD	21	25	Protein"	"PmrA	74	78	Protein"	"[{""token"": ""PhoP"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""PmrD"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Protein""}]"
This could be because PmrB is directly involved in sensing extracytoplasmic pH in a way analogous to its sensing of Fe3 + and Al3 + ( Wosten et al., 2000), or because PmrB plays an indirect role in its capacity of main ( if not sole) phosphodonor for PmrA.	"PmrB	22	26	Protein"	"PmrB	167	171	Protein"	"PmrA	251	255	Protein"	"[{""token"": ""PmrB"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""PmrB"", ""start_span"": 167, ""end_span"": 171, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 251, ""end_span"": 255, ""type"": ""Protein""}]"
In fact, PmrB is required for the activation of PmrA - regulated genes in response to the low Mg2 + signal, which is sensed by the PhoQ protein ( Kato and Groisman, 2004) ( Fig. 1).	"PmrB	9	13	Protein"	"PmrA	48	52	Protein"	"PhoQ	131	135	Protein"	"[{""token"": ""PmrB"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""PhoQ"", ""start_span"": 131, ""end_span"": 135, ""type"": ""Protein""}]"
We have established that the sensor kinase PmrB is the primary sensor that activates the PmrA protein when Salmonella experiences mild acid pH, resulting in transcription of PmrA - activated genes ( Fig. 1).	"PmrB	43	47	Protein"	"PmrA	89	93	Protein"	"PmrA	174	178	Protein"	"[{""token"": ""PmrB"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 174, ""end_span"": 178, ""type"": ""Protein""}]"
Finally, while a role for the PmrA - dependent LPS modifications in the previously described acid tolerance response is unlikely because survival to acid stress ( pH approximately3) was not reduced in cells deficient in pmrA ( data not shown and Bearson et al., 1998), some of the PmrA - regulated genes to which no function has been ascribed yet could mediate other cellular responses to acid pH.	"PmrA	30	34	Protein"	"pmrA	220	224	Protein"	"PmrA	281	285	Protein"	"[{""token"": ""PmrA"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""pmrA"", ""start_span"": 220, ""end_span"": 224, ""type"": ""Protein""}, {""token"": ""PmrA"", ""start_span"": 281, ""end_span"": 285, ""type"": ""Protein""}]"
We found that the two known promoters of hilE were not modulated by Mlc, and we identified a third promoter, designated P3, which was repressed by Mlc.	"hilE	41	45	Protein"	"Mlc	68	71	Protein"	"Mlc	147	150	Protein"	"[{""token"": ""hilE"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Protein""}, {""token"": ""Mlc"", ""start_span"": 68, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""Mlc"", ""start_span"": 147, ""end_span"": 150, ""type"": ""Protein""}]"
The gel mobility shift assay and footprinting analysis revealed that Mlc repressed hilE in a direct manner by binding to two distinct sites in the hilE P3 promoter region.	"Mlc	69	72	Protein"	"hilE	83	87	Protein"	"hilE	147	151	Protein"	"[{""token"": ""Mlc"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""hilE"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Protein""}]"
