SpeB ( encoded by spy2039) is a multifunctional cysteine protease implicated in numerous infection strategies [ 28, 29].	"SpeB	0	4	Protein"	"spy2039	18	25	Protein"	"cysteine protease	48	65	Protein"	"[{""token"": ""SpeB"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""spy2039"", ""start_span"": 18, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""cysteine protease"", ""start_span"": 48, ""end_span"": 65, ""type"": ""Protein""}]"
Although the delineation of genes influenced by RopB ( or any identified transcriptional regulator) is beyond the scope of this study, our initial analysis did identify the upregulation of a two - component regulatory system, encoded by spy1236 - 1237.	"RopB	48	52	Protein"	"spy1236	237	244	Protein"	"1237	247	251	Protein"	"[{""token"": ""RopB"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""spy1236"", ""start_span"": 237, ""end_span"": 244, ""type"": ""Protein""}, {""token"": ""1237"", ""start_span"": 247, ""end_span"": 251, ""type"": ""Protein""}]"
For example, the nine - gene operon that spans genes spy0738 - 0746 encodes streptolysin S, a potent cytolytic toxin that promotes internalization and host tissue dissemination [ 25, 44].	"spy0738	53	60	Protein"	"0746	63	67	Protein"	"streptolysin S	76	90	Protein"	"[{""token"": ""spy0738"", ""start_span"": 53, ""end_span"": 60, ""type"": ""Protein""}, {""token"": ""0746"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""streptolysin S"", ""start_span"": 76, ""end_span"": 90, ""type"": ""Protein""}]"
Furthermore, the spy0128 - encoded protein is the structural backbone of the pili, and the gene product of spy0130 may be involved in stabilizing the structure [ 36].	"spy0128	17	24	Protein"	"gene product	91	103	Protein"	"spy0130	107	114	Protein"	"[{""token"": ""spy0128"", ""start_span"": 17, ""end_span"": 24, ""type"": ""Protein""}, {""token"": ""gene product"", ""start_span"": 91, ""end_span"": 103, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 107, ""end_span"": 114, ""type"": ""Protein""}]"
Although operon - modeling methods exist [ 54, 55], we inspected clusters in silico for upstream regulatory elements and identified 17 candidates, including clusters such as streptolysin S that have been previously confirmed as operons [ 56]; the spy0127 - 0130 grouping, which was confirmed as an operon in this study; and others that have yet to be verified ( Table S6).	"streptolysin S	174	188	Protein"	"spy0127	247	254	Protein"	"0130	257	261	Protein"	"[{""token"": ""streptolysin S"", ""start_span"": 174, ""end_span"": 188, ""type"": ""Protein""}, {""token"": ""spy0127"", ""start_span"": 247, ""end_span"": 254, ""type"": ""Protein""}, {""token"": ""0130"", ""start_span"": 257, ""end_span"": 261, ""type"": ""Protein""}]"
Expression of the fimA gene is tightly controlled by a two - component system ( FimS / FimR) through a cascade regulation.	"fimA	18	22	Protein"	"FimS	80	84	Protein"	"FimR	87	91	Protein"	"[{""token"": ""fimA"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""FimS"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Protein""}]"
To investigate effects of FimR on expression of the mfa1 gene, an insertional fimR mutant was constructed by allelic replacement.	"FimR	26	30	Protein"	"mfa1	52	56	Protein"	"fimR	78	82	Protein"	"[{""token"": ""FimR"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 78, ""end_span"": 82, ""type"": ""Protein""}]"
Expression of fimA and mfa1 in the fimR - mutant was determined using real - time PCR analysis.	"fimA	14	18	Protein"	"mfa1	23	27	Protein"	"fimR	35	39	Protein"	"[{""token"": ""fimA"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}]"
The striking finding is that expression of the mfa1 gene was also repressed threefold in the fimR - mutant, although not to the degree observed with the fimA expression.	"mfa1	47	51	Protein"	"fimR	93	97	Protein"	"fimA	153	157	Protein"	"[{""token"": ""mfa1"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 153, ""end_span"": 157, ""type"": ""Protein""}]"
However, the fimR - mutation had no effect on expression of rgpA, a gene encoding the arginine - specific protease, or the P. gingivalis 16S RNA gene.	"fimR	13	17	Protein"	"rgpA	60	64	Protein"	"16S RNA	137	144	Protein"	"[{""token"": ""fimR"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""rgpA"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Protein""}, {""token"": ""16S RNA"", ""start_span"": 137, ""end_span"": 144, ""type"": ""Protein""}]"
This analysis suggests the FimS / FimR system is required for expression of both major and minor fimbriae.	"FimS	27	31	Protein"	"FimR	34	38	Protein"	"minor fimbriae	91	105	Protein"	"[{""token"": ""FimS"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""minor fimbriae"", ""start_span"": 91, ""end_span"": 105, ""type"": ""Protein""}]"
Similarly, there was no apparent change in RgpA production in the fimR - mutant, which was detected by anti - RgpA serum.	"RgpA	43	47	Protein"	"fimR	66	70	Protein"	"RgpA	110	114	Protein"	"[{""token"": ""RgpA"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}, {""token"": ""RgpA"", ""start_span"": 110, ""end_span"": 114, ""type"": ""Protein""}]"
One possibility is that FimR modulates mfa1 expression by directly binding to the promoter region of mfa1.	"FimR	24	28	Protein"	"mfa1	39	43	Protein"	"mfa1	101	105	Protein"	"[{""token"": ""FimR"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Protein""}]"
The mfa1 promoter ( positioned from + 18 to - 138), fimA promoter ( positioned from - 22 to - 190) ( Xie & Lamont, 1999) and mfa1 coding DNA ( positioned from + 1253 to + 1373) were generated by PCR with the 5 ' biotin - labeled primers ( Table 1).	"mfa1	4	8	Protein"	"fimA	52	56	Protein"	"mfa1	125	129	Protein"	"[{""token"": ""mfa1"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 125, ""end_span"": 129, ""type"": ""Protein""}]"
Retarded mfa1 promoter - rFimR complex was detected with as little as 10 pmol muL - 1 rFimR ( Fig. 3).	"mfa1	9	13	Protein"	"rFimR	25	30	Protein"	"rFimR	86	91	Protein"	"[{""token"": ""mfa1"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""rFimR"", ""start_span"": 25, ""end_span"": 30, ""type"": ""Protein""}, {""token"": ""rFimR"", ""start_span"": 86, ""end_span"": 91, ""type"": ""Protein""}]"
The unlabeled mfa1 promoter fragments effectively competed with the labeled fragment, suggesting a specific interaction between rFimA and the mfa1 promoter.	"mfa1	14	18	Protein"	"rFimA	128	133	Protein"	"mfa1	142	146	Protein"	"[{""token"": ""mfa1"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Protein""}, {""token"": ""rFimA"", ""start_span"": 128, ""end_span"": 133, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Protein""}]"
To investigate the role of phosphorylation of FimR in its binding to the mfa1 promoter region, EMSA experiments were also performed with the phosphorylated rFimR.	"FimR	46	50	Protein"	"mfa1	73	77	Protein"	"rFimR	156	161	Protein"	"[{""token"": ""FimR"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Protein""}, {""token"": ""rFimR"", ""start_span"": 156, ""end_span"": 161, ""type"": ""Protein""}]"
These data clearly show that FimR protein can bind specifically to the mfa1 promoter region, acting as an activator of mfa1 transcription.	"FimR	29	33	Protein"	"mfa1	71	75	Protein"	"mfa1	119	123	Protein"	"[{""token"": ""FimR"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 71, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Protein""}]"
The biotin - labeled DNA fragment corresponding to this promoter region did not shift in the presence of the rFimA protein ( data not shown), suggesting that only the promoter identified here is involved for mfa1 expression mediated by FimR.	"rFimA	109	114	Protein"	"mfa1	208	212	Protein"	"FimR	236	240	Protein"	"[{""token"": ""rFimA"", ""start_span"": 109, ""end_span"": 114, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 208, ""end_span"": 212, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 236, ""end_span"": 240, ""type"": ""Protein""}]"
Although most target genes of P. gingivalis two - component systems are unknown, the role of the FimS / FimR in expression of the fimA gene is well defined.	"FimS	97	101	Protein"	"FimR	104	108	Protein"	"fimA	130	134	Protein"	"[{""token"": ""FimS"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""FimR"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 130, ""end_span"": 134, ""type"": ""Protein""}]"
Expression of minor fimbriae ( mfa1) in a fimR mutanthas been investigated.	"minor fimbriae	14	28	Protein"	"mfa1	31	35	Protein"	"fimR	42	46	Protein"	"[{""token"": ""minor fimbriae"", ""start_span"": 14, ""end_span"": 28, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Protein""}]"
It has also been reported previously that the transcriptional activity of fimA was reduced in the fimA mutant, indicating multiple levels of control of fimA expression in P. gingivalis ( Xie et al., 2000a).	"fimA	74	78	Protein"	"fimA	98	102	Protein"	"fimA	152	156	Protein"	"[{""token"": ""fimA"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 152, ""end_span"": 156, ""type"": ""Protein""}]"
The observations that FimR binds only to the upstream promoter region of the mfa1 gene and that activity of the downstream promoter is inhibited by S. gordonii, S. sanguinis and S. mitis ( Park et al., 2006) imply the complexity of regulation of mfa1 expression.	"FimR	22	26	Protein"	"mfa1	77	81	Protein"	"mfa1	246	250	Protein"	"[{""token"": ""FimR"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 246, ""end_span"": 250, ""type"": ""Protein""}]"
