This same report provided the first experimental evidence supporting the sortase prediction, indicating that the gene product of spy0129 is responsible for the cell - wall sorting of the proteins encoded by both spy0128 ( annotated as a Cpa homolog [ 50]) and spy0130 ( annotated as a protein F homolog [ 14]).	"sortase	73	80	Protein"	"spy0129	129	136	Protein"	"spy0128	212	219	Protein"	"Cpa	237	240	Protein"	"spy0130	260	267	Protein"	"protein F	285	294	Protein"	"[{""token"": ""sortase"", ""start_span"": 73, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""spy0129"", ""start_span"": 129, ""end_span"": 136, ""type"": ""Protein""}, {""token"": ""spy0128"", ""start_span"": 212, ""end_span"": 219, ""type"": ""Protein""}, {""token"": ""Cpa"", ""start_span"": 237, ""end_span"": 240, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 260, ""end_span"": 267, ""type"": ""Protein""}, {""token"": ""protein F"", ""start_span"": 285, ""end_span"": 294, ""type"": ""Protein""}]"
The genes spy1724, spy1722, spy1721, and spy1719 share transcriptional order and predicted function with homologs in the nusA - infB protein biosynthesis operon of Bacillus subtilis and Escherichia coli [ 51].	"spy1724	10	17	Protein"	"spy1722	19	26	Protein"	"spy1721	28	35	Protein"	"spy1719	41	48	Protein"	"nusA	121	125	Protein"	"infB	128	132	Protein"	"[{""token"": ""spy1724"", ""start_span"": 10, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""spy1722"", ""start_span"": 19, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""spy1721"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""spy1719"", ""start_span"": 41, ""end_span"": 48, ""type"": ""Protein""}, {""token"": ""nusA"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""infB"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Protein""}]"
Two of the identified upregulated clusters ( spy2009 - 2010 and spy2039 - 2040) encoding the well - studied virulence factors, C5a peptidase and SpeB, respectively, showed consistently large log2 - fold changes of the genes across replicates [ 57].	"spy2009	45	52	Protein"	"2010	55	59	Protein"	"spy2039	64	71	Protein"	"2040	74	78	Protein"	"C5a peptidase	127	140	Protein"	"SpeB	145	149	Protein"	"[{""token"": ""spy2009"", ""start_span"": 45, ""end_span"": 52, ""type"": ""Protein""}, {""token"": ""2010"", ""start_span"": 55, ""end_span"": 59, ""type"": ""Protein""}, {""token"": ""spy2039"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""2040"", ""start_span"": 74, ""end_span"": 78, ""type"": ""Protein""}, {""token"": ""C5a peptidase"", ""start_span"": 127, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""SpeB"", ""start_span"": 145, ""end_span"": 149, ""type"": ""Protein""}]"
To determine production of long ( major) and short ( minor) fimbriae in the fimR - mutant, western blotting was performed with a polyclonal anti - FimA or anti - Mfa1 antibody to compare fimbrial production in wild - type strain ( 33277), the fimR - mutant ( FRE), the fimA - mutant ( FAT) and the mfa1 - mutant ( MFAE).	"fimR	76	80	Protein"	"FimA	147	151	Protein"	"Mfa1	162	166	Protein"	"fimR	243	247	Protein"	"fimA	269	273	Protein"	"mfa1	298	302	Protein"	"[{""token"": ""fimR"", ""start_span"": 76, ""end_span"": 80, ""type"": ""Protein""}, {""token"": ""FimA"", ""start_span"": 147, ""end_span"": 151, ""type"": ""Protein""}, {""token"": ""Mfa1"", ""start_span"": 162, ""end_span"": 166, ""type"": ""Protein""}, {""token"": ""fimR"", ""start_span"": 243, ""end_span"": 247, ""type"": ""Protein""}, {""token"": ""fimA"", ""start_span"": 269, ""end_span"": 273, ""type"": ""Protein""}, {""token"": ""mfa1"", ""start_span"": 298, ""end_span"": 302, ""type"": ""Protein""}]"
Together, our findings correlate perfectly with the in vivo data described above and suggest that the lack of ESAT - 6 specific T cell recognition for H37Ra, H37Ra:: fadE5, H37Ra:: rpsL, and SO2 is not caused by a loss of ESAT - 6 expression, but rather due to a failure of ( phoP dependent) ESAT - 6 secretion.	"ESAT - 6	110	118	Protein"	"fadE5	166	171	Protein"	"rpsL	181	185	Protein"	"ESAT - 6	222	230	Protein"	"phoP	276	280	Protein"	"ESAT - 6	292	300	Protein"	"[{""token"": ""ESAT - 6"", ""start_span"": 110, ""end_span"": 118, ""type"": ""Protein""}, {""token"": ""fadE5"", ""start_span"": 166, ""end_span"": 171, ""type"": ""Protein""}, {""token"": ""rpsL"", ""start_span"": 181, ""end_span"": 185, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 222, ""end_span"": 230, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 276, ""end_span"": 280, ""type"": ""Protein""}, {""token"": ""ESAT - 6"", ""start_span"": 292, ""end_span"": 300, ""type"": ""Protein""}]"
We confirmed the trend that rv3614c was expressed much lower in H37Ra compared to H37Rv by qRT - PCR ( Figure 6), whereas expression of rv3614c in H37Ra:: phoP was restored to wild - type levels, suggesting that the rv3612c - rv3616c gene cluster is regulated by PhoP.	"rv3614c	28	35	Protein"	"rv3614c	136	143	Protein"	"phoP	155	159	Protein"	"rv3612c	216	223	Protein"	"rv3616c	226	233	Protein"	"PhoP	263	267	Protein"	"[{""token"": ""rv3614c"", ""start_span"": 28, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""rv3614c"", ""start_span"": 136, ""end_span"": 143, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 155, ""end_span"": 159, ""type"": ""Protein""}, {""token"": ""rv3612c"", ""start_span"": 216, ""end_span"": 223, ""type"": ""Protein""}, {""token"": ""rv3616c"", ""start_span"": 226, ""end_span"": 233, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 263, ""end_span"": 267, ""type"": ""Protein""}]"
The putative target genes of Plu0102 / Plu0103 and Ye4185 / Ye4186, plu0104 and ye4187, respectively, are homologues and encode putative secreted proteins which might act in a similar, yet unknown manner.	"Plu0102	29	36	Protein"	"Plu0103	39	46	Protein"	"Ye4185	51	57	Protein"	"Ye4186	60	66	Protein"	"plu0104	68	75	Protein"	"ye4187	80	86	Protein"	"[{""token"": ""Plu0102"", ""start_span"": 29, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""Plu0103"", ""start_span"": 39, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""Ye4185"", ""start_span"": 51, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""Ye4186"", ""start_span"": 60, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""plu0104"", ""start_span"": 68, ""end_span"": 75, ""type"": ""Protein""}, {""token"": ""ye4187"", ""start_span"": 80, ""end_span"": 86, ""type"": ""Protein""}]"
2, and include PhoP / PhoQ, and AstS / AstR ( BvgS / BvgR) which have been identified to be involved in virulence [ 28].	"PhoP	15	19	Protein"	"PhoQ	22	26	Protein"	"AstS	32	36	Protein"	"AstR	39	43	Protein"	"BvgS	46	50	Protein"	"BvgR	53	57	Protein"	"[{""token"": ""PhoP"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""PhoQ"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""AstS"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Protein""}, {""token"": ""AstR"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""BvgS"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""BvgR"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}]"
The DeltaluxS mutant also showed decreased expression of virulence factors such as the cytotoxic protein CcdB, the hemolysin secretion protein HlyD ( Plu0635), and the toxin ABC transporter subunits RtxD / RtxB.	"DeltaluxS	4	13	Protein"	"CcdB	105	109	Protein"	"HlyD	143	147	Protein"	"Plu0635	150	157	Protein"	"RtxD	199	203	Protein"	"RtxB	206	210	Protein"	"[{""token"": ""DeltaluxS"", ""start_span"": 4, ""end_span"": 13, ""type"": ""Protein""}, {""token"": ""CcdB"", ""start_span"": 105, ""end_span"": 109, ""type"": ""Protein""}, {""token"": ""HlyD"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Protein""}, {""token"": ""Plu0635"", ""start_span"": 150, ""end_span"": 157, ""type"": ""Protein""}, {""token"": ""RtxD"", ""start_span"": 199, ""end_span"": 203, ""type"": ""Protein""}, {""token"": ""RtxB"", ""start_span"": 206, ""end_span"": 210, ""type"": ""Protein""}]"
Both genomes share an UspA - like ( Plu0121 and YE4050) and an UspE - like ( Plu2178 and YE2076) homologue.	"UspA	22	26	Protein"	"Plu0121	36	43	Protein"	"YE4050	48	54	Protein"	"UspE	63	67	Protein"	"Plu2178	77	84	Protein"	"YE2076	89	95	Protein"	"[{""token"": ""UspA"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""Plu0121"", ""start_span"": 36, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""YE4050"", ""start_span"": 48, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""UspE"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""Plu2178"", ""start_span"": 77, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""YE2076"", ""start_span"": 89, ""end_span"": 95, ""type"": ""Protein""}]"
Examples identified are Txp40, a 40 kD insecticidal toxin [ 69], the nematicidal toxin ( Xnp2) first described in X. bovienii ( accession number AJ296651. 1), galA ( plu0840) similar to the enterotoxin Ast of Aeromonas hydrophila which is involved in carbohydrate transport and metabolism [ 70], and two dermonecrotizing toxin - ( dnt -) like factors ( plu2400 and plu2420).	"Txp40	24	29	Protein"	"Xnp2	89	93	Protein"	"galA	159	163	Protein"	"plu0840	166	173	Protein"	"plu2400	353	360	Protein"	"plu2420	365	372	Protein"	"[{""token"": ""Txp40"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Protein""}, {""token"": ""Xnp2"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}, {""token"": ""galA"", ""start_span"": 159, ""end_span"": 163, ""type"": ""Protein""}, {""token"": ""plu0840"", ""start_span"": 166, ""end_span"": 173, ""type"": ""Protein""}, {""token"": ""plu2400"", ""start_span"": 353, ""end_span"": 360, ""type"": ""Protein""}, {""token"": ""plu2420"", ""start_span"": 365, ""end_span"": 372, ""type"": ""Protein""}]"
Further invasin genes of Y. enterocolitica with counterparts in P. luminescens are ysaV ( ye3546 / plu3761) and invF ( ye3549 / plu3775).	"ysaV	83	87	Protein"	"ye3546	90	96	Protein"	"plu3761	99	106	Protein"	"invF	112	116	Protein"	"ye3549	119	125	Protein"	"plu3775	128	135	Protein"	"[{""token"": ""ysaV"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Protein""}, {""token"": ""ye3546"", ""start_span"": 90, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""plu3761"", ""start_span"": 99, ""end_span"": 106, ""type"": ""Protein""}, {""token"": ""invF"", ""start_span"": 112, ""end_span"": 116, ""type"": ""Protein""}, {""token"": ""ye3549"", ""start_span"": 119, ""end_span"": 125, ""type"": ""Protein""}, {""token"": ""plu3775"", ""start_span"": 128, ""end_span"": 135, ""type"": ""Protein""}]"
Y. enterocolitica genes not present in P. luminescens are ye1873 encoding the adhesin YadA which is maximally expressed at 37degreesC, and the invasin genes invE, ysaH, ye3550, and ye3555.	"ye1873	58	64	Protein"	"YadA	86	90	Protein"	"invE	157	161	Protein"	"ysaH	163	167	Protein"	"ye3550	169	175	Protein"	"ye3555	181	187	Protein"	"[{""token"": ""ye1873"", ""start_span"": 58, ""end_span"": 64, ""type"": ""Protein""}, {""token"": ""YadA"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Protein""}, {""token"": ""invE"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Protein""}, {""token"": ""ysaH"", ""start_span"": 163, ""end_span"": 167, ""type"": ""Protein""}, {""token"": ""ye3550"", ""start_span"": 169, ""end_span"": 175, ""type"": ""Protein""}, {""token"": ""ye3555"", ""start_span"": 181, ""end_span"": 187, ""type"": ""Protein""}]"
Furthermore, we found homologues of the Y. enterocolitica low - calcium - response genes ( lcrH, lcrV, and lrcD) in P. luminescens ( plu3757, plu3758, sctV) which further supports this hypothesis.	"lcrH	91	95	Protein"	"lcrV	97	101	Protein"	"lrcD	107	111	Protein"	"plu3757	133	140	Protein"	"plu3758	142	149	Protein"	"sctV	151	155	Protein"	"[{""token"": ""lcrH"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Protein""}, {""token"": ""lcrV"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Protein""}, {""token"": ""lrcD"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""plu3757"", ""start_span"": 133, ""end_span"": 140, ""type"": ""Protein""}, {""token"": ""plu3758"", ""start_span"": 142, ""end_span"": 149, ""type"": ""Protein""}, {""token"": ""sctV"", ""start_span"": 151, ""end_span"": 155, ""type"": ""Protein""}]"
Further metabolic genes common to both pathogens are dctA responsible for transport of C4 - dicarboxylates across the membrane, the UhpABC regulatory system controlling the hexose phosphate transport by UhpT, and the three Mg2 + transport systems CorA, MgtA and MgtB.	"dctA	53	57	Protein"	"UhpABC	132	138	Protein"	"UhpT	203	207	Protein"	"CorA	247	251	Protein"	"MgtA	253	257	Protein"	"MgtB	262	266	Protein"	"[{""token"": ""dctA"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Protein""}, {""token"": ""UhpABC"", ""start_span"": 132, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""UhpT"", ""start_span"": 203, ""end_span"": 207, ""type"": ""Protein""}, {""token"": ""CorA"", ""start_span"": 247, ""end_span"": 251, ""type"": ""Protein""}, {""token"": ""MgtA"", ""start_span"": 253, ""end_span"": 257, ""type"": ""Protein""}, {""token"": ""MgtB"", ""start_span"": 262, ""end_span"": 266, ""type"": ""Protein""}]"
We now show a direct and previously unrecognized link between functional loss of a factor CsrS of two - component sensor / regulator system ( CsrS / CsrR: also known as CovS / CovR) and escape from killing by PMN via inducing necrosis to them and digesting IL - 8, a PMN - attracting chemokine.	"CsrS	90	94	Protein"	"CsrS	142	146	Protein"	"CsrR	149	153	Protein"	"CovS	169	173	Protein"	"CovR	176	180	Protein"	"IL - 8	257	263	Protein"	"[{""token"": ""CsrS"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""CsrS"", ""start_span"": 142, ""end_span"": 146, ""type"": ""Protein""}, {""token"": ""CsrR"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Protein""}, {""token"": ""CovS"", ""start_span"": 169, ""end_span"": 173, ""type"": ""Protein""}, {""token"": ""CovR"", ""start_span"": 176, ""end_span"": 180, ""type"": ""Protein""}, {""token"": ""IL - 8"", ""start_span"": 257, ""end_span"": 263, ""type"": ""Protein""}]"
