Sentence	entity_1	entity_2	entity_3	json	split
We used this approach to analyze microarray expression data from group A streptococci ( Streptococcus pyogenes) during adherence to human pharyngeal cells, the first overt infection step [ 7].	group A streptococci,65,85,Organism	Streptococcus pyogenes,88,110,Organism	human,132,137,Organism	"[{""token"": ""group A streptococci"", ""start_span"": 65, ""end_span"": 85, ""type"": ""Organism""}, {""token"": ""Streptococcus pyogenes"", ""start_span"": 88, ""end_span"": 110, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Organism""}]"	train
"Adherence - Mediated Differential Expression We developed spotted oligonucleotide arrays of the S. pyogenes SF370 ( an M1 serotype) genome [ 14] and compared the transcriptomes of streptococci that adhere to Detroit 562 human pharyngeal cells to non - adherent ( "" associated "") streptococci within the same experiment."	streptococci,180,192,Organism	human,220,225,Organism	streptococci,279,291,Organism	"[{""token"": ""streptococci"", ""start_span"": 180, ""end_span"": 192, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 220, ""end_span"": 225, ""type"": ""Organism""}, {""token"": ""streptococci"", ""start_span"": 279, ""end_span"": 291, ""type"": ""Organism""}]"	train
"One of them is the "" Bacille de Calmette et Guerin "" ( BCG), which was originally derived in 1921 from a virulent Mycobacterium bovis strain by 230 passages on potato - glycerol - ox bile medium [ 1]."	Bacille de Calmette et Guerin,21,50,Organism	BCG,55,58,Organism	Mycobacterium bovis,114,133,Organism	"[{""token"": ""Bacille de Calmette et Guerin"", ""start_span"": 21, ""end_span"": 50, ""type"": ""Organism""}, {""token"": ""BCG"", ""start_span"": 55, ""end_span"": 58, ""type"": ""Organism""}, {""token"": ""Mycobacterium bovis"", ""start_span"": 114, ""end_span"": 133, ""type"": ""Organism""}]"	train
[ 9] transformed a cosmid library of H37Rv into H37Ra and then selected for clones that were enriched on passage through the mouse.	H37Rv,37,42,Organism	H37Ra,48,53,Organism	mouse,125,130,Organism	"[{""token"": ""H37Rv"", ""start_span"": 37, ""end_span"": 42, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Organism""}]"	train
In a first attempt to determine the virulence of the complemented H37Ra knock - in strains relative to wild - type H37Ra and H37Rv, bone marrow - derived murine macrophages ( BMM) were infected with the different strains at a multiplicity of infection ( MOI) of 1: 1 and 10: 1 bacteria per cell.	H37Ra,66,71,Organism	H37Ra,115,120,Organism	H37Rv,125,130,Organism	"[{""token"": ""H37Ra"", ""start_span"": 66, ""end_span"": 71, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 115, ""end_span"": 120, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Organism""}]"	train
However, in comparison to the corresponding MT103 wild - type strain, the SO2 strain showed a strongly reduced ESAT - 6 and CFP - 10 specific T cell response, corresponding to a similar low level as the H37Ra strain ( Figure 3B).	MT103,44,49,Organism	SO2,74,77,Organism	H37Ra,203,208,Organism	"[{""token"": ""MT103"", ""start_span"": 44, ""end_span"": 49, ""type"": ""Organism""}, {""token"": ""SO2"", ""start_span"": 74, ""end_span"": 77, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 203, ""end_span"": 208, ""type"": ""Organism""}]"	train
Thus, in order to determine the reason for the observed failure of H37Ra to induce ESAT - 6 - specific responses, H37Rv and H37Ra strains were tested for their potential to express and secrete ESAT - 6 in vitro.	H37Ra,67,72,Organism	H37Rv,114,119,Organism	H37Ra,124,129,Organism	"[{""token"": ""H37Ra"", ""start_span"": 67, ""end_span"": 72, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 114, ""end_span"": 119, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 124, ""end_span"": 129, ""type"": ""Organism""}]"	train
As closer inspection of the available literature on transcriptional analyses of a H37Rv - phoP ko strain [ 21] and H37Ra [ 12] suggested that the expression of gene cluster rv3612c - rv3616c is reduced in both strains, we evaluated the expression level of rv3614c in H37Rv, H37Ra, and H37Ra:: phoP by quantitative real time PCR ( qRT - PCR).	H37Ra,115,120,Organism	H37Rv,267,272,Organism	H37Ra,274,279,Organism	"[{""token"": ""H37Ra"", ""start_span"": 115, ""end_span"": 120, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 267, ""end_span"": 272, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 274, ""end_span"": 279, ""type"": ""Organism""}]"	train
Steenken et al. have shown that the virulence of the H37 strain was associated with colony morphology and that the avirulent variant H37Ra failed to propagate in an ordinarily susceptible host while the virulent variant H37Rv was able to proliferate [ 6].	H37,53,56,Organism	H37Ra,133,138,Organism	H37Rv,220,225,Organism	"[{""token"": ""H37"", ""start_span"": 53, ""end_span"": 56, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 133, ""end_span"": 138, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 220, ""end_span"": 225, ""type"": ""Organism""}]"	train
However, as previously observed in complementation studies of BCG [ 18], the level of virulence displayed by the phoP complemented H37Ra strain was still substantially below that of wild - type H37Rv, arguing that the strong attenuation of the H37Ra strain is likely based on several different genetic lesions, such as the one responsible for the absence of phthiocerol dimycocerosates ( PDIM) [ 29], that were probably introduced into this strain during years of continued culture following the original event of attenuation described by Steenken et al. in 1934 [ 6].	BCG,62,65,Organism	H37Rv,194,199,Organism	H37Ra,244,249,Organism	"[{""token"": ""BCG"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 194, ""end_span"": 199, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 244, ""end_span"": 249, ""type"": ""Organism""}]"	train
