Sentence	entity_1	entity_2	entity_3	entity_4	json	split
To determine production of long ( major) and short ( minor) fimbriae in the fimR - mutant, western blotting was performed with a polyclonal anti - FimA or anti - Mfa1 antibody to compare fimbrial production in wild - type strain ( 33277), the fimR - mutant ( FRE), the fimA - mutant ( FAT) and the mfa1 - mutant ( MFAE).	33277,231,236,Organism	FRE,259,262,Organism	FAT,285,288,Organism	MFAE,314,318,Organism	"[{""token"": ""33277"", ""start_span"": 231, ""end_span"": 236, ""type"": ""Organism""}, {""token"": ""FRE"", ""start_span"": 259, ""end_span"": 262, ""type"": ""Organism""}, {""token"": ""FAT"", ""start_span"": 285, ""end_span"": 288, ""type"": ""Organism""}, {""token"": ""MFAE"", ""start_span"": 314, ""end_span"": 318, ""type"": ""Organism""}]"	train
Two of the most widely used attenuated strains in the history of tuberculosis research are Mycobacterium bovis BCG ( BCG) and Mycobacterium tuberculosis H37Ra ( H37Ra), which both lost their virulence during in vitro serial passage.	Mycobacterium bovis BCG,91,114,Organism	BCG,117,120,Organism	Mycobacterium tuberculosis H37Ra,126,158,Organism	H37Ra,161,166,Organism	"[{""token"": ""Mycobacterium bovis BCG"", ""start_span"": 91, ""end_span"": 114, ""type"": ""Organism""}, {""token"": ""BCG"", ""start_span"": 117, ""end_span"": 120, ""type"": ""Organism""}, {""token"": ""Mycobacterium tuberculosis H37Ra"", ""start_span"": 126, ""end_span"": 158, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 161, ""end_span"": 166, ""type"": ""Organism""}]"	train
Groups of C57BL / 6 mice were subcutaneously inoculated with H37Rv, H37Ra, or one of three recombinant H37Ra strains complemented with phoP, fadE5, or rpsL, respectively.	C57BL / 6 mice,10,24,Organism	H37Rv,61,66,Organism	H37Ra,68,73,Organism	H37Ra,103,108,Organism	"[{""token"": ""C57BL / 6 mice"", ""start_span"": 10, ""end_span"": 24, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 103, ""end_span"": 108, ""type"": ""Organism""}]"	train
As shown in Figure 3, splenocytes from mice that were inoculated with H37Rv produced high amounts of IFN - gamma upon stimulation with ESAT - 6 or CFP - 10, whereas the responses of H37Ra, H37Ra:: fadE5, and H37Ra:: rpsL infected mice were extremely weak.	mice,39,43,Organism	H37Rv,70,75,Organism	H37Ra,182,187,Organism	mice,230,234,Organism	"[{""token"": ""mice"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 70, ""end_span"": 75, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 182, ""end_span"": 187, ""type"": ""Organism""}, {""token"": ""mice"", ""start_span"": 230, ""end_span"": 234, ""type"": ""Organism""}]"	train
This test is based on the presentation of the immunodominant epitope contained in the first 20 amino acids of ESAT - 6 by H37Ra, recombinant H37Ra, or H37Rv infected bone marrow - derived dendritic cells ( BM - DC) to an ESAT - 6 - specific T cell hybridoma ( NB11), restricted by I - Ab.	H37Ra,122,127,Organism	H37Ra,141,146,Organism	H37Rv,151,156,Organism	ESAT - 6,221,229,Organism	"[{""token"": ""H37Ra"", ""start_span"": 122, ""end_span"": 127, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 141, ""end_span"": 146, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 151, ""end_span"": 156, ""type"": ""Organism""}, {""token"": ""ESAT - 6"", ""start_span"": 221, ""end_span"": 229, ""type"": ""Organism""}]"	train
Most interestingly, about two thirds of these 44 genes were also found substantially lower expressed in H37Ra in comparison to H37Rv, when the transcriptional profiles of H37Ra and H37Rv cultures grown in various media were examined [ 12].	H37Ra,104,109,Organism	H37Rv,127,132,Organism	H37Ra,171,176,Organism	H37Rv,181,186,Organism	"[{""token"": ""H37Ra"", ""start_span"": 104, ""end_span"": 109, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 127, ""end_span"": 132, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 171, ""end_span"": 176, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 181, ""end_span"": 186, ""type"": ""Organism""}]"	train
Some of these low temperature - induced genes are restricted to a narrow spectrum of bacterial genera such as Burkholderia, Pseudomonas, Serratia, or Erwinia, all of which are known to be associated with soil, plants or insects.	Burkholderia,110,122,Organism	Pseudomonas,124,135,Organism	Serratia,137,145,Organism	Erwinia,150,157,Organism	"[{""token"": ""Burkholderia"", ""start_span"": 110, ""end_span"": 122, ""type"": ""Organism""}, {""token"": ""Pseudomonas"", ""start_span"": 124, ""end_span"": 135, ""type"": ""Organism""}, {""token"": ""Serratia"", ""start_span"": 137, ""end_span"": 145, ""type"": ""Organism""}, {""token"": ""Erwinia"", ""start_span"": 150, ""end_span"": 157, ""type"": ""Organism""}]"	train
The csrS mutants from clinical severe invasive GAS isolates exhibited high mortality and disseminated infection with paucity of neutrophils, a characteristic pathology seen in human invasive GAS infection, in a mouse model.	invasive GAS,38,50,Organism	human,176,181,Organism	invasive GAS,182,194,Organism	mouse,211,216,Organism	"[{""token"": ""invasive GAS"", ""start_span"": 38, ""end_span"": 50, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 176, ""end_span"": 181, ""type"": ""Organism""}, {""token"": ""invasive GAS"", ""start_span"": 182, ""end_span"": 194, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 211, ""end_span"": 216, ""type"": ""Organism""}]"	train
Streptococcus pyogenes ( group A streptococcus; GAS) is one of the most common human pathogens.	Streptococcus pyogenes,0,22,Organism	group A streptococcus,25,46,Organism	GAS,48,51,Organism	human,79,84,Organism	"[{""token"": ""Streptococcus pyogenes"", ""start_span"": 0, ""end_span"": 22, ""type"": ""Organism""}, {""token"": ""group A streptococcus"", ""start_span"": 25, ""end_span"": 46, ""type"": ""Organism""}, {""token"": ""GAS"", ""start_span"": 48, ""end_span"": 51, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 79, ""end_span"": 84, ""type"": ""Organism""}]"	train
As previous reports suggested that the GAS envelope peptidase ScpC ( also known as SpyCEP) degrades the CXC chemokines, such as human IL - 8, Groalpha, murine KC and MIP - 2 [ 17] - [ 19], we established a NIH230 mutant deficient with ScpC ( NIH230scpC) and analyzed the property in a PMN migration assay.	GAS,39,42,Organism	human,128,133,Organism	murine,152,158,Organism	NIH230 mutant,206,219,Organism	"[{""token"": ""GAS"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 128, ""end_span"": 133, ""type"": ""Organism""}, {""token"": ""murine"", ""start_span"": 152, ""end_span"": 158, ""type"": ""Organism""}, {""token"": ""NIH230 mutant"", ""start_span"": 206, ""end_span"": 219, ""type"": ""Organism""}]"	train
