The acid tolerance response of Salmonella results in the synthesis of over 50 acid shock proteins ( Bearson et al., 1998) that are likely to function primarily when variations in internal pH occur, i. e. when Salmonella experiences severe acidic conditions ( pH approximately3) ( Foster, 2004).	"Salmonella	31	41	Organism"	"Salmonella	209	219	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 31, ""end_span"": 41, ""type"": ""Organism""}, {""token"": ""Salmonella"", ""start_span"": 209, ""end_span"": 219, ""type"": ""Organism""}]"
The PmrA protein and its cognate sensor kinase PmrB form a two - component regulatory system that is required for virulence in mice ( Gunn et al., 2000), infection of chicken macrophages ( Zhao et al., 2002), growth in soil ( Chamnongpol et al., 2002), resistance to the cationic peptide antibiotic polymyxin B ( Roland et al., 1993) and resistance to Fe3 + - ( Wosten et al., 2000) and Al3 + - mediated killing ( Nishino et al., 2006).	"mice	127	131	Organism"	"chicken	167	174	Organism"	"[{""token"": ""mice"", ""start_span"": 127, ""end_span"": 131, ""type"": ""Organism""}, {""token"": ""chicken"", ""start_span"": 167, ""end_span"": 174, ""type"": ""Organism""}]"
This may be particularly important for Salmonella living in soil due to the fact that the antimicrobial peptide polymyxin B is produced by the soil bacterium Paenibacillus polymyxa ( Paulus and Gray, 1964) and because the solubility of metals such as Fe3 + increases in acid pH.	"Salmonella	39	49	Organism"	"Paenibacillus polymyxa	158	180	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 39, ""end_span"": 49, ""type"": ""Organism""}, {""token"": ""Paenibacillus polymyxa"", ""start_span"": 158, ""end_span"": 180, ""type"": ""Organism""}]"
Salmonella enterica serovar Typhimurium is a facultative intracellular pathogen that initiates disease, which is normally limited to gastroenteritis in humans.	"Salmonella enterica serovar Typhimurium	0	39	Organism"	"humans	152	158	Organism"	"[{""token"": ""Salmonella enterica serovar Typhimurium"", ""start_span"": 0, ""end_span"": 39, ""type"": ""Organism""}, {""token"": ""humans"", ""start_span"": 152, ""end_span"": 158, ""type"": ""Organism""}]"
We examined the ability of an mlc mutant, SR1304, to invade cultured HEp - 2 and HeLa epithelial cells.	"SR1304	42	48	Organism"	"HEp - 2	69	76	Organism"	"[{""token"": ""SR1304"", ""start_span"": 42, ""end_span"": 48, ""type"": ""Organism""}, {""token"": ""HEp - 2"", ""start_span"": 69, ""end_span"": 76, ""type"": ""Organism""}]"
Figure 1C shows that SL1344 killed 42% of the macrophages, whereas SR1304 killed only 16% of the macrophages 4h after infection, which demonstrates that the mlc gene plays an important role in the expression of genes involved in cytotoxicity.	"SL1344	21	27	Organism"	"SR1304	67	73	Organism"	"[{""token"": ""SL1344"", ""start_span"": 21, ""end_span"": 27, ""type"": ""Organism""}, {""token"": ""SR1304"", ""start_span"": 67, ""end_span"": 73, ""type"": ""Organism""}]"
When the number of intracellular bacteria were measured at 2 and 18h post - infection, the degree of replication was similar for SL1344 and SR1304 ( Figure 1D).	"SL1344	129	135	Organism"	"SR1304	140	146	Organism"	"[{""token"": ""SL1344"", ""start_span"": 129, ""end_span"": 135, ""type"": ""Organism""}, {""token"": ""SR1304"", ""start_span"": 140, ""end_span"": 146, ""type"": ""Organism""}]"
Collectively, these results suggest that the main target of Mlc action in Salmonella virulence is SPI1, which is known to encode various genes that are required for Salmonella invasion of host cells.	"Salmonella	74	84	Organism"	"Salmonella	165	175	Organism"	"[{""token"": ""Salmonella"", ""start_span"": 74, ""end_span"": 84, ""type"": ""Organism""}, {""token"": ""Salmonella"", ""start_span"": 165, ""end_span"": 175, ""type"": ""Organism""}]"
To identify the target gene in SPI1 that is regulated by Mlc, the expression patterns of the SPI1 - regulatory genes, which include hilA, invF, hilC and hilD, were examined by primer extension analysis of total RNA from SL1344 and SR1304 grown statically to the exponential phase.	"SL1344	220	226	Organism"	"SR1304	231	237	Organism"	"[{""token"": ""SL1344"", ""start_span"": 220, ""end_span"": 226, ""type"": ""Organism""}, {""token"": ""SR1304"", ""start_span"": 231, ""end_span"": 237, ""type"": ""Organism""}]"
SR1304 exhibited a > 10 - fold reduction in hilA and HilA - dependent invF ( invFA) expression, and about a 3 - fold reduction in hilD and HilC / D - dependent invF ( invFD) expression, compared to SL1344.	"SR1304	0	6	Organism"	"SL1344	198	204	Organism"	"[{""token"": ""SR1304"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Organism""}, {""token"": ""SL1344"", ""start_span"": 198, ""end_span"": 204, ""type"": ""Organism""}]"
When these cells were grown in static cultures to exponential phase, SL1344 - pMAB69 expressed 28. 9 + / - 3. 5 Miller units of beta - galactosidase, whereas SR1304 - pMAB69 expressed 49. 5 + / - 5. 3 Miller units of beta - galactosidase; the level of hilE expression in the mlc mutant was almost 1. 8 - fold higher than that in the wild - type strain.	"SL1344 - pMAB69	69	84	Organism"	"SR1304 - pMAB69	158	173	Organism"	"[{""token"": ""SL1344 - pMAB69"", ""start_span"": 69, ""end_span"": 84, ""type"": ""Organism""}, {""token"": ""SR1304 - pMAB69"", ""start_span"": 158, ""end_span"": 173, ""type"": ""Organism""}]"
SL1344 and SR1304 carrying either pMAB69 ( hilE - lacZY) or pJB5 ( hilD - lacZY) were cultivated in TB that was buffered to pH 7. 0 with 0. 1M MOPS, to minimize pH effects arising from growth in the presence of the various carbon sources.	"SL1344	0	6	Organism"	"SR1304	11	17	Organism"	"[{""token"": ""SL1344"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Organism""}, {""token"": ""SR1304"", ""start_span"": 11, ""end_span"": 17, ""type"": ""Organism""}]"
Knockout of salKR eliminated the lethality of SS2 in experimental infection of piglets.	"SS2	46	49	Organism"	"piglets	79	86	Organism"	"[{""token"": ""SS2"", ""start_span"": 46, ""end_span"": 49, ""type"": ""Organism""}, {""token"": ""piglets"", ""start_span"": 79, ""end_span"": 86, ""type"": ""Organism""}]"
It was previously thought that SS2 caused only sporadic cases of meningitis and sepsis in humans [ 1], [ 2].	"SS2	31	34	Organism"	"humans	90	96	Organism"	"[{""token"": ""SS2"", ""start_span"": 31, ""end_span"": 34, ""type"": ""Organism""}, {""token"": ""humans"", ""start_span"": 90, ""end_span"": 96, ""type"": ""Organism""}]"
To test the role of SalK / SalR in the pathogenesis of SS2, we constructed a homologous suicide plasmid, pUC:: salKR with a SpcR cassette ( Fig. 3A), and electrotransformed the competent cells of 05ZYH33.	"SS2	55	58	Organism"	"05ZYH33	196	203	Organism"	"[{""token"": ""SS2"", ""start_span"": 55, ""end_span"": 58, ""type"": ""Organism""}, {""token"": ""05ZYH33"", ""start_span"": 196, ""end_span"": 203, ""type"": ""Organism""}]"
