We used this approach to analyze microarray expression data from group A streptococci ( Streptococcus pyogenes) during adherence to human pharyngeal cells, the first overt infection step [ 7].	"group A streptococci	65	85	Organism"	"Streptococcus pyogenes	88	110	Organism"	"human	132	137	Organism"	"[{""token"": ""group A streptococci"", ""start_span"": 65, ""end_span"": 85, ""type"": ""Organism""}, {""token"": ""Streptococcus pyogenes"", ""start_span"": 88, ""end_span"": 110, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 132, ""end_span"": 137, ""type"": ""Organism""}]"
"Adherence - Mediated Differential Expression We developed spotted oligonucleotide arrays of the S. pyogenes SF370 ( an M1 serotype) genome [ 14] and compared the transcriptomes of streptococci that adhere to Detroit 562 human pharyngeal cells to non - adherent ( "" associated "") streptococci within the same experiment."	"streptococci	180	192	Organism"	"human	220	225	Organism"	"streptococci	279	291	Organism"	"[{""token"": ""streptococci"", ""start_span"": 180, ""end_span"": 192, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 220, ""end_span"": 225, ""type"": ""Organism""}, {""token"": ""streptococci"", ""start_span"": 279, ""end_span"": 291, ""type"": ""Organism""}]"
"One of them is the "" Bacille de Calmette et Guerin "" ( BCG), which was originally derived in 1921 from a virulent Mycobacterium bovis strain by 230 passages on potato - glycerol - ox bile medium [ 1]."	"Bacille de Calmette et Guerin	21	50	Organism"	"BCG	55	58	Organism"	"Mycobacterium bovis	114	133	Organism"	"[{""token"": ""Bacille de Calmette et Guerin"", ""start_span"": 21, ""end_span"": 50, ""type"": ""Organism""}, {""token"": ""BCG"", ""start_span"": 55, ""end_span"": 58, ""type"": ""Organism""}, {""token"": ""Mycobacterium bovis"", ""start_span"": 114, ""end_span"": 133, ""type"": ""Organism""}]"
[ 9] transformed a cosmid library of H37Rv into H37Ra and then selected for clones that were enriched on passage through the mouse.	"H37Rv	37	42	Organism"	"H37Ra	48	53	Organism"	"mouse	125	130	Organism"	"[{""token"": ""H37Rv"", ""start_span"": 37, ""end_span"": 42, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Organism""}, {""token"": ""mouse"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Organism""}]"
In a first attempt to determine the virulence of the complemented H37Ra knock - in strains relative to wild - type H37Ra and H37Rv, bone marrow - derived murine macrophages ( BMM) were infected with the different strains at a multiplicity of infection ( MOI) of 1: 1 and 10: 1 bacteria per cell.	"H37Ra	66	71	Organism"	"H37Ra	115	120	Organism"	"H37Rv	125	130	Organism"	"[{""token"": ""H37Ra"", ""start_span"": 66, ""end_span"": 71, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 115, ""end_span"": 120, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Organism""}]"
However, in comparison to the corresponding MT103 wild - type strain, the SO2 strain showed a strongly reduced ESAT - 6 and CFP - 10 specific T cell response, corresponding to a similar low level as the H37Ra strain ( Figure 3B).	"MT103	44	49	Organism"	"SO2	74	77	Organism"	"H37Ra	203	208	Organism"	"[{""token"": ""MT103"", ""start_span"": 44, ""end_span"": 49, ""type"": ""Organism""}, {""token"": ""SO2"", ""start_span"": 74, ""end_span"": 77, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 203, ""end_span"": 208, ""type"": ""Organism""}]"
Thus, in order to determine the reason for the observed failure of H37Ra to induce ESAT - 6 - specific responses, H37Rv and H37Ra strains were tested for their potential to express and secrete ESAT - 6 in vitro.	"H37Ra	67	72	Organism"	"H37Rv	114	119	Organism"	"H37Ra	124	129	Organism"	"[{""token"": ""H37Ra"", ""start_span"": 67, ""end_span"": 72, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 114, ""end_span"": 119, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 124, ""end_span"": 129, ""type"": ""Organism""}]"
As closer inspection of the available literature on transcriptional analyses of a H37Rv - phoP ko strain [ 21] and H37Ra [ 12] suggested that the expression of gene cluster rv3612c - rv3616c is reduced in both strains, we evaluated the expression level of rv3614c in H37Rv, H37Ra, and H37Ra:: phoP by quantitative real time PCR ( qRT - PCR).	"H37Ra	115	120	Organism"	"H37Rv	267	272	Organism"	"H37Ra	274	279	Organism"	"[{""token"": ""H37Ra"", ""start_span"": 115, ""end_span"": 120, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 267, ""end_span"": 272, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 274, ""end_span"": 279, ""type"": ""Organism""}]"
Steenken et al. have shown that the virulence of the H37 strain was associated with colony morphology and that the avirulent variant H37Ra failed to propagate in an ordinarily susceptible host while the virulent variant H37Rv was able to proliferate [ 6].	"H37	53	56	Organism"	"H37Ra	133	138	Organism"	"H37Rv	220	225	Organism"	"[{""token"": ""H37"", ""start_span"": 53, ""end_span"": 56, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 133, ""end_span"": 138, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 220, ""end_span"": 225, ""type"": ""Organism""}]"
However, as previously observed in complementation studies of BCG [ 18], the level of virulence displayed by the phoP complemented H37Ra strain was still substantially below that of wild - type H37Rv, arguing that the strong attenuation of the H37Ra strain is likely based on several different genetic lesions, such as the one responsible for the absence of phthiocerol dimycocerosates ( PDIM) [ 29], that were probably introduced into this strain during years of continued culture following the original event of attenuation described by Steenken et al. in 1934 [ 6].	"BCG	62	65	Organism"	"H37Rv	194	199	Organism"	"H37Ra	244	249	Organism"	"[{""token"": ""BCG"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Organism""}, {""token"": ""H37Rv"", ""start_span"": 194, ""end_span"": 199, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 244, ""end_span"": 249, ""type"": ""Organism""}]"
Finally, it is intriguing that both BCG and H37Ra, the two most often used attenuated tubercle bacilli, are attenuated for reasons linked to loss of ESAT - 6 functions.	"BCG	36	39	Organism"	"H37Ra	44	49	Organism"	"tubercle bacilli	86	102	Organism"	"[{""token"": ""BCG"", ""start_span"": 36, ""end_span"": 39, ""type"": ""Organism""}, {""token"": ""H37Ra"", ""start_span"": 44, ""end_span"": 49, ""type"": ""Organism""}, {""token"": ""tubercle bacilli"", ""start_span"": 86, ""end_span"": 102, ""type"": ""Organism""}]"
Tc homologues have also been described to be present in Yersinia spp. and in other insect - associated bacteria such as Serratia entomophila and Xenorhabdus nematophilus [ 62, 63].	"Yersinia	56	64	Organism"	"Serratia entomophila	120	140	Organism"	"Xenorhabdus nematophilus	145	169	Organism"	"[{""token"": ""Yersinia"", ""start_span"": 56, ""end_span"": 64, ""type"": ""Organism""}, {""token"": ""Serratia entomophila"", ""start_span"": 120, ""end_span"": 140, ""type"": ""Organism""}, {""token"": ""Xenorhabdus nematophilus"", ""start_span"": 145, ""end_span"": 169, ""type"": ""Organism""}]"
Beside S. typhimurium, all these genetic determinants were found only in few other bacteria, namely the human pathogens Listeria monocytogenes, and Clostridium perfringens [ 101].	"human	104	109	Organism"	"Listeria monocytogenes	120	142	Organism"	"Clostridium perfringens	148	171	Organism"	"[{""token"": ""human"", ""start_span"": 104, ""end_span"": 109, ""type"": ""Organism""}, {""token"": ""Listeria monocytogenes"", ""start_span"": 120, ""end_span"": 142, ""type"": ""Organism""}, {""token"": ""Clostridium perfringens"", ""start_span"": 148, ""end_span"": 171, ""type"": ""Organism""}]"
The graRS mutant is more susceptible to killing by LL - 37 and human neutrophil granulocytes in vitro In an attempt to test whether the increased affinity of the graRS mutant to cationic molecules leads to higher susceptibility to human host defense peptides, we compared inactivation of WT and graRS mutant by the human cathelicidin LL - 37.	"human	63	68	Organism"	"human	231	236	Organism"	"human	315	320	Organism"	"[{""token"": ""human"", ""start_span"": 63, ""end_span"": 68, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 231, ""end_span"": 236, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 315, ""end_span"": 320, ""type"": ""Organism""}]"
Group A streptococcus isolates from severe invasive infections is resistant to killing by human PMN To examine whether emm49 GAS isolated from severe invasive infection might alter human PMN function, we performed phagocytosis assay in vitro.	"Group A streptococcus	0	21	Organism"	"human	90	95	Organism"	"human	181	186	Organism"	"[{""token"": ""Group A streptococcus"", ""start_span"": 0, ""end_span"": 21, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 90, ""end_span"": 95, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 181, ""end_span"": 186, ""type"": ""Organism""}]"
As non - opsonized GAS was resistant to the phagocytosis by PMN [ 14], we opsonized GAS with human plasma in advance to the assay.	"GAS	19	22	Organism"	"GAS	84	87	Organism"	"human	93	98	Organism"	"[{""token"": ""GAS"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Organism""}, {""token"": ""GAS"", ""start_span"": 84, ""end_span"": 87, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 93, ""end_span"": 98, ""type"": ""Organism""}]"
