Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	entity_6	entity_7	entity_8	entity_9	entity_10	entity_11	json	split
In the present study the effects of the 48 - hour administration of granulocyte - macrophage colony - stimulating factor ( GM - CSF) ( 100 U / mL) or interleukin - 3 ( IL - 3) ( 100 U / mL) on the proliferative activity of leukemic cells and on the intracellular metabolism and cytotoxic efficacy of a subsequent 12 - hour application of cytosine arabinoside ( ara - C) at doses of 0. 1, 1. 0, 10. 0, and 100. 0 mumol / L were evaluated on bone marrow cells from 17 patients with acute myeloid leukemia.	granulocyte - macrophage colony - stimulating factor,68,120,Gene_or_gene_product	GM - CSF,123,131,Gene_or_gene_product	interleukin - 3,150,165,Gene_or_gene_product	IL - 3,168,174,Gene_or_gene_product	leukemic cells,223,237,Cell	intracellular,249,262,Immaterial_anatomical_entity	cytosine arabinoside,338,358,Chemical	ara - C,361,368,Chemical	bone marrow cells,440,457,Cell	patients,466,474,Organism	acute myeloid leukemia,480,502,Cancer	"[{""token"": ""granulocyte - macrophage colony - stimulating factor"", ""start_span"": 68, ""end_span"": 120, ""type"": ""Gene_or_gene_product""}, {""token"": ""GM - CSF"", ""start_span"": 123, ""end_span"": 131, ""type"": ""Gene_or_gene_product""}, {""token"": ""interleukin - 3"", ""start_span"": 150, ""end_span"": 165, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 3"", ""start_span"": 168, ""end_span"": 174, ""type"": ""Gene_or_gene_product""}, {""token"": ""leukemic cells"", ""start_span"": 223, ""end_span"": 237, ""type"": ""Cell""}, {""token"": ""intracellular"", ""start_span"": 249, ""end_span"": 262, ""type"": ""Immaterial_anatomical_entity""}, {""token"": ""cytosine arabinoside"", ""start_span"": 338, ""end_span"": 358, ""type"": ""Chemical""}, {""token"": ""ara - C"", ""start_span"": 361, ""end_span"": 368, ""type"": ""Chemical""}, {""token"": ""bone marrow cells"", ""start_span"": 440, ""end_span"": 457, ""type"": ""Cell""}, {""token"": ""patients"", ""start_span"": 466, ""end_span"": 474, ""type"": ""Organism""}, {""token"": ""acute myeloid leukemia"", ""start_span"": 480, ""end_span"": 502, ""type"": ""Cancer""}]"	train
While in control specimens are ara - C dose - dependent increase in 3H - ara - C uptake was accompanied by a corresponding rise in intracellular ara - C - 5 ' triphosphate ( ara - CTP) levels, ara - CTP concentrations were not increased after GM - CSF or IL - 3 exposure, resulting in a higher ara - C to ara - CTP ratio over controls.	specimens,17,26,Cell	ara - C,31,38,Chemical	3H - ara - C,68,80,Chemical	intracellular,131,144,Immaterial_anatomical_entity	ara - C - 5 ' triphosphate,145,171,Chemical	ara - CTP,174,183,Chemical	ara - CTP,193,202,Chemical	GM - CSF,243,251,Gene_or_gene_product	IL - 3,255,261,Gene_or_gene_product	ara - C,294,301,Chemical	ara - CTP,305,314,Chemical	"[{""token"": ""specimens"", ""start_span"": 17, ""end_span"": 26, ""type"": ""Cell""}, {""token"": ""ara - C"", ""start_span"": 31, ""end_span"": 38, ""type"": ""Chemical""}, {""token"": ""3H - ara - C"", ""start_span"": 68, ""end_span"": 80, ""type"": ""Chemical""}, {""token"": ""intracellular"", ""start_span"": 131, ""end_span"": 144, ""type"": ""Immaterial_anatomical_entity""}, {""token"": ""ara - C - 5 ' triphosphate"", ""start_span"": 145, ""end_span"": 171, ""type"": ""Chemical""}, {""token"": ""ara - CTP"", ""start_span"": 174, ""end_span"": 183, ""type"": ""Chemical""}, {""token"": ""ara - CTP"", ""start_span"": 193, ""end_span"": 202, ""type"": ""Chemical""}, {""token"": ""GM - CSF"", ""start_span"": 243, ""end_span"": 251, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 3"", ""start_span"": 255, ""end_span"": 261, ""type"": ""Gene_or_gene_product""}, {""token"": ""ara - C"", ""start_span"": 294, ""end_span"": 301, ""type"": ""Chemical""}, {""token"": ""ara - CTP"", ""start_span"": 305, ""end_span"": 314, ""type"": ""Chemical""}]"	train
EXPERIMENTAL DESIGN: In this study all of the major members of the matrix metalloproteinase ( MMP - 1, MMP - 2, MMP - 3, MMP - 7, MMP - 9, MMP - 13, MT1 - MMP and MT2 - MMP) / tissue inhibitor of matrix metalloproteinase ( TIMP - 1, TIMP - 2, and TIMP - 3) system have been investigated by immunohistochemistry in a series ( n = 90) of stage III ( Dukes ' C) colorectal cancers.	MMP - 1,94,101,Gene_or_gene_product	MMP - 2,103,110,Gene_or_gene_product	MMP - 3,112,119,Gene_or_gene_product	MMP - 7,121,128,Gene_or_gene_product	MMP - 9,130,137,Gene_or_gene_product	MMP - 13,139,147,Gene_or_gene_product	MT1 - MMP,149,158,Gene_or_gene_product	MT2 - MMP,163,172,Gene_or_gene_product	TIMP - 1,223,231,Gene_or_gene_product	TIMP - 2,233,241,Gene_or_gene_product	TIMP - 3,247,255,Gene_or_gene_product	"[{""token"": ""MMP - 1"", ""start_span"": 94, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}, {""token"": ""MMP - 2"", ""start_span"": 103, ""end_span"": 110, ""type"": ""Gene_or_gene_product""}, {""token"": ""MMP - 3"", ""start_span"": 112, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}, {""token"": ""MMP - 7"", ""start_span"": 121, ""end_span"": 128, ""type"": ""Gene_or_gene_product""}, {""token"": ""MMP - 9"", ""start_span"": 130, ""end_span"": 137, ""type"": ""Gene_or_gene_product""}, {""token"": ""MMP - 13"", ""start_span"": 139, ""end_span"": 147, ""type"": ""Gene_or_gene_product""}, {""token"": ""MT1 - MMP"", ""start_span"": 149, ""end_span"": 158, ""type"": ""Gene_or_gene_product""}, {""token"": ""MT2 - MMP"", ""start_span"": 163, ""end_span"": 172, ""type"": ""Gene_or_gene_product""}, {""token"": ""TIMP - 1"", ""start_span"": 223, ""end_span"": 231, ""type"": ""Gene_or_gene_product""}, {""token"": ""TIMP - 2"", ""start_span"": 233, ""end_span"": 241, ""type"": ""Gene_or_gene_product""}, {""token"": ""TIMP - 3"", ""start_span"": 247, ""end_span"": 255, ""type"": ""Gene_or_gene_product""}]"	train
Mutant mice lacking both cyclin - dependent kinase ( CDK) inhibitors p18 ( Ink4c) and p27 ( Kip1) develop a tumor spectrum reminiscent of human multiple endocrine neoplasia ( MEN) syndromes.	mice,7,11,Organism	cyclin - dependent kinase,25,50,Gene_or_gene_product	CDK,53,56,Gene_or_gene_product	p18,69,72,Gene_or_gene_product	Ink4c,75,80,Gene_or_gene_product	p27,86,89,Gene_or_gene_product	Kip1,92,96,Gene_or_gene_product	tumor,108,113,Cancer	human,138,143,Organism	multiple endocrine neoplasia,144,172,Cancer	MEN,175,178,Cancer	"[{""token"": ""mice"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Organism""}, {""token"": ""cyclin - dependent kinase"", ""start_span"": 25, ""end_span"": 50, ""type"": ""Gene_or_gene_product""}, {""token"": ""CDK"", ""start_span"": 53, ""end_span"": 56, ""type"": ""Gene_or_gene_product""}, {""token"": ""p18"", ""start_span"": 69, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ink4c"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Gene_or_gene_product""}, {""token"": ""p27"", ""start_span"": 86, ""end_span"": 89, ""type"": ""Gene_or_gene_product""}, {""token"": ""Kip1"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor"", ""start_span"": 108, ""end_span"": 113, ""type"": ""Cancer""}, {""token"": ""human"", ""start_span"": 138, ""end_span"": 143, ""type"": ""Organism""}, {""token"": ""multiple endocrine neoplasia"", ""start_span"": 144, ""end_span"": 172, ""type"": ""Cancer""}, {""token"": ""MEN"", ""start_span"": 175, ""end_span"": 178, ""type"": ""Cancer""}]"	train
Interleukin - 2 administration was followed by a significant increase in total lymphocytes, CD4 +, CD8 +, CD16 + 56 + ( NK) cells, IL - 6, IL - 12, and CRP ( from P < 0. 04 to P < 0. 000) but no change in IL - 10 and TGFbeta1 during clinical benefit.	Interleukin - 2,0,15,Gene_or_gene_product	lymphocytes,79,90,Cell	CD4,92,95,Gene_or_gene_product	CD8,99,102,Gene_or_gene_product	CD16,106,110,Gene_or_gene_product	56,113,115,Gene_or_gene_product	IL - 6,131,137,Gene_or_gene_product	IL - 12,139,146,Gene_or_gene_product	CRP,152,155,Gene_or_gene_product	IL - 10,205,212,Gene_or_gene_product	TGFbeta1,217,225,Gene_or_gene_product	"[{""token"": ""Interleukin - 2"", ""start_span"": 0, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}, {""token"": ""lymphocytes"", ""start_span"": 79, ""end_span"": 90, ""type"": ""Cell""}, {""token"": ""CD4"", ""start_span"": 92, ""end_span"": 95, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD8"", ""start_span"": 99, ""end_span"": 102, ""type"": ""Gene_or_gene_product""}, {""token"": ""CD16"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Gene_or_gene_product""}, {""token"": ""56"", ""start_span"": 113, ""end_span"": 115, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 6"", ""start_span"": 131, ""end_span"": 137, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 12"", ""start_span"": 139, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}, {""token"": ""CRP"", ""start_span"": 152, ""end_span"": 155, ""type"": ""Gene_or_gene_product""}, {""token"": ""IL - 10"", ""start_span"": 205, ""end_span"": 212, ""type"": ""Gene_or_gene_product""}, {""token"": ""TGFbeta1"", ""start_span"": 217, ""end_span"": 225, ""type"": ""Gene_or_gene_product""}]"	train
Semaphorin 7A ( Sema7A) is a membrane - linked semaphorin that is expressed by human keratinocytes, and we have shown that Sema7A binds to human melanocytes through beta1 - integrins and the Plexin C1 receptor.	Semaphorin 7A,0,13,Gene_or_gene_product	Sema7A,16,22,Gene_or_gene_product	membrane,29,37,Cellular_component	semaphorin,47,57,Gene_or_gene_product	human,79,84,Organism	keratinocytes,85,98,Cell	Sema7A,123,129,Gene_or_gene_product	human,139,144,Organism	melanocytes,145,156,Cell	beta1 - integrins,165,182,Gene_or_gene_product	Plexin C1 receptor,191,209,Gene_or_gene_product	"[{""token"": ""Semaphorin 7A"", ""start_span"": 0, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}, {""token"": ""Sema7A"", ""start_span"": 16, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}, {""token"": ""membrane"", ""start_span"": 29, ""end_span"": 37, ""type"": ""Cellular_component""}, {""token"": ""semaphorin"", ""start_span"": 47, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}, {""token"": ""human"", ""start_span"": 79, ""end_span"": 84, ""type"": ""Organism""}, {""token"": ""keratinocytes"", ""start_span"": 85, ""end_span"": 98, ""type"": ""Cell""}, {""token"": ""Sema7A"", ""start_span"": 123, ""end_span"": 129, ""type"": ""Gene_or_gene_product""}, {""token"": ""human"", ""start_span"": 139, ""end_span"": 144, ""type"": ""Organism""}, {""token"": ""melanocytes"", ""start_span"": 145, ""end_span"": 156, ""type"": ""Cell""}, {""token"": ""beta1 - integrins"", ""start_span"": 165, ""end_span"": 182, ""type"": ""Gene_or_gene_product""}, {""token"": ""Plexin C1 receptor"", ""start_span"": 191, ""end_span"": 209, ""type"": ""Gene_or_gene_product""}]"	train
In cultured stable Grm1 - mouse - melanocytic clones, as well as an metabotropic glutamate receptor 1 ( Grm1) expressing human melanoma cell line, C8161, stimulation of Grm1 by its agonist led to the activation of AKT, while preincubation with Grm1 - antagonist abolished Grm1 - agonist - induced AKT activation.	Grm1,19,23,Gene_or_gene_product	mouse,26,31,Organism	melanocytic clones,34,52,Cell	glutamate receptor 1,81,101,Gene_or_gene_product	Grm1,104,108,Gene_or_gene_product	human,121,126,Organism	Grm1,169,173,Gene_or_gene_product	AKT,214,217,Gene_or_gene_product	Grm1,244,248,Gene_or_gene_product	Grm1,272,276,Gene_or_gene_product	AKT,297,300,Gene_or_gene_product	"[{""token"": ""Grm1"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}, {""token"": ""mouse"", ""start_span"": 26, ""end_span"": 31, ""type"": ""Organism""}, {""token"": ""melanocytic clones"", ""start_span"": 34, ""end_span"": 52, ""type"": ""Cell""}, {""token"": ""glutamate receptor 1"", ""start_span"": 81, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}, {""token"": ""Grm1"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}, {""token"": ""human"", ""start_span"": 121, ""end_span"": 126, ""type"": ""Organism""}, {""token"": ""Grm1"", ""start_span"": 169, ""end_span"": 173, ""type"": ""Gene_or_gene_product""}, {""token"": ""AKT"", ""start_span"": 214, ""end_span"": 217, ""type"": ""Gene_or_gene_product""}, {""token"": ""Grm1"", ""start_span"": 244, ""end_span"": 248, ""type"": ""Gene_or_gene_product""}, {""token"": ""Grm1"", ""start_span"": 272, ""end_span"": 276, ""type"": ""Gene_or_gene_product""}, {""token"": ""AKT"", ""start_span"": 297, ""end_span"": 300, ""type"": ""Gene_or_gene_product""}]"	train
RESULTS: AQP1, 3 - 5, and 10 - 12 were expressed in human breast cancer and / or normal breast tissues, and AQP1 and 3 - 5 exhibited differential expression.	AQP1,9,13,Gene_or_gene_product	3,15,16,Gene_or_gene_product	5,19,20,Gene_or_gene_product	10,26,28,Gene_or_gene_product	12,31,33,Gene_or_gene_product	human,52,57,Organism	breast cancer,58,71,Cancer	breast tissues,88,102,Tissue	AQP1,108,112,Gene_or_gene_product	3,117,118,Gene_or_gene_product	5,121,122,Gene_or_gene_product	"[{""token"": ""AQP1"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}, {""token"": ""3"", ""start_span"": 15, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""5"", ""start_span"": 19, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}, {""token"": ""10"", ""start_span"": 26, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""12"", ""start_span"": 31, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}, {""token"": ""human"", ""start_span"": 52, ""end_span"": 57, ""type"": ""Organism""}, {""token"": ""breast cancer"", ""start_span"": 58, ""end_span"": 71, ""type"": ""Cancer""}, {""token"": ""breast tissues"", ""start_span"": 88, ""end_span"": 102, ""type"": ""Tissue""}, {""token"": ""AQP1"", ""start_span"": 108, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}, {""token"": ""3"", ""start_span"": 117, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}, {""token"": ""5"", ""start_span"": 121, ""end_span"": 122, ""type"": ""Gene_or_gene_product""}]"	train
By modulating beta - catenin levels in a mouse model of melanoma that is based on melanocyte - specific Pten loss and Braf ( V600E) mutation, we demonstrate that beta - catenin is a central mediator of melanoma metastasis to the lymph nodes and lungs.	beta - catenin,14,28,Gene_or_gene_product	mouse,41,46,Organism	melanoma,56,64,Cancer	melanocyte,82,92,Cell	Pten,104,108,Gene_or_gene_product	Braf,118,122,Gene_or_gene_product	V600E,125,130,Amino_acid	beta - catenin,162,176,Gene_or_gene_product	melanoma,202,210,Cancer	lymph nodes,229,240,Multi	lungs,245,250,Organ	"[{""token"": ""beta - catenin"", ""start_span"": 14, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""mouse"", ""start_span"": 41, ""end_span"": 46, ""type"": ""Organism""}, {""token"": ""melanoma"", ""start_span"": 56, ""end_span"": 64, ""type"": ""Cancer""}, {""token"": ""melanocyte"", ""start_span"": 82, ""end_span"": 92, ""type"": ""Cell""}, {""token"": ""Pten"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}, {""token"": ""Braf"", ""start_span"": 118, ""end_span"": 122, ""type"": ""Gene_or_gene_product""}, {""token"": ""V600E"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Amino_acid""}, {""token"": ""beta - catenin"", ""start_span"": 162, ""end_span"": 176, ""type"": ""Gene_or_gene_product""}, {""token"": ""melanoma"", ""start_span"": 202, ""end_span"": 210, ""type"": ""Cancer""}, {""token"": ""lymph nodes"", ""start_span"": 229, ""end_span"": 240, ""type"": ""Multi""}, {""token"": ""lungs"", ""start_span"": 245, ""end_span"": 250, ""type"": ""Organ""}]"	train
To evaluate the concept that localized delivery of angiogenic factors via virus - mediated gene transfer may be useful in the treatment of ischemic disorders, the replication - deficient adenovirus ( Ad) vector AdCMV. VEGF165 ( where CMV is cytomegalovirus and VEGF is vascular endothelial growth factor) containing the cDNA for human VEGF165, a secreted endothelial cell - specific angiogenic growth factor, was constructed.	adenovirus,187,197,Organism	Ad,200,202,Organism	VEGF165,218,225,Gene_or_gene_product	CMV,234,237,Organism	cytomegalovirus,241,256,Organism	VEGF,261,265,Gene_or_gene_product	vascular endothelial growth factor,269,303,Gene_or_gene_product	cDNA,320,324,Cellular_component	human,329,334,Organism	VEGF165,335,342,Gene_or_gene_product	endothelial cell,355,371,Cell	"[{""token"": ""adenovirus"", ""start_span"": 187, ""end_span"": 197, ""type"": ""Organism""}, {""token"": ""Ad"", ""start_span"": 200, ""end_span"": 202, ""type"": ""Organism""}, {""token"": ""VEGF165"", ""start_span"": 218, ""end_span"": 225, ""type"": ""Gene_or_gene_product""}, {""token"": ""CMV"", ""start_span"": 234, ""end_span"": 237, ""type"": ""Organism""}, {""token"": ""cytomegalovirus"", ""start_span"": 241, ""end_span"": 256, ""type"": ""Organism""}, {""token"": ""VEGF"", ""start_span"": 261, ""end_span"": 265, ""type"": ""Gene_or_gene_product""}, {""token"": ""vascular endothelial growth factor"", ""start_span"": 269, ""end_span"": 303, ""type"": ""Gene_or_gene_product""}, {""token"": ""cDNA"", ""start_span"": 320, ""end_span"": 324, ""type"": ""Cellular_component""}, {""token"": ""human"", ""start_span"": 329, ""end_span"": 334, ""type"": ""Organism""}, {""token"": ""VEGF165"", ""start_span"": 335, ""end_span"": 342, ""type"": ""Gene_or_gene_product""}, {""token"": ""endothelial cell"", ""start_span"": 355, ""end_span"": 371, ""type"": ""Cell""}]"	train
