Sentence	entity_1	json	split
Tunicamycin - treatment resulted in 75 - 90% inhibition in [ 3H] mannose incorporation but only 20 - 25% inhibition in [ 3H] thymidine and [ 3H] leucine incorporation.	Tunicamycin,0,11,Chemical	"[{""token"": ""Tunicamycin"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Chemical""}]"	train
A marked coronary angiogenesis is known to occur with chronic bradycardia.	coronary,9,17,Multi	"[{""token"": ""coronary"", ""start_span"": 9, ""end_span"": 17, ""type"": ""Multi""}]"	train
Heart rate decreased by 32% for 20 to 40 minutes after injection and was chronically reduced by 10%, 14%, and 18. 5% after 1, 2, and 3 weeks of treatment, respectively.	Heart,0,5,Organ	"[{""token"": ""Heart"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Organ""}]"	train
These data suggest that VEGF plays a key role in the angiogenic response that occurs with chronic bradycardia.	VEGF,24,28,Gene_or_gene_product	"[{""token"": ""VEGF"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"	train
The mechanism underlying this VEGF - associated angiogenesis may be an increase in stretch due to enhanced diastolic filling.	VEGF,30,34,Gene_or_gene_product	"[{""token"": ""VEGF"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}]"	train
Only a subset of patients is suitable for laser coagulation.	patients,17,25,Organism	"[{""token"": ""patients"", ""start_span"": 17, ""end_span"": 25, ""type"": ""Organism""}]"	train
Patients have been treated between January 1996 and October 1997.	Patients,0,8,Organism	"[{""token"": ""Patients"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Organism""}]"	train
RESULTS: All patients completed therapy and tolerability was good.	patients,13,21,Organism	"[{""token"": ""patients"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Organism""}]"	train
After 7 months median visual acuity ( VA) was 20 / 160 for the irradiated and 20 / 400 for the untreated patients.	patients,105,113,Organism	"[{""token"": ""patients"", ""start_span"": 105, ""end_span"": 113, ""type"": ""Organism""}]"	train
Patients ' reading vision could not be saved for a long - term run.	Patients,0,8,Organism	"[{""token"": ""Patients"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Organism""}]"	train
Neovascularization, an essential event for the growth of solid tumors, is regulated by a number of angiogenic factors.	solid tumors,57,69,Cancer	"[{""token"": ""solid tumors"", ""start_span"": 57, ""end_span"": 69, ""type"": ""Cancer""}]"	train
The sensitivity and specificity of s - VEGF at the cut - off level of 100 pg / ml, as determined by the receiver - operating - characteristics curve, were 80. 0% and 72. 5%, respectively.	VEGF,39,43,Gene_or_gene_product	"[{""token"": ""VEGF"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}]"	train
PURPOSE: Clinical studies have demonstrated that intensive insulin therapy causes a transient worsening of retinopathy.	insulin,59,66,Gene_or_gene_product	"[{""token"": ""insulin"", ""start_span"": 59, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"	train
The aim of this study was to ascertain the potential usefulness of the antiangiogenic compound linomide for treatment of von Hippel - Lindau ( VHL) - related tumors.	linomide,95,103,Chemical	"[{""token"": ""linomide"", ""start_span"": 95, ""end_span"": 103, ""type"": ""Chemical""}]"	train
In both the prevention and intervention experiments, a significant diminution of tumor size and weight was observed in the drug - treated animals.	tumor,81,86,Cancer	"[{""token"": ""tumor"", ""start_span"": 81, ""end_span"": 86, ""type"": ""Cancer""}]"	train
Oncogenic epidermal growth factor receptor mutants with tandem duplication: gene structure and effects on receptor function.	epidermal growth factor receptor,10,42,Gene_or_gene_product	"[{""token"": ""epidermal growth factor receptor"", ""start_span"": 10, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}]"	train
As with duplication of the entire TK / CAIN region ( exons 18 - 26) in A - 172 cells, duplication of exons 18 - 25 is associated with a specific genomic rearrangement between flanking introns.	A - 172 cells,71,84,Cell	"[{""token"": ""A - 172 cells"", ""start_span"": 71, ""end_span"": 84, ""type"": ""Cell""}]"	train
Involved introns contain homology to recombination signal sequence ( RSS) heptamers present in the V ( D) J region of the T lymphocyte receptor gene.	T lymphocyte receptor,122,143,Gene_or_gene_product	"[{""token"": ""T lymphocyte receptor"", ""start_span"": 122, ""end_span"": 143, ""type"": ""Gene_or_gene_product""}]"	train
High - affinity binding is reduced in EGFR. TDM / 18 - 26, although the t1 / 2 of receptor internalization is not prolonged.	EGFR,38,42,Gene_or_gene_product	"[{""token"": ""EGFR"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}]"	train
These changes originate from increased peritoneal surface area, but the morphologic and molecular mechanisms involved remain unknown.	peritoneal surface area,39,62,Immaterial_anatomical_entity	"[{""token"": ""peritoneal surface area"", ""start_span"": 39, ""end_span"": 62, ""type"": ""Immaterial_anatomical_entity""}]"	train
They also support the implication of local advanced glycation end product deposits and liberation of VEGF in that process.	VEGF,101,105,Gene_or_gene_product	"[{""token"": ""VEGF"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Gene_or_gene_product""}]"	train
Active hair growth ( anagen) is associated with angiogenesis.	hair,7,11,Multi	"[{""token"": ""hair"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Multi""}]"	train
Despite these suggestive observations, no formal proof is as yet available for the concept that angiogenesis is a physiologic event that occurs all over the mature mammalian integument whenever hair follicles switch from resting ( telogen) to active growth ( anagen).	hair follicles,194,208,Multi	"[{""token"": ""hair follicles"", ""start_span"": 194, ""end_span"": 208, ""type"": ""Multi""}]"	train
Anagen - associated angiogenesis offers an attractive model for identifying the physiologic controls of cutaneous angiogenesis, and an interesting system for screening the effects of potential antiangiogenic drugs in vivo.	cutaneous,104,113,Organism_subdivision	"[{""token"": ""cutaneous"", ""start_span"": 104, ""end_span"": 113, ""type"": ""Organism_subdivision""}]"	train
The tumor may present with widespread metastases that are unresponsive to aggressive treatment.	tumor,4,9,Cancer	"[{""token"": ""tumor"", ""start_span"": 4, ""end_span"": 9, ""type"": ""Cancer""}]"	train
At other times, both the metastases and the primary tumor may spontaneously regress without treatment.	tumor,52,57,Cancer	"[{""token"": ""tumor"", ""start_span"": 52, ""end_span"": 57, ""type"": ""Cancer""}]"	train
After 4 days, these cells are harvested and cytospins made for immunostaining.	cells,20,25,Cell	"[{""token"": ""cells"", ""start_span"": 20, ""end_span"": 25, ""type"": ""Cell""}]"	train
TUNEL data are reported as percentage apoptotic cells.	cells,48,53,Cell	"[{""token"": ""cells"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Cell""}]"	train
There is a significant increase in the number of apoptotic hepatocytes when they are cultured in the conditioned media.	hepatocytes,59,70,Cell	"[{""token"": ""hepatocytes"", ""start_span"": 59, ""end_span"": 70, ""type"": ""Cell""}]"	train
In contrast, the neuroblastoma cells grown in the coculture conditioned media show no increase in apoptosis.	neuroblastoma cells,17,36,Cell	"[{""token"": ""neuroblastoma cells"", ""start_span"": 17, ""end_span"": 36, ""type"": ""Cell""}]"	train
These changes should diminish apoptosis activity in the tumor cells.	tumor cells,56,67,Cell	"[{""token"": ""tumor cells"", ""start_span"": 56, ""end_span"": 67, ""type"": ""Cell""}]"	train
In contrast, the conditioned media induce elevated levels of proapoptotic mediators in the Chang hepatocytes.	hepatocytes,97,108,Cell	"[{""token"": ""hepatocytes"", ""start_span"": 97, ""end_span"": 108, ""type"": ""Cell""}]"	train
The mechanism of Notch signaling remains poorly understood.	Notch,17,22,Gene_or_gene_product	"[{""token"": ""Notch"", ""start_span"": 17, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}]"	train
However, the mechanism by which Notch oncoproteins ( generically termed here as N ( ic)) induce neoplastic transformation is not known.	Notch,32,37,Gene_or_gene_product	"[{""token"": ""Notch"", ""start_span"": 32, ""end_span"": 37, ""type"": ""Gene_or_gene_product""}]"	train
PURPOSE: The poor prognosis associated with lung cancer is related to the high incidence of regional and distant metastasis.	lung cancer,44,55,Cancer	"[{""token"": ""lung cancer"", ""start_span"": 44, ""end_span"": 55, ""type"": ""Cancer""}]"	train
