Sentence	entity_1	entity_2	entity_3	entity_4	entity_5	json	split
Analysis of TGF - beta RII mRNA expression by RNase protection, with comparison of cells from the chronic, accelerated and blast phases of CML, showed no change in TGF - beta RII transcript levels during disease progression.	TGF - beta RII,12,26,Gene_or_gene_product	RNase,46,51,Gene_or_gene_product	cells,83,88,Cell	CML,139,142,Cancer	TGF - beta RII,164,178,Gene_or_gene_product	"[{""token"": ""TGF - beta RII"", ""start_span"": 12, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}, {""token"": ""RNase"", ""start_span"": 46, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}, {""token"": ""cells"", ""start_span"": 83, ""end_span"": 88, ""type"": ""Cell""}, {""token"": ""CML"", ""start_span"": 139, ""end_span"": 142, ""type"": ""Cancer""}, {""token"": ""TGF - beta RII"", ""start_span"": 164, ""end_span"": 178, ""type"": ""Gene_or_gene_product""}]"	train
N - glycosylation of glucose transporter - 1 ( Glut - 1) is associated with increased transporter affinity for glucose in human leukemic cells.	glucose transporter - 1,21,44,Gene_or_gene_product	Glut - 1,47,55,Gene_or_gene_product	glucose,111,118,Chemical	human,122,127,Organism	leukemic cells,128,142,Cell	"[{""token"": ""glucose transporter - 1"", ""start_span"": 21, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}, {""token"": ""Glut - 1"", ""start_span"": 47, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}, {""token"": ""glucose"", ""start_span"": 111, ""end_span"": 118, ""type"": ""Chemical""}, {""token"": ""human"", ""start_span"": 122, ""end_span"": 127, ""type"": ""Organism""}, {""token"": ""leukemic cells"", ""start_span"": 128, ""end_span"": 142, ""type"": ""Cell""}]"	train
METHODS: The effect of insulin on VEGF expression in vivo was examined by in situ hybridization studies of rat retinal VEGF transcripts.	insulin,23,30,Gene_or_gene_product	VEGF,34,38,Gene_or_gene_product	rat,107,110,Organism	retinal,111,118,Multi	VEGF,119,123,Gene_or_gene_product	"[{""token"": ""insulin"", ""start_span"": 23, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}, {""token"": ""rat"", ""start_span"": 107, ""end_span"": 110, ""type"": ""Organism""}, {""token"": ""retinal"", ""start_span"": 111, ""end_span"": 118, ""type"": ""Multi""}, {""token"": ""VEGF"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Gene_or_gene_product""}]"	train
RESULTS: Insulin increased VEGF mRNA levels in the ganglion, inner nuclear, and RPE cell layers.	Insulin,9,16,Gene_or_gene_product	VEGF,27,31,Gene_or_gene_product	ganglion,51,59,Tissue	inner nuclear,61,74,Tissue	RPE cell layers,80,95,Tissue	"[{""token"": ""Insulin"", ""start_span"": 9, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}, {""token"": ""ganglion"", ""start_span"": 51, ""end_span"": 59, ""type"": ""Tissue""}, {""token"": ""inner nuclear"", ""start_span"": 61, ""end_span"": 74, ""type"": ""Tissue""}, {""token"": ""RPE cell layers"", ""start_span"": 80, ""end_span"": 95, ""type"": ""Tissue""}]"	train
In vitro, insulin increased VEGF mRNA levels in human RPE cells and enhanced VEGF promoter activity without affecting transcript stability.	insulin,10,17,Gene_or_gene_product	VEGF,28,32,Gene_or_gene_product	human,48,53,Organism	RPE cells,54,63,Cell	VEGF,77,81,Gene_or_gene_product	"[{""token"": ""insulin"", ""start_span"": 10, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}, {""token"": ""human"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Organism""}, {""token"": ""RPE cells"", ""start_span"": 54, ""end_span"": 63, ""type"": ""Cell""}, {""token"": ""VEGF"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}]"	train
Previous work demonstrates that the LMP1 gene of EBV is sufficient to transform certain established rodent fibroblast cell lines and to induce the tumorigenicity of some human epithelial cell lines.	LMP1,36,40,Gene_or_gene_product	EBV,49,52,Organism	fibroblast cell lines,107,128,Cell	human,170,175,Organism	epithelial cell lines,176,197,Cell	"[{""token"": ""LMP1"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}, {""token"": ""EBV"", ""start_span"": 49, ""end_span"": 52, ""type"": ""Organism""}, {""token"": ""fibroblast cell lines"", ""start_span"": 107, ""end_span"": 128, ""type"": ""Cell""}, {""token"": ""human"", ""start_span"": 170, ""end_span"": 175, ""type"": ""Organism""}, {""token"": ""epithelial cell lines"", ""start_span"": 176, ""end_span"": 197, ""type"": ""Cell""}]"	train
To examine the roles of LMP1 in cell proliferation and growth regulation in primary culture cells, we constructed a recombinant retrovirus containing an LMP1 gene.	LMP1,24,28,Gene_or_gene_product	cell,32,36,Cell	primary culture cells,76,97,Cell	retrovirus,128,138,Organism	LMP1,153,157,Gene_or_gene_product	"[{""token"": ""LMP1"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}, {""token"": ""cell"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Cell""}, {""token"": ""primary culture cells"", ""start_span"": 76, ""end_span"": 97, ""type"": ""Cell""}, {""token"": ""retrovirus"", ""start_span"": 128, ""end_span"": 138, ""type"": ""Organism""}, {""token"": ""LMP1"", ""start_span"": 153, ""end_span"": 157, ""type"": ""Gene_or_gene_product""}]"	train
With this retrovirus, LMP1 was shown to stimulate the proliferation of primary mouse embryonic fibroblasts ( MEF cells).	retrovirus,10,20,Organism	LMP1,22,26,Gene_or_gene_product	mouse,79,84,Organism	embryonic fibroblasts,85,106,Cell	MEF cells,109,118,Cell	"[{""token"": ""retrovirus"", ""start_span"": 10, ""end_span"": 20, ""type"": ""Organism""}, {""token"": ""LMP1"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}, {""token"": ""mouse"", ""start_span"": 79, ""end_span"": 84, ""type"": ""Organism""}, {""token"": ""embryonic fibroblasts"", ""start_span"": 85, ""end_span"": 106, ""type"": ""Cell""}, {""token"": ""MEF cells"", ""start_span"": 109, ""end_span"": 118, ""type"": ""Cell""}]"	train
Autotaxin ( ATX), a potent tumor motogen, augments invasive and metastatic potential of ras - transformed cells.	Autotaxin,0,9,Gene_or_gene_product	ATX,12,15,Gene_or_gene_product	tumor,27,32,Cancer	ras,88,91,Gene_or_gene_product	cells,106,111,Cell	"[{""token"": ""Autotaxin"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Gene_or_gene_product""}, {""token"": ""ATX"", ""start_span"": 12, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}, {""token"": ""tumor"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Cancer""}, {""token"": ""ras"", ""start_span"": 88, ""end_span"": 91, ""type"": ""Gene_or_gene_product""}, {""token"": ""cells"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Cell""}]"	train
Combination of ATX expression with ras transformation produced cells with greatly amplified tumorigenesis and metastatic potential compared to ras - transformed controls.	ATX,15,18,Gene_or_gene_product	ras,35,38,Gene_or_gene_product	cells,63,68,Cell	ras,143,146,Gene_or_gene_product	controls,161,169,Cell	"[{""token"": ""ATX"", ""start_span"": 15, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}, {""token"": ""ras"", ""start_span"": 35, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}, {""token"": ""cells"", ""start_span"": 63, ""end_span"": 68, ""type"": ""Cell""}, {""token"": ""ras"", ""start_span"": 143, ""end_span"": 146, ""type"": ""Gene_or_gene_product""}, {""token"": ""controls"", ""start_span"": 161, ""end_span"": 169, ""type"": ""Cell""}]"	train
