Roles of cell adhesion molecules mediating the interaction of cancer and endothelial cells in tumor angiogenesis were investigated using new in vitro and in vivo model systems with a cultured murine endothelial cell line ( F - 2) and human cultured epidermoid cancer cells ( A431).	"cell	9	13	Cell"	"cancer	62	68	Cell"	"endothelial cells	73	90	Cell"	"tumor	94	99	Cancer"	"murine	192	198	Organism"	"endothelial cell line	199	220	Cell"	"F - 2	223	228	Cell"	"human	234	239	Organism"	"epidermoid cancer cells	249	272	Cell"	"A431	275	279	Cell"	"[{""token"": ""cell"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Cell""}, {""token"": ""cancer"", ""start_span"": 62, ""end_span"": 68, ""type"": ""Cell""}, {""token"": ""endothelial cells"", ""start_span"": 73, ""end_span"": 90, ""type"": ""Cell""}, {""token"": ""tumor"", ""start_span"": 94, ""end_span"": 99, ""type"": ""Cancer""}, {""token"": ""murine"", ""start_span"": 192, ""end_span"": 198, ""type"": ""Organism""}, {""token"": ""endothelial cell line"", ""start_span"": 199, ""end_span"": 220, ""type"": ""Cell""}, {""token"": ""F - 2"", ""start_span"": 223, ""end_span"": 228, ""type"": ""Cell""}, {""token"": ""human"", ""start_span"": 234, ""end_span"": 239, ""type"": ""Organism""}, {""token"": ""epidermoid cancer cells"", ""start_span"": 249, ""end_span"": 272, ""type"": ""Cell""}, {""token"": ""A431"", ""start_span"": 275, ""end_span"": 279, ""type"": ""Cell""}]"
Using immunoblot analysis, we show that AdGFPFasL ( TET) is capable of initiating the classic Fas - mediated apoptotic pathway in DU145 cells, which includes activation of caspases - 8, - 3, - 7, and - 9, BID cleavage, cytochrome c release from mitochondria, and PARP cleavage.	"Fas	45	48	Gene_or_gene_product"	"DU145 cells	130	141	Cell"	"caspases - 8	172	184	Gene_or_gene_product"	"- 3	186	189	Gene_or_gene_product"	"- 7	191	194	Gene_or_gene_product"	"- 9	200	203	Gene_or_gene_product"	"BID	205	208	Gene_or_gene_product"	"cytochrome c	219	231	Gene_or_gene_product"	"mitochondria	245	257	Cellular_component"	"PARP	263	267	Gene_or_gene_product"	"[{""token"": ""Fas"", ""start_span"": 45, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}, {""token"": ""DU145 cells"", ""start_span"": 130, ""end_span"": 141, ""type"": ""Cell""}, {""token"": ""caspases - 8"", ""start_span"": 172, ""end_span"": 184, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 3"", ""start_span"": 186, ""end_span"": 189, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 7"", ""start_span"": 191, ""end_span"": 194, ""type"": ""Gene_or_gene_product""}, {""token"": ""- 9"", ""start_span"": 200, ""end_span"": 203, ""type"": ""Gene_or_gene_product""}, {""token"": ""BID"", ""start_span"": 205, ""end_span"": 208, ""type"": ""Gene_or_gene_product""}, {""token"": ""cytochrome c"", ""start_span"": 219, ""end_span"": 231, ""type"": ""Gene_or_gene_product""}, {""token"": ""mitochondria"", ""start_span"": 245, ""end_span"": 257, ""type"": ""Cellular_component""}, {""token"": ""PARP"", ""start_span"": 263, ""end_span"": 267, ""type"": ""Gene_or_gene_product""}]"
By means of intravital microscopy, tumor necrosis factor alpha - stimulated leukocyte - vessel wall interactions were studied in ear skin microvessels of nude mice bearing small human LS174T colon carcinomas and in C57Bl / 6 mice bearing murine B16F10 melanomas.	"tumor necrosis factor alpha	35	62	Gene_or_gene_product"	"leukocyte	76	85	Cell"	"vessel wall	88	99	Multi"	"ear skin microvessels	129	150	Tissue"	"nude mice	154	163	Organism"	"human	178	183	Organism"	"LS174T colon carcinomas	184	207	Cancer"	"C57Bl / 6 mice	215	229	Organism"	"murine	238	244	Organism"	"B16F10 melanomas	245	261	Cancer"	"[{""token"": ""tumor necrosis factor alpha"", ""start_span"": 35, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}, {""token"": ""leukocyte"", ""start_span"": 76, ""end_span"": 85, ""type"": ""Cell""}, {""token"": ""vessel wall"", ""start_span"": 88, ""end_span"": 99, ""type"": ""Multi""}, {""token"": ""ear skin microvessels"", ""start_span"": 129, ""end_span"": 150, ""type"": ""Tissue""}, {""token"": ""nude mice"", ""start_span"": 154, ""end_span"": 163, ""type"": ""Organism""}, {""token"": ""human"", ""start_span"": 178, ""end_span"": 183, ""type"": ""Organism""}, {""token"": ""LS174T colon carcinomas"", ""start_span"": 184, ""end_span"": 207, ""type"": ""Cancer""}, {""token"": ""C57Bl / 6 mice"", ""start_span"": 215, ""end_span"": 229, ""type"": ""Organism""}, {""token"": ""murine"", ""start_span"": 238, ""end_span"": 244, ""type"": ""Organism""}, {""token"": ""B16F10 melanomas"", ""start_span"": 245, ""end_span"": 261, ""type"": ""Cancer""}]"
Experimental Design: Human umbilical vein and dermal microvascular endothelial cells were infected with replication - deficient adenoviruses encoding survivin ( pAd - Survivin), green fluorescent protein ( pAd - GFP), or a phosphorylation - defective survivin Thr ( 34) - - > Ala ( pAd - T34A) dominant negative mutant.	"Human	21	26	Organism"	"umbilical vein	27	41	Cell"	"dermal microvascular endothelial cells	46	84	Cell"	"adenoviruses	128	140	Organism"	"survivin	150	158	Gene_or_gene_product"	"pAd - Survivin	161	175	Gene_or_gene_product"	"green fluorescent protein	178	203	Gene_or_gene_product"	"pAd - GFP	206	215	Gene_or_gene_product"	"survivin	251	259	Gene_or_gene_product"	"pAd - T34A	282	292	Gene_or_gene_product"	"[{""token"": ""Human"", ""start_span"": 21, ""end_span"": 26, ""type"": ""Organism""}, {""token"": ""umbilical vein"", ""start_span"": 27, ""end_span"": 41, ""type"": ""Cell""}, {""token"": ""dermal microvascular endothelial cells"", ""start_span"": 46, ""end_span"": 84, ""type"": ""Cell""}, {""token"": ""adenoviruses"", ""start_span"": 128, ""end_span"": 140, ""type"": ""Organism""}, {""token"": ""survivin"", ""start_span"": 150, ""end_span"": 158, ""type"": ""Gene_or_gene_product""}, {""token"": ""pAd - Survivin"", ""start_span"": 161, ""end_span"": 175, ""type"": ""Gene_or_gene_product""}, {""token"": ""green fluorescent protein"", ""start_span"": 178, ""end_span"": 203, ""type"": ""Gene_or_gene_product""}, {""token"": ""pAd - GFP"", ""start_span"": 206, ""end_span"": 215, ""type"": ""Gene_or_gene_product""}, {""token"": ""survivin"", ""start_span"": 251, ""end_span"": 259, ""type"": ""Gene_or_gene_product""}, {""token"": ""pAd - T34A"", ""start_span"": 282, ""end_span"": 292, ""type"": ""Gene_or_gene_product""}]"
To investigate this possibility, we studied the influence of bovine lactoferrin on Fas - mediated apoptosis with regard to expression of Fas, activation of caspase - 8 and caspase - 3, and DNA fragmentation in the colon mucosa of AOM - treated rats.	"bovine	61	67	Organism"	"lactoferrin	68	79	Gene_or_gene_product"	"Fas	83	86	Gene_or_gene_product"	"Fas	137	140	Gene_or_gene_product"	"caspase - 8	156	167	Gene_or_gene_product"	"caspase - 3	172	183	Gene_or_gene_product"	"DNA	189	192	Cellular_component"	"colon mucosa	214	226	Multi"	"AOM	230	233	Chemical"	"rats	244	248	Organism"	"[{""token"": ""bovine"", ""start_span"": 61, ""end_span"": 67, ""type"": ""Organism""}, {""token"": ""lactoferrin"", ""start_span"": 68, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}, {""token"": ""Fas"", ""start_span"": 83, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}, {""token"": ""Fas"", ""start_span"": 137, ""end_span"": 140, ""type"": ""Gene_or_gene_product""}, {""token"": ""caspase - 8"", ""start_span"": 156, ""end_span"": 167, ""type"": ""Gene_or_gene_product""}, {""token"": ""caspase - 3"", ""start_span"": 172, ""end_span"": 183, ""type"": ""Gene_or_gene_product""}, {""token"": ""DNA"", ""start_span"": 189, ""end_span"": 192, ""type"": ""Cellular_component""}, {""token"": ""colon mucosa"", ""start_span"": 214, ""end_span"": 226, ""type"": ""Multi""}, {""token"": ""AOM"", ""start_span"": 230, ""end_span"": 233, ""type"": ""Chemical""}, {""token"": ""rats"", ""start_span"": 244, ""end_span"": 248, ""type"": ""Organism""}]"
To test the hypothesis that 20 - HETE increases endothelial cell ( EC) proliferation via vascular endothelial growth factor ( VEGF), we studied the effects of WIT003 [ 20 - hydroxyeicosa - 5 ( Z), 14 ( Z) - dienoic acid], a 20 - HETE analog on human macrovascular or microvascular EC.	"20 - HETE	28	37	Chemical"	"endothelial cell	48	64	Cell"	"EC	67	69	Cell"	"vascular endothelial growth factor	89	123	Gene_or_gene_product"	"VEGF	126	130	Gene_or_gene_product"	"WIT003	159	165	Chemical"	"20 - HETE	224	233	Chemical"	"human	244	249	Organism"	"macrovascular	250	263	Cell"	"microvascular EC	267	283	Cell"	"[{""token"": ""20 - HETE"", ""start_span"": 28, ""end_span"": 37, ""type"": ""Chemical""}, {""token"": ""endothelial cell"", ""start_span"": 48, ""end_span"": 64, ""type"": ""Cell""}, {""token"": ""EC"", ""start_span"": 67, ""end_span"": 69, ""type"": ""Cell""}, {""token"": ""vascular endothelial growth factor"", ""start_span"": 89, ""end_span"": 123, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}, {""token"": ""WIT003"", ""start_span"": 159, ""end_span"": 165, ""type"": ""Chemical""}, {""token"": ""20 - HETE"", ""start_span"": 224, ""end_span"": 233, ""type"": ""Chemical""}, {""token"": ""human"", ""start_span"": 244, ""end_span"": 249, ""type"": ""Organism""}, {""token"": ""macrovascular"", ""start_span"": 250, ""end_span"": 263, ""type"": ""Cell""}, {""token"": ""microvascular EC"", ""start_span"": 267, ""end_span"": 283, ""type"": ""Cell""}]"
Papilloma formation was observed in both the DMBA - TPA - and DMBA - Cum - OOH - exposed animals, whereas skin carcinomas were found only in the DMBA - Cum - OOH - treated mice.	"Papilloma	0	9	Pathological_formation"	"DMBA	45	49	Chemical"	"TPA	52	55	Chemical"	"DMBA	62	66	Chemical"	"Cum - OOH	69	78	Chemical"	"animals	89	96	Organism"	"skin carcinomas	106	121	Cancer"	"DMBA	145	149	Chemical"	"Cum - OOH	152	161	Chemical"	"mice	172	176	Organism"	"[{""token"": ""Papilloma"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Pathological_formation""}, {""token"": ""DMBA"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Chemical""}, {""token"": ""TPA"", ""start_span"": 52, ""end_span"": 55, ""type"": ""Chemical""}, {""token"": ""DMBA"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Chemical""}, {""token"": ""Cum - OOH"", ""start_span"": 69, ""end_span"": 78, ""type"": ""Chemical""}, {""token"": ""animals"", ""start_span"": 89, ""end_span"": 96, ""type"": ""Organism""}, {""token"": ""skin carcinomas"", ""start_span"": 106, ""end_span"": 121, ""type"": ""Cancer""}, {""token"": ""DMBA"", ""start_span"": 145, ""end_span"": 149, ""type"": ""Chemical""}, {""token"": ""Cum - OOH"", ""start_span"": 152, ""end_span"": 161, ""type"": ""Chemical""}, {""token"": ""mice"", ""start_span"": 172, ""end_span"": 176, ""type"": ""Organism""}]"
Vascular endothelial growth factor ( VEGF) and Angiopoietin 1 ( Ang1) are both potent proangiogenic factors, but, whereas VEGF causes vascular permeability, Ang1 stabilizes blood vessels and protects them from VEGF - induced plasma leakage.	"Vascular endothelial growth factor	0	34	Gene_or_gene_product"	"VEGF	37	41	Gene_or_gene_product"	"Angiopoietin 1	47	61	Gene_or_gene_product"	"Ang1	64	68	Gene_or_gene_product"	"VEGF	122	126	Gene_or_gene_product"	"vascular	134	142	Multi"	"Ang1	157	161	Gene_or_gene_product"	"blood vessels	173	186	Multi"	"VEGF	210	214	Gene_or_gene_product"	"plasma	225	231	Organism_substance"	"[{""token"": ""Vascular endothelial growth factor"", ""start_span"": 0, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}, {""token"": ""Angiopoietin 1"", ""start_span"": 47, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}, {""token"": ""Ang1"", ""start_span"": 64, ""end_span"": 68, ""type"": ""Gene_or_gene_product""}, {""token"": ""VEGF"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}, {""token"": ""vascular"", ""start_span"": 134, ""end_span"": 142, ""type"": ""Multi""}, {""token"": ""Ang1"", ""start_span"": 157, ""end_span"": 161, ""type"": ""Gene_or_gene_product""}, {""token"": ""blood vessels"", ""start_span"": 173, ""end_span"": 186, ""type"": ""Multi""}, {""token"": ""VEGF"", ""start_span"": 210, ""end_span"": 214, ""type"": ""Gene_or_gene_product""}, {""token"": ""plasma"", ""start_span"": 225, ""end_span"": 231, ""type"": ""Organism_substance""}]"
Immunohistochemical studies showed that the epithelioid cells were strongly positive for a broad spectrum of cytokeratins ( AE1 / AE3, CAM5. 2, epithelial membrane antigen and cytokeratin 7) and mesothelial markers ( calretinin, Wilms ' tumour 1 and D2 - 40).	"epithelioid cells	44	61	Cell"	"cytokeratins	109	121	Gene_or_gene_product"	"AE1	124	127	Gene_or_gene_product"	"AE3	130	133	Gene_or_gene_product"	"epithelial membrane antigen	144	171	Gene_or_gene_product"	"cytokeratin 7	176	189	Gene_or_gene_product"	"mesothelial	195	206	Tissue"	"calretinin	217	227	Gene_or_gene_product"	"Wilms ' tumour 1	229	245	Gene_or_gene_product"	"D2 - 40	250	257	Gene_or_gene_product"	"[{""token"": ""epithelioid cells"", ""start_span"": 44, ""end_span"": 61, ""type"": ""Cell""}, {""token"": ""cytokeratins"", ""start_span"": 109, ""end_span"": 121, ""type"": ""Gene_or_gene_product""}, {""token"": ""AE1"", ""start_span"": 124, ""end_span"": 127, ""type"": ""Gene_or_gene_product""}, {""token"": ""AE3"", ""start_span"": 130, ""end_span"": 133, ""type"": ""Gene_or_gene_product""}, {""token"": ""epithelial membrane antigen"", ""start_span"": 144, ""end_span"": 171, ""type"": ""Gene_or_gene_product""}, {""token"": ""cytokeratin 7"", ""start_span"": 176, ""end_span"": 189, ""type"": ""Gene_or_gene_product""}, {""token"": ""mesothelial"", ""start_span"": 195, ""end_span"": 206, ""type"": ""Tissue""}, {""token"": ""calretinin"", ""start_span"": 217, ""end_span"": 227, ""type"": ""Gene_or_gene_product""}, {""token"": ""Wilms ' tumour 1"", ""start_span"": 229, ""end_span"": 245, ""type"": ""Gene_or_gene_product""}, {""token"": ""D2 - 40"", ""start_span"": 250, ""end_span"": 257, ""type"": ""Gene_or_gene_product""}]"
The purpose of this study was to examine the effect of tricyclic antidepressant desipramine ( DMI) on the growth inhibition and translocation of the glucocorticoid receptor ( GR) from the cytoplasm to the nucleus in cancerous and noncancerous cell lines and the effect of DMI on GR - mediated transcription.	"desipramine	80	91	Chemical"	"DMI	94	97	Chemical"	"glucocorticoid receptor	149	172	Gene_or_gene_product"	"GR	175	177	Gene_or_gene_product"	"cytoplasm	188	197	Organism_substance"	"nucleus	205	212	Cellular_component"	"cancerous	216	225	Cell"	"noncancerous cell lines	230	253	Cell"	"DMI	272	275	Chemical"	"GR	279	281	Gene_or_gene_product"	"[{""token"": ""desipramine"", ""start_span"": 80, ""end_span"": 91, ""type"": ""Chemical""}, {""token"": ""DMI"", ""start_span"": 94, ""end_span"": 97, ""type"": ""Chemical""}, {""token"": ""glucocorticoid receptor"", ""start_span"": 149, ""end_span"": 172, ""type"": ""Gene_or_gene_product""}, {""token"": ""GR"", ""start_span"": 175, ""end_span"": 177, ""type"": ""Gene_or_gene_product""}, {""token"": ""cytoplasm"", ""start_span"": 188, ""end_span"": 197, ""type"": ""Organism_substance""}, {""token"": ""nucleus"", ""start_span"": 205, ""end_span"": 212, ""type"": ""Cellular_component""}, {""token"": ""cancerous"", ""start_span"": 216, ""end_span"": 225, ""type"": ""Cell""}, {""token"": ""noncancerous cell lines"", ""start_span"": 230, ""end_span"": 253, ""type"": ""Cell""}, {""token"": ""DMI"", ""start_span"": 272, ""end_span"": 275, ""type"": ""Chemical""}, {""token"": ""GR"", ""start_span"": 279, ""end_span"": 281, ""type"": ""Gene_or_gene_product""}]"
